Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Antiques,Leon Rosenstein,Cornell University Press,2009,Leon Rosenstein offers a sweeping and lively account of the origin and development of the antique as both a cultural concept and an aesthetic category.,Antiques & Collectibles,279,N/A,0,en
Identifying Common Materials in Antiques: A Pocket Guide,David Cycleback,Lulu.com,2014-08-28,"Written by the prominent art and artifact historian and authentication expert David Cycleback, this small book is an introduction to identifying common materials found in antiques, artifacts, collectibles and memorabilia. Materials covered include glass, plastics, stone, wood, paints, paper, metals, cloth, gems and leather. As a primer, it doesn't intend to 'cover it all, ' but gives the introductory basics to identifying many common materials collectors will come across, from bakelite to amber to uranium glass to marble.",Crafts & Hobbies,108,N/A,0,en
ANTIQUES A TO Z - A POCKET HANDBOOK FOR COLLECTORS AND DEALERS,Edward Wenham,Read Books Ltd,2013-05-31,"A little pocket handbook providing A-Z of information, terminologies, and types of different antiques. Includes chapters on Barometers, Clocks, Enamels, Furniture, Glass, Pottery and Porcelain, Silver, Firearms, Armour and others. The book is profusely illustrated by beautiful pen and ink drawings.",Antiques & Collectibles,270,N/A,0,en
Nautical Antiques,Robert W. D. Ball,N/A,1994,N/A,Nautical paraphernalia,238,N/A,0,en
Buying & Selling Antiques & Collectibl,"Don Bingham, Joan Bingham",Tuttle Publishing,2012-08-28,"Written for both beginners and experienced collectors, this antiques guide provides descriptions of some of the more prized antiques and collectibles, and explains how to find them and how to resell them. How can you recognize depression glass? How do you find valuable antiques at garage sales? And how can you get into the antiques business yourself? Buying & Selling Antiques is the perfect resource for the antiques dabbler, the garage-sale lover, the knick-knack admirer. Written for both beginners and experienced collectors, this guide provides descriptions of some of the more prized antiques and collectibles, and explains how to find them an how to resell them. The authors offer insiders' tips on cleaning and repair, auction strategies, how to set up displays and how to find the best markets for your wares. Buying & Selling Antiques and Collectibles is the indispensable guide for those who plan to start their own antiques business or who hope to make a little money from their hobby.",Antiques & Collectibles,254,N/A,0,en
The Timeless Elegance of Precious Metal Antiques,"Barrett Williams, ChatGPT",Barrett Williams,2024-12-02,"Unlock the secrets of a bygone era with ""The Timeless Elegance of Precious Metal Antiques,"" an essential eBook for anyone captivated by the enchanting world of silver masterpieces. Delve into the rich tapestry of history where silver plays a starring role, from its earliest uses to its mesmerizing influence on art and culture. Begin your journey with the allure of silver antiques, exploring historical trends that have left a lasting impact. Gain insight into the intricate details of silver purity and hallmarks, essential for distinguishing between sterling and other variants. Equip yourself with the knowledge to identify genuine silver treasures through proven authentication techniques and the importance of provenance. Aspiring collectors will find invaluable guidance in building a curated collection, discovering hidden gems, and maintaining these exquisite pieces. Uncover the fascinating artistry behind silverware, from dining sets to the timeless charm of tea services, and appreciate the stunning ornamental craftsmanship. For those considering investment, this book offers thorough advice on assessing the market, evaluating potential returns, and balancing a love for collecting with financial gain. Learn about preservation techniques, from careful cleaning to professional restoration, ensuring your antiques retain their lustrous beauty for generations to come. Explore captivating case studies of iconic silver artefacts and learn from the stories of great collectors. Examine silver's cultural significance across civilizations and its spiritual symbolism in various traditions. Navigate the dynamic world of auctions and antique markets with confidence, mastering the art of smart purchasing and dealer interactions. Stay informed about the legal and ethical facets of collecting while keeping an eye on modern trends and technological advancements reshaping the silver antiques landscape. Whether a seasoned aficionado or a curious newcomer, ""The Timeless Elegance of Precious Metal Antiques"" is your definitive guide to understanding and appreciating the legacy of silver throughout history. Embrace this opportunity to enrich your knowledge and preserve the allure of silver antiques for future generations.",Antiques & Collectibles,110,N/A,0,en
Miller’s Antiques Handbook & Price Guide 2024-2025,Judith Miller,Hachette UK,2024-05-09,"*** Miller's Antiques Handbook & Price Guide remains the essential and trusted guide to the antiques market. It has earned the reputation of being the book no dealer, collector or auctioneer should be without. Compiled by the late Judith Miller, world-renowned antiques expert and co-founder of the book, the guide features more than 8,000 antiques. Comprehensive sections cover Ceramics, Asian Antiques, Furniture, Glass, Silver and Metalwares, Jewellery and objets de vertu, Clocks and Watches, Books, Textiles, Toys, Decorative Arts and Modern Classics. Special features explain why one piece is worth more than another, show how to value an item and teach you to be your own valuer. Biographies of designers and factories give the background information you need to help date and value objects, while special 'Judith Picks' sections give fascinating background and valuation details for particularly interesting or unusual objects.",Antiques & Collectibles,596,N/A,0,en
The Antiques,Kris D'Agostino,Simon and Schuster,2017-01-10,"A family reunites after the death of its patriarch just as a hurricane tears through town in this “sparklingly funny novel about love, power, money, and adult siblings finding the beating heart of what matters most: one another” (People). On the night of a massive hurricane, three estranged siblings learn that their father is dying. For the first time in years, they convene at their childhood home in upstate New York, where the storm has downed power lines, flooded houses, and destroyed the family’s antique store. The Westfalls are no strangers to dysfunction. But never have their lives felt so out of control. Armie is living in their parents’ basement. In Manhattan, Josef, a sex-addicted techie, is struggling to repair his broken relationship with his daughters. Their sister, Charlie, who works in Hollywood as a publicist for a wayward young actress, just learned that her son has been expelled from preschool. Amid the storm, they come together to plan their father’s memorial service, only to learn his dying wish—they must sell his priceless Magritte painting. As their failures are laid bare, they discover that hope often lurks in the darkest of places. And so, too, can hilarity. Complete with an irresistible plot and deeply flawed, affectionately rendered characters, Kris D’Agostino’s “sharp, funny [novel] conveys the disorienting and ever-shifting effects of grief” (The New York Times) and the unexpected epiphanies that emerge in chaos. This “darkly humorous portrait of the American family under duress…balances scathing and humorous commentary on the foibles of family with keen insight” (Publishers Weekly). Perfect for “fans of funny family dysfunction novels like Jonathan Tropper’s This Is Where I Leave You...and Cynthia D’Aprix Sweeney’s The Nest” (Booklist), The Antiques is a heartbreaking, nimble, laugh-out-loud funny send-up of modern family life.",Fiction,304,N/A,0,en
Proceedings of the Conference Accounting and Economics,Martin Shubik,Routledge,2014-06-23,"First Published in 1996. Routledge is an imprint of Taylor & Francis, an informa company.",Business & Economics,842,N/A,0,en
Liste Thématique Des Descripteurs--sociologie,International Committee for Social Science Information and Documentation,Psychology Press,1989,A companion to the International Bibliography of The Social Sciences the Thematic list of descriptors will be a valuable tool for all those contributing to the development of information systems in the social sciences,Language Arts & Disciplines,498,N/A,0,en
Art Education,Walter Smith,BoD – Books on Demand,2023-03-22,"Reprint of the original, first published in 1872. The publishing house Anatiposi publishes historical books as reprints. Due to their age, these books may have missing pages or inferior quality. Our aim is to preserve these books and make them available to the public so that they do not get lost.",Fiction,498,N/A,0,en
"Art Education, Scholastic and Industrial",Walter Smith,N/A,1872,N/A,Art,570,N/A,0,en
Tariff Readjustment - 1929,United States. Congress. House. Committee on Ways and Means,N/A,1929,N/A,Tariff,1798,N/A,0,en
Tariff Readjustment,United States. Congress. House. Committee on Ways and Means,N/A,1929,N/A,Tariff,1796,N/A,0,en
Art & Industry in Early America,"Patricia E. Kane, Dennis Andrew Carr, Jennifer N. Johnson, Gary R. Sullivan, Nancy Goyne Evans",Yale University Press,2016-01-01,"This book presents new information on the export trade, patronage, artistic collaboration, and the small-scale shop traditions that defined early Rhode Island craftsmanship. This stunning volume features more than 200 illustrations of beautifully constructed and carved objects—including chairs, high chests, bureau tables, and clocks—that demonstrate the superb workmanship and artistic skill of the state’s furniture makers.",Antiques & Collectibles,509,N/A,0,en
Dog Antiques and Collectibles,Patricia Robak,Schiffer Military History Book,1999,"A remarkable array of accessible and affordable dog-related items, dating from the early 19th to the mid-20th centuries. From portraits to postcards, Staffordshire to celluloid, Berlin work to buttons, everything in this compendium of over 430 color photographs relates to dogs and the people who loved them. Also included are an essay tracing the popularity of various dog breeds over an 80-year period, values for all items, bibliography, and detailed index.",Pets,0,N/A,0,en
Insiders' Guide® to Connecticut,Eric D. Lehman,Rowman & Littlefield,2012-03-20,"Insiders' Guide to Connecticut is the essential source for in-depth travel information for visitors and locals to the Nutmeg State. Written by a local (and true insider), Insiders' Guide to Connecticut offers a personal and practical perspective of the state that makes it a must-have guide for travelers as well as residents looking to rediscover their home state.",Travel,421,N/A,0,en
Cult Pop Culture,Bob Batchelor,Bloomsbury Publishing USA,2011-12-07,"This three-volume collection of original essays examines cult pop culture, the often-seedy underbelly of American popular culture. Cult Pop Culture: How the Fringe Became Mainstream is the first collection dedicated to the quirky, offbeat aspects of American popular culture that people have loved, enjoyed, (and in some cases) worshiped over the last 50 years. By examining the people and subjects we hold most dear, this three-volume set offers deep insights into what Americans think, feel, and cherish. Organized by subject, the collection enables readers to focus on a given topic or compare different subjects across cult phenomenon. Volume One of the set covers film and television topics, Volume Two examines music and literature, and Volume Three explores sports, clubs, and the cult industry. Through this investigation of sublime, transcendent, and idiosyncratic trends, readers will learn more about iconic individuals, topics, and subjects that form the vast underbelly of American culture. By revealing how tightly interwoven cult topics are with the public's broader notion of popular culture, the collection underscores the blurry line between normal and abnormal, grandiose and degradation.",Social Science,895,N/A,0,en
