Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
American Architecture,Leland M. Roth,Routledge,2018-05-04,"More than fifteen years after the success of the first edition, this sweeping introduction to the history of architecture in the United States is now a fully revised guide to the major developments that shaped the environment from the first Americans to the present, from the everyday vernacular to the high style of aspiration. Eleven chronologically organized chapters chart the social, cultural, and political forces that shaped the growth and development of American towns, cities, and suburbs, while providing full description, analysis, and interpretation of buildings and their architects. The second edition features an entirely new chapter detailing the green architecture movement and architectural trends in the 21st century. Further updates include an expanded section on Native American architecture and contemporary design by Native American architects, new discussions on architectural education and training, more examples of women architects and designers, and a thoroughly expanded glossary to help today's readers. The art program is expanded, including 640 black and white images and 62 new color images. Accessible and engaging, American Architecture continues to set the standard as a guide, study, and reference for those seeking to better understand the rich history of architecture in the United States.",Architecture,1251,N/A,0,en
Architecture & Human Rights,Tiziana Panizza Kassahun,Niggli,2018,"Revealing how architects can use human rights as powerful tools for better, fairer urban planning - to create livable, sustainable cities of the future.",Architecture,0,N/A,0,en
The Black Skyscraper,Adrienne Brown,JHU Press,2017-11-15,"A highly interdisciplinary work, The Black Skyscraper reclaims the influence of race on modern architectural design as well as the less-well-understood effects these designs had on the experience and perception of race.",Architecture,277,N/A,0,en
Structure As Architecture,Andrew Charleson,Routledge,2006-08-11,"Structure As Architecture provides readers with an accessible insight into the relationship between structure and architecture, focusing on the design principles that relate to both fields. Over one hundred case studies of contemporary buildings from countries across the globe including the UK, the US, France, Germany, Spain, Hong Kong and Australia are interspersed throughout the book. The author has visited and photographed each of these examples and analyzed them to show how structure plays a significant architectural role, as well as bearing loads. This is a highly illustrated sourcebook, providing a new insight into the role of structure, and discussing the point where the technical and the aesthetic meet to create the discipline of ‘architecture’.",Architecture,237,N/A,0,en
Gibbs' Book of Architecture,James Gibbs,Courier Corporation,2013-05-23,"Gibbs's legendary 1728 folio includes perspectives and blueprints for such magnificent commissions as London's St. Martin in the Fields; the Senate House of the University of Cambridge; plus fine drawings of marble cisterns, iron gates, funeral monuments, and more.",Architecture,193,N/A,0,en
American Architecture and Urbanism,Vincent Scully,Trinity University Press,2013-04-29,"A classic book authored by the foremost architectural historian in America, this fully illustrated history of American architecture and city planning is based on Vincent Scully's conviction that architecture and city planning are inseparably linked and must therefore be treated together. He defines architecture as a continuing dialogue between generations which creates an environment across time. This definitive survey extends beyond the cities themselves to the American scene as a whole, which has inspired the reasonable balanced, closed and ordered forms, and above all the probity, that he feels typifies American architecture.",Architecture,277,N/A,0,en
Architecture and Theology,Murray Rae,N/A,2017,"The dynamic relationship between art and theology continues to fascinate and to challenge, especially when theology addresses art in all of its variety. In Architecture and Theology: The Art of Place, author Murray Rae turns to the spatial arts, especially architecture, to investigate how the art forms engaged in the construction of our built environment relate to Christian faith. Rae does not offer a theology of the spatial arts, but instead engages in a sustained theological conversation with the spatial arts. Because the spatial arts are public, visual, and communal, they wield an immense but easily overlooked influence. Architecture and Theology overcomes this inattention by offering new ways of thinking about the theological importance of space and place in our experience of God, the relation between freedom and law in Christian life, the transformation involved in God's promised new creation, biblical anticipation of the heavenly city, divine presence and absence, the architecture of repentance and remorse, and the relation between space and time. In doing so, Rae finds an ample place for theology amidst the architectural arts.",Architecture,0,N/A,0,en
A Pattern Book of New Orleans Architecture,Roulhac B. Toledano,Pelican Publishing,2010-02-11,"A study of historic architectural styles of New Orleans homes. This presentation of nineteenth-century gouache and watercolor archival paintings from the New Orleans Notarial Archives offers a glimpse at what old, renovated, restored, and new buildings in New Orleans neighborhoods not only might look like, but how they should look. Including examples of each New Orleans house type, ranging from the French colonial plantation home to the Creole cottage, this volume offers historic plans for each house along with contemporary adaptive-use alternatives to suit modern needs. An architectural pattern book, educational tool, city planner’s handbook, and stunning visual presentation, this gorgeous resource is intended for all interested in historic preservation and architectural history as well as those wishing to build a modern home in an authentic New Orleans style. Praise for A Pattern Book of New Orleans Architecture “An enchanting waltz through the heart of the Crescent City choreographed by the doyenne of New Orleans’ preservationists. [Toledano] presents two centuries of colored renderings from the New Orleans Notarial Archives in a stunning visual portrait of the city’s built heritage, while architect Gate Pratt’s pattern book of new homes designed in authentic styles provides an indispensable resource for rebuilding efforts. This work is destined to become the quintessential bible for historians, preservationists, architects, and all those interested in the true story of the architectural traditions that have shaped the ‘real’ New Orleans.” —Russell Versaci, AIA, traditional architect and author of Creating a New Old House and Roots of Home “For architects, builders, and developers working in the Crescent City, Roulhac B. Toledano’s A Pattern Book of New Orleans Architecture reveals an extraordinary new design resource. Toledano describes in detail the evolution of the city and the building types that have given the city a character unique in the world. Modern floor plans designed by local architects for historic house types demonstrate that the traditional architectural patterns of New Orleans are as accommodating today as in the past. For local practitioners and visitors wishing to build in New Orleans, Toledano’s pattern book is essential for sensitive and thoughtful design in this most exotic and precious city.” —Paul Ostergaard, AIA, Urban Design Associates, Pittsburgh, Pennsylvania",Architecture,257,N/A,0,en
Enterprise Security Architecture,Nicholas Sherwood,CRC Press,2005-11-15,Security is too important to be left in the hands of just one department or employee-it's a concern of an entire enterprise. Enterprise Security Architecture shows that having a comprehensive plan requires more than the purchase of security software-it requires a framework for developing and maintaining a system that is proactive. The book is based,Computers,597,N/A,0,en
Architecture and Disjunction,Bernard Tschumi,MIT Press,1996-02-28,"Avant-garde theorist and architect Bernard Tschumi is equally well known for his writing and his practice. Architecture and Disjunction, which brings together Tschumi's essays from 1975 to 1990, is a lucid and provocative analysis of many of the key issues that have engaged architectural discourse over the past two decades—from deconstructive theory to recent concerns with the notions of event and program. The essays develop different themes in contemporary theory as they relate to the actual making of architecture, attempting to realign the discipline with a new world culture characterized by both discontinuity and heterogeneity. Included are a number of seminal essays that incited broad attention when they first appeared in magazines and journals, as well as more recent and topical texts.Tschumi's discourse has always been considered radical and disturbing. He opposes modernist ideology and postmodern nostalgia since both impose restrictive criteria on what may be deemed ""legitimate"" cultural conditions. He argues for focusing on our immediate cultural situation, which is distinguished by a new postindustrial ""unhomeliness"" reflected in the ad hoc erection of buildings with multipurpose programs. The condition of New York and the chaos of Tokyo are thus perceived as legitimate urban forms.",Architecture,284,5,3,en
