Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
A Is for Art,Lanaya Gore,N/A,2016-07-18,N/A,,0,N/A,0,en
Air Guitar,Dave Hickey,Art Issues Press,1997,"Essays explore the influence of art in twentieth-century American culture, including jazz, basketball, professional wrestling, magic, gambling, entrepreneurship, series television and automotive design.",Art,222,4.5,2,en
You Are an Artist,Sarah Urist Green,Penguin,2020-04-14,"“There are more than 50 creative prompts for the artist (or artist at heart) to explore. Take the title of this book as affirmation, and get started.” —Fast Company More than 50 assignments, ideas, and prompts to expand your world and help you make outstanding new things to put into it Curator Sarah Urist Green left her office in the basement of an art museum to travel and visit a diverse range of artists, asking them to share prompts that relate to their own ways of working. The result is You Are an Artist, a journey of creation through which you'll invent imaginary friends, sort books, declare a cause, construct a landscape, find your band, and become someone else (or at least try). Your challenge is to filter these assignments through the lens of your own experience and make art that reflects the world as you see it. You don't have to know how to draw well, stretch a canvas, or mix a paint color that perfectly matches that of a mountain stream. This book is for anyone who wants to make art, regardless of experience level. The only materials you'll need are what you already have on hand or can source for free. Full of insights, techniques, and inspiration from art history, this book opens up the processes and practices of artists and proves that you, too, have what it takes to call yourself one. You Are an Artist brings together more than 50 assignments gathered from some of the most innovative creators working today, including Sonya Clark, Michelle Grabner, The Guerrilla Girls, Fritz Haeg, Pablo Helguera, Nina Katchadourian, Toyin Ojih Odutola, J. Morgan Puett, Dread Scott, Alec Soth, Gillian Wearing, and many others.",Self-Help,258,N/A,0,en
A Child's Book of Art,Lucy Micklethwait,DK Publishing (Dorling Kindersley),1993,"""An introduction to art that uses well-known works of art to illustrate familiar words"" -- Title page verso.",Art,0,N/A,0,en
Art,Patrick McDonnell,"Little, Brown Books for Young Readers",2008-12-14,A rhyming tribute to a budding young artist.,Juvenile Fiction,44,5,1,en
The Big Book of Tiny Art,Karen Libecap,Walter Foster Publishing,2016-10-24,"How small is small? In The Big Book of Tiny Art you’ll discover a dynamic collection of miniature artwork, most no bigger than a large coin, covering a wide range of subjects, from animals and food to people and places. Showcasing painting and drawing, this inspirational guidebook provides an up-close look at the art of the miniature. Learn to paint and draw your own tiny masterpieces as you follow the simple step-by-step instructions. Each section of the book includes a gallery of finished miniature artwork. Packed with amazing illustrations, The Big Book of Tiny Art is a feast for both the eyes and the creative spirit.",Art,211,N/A,0,en
Art as a Way of Life,Roderick MacIver,North Atlantic Books,2009,"""Examines the rewards, joys, and challenges of the creative life through the words of artists, writers, poets, and musicians""--Provided by publisher.",Aesthetics,102,N/A,0,en
Art in Chicago,"Maggie Taft, Robert Cozzolino",University of Chicago Press,2018-10-10,"For decades now, the story of art in America has been dominated by New York. It gets the majority of attention, the stories of its schools and movements and masterpieces the stuff of pop culture legend. Chicago, on the other hand . . . well, people here just get on with the work of making art. Now that art is getting its due. Art in Chicago is a magisterial account of the long history of Chicago art, from the rupture of the Great Fire in 1871 to the present, Manierre Dawson, László Moholy-Nagy, and Ivan Albright to Chris Ware, Anne Wilson, and Theaster Gates. The first single-volume history of art and artists in Chicago, the book—in recognition of the complexity of the story it tells—doesn’t follow a single continuous trajectory. Rather, it presents an overlapping sequence of interrelated narratives that together tell a full and nuanced, yet wholly accessible history of visual art in the city. From the temptingly blank canvas left by the Fire, we loop back to the 1830s and on up through the 1860s, tracing the beginnings of the city’s institutional and professional art world and community. From there, we travel in chronological order through the decades to the present. Familiar developments—such as the founding of the Art Institute, the Armory Show, and the arrival of the Bauhaus—are given a fresh look, while less well-known aspects of the story, like the contributions of African American artists dating back to the 1860s or the long history of activist art, finally get suitable recognition. The six chapters, each written by an expert in the period, brilliantly mix narrative and image, weaving in oral histories from artists and critics reflecting on their work in the city, and setting new movements and key works in historical context. The final chapter, comprised of interviews and conversations with contemporary artists, brings the story up to the present, offering a look at the vibrant art being created in the city now and addressing ongoing debates about what it means to identify as—or resist identifying as—a Chicago artist today. The result is an unprecedentedly inclusive and rich tapestry, one that reveals Chicago art in all its variety and vigor—and one that will surprise and enlighten even the most dedicated fan of the city’s artistic heritage. Part of the Terra Foundation for American Art’s year-long Art Design Chicago initiative, which will bring major arts events to venues throughout Chicago in 2018, Art in Chicago is a landmark publication, a book that will be the standard account of Chicago art for decades to come. No art fan—regardless of their city—will want to miss it.",Art,441,N/A,0,en
Asian American Art,Gordon H. Chang,Stanford General Books,2008,"Asian American Art: A History, 1850-1970 is a first-ever survey exploring the lives and artistic production of artists of Asian Ancestry active in the United States before 1970, and features ten essays by leading scholars, biographies of more than 150 artists, and more than 400 reproductions of artwork and photographs of artists, together creating compelling narratives of this heretofore forgotten American art history.",Art,578,N/A,0,en
Art in Cinema,"Scott MacDonald, Frank Stauffacher",Temple University Press,2006,Fascinating documentation of one of the most important film societies in American history.,Performing Arts,332,N/A,0,en
