Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Book,John Agard,Candlewick Press,2015,"Books contain countless tales--but what if Book told its own story? From clay tablets to e-readers, here is a quirky, kid-friendly look at the book. Books are one of humankind's greatest forms of expression, and now Book, in a witty, idiosyncratic voice, tells us the inside story. A wonderfully eccentric character with strong opinions and a poetic turn of phrase, Book tells of a journey from papyrus scrolls to medieval manuscripts to printed paper and beyond--pondering, along the way, many bookish things, including the evolution of the alphabet, the library (known to Egyptians as ""the healing place of the soul""), and even book burning. With bold, black-and-white illustrations by Neil Packer, Book is a captivating work of nonfiction by one of England's leading poets.",Juvenile Nonfiction,145,N/A,0,en
Book: My Autobiography,John Agard,Candlewick Press,2015-10-06,"Books contain countless tales—but what if Book told its own story? From clay tablets to e-readers, here is a quirky, kid-friendly look at the book. Books are one of humankind’s greatest forms of expression, and now Book, in a witty, idiosyncratic voice, tells us the inside story. A wonderfully eccentric character with strong opinions and a poetic turn of phrase, Book tells of a journey from papyrus scrolls to medieval manuscripts to printed paper and beyond—pondering, along the way, many bookish things, including the evolution of the alphabet, the library (known to Egyptians as ""the healing place of the soul""), and even book burning. With bold, black-and-white illustrations by Neil Packer, Book is a captivating work of nonfiction by one of England's leading poets.",Juvenile Nonfiction,146,N/A,0,en
Autobiography of a Face [Thirtieth Anniversary Edition],Lucy Grealy,HarperCollins,2024-12-03,"”So many memoirs make you feel that you’ve been sealed up inside a wall with a monomaniac. A really good one, like Autobiography of a Face, makes you feel there is more to ask and learn. You are not just seeing the writer; you are not trying to see yourself. You are seeing the world in a different way.”—Margo Jefferson Foreword by Suleika Jaouad, author of the New York Times bestseller Between Two Kingdoms A thirtieth-anniversary edition of Lucy Grealy’s celebrated memoir, a timeless exploration of identity, loneliness, the nature of beauty, and strength. Thirty years ago, Lucy Grealy’s Autobiography of a Face launched the young writer into the top echelons of contemporary literature, winning her both acclaim and fame. An incandescent tale of perseverance, humor, and deep introspection in the face of emotional and physical pain, her powerful memoir—as evocative and resonant today as it was in 1994—speaks to us across time. At age nine, Lucy Grealy was diagnosed with Ewing’s sarcoma, a potentially terminal cancer, undergoing years of chemotherapy that destroyed a third of her jawbone. When she eventually returned to school, she faced the cruel taunts of classmates. It took her twenty years of living with a distorted self-image and more than thirty years of reconstructive procedures before she began to come to terms with her appearance. This beautiful and timeless memoir is a tale of great suffering and remarkable strength told without sentimentality and with considerable wit. Grealy reflects on how cancer transformed her face and her life, and captures what it was like as a child and a young adult to be torn between wanting to be loved for who we are and desperately wishing to be perfect.",Biography & Autobiography,212,N/A,0,en
Kit Carson's Autobiography,Kit Carson,U of Nebraska Press,1966-01-01,"The legendary nineteenth-century figure relates his experiences as a scout, soldier, trapper, Indian fighter, explorer, and government agent.",Biography & Autobiography,228,5,1,en
The Book of Myself,"David Marshall, Carl Marshall",Hachette Books,2019-09-10,"Have you ever wanted to create your own autobiography or wished you could read about the life of a relative or friend? The Book of Myself is a do-it-yourself memoir that helps you record and preserve the experiences, relationships, and lessons that define you. Created by a grandson who wanted to capture his grandfather's life story for future generations, The Book of Myself offers 201 memory-evoking prompts on family, friends, and the journey you take through all of life's stages. It is the perfect way for you -- or someone close to you -- to record life's highlights and everyday moments that can slip through your fingers if not written down.",Reference,0,N/A,0,en
Ossie,"Ossie Guffy, Caryl Ledner",W. W. Norton,1971,N/A,Biography & Autobiography,232,N/A,0,en
Rod,Rod Stewart,Crown Archetype,2012-10-23,"The extraordinary life and career of music legend Rod Stewart, in his own words for the first time. With his soulful and singular voice, narrative songwriting, and passionate live performances Rod Stewart has paved one of the most iconic and successful music careers of all time. He was the charismatic lead singer for the trailblazing rock and roll bands The Jeff Beck Group and The Faces, and as a solo artist, the author of such beloved songs as ""Maggie May,"" ""Tonight’s the Night,"" ""Hot Legs,"" ""Da Ya Think I’m Sexy?,"" ""Young Turks,"" ""Forever Young,"" and ""You Wear It Well."" Now after more than five decades in the spotlight, he is finally ready to take a candid and romping look back at his life both on and off the stage. From his humble British roots to his hell-raising years on tour with his bandmates, not forgetting his great loves (including three marriages and eight children) and decades touring the world, Rod delivers a riveting ride through one of rock's most remarkable lives.",Biography & Autobiography,434,N/A,0,en
Something Like An Autobiography,Akira Kurosawa,Vintage,2011-07-27,"Translated by Audie E. Bock. ""A first rate book and a joy to read.... It's doubtful that a complete understanding of the director's artistry can be obtained without reading this book.... Also indispensable for budding directors are the addenda, in which Kurosawa lays out his beliefs on the primacy of a good script, on scriptwriting as an essential tool for directors, on directing actors, on camera placement, and on the value of steeping oneself in literature, from great novels to detective fiction."" --Variety ""For the lover of Kurosawa's movies...this is nothing short of must reading...a fitting companion piece to his many dynamic and absorbing screen entertainments."" --Washington Post Book World",Biography & Autobiography,241,N/A,0,en
Autobiography of a Restless Mind,Dee Hock,iUniverse,2012-12,"Volume 1 Autobiography of a Restless Mind is a fascinating, exceptionally diverse collection of observations and reflections written over the past twenty-five years by one of the most innovative thinkers, writers, and leaders of the past half century. Witty and wise, playful and profound, prophetic and immensely quotable, it is a companion no thinking, caring person should be without. Written in an unforgettable style reminiscent of Aurelius, Montaigne, Lao-Tse, and Bacon, it is a classic that will be read with pleasure and profit for generations to come.","Body, Mind & Spirit",265,N/A,0,en
Astounding Days,Arthur C. Clarke,Hachette UK,2011-09-29,"Arthur C. Clarke acquired his first science fiction magazine - a copy of Astounding Stories - in 1930, when he was 13. Immediately he became an avid reader and collector: and, soon enough, a would-be-writer. The rest is history. Now, in Astounding Days, he looks back over those impressed by him, discussing their scientific howlers, and their remarkable proportion of predictive bulls-eyes - and writing of his early life and career. Written with relaxed good humour, Astounding Days is full of fascinating comment and anecdote.",Fiction,287,N/A,0,en
Autobiography of a Yogi,Paramahansa Yogananda,The Floating Press,2009-01-01,"The autobiography of Paramahansa Yogananda (1893 - 1952) details his search for a guru, during which he encountered many spiritual leaders and world-renowned scientists. When it was published in 1946 it was the first introduction of many westerners to yoga and meditation. The famous opera singer Amelita Galli-Curci said about the book: ""Amazing, true stories of saints and masters of India, blended with priceless superphysical information-much needed to balance the Western material efficiency with Eastern spiritual efficiency-come from the vigorous pen of Paramhansa Yogananda, whose teachings my husband and myself have had the pleasure of studying for twenty years.""",Biography & Autobiography,860,5,1,en
Assata,Assata Shakur,Zed Books Ltd.,2016-02-15,"'Deftly written...a spellbinding tale.' The New York Times In 2013 Assata Shakur, founding member of the Black Liberation Army, former Black Panther and godmother of Tupac Shakur, became the first ever woman to make the FBI's most wanted terrorist list. Assata Shakur's trial and conviction for the murder of a white state trooper in the spring of 1973 divided America. Her case quickly became emblematic of race relations and police brutality in the USA. While Assata's detractors continue to label her a ruthless killer, her defenders cite her as the victim of a systematic, racist campaign to criminalize and suppress black nationalist organizations. This intensely personal and political autobiography reveals a sensitive and gifted woman. With wit and candour Assata recounts the formative experiences that led her to embrace a life of activism. With pained awareness she portrays the strengths, weaknesses and eventual demise of black and white revolutionary groups at the hands of the state. A major contribution to the history of black liberation, destined to take its place alongside The Autobiography of Malcolm X and the works of Maya Angelou.",Biography & Autobiography,329,N/A,0,en
Autobiography of a Disease,Patrick Anderson,Routledge,2017-06-09,"Autobiography of a Disease documents, in experimental form, the experience of extended life-threatening illness in contemporary US hospitals and clinics. The narrative is based primarily on the author’s sudden and catastrophic collapse into a coma and long hospitalization thirteen years ago; but it has also been crafted from twelve years of research on the history of microbiology, literary representations of illness and medical treatment, cultural analysis of MRSA in the popular press, and extended autoethnographic work on medicalization. An experiment in form, the book blends the genres of storytelling, historiography, ethnography, and memoir. Unlike most medical memoirs, told from the perspective of the human patient, Autobiography of a Disease is told from the perspective of a bacterial cluster. This orientation is intended to represent the distribution of perspectives on illness, disability, and pain across subjective centers—from patient to monitoring machine, from body to cell, from caregiver to cared-for—and thus makes sense of illness only in a social context.",Medical,315,N/A,0,en
Reading Autobiography,"Sidonie Smith, Julia Watson",N/A,2001,N/A,Biography & Autobiography,296,N/A,0,en
