Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Maggie Smith,Michael Coveney,Macmillan + ORM,2015-12-29,"“Steeped in theater history” this biography “seamlessly melds Smith’s personal and professional lives into an engrossing narrative” (Kirkus Reviews). No one does glamour, severity, girlish charm or tight-lipped witticism better than Dame Maggie Smith. Michael Coveney’s biography shines a light on the life and career of a truly remarkable performer, one whose stage and screen career spans six decades. From her days as a West End star of comedy and revue, Dame Maggie’s path would cross with those of the greatest actors, playwrights and directors of the era. Whether stealing scenes from Richard Burton, answering back to Laurence Olivier, or playing opposite Judi Dench in Breath of Life, her career can be seen as a ‘Who’s Who’ of British theatre. Her film and television career has been just as starry. From the title character in The Prime of Miss Jean Brodie and the meddling chaperone in A Room With a View to the Harry Potter films in which she played Minerva McGonagall (as she put it ‘Miss Jean Brodie in a wizard’s hat’) and the Best Exotic Marigold Hotel films in which she played the wise Muriel Donnelly, Smith has thrilled, engaged and made audiences laugh. As Violet Crawley, the formidable Dowager Countess of Downton Abbey she conquered millions more. Paradoxically she remains an enigmatic figure, rarely appearing in public. Michael Coveney’s absorbing biography, written with the actress’s blessing and drawing on personal archives, as well as interviews with immediate family and close friends, is a portrait of one of the greatest actors of our time.",Biography & Autobiography,467,N/A,0,en
A Biography of the Pixel,Alvy Ray Smith,MIT Press,2021-08-03,"The pixel as the organizing principle of all pictures, from cave paintings to Toy Story. The Great Digital Convergence of all media types into one universal digital medium occurred, with little fanfare, at the recent turn of the millennium. The bit became the universal medium, and the pixel--a particular packaging of bits--conquered the world. Henceforward, nearly every picture in the world would be composed of pixels--cell phone pictures, app interfaces, Mars Rover transmissions, book illustrations, videogames. In A Biography of the Pixel, Pixar cofounder Alvy Ray Smith argues that the pixel is the organizing principle of most modern media, and he presents a few simple but profound ideas that unify the dazzling varieties of digital image making. Smith's story of the pixel's development begins with Fourier waves, proceeds through Turing machines, and ends with the first digital movies from Pixar, DreamWorks, and Blue Sky. Today, almost all the pictures we encounter are digital--mediated by the pixel and irretrievably separated from their media; museums and kindergartens are two of the last outposts of the analog. Smith explains, engagingly and accessibly, how pictures composed of invisible stuff become visible--that is, how digital pixels convert to analog display elements. Taking the special case of digital movies to represent all of Digital Light (his term for pictures constructed of pixels), and drawing on his decades of work in the field, Smith approaches his subject from multiple angles--art, technology, entertainment, business, and history. A Biography of the Pixel is essential reading for anyone who has watched a video on a cell phone, played a videogame, or seen a movie. 400 pages of annotations, prepared by the author and available online, provide an invaluable resource for readers.",Computers,560,N/A,0,en
A Picture Book of George Washington,David A. Adler,Lerner Publishing Group,2018-01-01,"""A lively fife and drum playing Yankee-Doodle-Dandy welcome the listener...A narrative tone that is sincere and respectful and a slow, even pace afford the young listener time to absorb facts."" - AudioFile Magazine",Juvenile Nonfiction,32,N/A,0,en
E.B. White,Scott Elledge,W. W. Norton & Company,1986,"Here is a richly detailed and vivid biography of the man who wrote 'Charlotte's Web', 'The Trumpet of the Swan', and 'Stuart Little'; the writer whose style and humor were so important in distinguishing 'The New Yorker's' first thirty years. Included are some photographs and drawings, as well as manuscript facsimiles.",Biography & Autobiography,420,5,1,en
A Book of Verse,Garry Garrard,Sutton Publishing,2007,"Omar Khayyam's poetry is among the most familiar in the English language. A Book of Verse tells the engrossing and entertaining story of how the Rubaiyat of Omar Khayyam has provided delight and fascination for centuries, has inspired artists and musicians, and has transcended cultures.",Biography & Autobiography,304,N/A,0,en
How To Do Biography,Nigel Hamilton,Harvard University Press,2012-10-22,"It is not surprising that biography is one of the most popular literary genres of our day. What is remarkable is that there is no accessible guide for how to write one. Now, following his recent Biography: A Brief History (from Harvard), award-winning biographer and teacher Nigel Hamilton tackles the practicalities of doing biography in this first succinct primer to elucidate the tools of the biographerÕs craft. Hamilton invites the reader to join him on a fascinating journey through the art of biographical composition. Starting with personal motivation, he charts the making of a modern biography from the inside: from conception to fulfillment. He emphasizes the need to know oneÕs audience, rehearses the excitement and perils of modern research, delves into the secrets of good and great biography, and guides the reader through the essential components of life narrative. With examples taken from the finest modern biographies, Hamilton shows how to portray the ages of manÑbirth, childhood, love, lifeÕs work, the evening of life, and death. In addition, he suggests effective ways to start and close a life story. He clarifies the difference between autobiography and memoirÑand addresses the sometimes awkward ethical, legal, and personal consequences of truth-telling in modern life writing. He concludes with the publication and reception of biographyÑits afterlife, so to speak. Written with humor, insight, and compassion, How To Do Biography is the manual that would-be biographers have long been awaiting.",Language Arts & Disciplines,392,N/A,0,en
Auto Biography,Earl Swift,Harper Collins,2014-05-06,"A brilliant blend of Shop Class as Soulcraft and The Orchid Thief, Earl Swift's wise, funny, and captivating Auto Biography follows an outlaw auto dealer as he struggles to save a rusted '57 Chevy—a car that has already passed through twelve pairs of hands before his—while financial ruin, government bureaucrats and the FBI close in on him. Slumped among hundreds of other decrepit hulks on a treeless, windswept moor in eastern North Carolina, the Chevy evokes none of the Jet Age mystique that made it the most beloved car to ever roll off an assembly line. It's open to the rain. Birds nest in its seats. Officials of the surrounding county consider it junk. To Tommy Arney, it's anything but: It's a fossil of the twentieth-century American experience, of a place and a people utterly devoted to the automobile and changed by it in myriad ways. It's a piece of history—especially so because its flaking skin conceals a rare asset: a complete provenance, stretching back more than fifty years. So, hassled by a growing assortment of challengers, the Chevy's thirteenth owner—an orphan, grade-school dropout and rounder, a felon arrested seventy-odd times, and a man who's been written off as a ruin himself--embarks on a mission to save the car and preserve long record of human experience it carries in its steel and upholstery. Written for both gearheads and Sunday drivers, Auto Biography charts the shifting nature of the American Dream and our strange and abiding relationship with the automobile, through an iconic classic and an improbable, unforgettable hero.",Biography & Autobiography,403,N/A,0,en
Anna Freud,Elisabeth Young-Bruehl,Yale University Press,2008-10-01,"This new edition of the biography of pioneering child analyst Anna Freud includes, among other features, a major retrospective introduction by the author.",Biography & Autobiography,577,N/A,0,en
The Book of Genesis,Ronald Hendel,Princeton University Press,2019-09-10,"During its 2,500-year life, the book of Genesis has been the keystone to important claims about God and humanity in Judaism and Christianity, and it plays a central role in contemporary debates about science, politics, and human rights. The authors provide a panoramic history of this iconic book, exploring its impact on Western religion, philosophy, literature, art, and more.",Religion,302,N/A,0,en
The Book of Job,Mark Larrimore,Princeton University Press,2020-02-25,"The life and times of this iconic and enduring biblical book The book of Job raises stark questions about the meaning of innocent suffering and the relationship of the human to the divine, yet it is also one of the Bible's most obscure and paradoxical books. Mark Larrimore provides a panoramic history of this remarkable book, traversing centuries and traditions to examine how Job's trials and his challenge to God have been used and understood in diverse contexts, from commentary and liturgy to philosophy and art. Larrimore traces Job's reception by figures such as Gregory the Great, William Blake, and Elie Wiesel, and reveals how Job has come to be viewed as the Bible's answer to the problem of evil and the perennial question of why a God who supposedly loves justice permits bad things to happen to good people.",Religion,296,N/A,0,en
