Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Write for Life,Sheppard B. Kominars,N/A,2007,"Bringing the facts discovered by research on the healing benefits of writing into the daily perspective of self-discovery, this self-paced book offers a life-long adventure into living healthier and having more fun doing it.","Body, Mind & Spirit",275,N/A,0,en
"Body, Mind, and Sport",John Douillard,Harmony,2018-08-14,"Until recently, the effortless ""Zone"" of peak performance was only within the reach of serious athletes. Now, with Body, Mind, and Sport, anyone can reach the Zone, regardless of fitness level. Designed to accommodate a variety of individual fitness needs, the Body, Mind, and Sport program is split into two levels. Level 1 is for non-athletes who want to improve overall fitness; Level 2 is for those who want to train for competitive or recreational purposes. Your own unique mind-body type is taken into account to guide you in achieving your personal best without stress or strain. In this revised and updated edition of Body, Mind, and Sport, fitness expert and trainer John Douillard outlines a program in which your individual seasonal constitution-Winter, Spring, or Summer-determines what exercises or sports are best suited to your mind-body type and what foods you should eat for optimum results. Using the Body, Mind, and Sport approach you can decrease heart and breath rates while improving both fitness and performance. Dozens of world-class athletes, including Martina Navratilova and Billie Jean King, have used John Douillard's expert breathing techniques, dietary recommendations, and seasonally balanced workouts. Now you can, too!",Health & Fitness,274,N/A,0,en
"Body, Mind and Spirit","Elwood Worcester, Samuel McComb","New York ; London : C. Scribner's Sons, 1932 [c1931]",1931,N/A,Emmanuel movement,396,N/A,0,en
"Tai Chi for Body, Mind & Spirit",Eric Chaline,Weidenfeld & Nicolson,1998,"Begins with basic postures and, as you progress, gradually introduces the form - a rhythmic series of movements. Step-by-step colour photography and clear instructions guide you through each exercise and sequence.",Tai chi,127,N/A,0,en
Integrative Body-Mind-Spirit Social Work,Mo Yee Lee,Oxford University Press,2009-03-25,"In recent years, interest in non-Western curative techniques among Americans has grown by leaps and bounds. Integrative Body-Mind-Spirit Social Work is the first book to strongly connect Western therapeutic techniques with Eastern philosophy and practices, while also providing a comprehensive and pragmatic agenda for social work, and mental health professionals. This breakthrough text, written by a cast of highly regarded researchers from both Asia and America, presents a holistic, therapeutic approach that ties Eastern philosophy and practical techniques to Western forms of therapy in order to help bring about positive, transformative changes in individuals and families.Integrative therapy focuses on the mind-body-spirit relationship, recognizes spirituality as a fundamental domain of human existence, acknowledges and utilizes the mind's power as well as the body's, and reaches beyond self-actualization or symptom reduction to broaden a perception of self that connects individuals to a larger sense of themselves and to their communities. Here, the authors provide a pragmatic, step-by-step description of assessment and treatment techniques that employ an integrative, holistic perspective. They begin by establishing the conceptual framework of integrative body-mind-spirit social work, then expertly describe, step-by-step, assessment and treatment techniques that utilize integrative and holistic perspectives. Several case studies demonstrate the approach in action, such as one with breast cancer patients who participated in body-mind-spirit and social support groups and another in which trauma survivors used meditation to get onto a path of healing. These examples provide solid empirical evidence that integrative body-mind-spirit social work is indeed a practical therapeutic approach in bringing about tangible changes in clients. The authors also discuss ethical issues and give tips for learning integrative body-mind-spirit social work.Professionals in social work, psychology, counseling, and nursing, as well as graduate students in courses on integral, alternative, or complementary clinical practice will find this a much-needed resource that complements the growing interest in alternatives to traditional Western psychotherapy.",Political Science,417,N/A,0,en
"Yoga Mind, Body & Spirit",Donna Farhi,Holt Paperbacks,2011-04-01,"The author of Yoga Journal's most-read column presents the first holistic guide to yoga A user-friendly guide illustrated with 240 two-color photographs and illustrations, Yoga Mind, Body & Spirit sets forth the tenets of this gentle yet rigorous exercise as no other book has. Integrating the teachings of every tradition, internationally renowned yoga instructor Donna Farhi reveals how yoga enhances the connections between the mind, body, and spirit. She outlines the seven simple movement principles that underlie all human motion and provides exercises to help readers understand how they can achieve all yoga postures. She also discusses the ten ethical precepts that are the foundation of all yoga teachings and explains how to incorporate them into a spiritually and emotionally rewarding inner practice. At the heart of Yoga Mind, Body & Spirit are more than seventy-five yoga asanas or postures. Each is one pictured and described in detail, and they are arranged into related groups--including standing postures, sitting postures, arm balances, and breathing practices--or easy reference. A selection of yoga practices of varying lengths and levels of difficulty provides challenges and inspiration for beginner, intermediate, and advanced students. A huge resurgence of interest in yoga is sweeping the country. With its broad scope and holistic approach, Yoga Mind, Body & Spirit is the ideal book for today's mainstream audience.",Health & Fitness,292,5,1,en
Heal Yourself,Sandie Gascon,N/A,2021-08-13,"The body wants to return to balance. It just needs the tools to do so. Heal Yourself Mind Body Spirit helps you discover the messages your body is sending, and it also shares the tools to aid your body in healing itself. ""Part One: Body"" covers Sandie's whole-body approach to healing: rebuilding and rebalancing the body, removing stress, and addressing the root causes of chronic illness. All key systems in the body are covered, including functional laboratory test analysis to determine what support your body needs, and the forms of supplements that are right for you. Because everything in our body is connected, we must also focus on our mind and spirit in order to heal. When we change our negative thoughts, beliefs, and responses to ones that serve us, we remove a huge burden of stress from the body. ""Part Two: Mind"" dives deep into all areas of personal growth, from empowering language to the Laws of Attraction, building healthy relationships to wealth consciousness, and so much more. ""Part Three: Spirit"" is focused on meditations to help further your spiritual journey. Through meditation, you learn to become the observer of the body. From here suffering becomes optional, allowing you to shift to a vibration of peace where the body, mind and spirit can heal.",,292,N/A,0,en
"Mind, Body, Spirit",Mark Evans,N/A,2006,N/A,Alternative medicine,256,N/A,0,en
"Spirit, Soul, and Body",Andrew Wommack,Destiny Image Publishers,2018-12-18,"Have you ever asked yourself what changed when you were ""born again?"" You look in the mirror and see the same reflection - your body hasn't changed. You find yourself acting the same and yielding to those same old temptations - that didn't seem to change either. So you wonder, Has anything really changed? The correct...",Religion,149,5,1,en
"Mind, Body, Spirit And Discovering the Purpose of life",Diane Kurtz Calabrese,Balboa Press,2021-09-15,"The purpose of this book is offering every one of you who reads it the opportunity of having a clearer perspective of life.... God’s greatest gift... Life really is a miracle in itself and it is so easy to take that for granted. You are not here by chance; I can assure you that. You are God’s miracle, not by luck or chance... but by purpose. Each and every one of us are here for a divine reason. We are equally gifted by Jesus Christ our life force energy, by God. We are unique in our physical appearance as well as our spiritual essence. We have one soul that is on a journey to learn what it is like to live on the earth plane. And, this is the earth school. We are here for a very short period of time. Don’t leave here not recognizing what it is you came here for.","Body, Mind & Spirit",235,N/A,0,en
