Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Book On...Business from A to Z,C. Feiman MBA,Build It Backwards,2011-10,"Someone had to write it...and that's why we did. THE Book on . . . Business from A to Z; The 260 Most Important Answers You Need to Know is the result of trying to constantly answer clients' questions across a vast range of business topics. After frequent discussions about some of our most challenging engagements, the coauthors realized that we had one thing in common: Clients who were regularly asking questions about many areas beyond our individual areas of expertise. We did our individual best to answer them and/or put the clients in touch with other experts who could. However, we wanted to be able to go beyond this and to provide an ongoing resource for those questions that arise when we are not in front of our clients. We wanted to make a lasting resource for our past, present and future clients. The result is THE Book on . . . Business from A to Z; The 260 Most Important Answers You Need to Know. This book covers 26 of the most important business topics in the world today. Although each chapter is worthy of a complete book of its own, we have condensed each down to the 10 most frequently asked questions and their answers.",,310,N/A,0,en
"Book Business: Publishing Past, Present, and Future",Jason Epstein,W. W. Norton & Company,2011-02-07,"""An irresistible book about Grub Street, authorship and the literary marketplace.""—Washington Post Book World Jason Epstein has led arguably the most creative career in book publishing during the past half-century. He founded Anchor Books and launched the quality paperback revolution, cofounded the New York Review of Books, and created of the Library of America, the prestigious publisher of American classics, and The Reader's Catalog, the precursor of online bookselling. In this short book he discusses the severe crisis facing the book business today—a crisis that affects writers and readers as well as publishers—and looks ahead to the radically transformed industry that will revolutionize the idea of the book as profoundly as the introduction of movable type did five centuries ago.",Biography & Autobiography,203,N/A,0,en
So You Wanna: Start a Food or Beverage Business,Douglas Raggio,BenBella Books,2022-03-01,"A pick-your-own-path guide to launching and sustaining a successful food or beverage business The specialty food and beverage business is a thriving industry, and the barriers to entry are low: all you need is a recipe idea and a place to make it. It sounds simple, but launching a food or beverage company is a maze of choices and consequences. Douglas Raggio has been there, both as a food business founder and as a consultant to other successful start-ups, and he’s come to learn that every choice a food founder makes has a fairly predictable outcome. In So You Wanna: Start a Food or Beverage Business, he helps you think through the many decisions you’ll make along the road from idea to success—whether you see yourself building a following at your farmer’s market, partnering with a local restaurant, or launching the next Pepsi. This innovative guide follows four archetypal food start-ups that cover a range of business ideas and founders. Every few pages, you’ll make crucial decisions about the next step to take in growing a hypothetical business. You’ll have a chance to see how each choice is likely to play out before you try out anything in the real world, where the stakes are higher. In this book, you’ll see the maze of choices and outcomes that go into: Coming up with an exciting, profitable new product Funding your start-up Conducting market research Pricing and producing to scale Establishing partnerships, promotions, and branding Deciding when to keep going—and when to fold By understanding the perils and pleasures of this fast-growing industry, you will be able to approach your own business with confidence, make the decisions that feel right to you, and avoid the most common pitfalls along the way.",Business & Economics,241,N/A,0,en
Big Business,Tyler Cowen,St. Martin's Press,2019-04-09,"An against-the-grain polemic on American capitalism from New York Times bestselling author Tyler Cowen. We love to hate the 800-pound gorilla. Walmart and Amazon destroy communities and small businesses. Facebook turns us into addicts while putting our personal data at risk. From skeptical politicians like Bernie Sanders who, at a 2016 presidential campaign rally said, “If a bank is too big to fail, it is too big to exist,” to millennials, only 42 percent of whom support capitalism, belief in big business is at an all-time low. But are big companies inherently evil? If business is so bad, why does it remain so integral to the basic functioning of America? Economist and bestselling author Tyler Cowen says our biggest problem is that we don’t love business enough. In Big Business, Cowen puts forth an impassioned defense of corporations and their essential role in a balanced, productive, and progressive society. He dismantles common misconceptions and untangles conflicting intuitions. According to a 2016 Gallup survey, only 12 percent of Americans trust big business “quite a lot,” and only 6 percent trust it “a great deal.” Yet Americans as a group are remarkably willing to trust businesses, whether in the form of buying a new phone on the day of its release or simply showing up to work in the expectation they will be paid. Cowen illuminates the crucial role businesses play in spurring innovation, rewarding talent and hard work, and creating the bounty on which we’ve all come to depend.",Business & Economics,270,N/A,0,en
Agile Business,Bob Gower,Rally Software,2013-05-01,"An introduction to Agile development from a business perspective. This book contains practical real-world advice from over 30 coaches, executives, developers and managers who are actively using Agile in their organizations and helping others achieve Agility.",Business & Economics,260,4,1,en
Doing Business by the Good Book,"David L. Steward, Robert L. Shook",Hachette Books,2012-04-24,"An indispensable volume that shows how to succeed in business by using the Bible and its lessons as a source of inspiration and guidance n 1990, David L. Steward founded his company, Worldwide Technology, Inc., on a shoestring budget and borrowed money, well aware of the high-risk nature of the venture he was undertaking. Despite the fact that he was a novice entrepreneur, he was certain he would succeed. Steward believed intensely that God wouldn't let him down. Doing Business by the Good Book shares the inspiring lessons culled straight from the Bible, that Steward used to build his privately held billion-dollar company into a global information technology enterprise.",Business & Economics,223,N/A,0,en
Bootstrap Business,"Rich Christiansen, Ron E. Porter",N/A,2009-03,"This book is one of the most practical, sound and wise investments you will ever make in your small business. It explains Rich & Ron's process to take a $5,000 investment and bootstrap a successful company. Build a business from where you are. Avoid the big mistakes that kill most businesses. Secure your future financially while maintaining a balanced lifestyle. Bootstrap Business is a self-contained book that explores Rich & Ron's experiences in launching companies. 28 attempts, 10 miserable failures, 8 multi-million dollar successes. Hard work is required. You can do it. Bootstrap Business teaches you how.",Business,0,N/A,0,en
Small Business Cash Flow,Denise O'Berry,John Wiley & Sons,2010-12-28,"Many small business owners don’t understand the importance of maintaining a healthy cash flow. More than anything else, cash flow determines the success or failure of a small business. Small Business Cash Flow covers all the basics of cash flow, from selecting a great accountant, to keeping money flowing in and out of the business, to budgeting and record-keeping.",Business & Economics,228,N/A,0,en
Sell Your Business: A Guide to Selling Your Business for More Money (How to Sell Your Business to a Private Equity Firm What You Need to Know),Richard Enriquez,Richard Enriquez,101-01-01,"You may know that alternative asset funds, such as hedge funds or private equity funds, are some of the most profitable and competitive in the industry. But one area that doesn't receive much focus is the fundraising process itself. Raising funds (usually, from institutions) is a very secretive and exclusive process, and knowledge of it hasn't been public for some time. That is, until now. In this book, we will shed light on how institutional fundraising works. How funds are marketed, sold, how information is provided in data rooms, what is actually sold, and how allocations are closed. You’ll learn: • How to find crafts that make money from crochet, sewing, woodworking, candle making, soap, jewelry, pottery, polymer clay, art, metal work and many others • Pro tips for selling on etsy, amazon handmade, ebay.com, with shopify • Discover how to set up shops on facebook, instagram, and pinterest • How to post your product listing on multiple channels at the same time • Methods for using seo to draw in shoppers looking for products like yours This book gives you the checklist of items that you can work on to evaluate your company. Once you have worked through the list, it will gives you an insight into how to maximise the value prior to selling the company. A company's valuation is the amount of money that a company is worth and can be calculated in a number of ways. If a company wants to maximise its valuation, there are several steps it can take.",Business & Economics,95,N/A,0,en
Turning African Agriculture into a Business A Reader,OECD,OECD Publishing,2009-08-13,African agriculture is a sleeping giant. Agribusiness remains in its infancy in most sub-Saharan African countries. Many of them now pay higher prices for imported food products and struggle to keep inflationary pressures under control. Given the ...,,63,N/A,0,en
Business--a Profession,Louis Dembitz Brandeis,N/A,1914,N/A,Business & Economics,400,N/A,0,en
Mind Your Own Business,Sidney Harman,Crown Currency,2003-10-28,"“The maverick’s way of conducting business forswears the leader as commanding general; it rejects the practice of top-down, authoritative command. Rather, it proposes the leader as catalyst, conscience, and inspirer . . . The true leader sees his job as setting an environment in which new ideas can emerge that neither he nor any other individual anticipated. That leap of imagination, that moment of genuine creativity, can only be inspired by a leader who encourages exploration and shows a willingness to consider a totally new approach.” --from Mind Your Own Business The corporate misdeeds of self-serving executives during the high-octane economy of the 1990s have forced many people to rethink the qualities that make a strong leader. For sixty years, Sidney Harman, the chairman and CEO of the world’s premier manufacturer of high-end audio equipment, has stood apart from the crowd, building his business the old-fashioned way, by satisfying customers and, in doing so, making a healthy profit. His refreshingly employee-centric, bottoms-up approach to business is the secret of Harman International’s continuing success. In Mind Your Own Business, Harman shares his visionary ideas about leadership, providing a welcome contrast to the bad behavior of business leaders recently dominating the news. Harman focuses on creating a culture of personal responsibility throughout his company. He likens his top management team to a jazz quartet that listens to and improvises with one another to create harmony. He stresses the need to do more for workers at every level because employees are the company’s most valuable asset. At Harman International, he has established in-house classrooms to teach English, basic math, health, and music, and encourages his employees to pursue their potential. Now a hale and healthy eighty-five, Harman thinks that “an idea a day” is more important than the proverbial apple and that the key to a long life is a restless curiosity. In the bestselling tradition of Max DePree’s Leadership Is an Art, Mind Your Own Business is a frank, no-nonsense guide for those who want to bring strength, vitality, and values to their businesses—and to their lives.",Business & Economics,210,4,1,en
None of Your Business: A Winning Approach to Turn Service Providers Into Entrepreneurs,"Lacey Book, Shawn Dill",Lioncrest Publishing,2019-04-05,"When you provide a service you believe in-one with the power to change lives for the better-you'll approach your work with a sense of joy. The business side of things, however, might be a different story. Most of us weren't taught how to run a business when we learned our craft, so a few years in, you might be short on clients and light on revenue. The thought of marketing yourself to attract new business feels like a step outside of integrity you don't want to make. It doesn't have to be this way, though.When you learn how to communicate your value to the world, everything changes. In None of Your Business, Shawn Dill and Lacey Book share strategies on marketing, sales, mindset, and entrepreneurship that will help you reach more people, grow your business, and create the lifestyle you've always dreamed about. You'll see that adding new clients is about sharing your heart and learn that success is not about taking from the world, but rather giving back what you get to support those who supported you.",Business & Economics,160,N/A,0,en
Love as a Business Strategy,"Mohammad F Anwar, Frank E Danna, Jeffrey F Ma",Lioncrest Publishing,2021-04-09,"To increase revenue, improve customer experience, and develop higher-performing teams, it's time for leaders to stop looking for quick fixes to complex business problems and start building a culture of love. Yes, love. Anchored by Softway's own transformational journey, Love as a Business Strategy offers a new, people-first framework for achieving any business outcome-written by folks that aren't fans of run-of-the-mill business books. As a matter of fact, Love as a Business Strategy is so chock-full of real-world examples of mistakes, heartbreak, and redemption that it reads more like a juicy exposé than a business book. Love as a Business Strategy steers clear from piety and theoretical concepts and instead shares grounded stories of resilient people running a real business. A business, as you'll come to find out, that was on the brink of disaster before 'love' took hold. Love As A Business Strategy doesn't preach or mislead, rather it lays out the blueprints for better business outcomes-like better employee engagement, enhanced patient experiences, and increased efficiency-then walks you through it step-by-step. A better way of doing business is possible. The workplace revolution has arrived. Love as a Business Strategy will help you ditch the status quo, embrace humanity, and achieve lasting success.",,332,N/A,0,en
