Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
C++ for Business Programming,John C. Molluzzo,Prentice Hall,2006,"This book provides a highly readable introduction to C++ programming for beginning business programmers. It guides readers through complete and clear descriptions of sample programs, with a wealth of exercises included along the way to help reinforce the important points of each chapter. Throughout the text, a strong emphasis is placed on business applications, rather than those in mathematics or computing. Part I (Basic C++) covers the procedural parts of C++. Part II (Object-Oriented Concepts and Programming) introduces object-oriented ideas through the built-in string class. Part III (Object-Oriented Programming) explores the essential object-oriented ideas through inheritance and polymorphism. For beginning programmers using C++ for business.",Computers,848,N/A,0,en
C-Scape,Larry Kramer,Harper Collins,2010-11-02,"“[Larry Kramer’s] MarketWatch.com is not just my favorite business website, it’s my personal homepage.” —Warren Buffett “[Larry Kramer] is the toughest and most ethical foe imaginable. His observations reflect a deep understanding of how the media works and what consumers want.” —Jim Cramer From Larry Kramer, the founder of MarketWatch.com and former president of CBS Digital Media, comes a bold, pioneering report on what businesses must do to survive and thrive in the digital media revolution. Using case studies of companies such as Apple, Procter & Gamble, Netflix, and GE, Kramer not only draws a clear map of twenty-first century commerce, but charts the way forward. Readers wondering how to implement digital-age business strategies like those found in Clay Shirky’s Here Comes Everybody, Chris Anderson’s The Long Tail, or Jeff Jarvis’ What Would Google Do, look no further than Kramer’s groundbreaking C-Scape.",Business & Economics,248,N/A,0,en
Business Communication,Jonah C. Pardillo,Society Publishing,2018-12,"Business communication examines various aspects of communication in business including an extensive historical overview and introduction of business communication and overcoming barriers to communication. It includes definitions of internal communication, external communication along with oral communication that talks about the power of speech. Provides the reader with insights into the development of its history, so as to understand the business communication and the role writing skills play in an effective business communication along with various applications of business communication in cross-cultural communications.",Business & Economics,0,N/A,0,en
Business Not As Usual,Sharon C. Cooper,Penguin,2022-04-05,"A woman learns the hard way about mixing business with pleasure in this hilarious new romantic comedy by USA Today bestselling author Sharon C. Cooper. I am beautiful. I am confident. I am lovable. I am a lottery winner. This is the mantra that will get Dreamy Daniels through each day until she makes it big. So what if she lives in a seedy part of Los Angeles in a house that’s one earthquake away from crumbling, or works an unfulfilling secretarial job while struggling to finish her bachelor’s degree? All Dreamy needs to do is win the lottery, which she’s been entering in as a weekly tradition with her grandfather. When she catches the attention of her boss’s potential investor, Dreamy has to remind herself to focus on her career goals so she can be her own boss. Who cares if he has the social grace of the Duke of Sussex and the suaveness of Idris Elba? No distractions allowed. Growing up with a father who is an A-list actor and a socialite mother, venture capitalist Karter Redford lives in the world of the rich and famous. Instead of attending movie premieres, however, he prefers spending his time helping the less fortunate, backing start-up companies and investing in cutting edge ideas. Karter is used to his life revolving around work, but when he decides he wants someone to share it with, he falls for someone his mother would never approve of: hilarious, quirky Dreamy, who has goals of her own…but also isn’t a wealthy, upper-crust socialite. Though it’s clear they’re from different worlds, their relationship might just be his greatest investment yet.",Fiction,321,N/A,0,en
Introduction to Business,"Lawrence J. Gitman, Carl McDaniel, Amit Shah, Monique Reece, Linda Koffel, Bethann Talsma, James C. Hyatt",,2024-09-16,"Introduction to Business covers the scope and sequence of most introductory business courses. The book provides detailed explanations in the context of core themes such as customer satisfaction, ethics, entrepreneurship, global business, and managing change. Introduction to Business includes hundreds of current business examples from a range of industries and geographic locations, which feature a variety of individuals. The outcome is a balanced approach to the theory and application of business concepts, with attention to the knowledge and skills necessary for student success in this course and beyond. This is an adaptation of Introduction to Business by OpenStax. You can access the textbook as pdf for free at openstax.org. Minor editorial changes were made to ensure a better ebook reading experience. Textbook content produced by OpenStax is licensed under a Creative Commons Attribution 4.0 International License.",Business & Economics,1455,N/A,0,en
Like Nobody's Business,Andrew C. Comrie,Open Book Publishers,2021-02-23,"How do university finances really work? From flagship public research universities to small, private liberal arts colleges, there are few aspects of these institutions associated with more confusion, myths or lack of understanding than how they fund themselves and function in the business of higher education. Using simple, approachable explanations supported by clear illustrations, this book takes the reader on an engaging and enlightening tour of how the money flows. How does the university really pay for itself? Why do tuition and fees rise so fast? Why do universities lose money on research? Do most donations go to athletics? Grounded in hard data, original analyses, and the practical experience of a seasoned administrator, this book provides refreshingly clear answers and comprehensive insights for anyone on or off campus who is interested in the business of the university: how it earns its money, how it spends it, and how it all works.",Education,422,N/A,0,en
LA/C Business Bulletin,,N/A,1991,N/A,Caribbean Area,352,N/A,0,en
"A History of Socially Responsible Business, c.1600–1950","William A Pettigrew, David Chan Smith",Springer,2017-10-26,"This book examines the changing reciprocal relationships between corporations and their various social obligations over the very long term - from the seventeenth to the twentieth century. Chapters from emerging and established business historians assess the full range of social obligations that corporations held historically. By adopting an innovative methodological approach that is long-term and comparative, this book offers a challenge to the literature on corporate history and will be of interest to researchers and academics in the field of finance and business history.",Business & Economics,320,N/A,0,en
The Code of Federal Regulations of the United States of America,,N/A,1969,The Code of Federal Regulations is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government.,Administrative law,268,N/A,0,en
The War on Small Business,Carol Roth,HarperCollins,2021-06-29,"For years, government bureaucrats have been looking for ways to destroy small businesses. With coronavirus, they finally had their chance. In 2020, the American economy suffered the biggest financial collapse in history. But while Main Street suffered like never before, the stock market continued to reach new highs. How could this be?The answer is that government had slapped oppressive restrictions on small businesses while propping up Wall Street and engineering a historic consolidation of power and wealth. This isn’t a new problem. During the last financial crisis, Washington bailed out large banks, saying they were “too big to fail.” When the federal government finally pushed out the CARES Act in 2020, it clearly favored the wealthy and well-connected, showing that small businesses were too small to matter. People across the political spectrum constantly complain about the tyranny of big business, and they’re not wrong. However, too many think government is the solution. In reality, government is the problem. In The War on Small Business, entrepreneur Carol Roth unveils the many abuses of power inflicted on small businesses during the COVID-19 pandemic. Small business owners were thrown in jail for trying to make a living. Individual rights were discarded. Big government did what it does best—intentionally protect the rich and powerful. This is the most underreported story coming out of the pandemic. The government chose winners and losers, who would thrive and who would fight to survive, based on not data or science, but based on clout and connections. This enabled the government, with the aid of the Federal Reserve, to oversee the largest wealth transfer in history from Main Street to Wall Street. The issues started long ago and continue today with a highly tilted playing field that favors those “in the club” to the detriment of the average Americans. This book is about the Davids vs. the Goliaths and the decentralization that can help the small, independent businesses and individuals participate in wealth creation. If Americans don’t wake up and stop it, politicians will continue to produce policies that intensify their war on small business and individuals and all that stands in the way of centralized power and control.",Political Science,380,N/A,0,en
