Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Pool and Billiard Collectibles,"Mark Stellinga, Mark & Connie Stellinga",Schiffer Book for Collectors,2003,"Over 700 color photographs display pool and billiard collectibles from the 18th - 20th centuries. Included balls and boxes, cues, racks, triangles, scorekeepers, chairs and lights, chalks, medals, historic photos, matchbox holders, matchsafes, pocket mirrors, advertisements, catalog pages, and 90 pool and billiard tables. Values are with the captions.",Sports & Recreation,0,N/A,0,en
Free Stuff for Collectors on the Internet,"Judy Heim, Gloria Hansen",C&T Publishing Inc,2000,"Antiquers, nostalgia buffs, and memorabilia collectors of all types will welcome the great leads offered in this guide to finding free Internet information on the ins and outs of collecting in numerous specialized areas. 80 illustrations.",Antiques & Collectibles,180,N/A,0,en
Motorcycle Collectibles,Leila Dunbar,Schiffer Pub Limited,1996,"Mementos of the past 95 years of motorcycling displayed and discussed, from advertising art and photos to dealer jewelry and motorcycle toys. Collectibles from legendary companies Harley Davidson and Indian abound. Color photos present the range of materials available to everyone who hears the call of the open road.",Antiques & Collectibles,215,N/A,0,en
Ocean Liner Collectibles,Myra Yellin Outwater,Schiffer Book for Collectors,1998,"Catalog of ship related collectibles such as gifts, plates, promotional materials, and various ephemera.",Antiques & Collectibles,0,N/A,0,en
The Hoarders,Scott Herring,University of Chicago Press,2014-11-09,"The verb “declutter” has not yet made it into the Oxford English Dictionary, but its ever-increasing usage suggests that it’s only a matter of time. Articles containing tips and tricks on how to get organized cover magazine pages and pop up in TV programs and commercials, while clutter professionals and specialists referred to as “clutterologists” are just a phone call away. Everywhere the sentiment is the same: clutter is bad. In The Hoarders, Scott Herring provides an in-depth examination of how modern hoarders came into being, from their onset in the late 1930s to the present day. He finds that both the idea of organization and the role of the clutterologist are deeply ingrained in our culture, and that there is a fine line between clutter and deviance in America. Herring introduces us to Jill, whose countertops are piled high with decaying food and whose cabinets are overrun with purchases, while the fly strips hanging from her ceiling are arguably more fly than strip. When Jill spots a decomposing pumpkin about to be jettisoned, she stops, seeing in the rotting, squalid vegetable a special treasure. “I’ve never seen one quite like this before,” she says, and looks to see if any seeds remain. It is from moments like these that Herring builds his questions: What counts as an acceptable material life—and who decides? Is hoarding some sort of inherent deviation of the mind, or a recent historical phenomenon grounded in changing material cultures? Herring opts for the latter, explaining that hoarders attract attention not because they are mentally ill but because they challenge normal modes of material relations. Piled high with detailed and, at times, disturbing descriptions of uncleanliness, The Hoarders delivers a sweeping and fascinating history of hoarding that will cause us all to reconsider how we view these accumulators of clutter.",Psychology,198,N/A,0,en
Dog Antiques and Collectibles,Patricia Robak,Schiffer Military History Book,1999,"A remarkable array of accessible and affordable dog-related items, dating from the early 19th to the mid-20th centuries. From portraits to postcards, Staffordshire to celluloid, Berlin work to buttons, everything in this compendium of over 430 color photographs relates to dogs and the people who loved them. Also included are an essay tracing the popularity of various dog breeds over an 80-year period, values for all items, bibliography, and detailed index.",Pets,0,N/A,0,en
Pac-Man*r Collectibles,Deborah Palicia,Schiffer Pub Limited,2002,"From its introduction in 1980, Pac-Man has been the favorite of millions of video gamesters. In the wake of its popularity has come a stream of Pac-Man products that were gobbled up by its fans. Here are many of the products shown in 415 color photographs with complete descriptions and prices, and covering everything from the games themselves to plush Pac-Man figures, from magazines and puzzles to videos and animation cels.",Games,160,N/A,0,en
#700 Heritage Sports Collectibles Golf Auction Catalog,Ivy Press,Heritage Capital Corporation,2004-04,N/A,Antiques & Collectibles,80,N/A,0,en
An Unauthorized Guide to Godzilla Collectibles,Sean Linkenback,Schiffer Publishing,1998,"Godzilla first rampaged across Japan's silver screen in 1954 and America's theaters in 1956. This book captures the range of Godzilla collectibles in comprehensive listings and over 570 color photographs, including animation cels, badges, banks, posters, toys, trading cards, and more with collecting tips and listing of top manufacturers of Godzilla toys, posters, and vinyl figures.",Godzilla (Fictitious character),0,N/A,0,en
The Savvy Investor’s Guide to Building Wealth Through Alternative Investments,"H. Kent Baker, Greg Filbeck, Andrew C. Spieler",Emerald Group Publishing,2021-07-13,The Savvy Investor's Guide to Building Wealth Through Alternative Investments is written for investors familiar with traditional investments but with limited knowledge of alternative assets and strategies. This book attempts to remove some of the mystery surrounding these investments.,Business & Economics,117,N/A,0,en
"WALNECK'S CLASSIC CYCLE TRADER, AUGUST 2002","Causey Enterprises, LLC","Causey Enterprises, LLC",N/A,N/A,,214,N/A,0,en
"A Beginner's Guide to High-Risk, High-Reward Investing",Robert Ross,Simon and Schuster,2022-05-10,"Make the best choices for your money and earn big with this guide to high-risk, high-reward investment strategies including options trading, investing in meme stocks, and the business of cryptocurrency. Your favorite sites are filled with the latest investment trends and stories of other people making bank by making smart moves in the market. But how can you get your own share of the wealth? A Beginner’s Guide to High-Risk, High-Reward Investing can help you make sense of trends, from short selling to cryptocurrency and “meme stock,” breaking down the buzzwords to give you hard facts about the opportunities and risks of fringe investment strategies. With advice from expert Robert Ross, this easy-to-follow investing guide gives you everything you need to determine which high-risk, high-reward investment strategies are the best fit for your portfolio.",Business & Economics,256,N/A,0,en
HSA Heritage Auctions Rare Books Auction Catalog #6030,James Gannon,Heritage Capital Corporation,2009-09,N/A,Antiques & Collectibles,314,N/A,0,en
The Perfect Store,Adam Cohen,Hachette UK,2008-12-14,"When Pierre Omidyar launched a clunky website from a spare bedroom over Labor Day weekend of 1995, he wanted to see if he could use the Internet to create a perfect market. He never guessed his old-computer parts and Beanie Baby exchange would revolutionize the world of commerce. Now, Adam Cohen, the only journalist ever to get full access to the company, tells the remarkable story of eBay's rise. He describes how eBay built the most passionate community ever to form in cyberspace and forged a business that triumphed over larger, better-funded rivals. And he explores the ever-widening array of enlistees in the eBay revolution, from a stay-at-home mom who had to rent a warehouse for her thriving business selling bubble-wrap on eBay to the young MBA who started eBay Motors (which within months of its launch was on track to sell $1 billion in cars a year), to collectors nervously bidding thousands of dollars on antique clothing-irons. Adam Cohen's fascinating look inside eBay is essential reading for anyone trying to figure out what's next. If you want to truly understand the Internet economy, The Perfect Store is indispensable.",Business & Economics,245,N/A,0,en
Bold Wealth,Azhar ul Haque Sario,epubli,2024-11-30,"Bold Wealth: Unconventional Strategies for Alternative Investments This book explores the world of non-traditional investments, guiding you towards profitable and responsible decisions. It covers over two dozen platforms, simplifying complex concepts like hedge funds, private equity, REITs, cryptocurrencies, and more. Each investment category is analyzed in-depth, including its dynamics, risks, strengths, and practical investment methods. Real-world scenarios, success stories, and statistical analysis enhance understanding. ""Bold Wealth"" helps you capitalize on alternative investments, building wealth and financial security. It also provides insights into future market trends, offering anchors of security even in uncertain times.",Business & Economics,575,N/A,0,en
CFP Certification Exam Practice Question Workbook,Matthew Brandeburg,Coventry House Publishing,2019-04-10,"CFP Certification Exam Practice Question Workbook provides 1,000 comprehensive practice questions to prepare you for the demanding CFP Certification Exam. Master exam topics with intensive practice in the areas you'll find on the test. All questions are test-level difficulty and focused solely on helping you pass. Whether you're challenging the exam for the first time or trying again after an unsuccessful attempt, you will learn the skills needed to master the exam. Included are exams for the following topics: • General Principles • Insurance • Tax Planning • Investments • Retirement & Employee Benefits • Estate Planning This innovative workbook includes: • Two separate 200 question comprehensive practice exams • Formulas and keystrokes to master the math you'll face on the exam • Detailed solutions to all questions to pinpoint your strengths and weaknesses",Education,402,N/A,0,en
HSA Heritage Auctions Space Exploration Auction Catalog #6033,Marsha Dixey,Heritage Capital Corporation,2009-09,N/A,Antiques & Collectibles,118,N/A,0,en
"HSA Heritage Auctions Arms, Militaria and Civil War Auction Catalog #6050, Dallas, TX",Marsha Dixey,Heritage Capital Corporation,2010-11,N/A,Antiques & Collectibles,240,N/A,0,en
"WALNECK'S CLASSIC CYCLE TRADER, MAY 2002","Causey Enterprises, LLC","Causey Enterprises, LLC",N/A,N/A,,204,N/A,0,en
Journal of the House of Representatives of the United States,United States. Congress. House,N/A,1997,"Some vols. include supplemental journals of ""such proceedings of the sessions, as, during the time they were depending, were ordered to be kept secret, and respecting which the injunction of secrecy was afterwards taken off by the order of the House.""",Legislation,1874,N/A,0,en
"Heritage Currency Auctions, CSNS Signature Auction Catalog #406",Ivy Press,Heritage Capital Corporation,2006-03,N/A,Antiques & Collectibles,468,N/A,0,en
Comparison of Differing Revenue Provisions of the Revenue Reconciliation Act of 1989 (H.R. 3299) as Passed by the House and the Senate,,N/A,1989,N/A,Income tax,204,N/A,0,en
FBI Law Enforcement Bulletin,,N/A,1993,N/A,Crime,444,N/A,0,en
Put Your House on a Diet,"Sheree Byofsky, Rita Rosenkranz",Rodale,2005-09-03,"Presents strategies on how to overcome home clutter challenges in a room-by-room format, sharing dozens of inexpensive, easy-to-implement suggestions on how to eliminate unwanted items and change clutter-accumulating behaviors. Original.",House & Home,390,N/A,0,en
Collectibles,Nancy Dunnan,Silver Press,1990,"After defining collectibles, the author explores this hobby, which can be profitable at times.",Antiques & Collectibles,132,N/A,0,en
Investment Planning Specialist,"Dr. Aditya Sontakke, Dr. Kaustubh Sontakke",OrangeBooks Publication,2021-10-07,This book is specifically developed considering the syllabus of Fisrt module of FPSB's CFP couse (New Curriculum) i.e. Investment planning specialist. The syllabus is very huge but I have tried my level best to cover each and everything with to the point explanation.,Business & Economics,176,N/A,0,en
American Icons,Benedikt Feldges,Routledge,2007-12-12,"Despite the work that has been done on the power of visual communication in general, and about the social influence of television in particular, television’s relationship with reality is still something of a black box. Even today, the convention that the screen functions as a window on reality structures much of the production and reception of televisual narratives. But as reality ought to become history at one point, what are we to do with such windows on the past? Developing and applying a highly innovative approach to the modern picture, American Icons sets out to expose the historicity of icons, to reframe the history of the screen and to dissect the visual core of a medium that is still so poorly understood. Dismantling the aura of apparently timeless icons and past spectacles with their seductive power to attract the eye, this book offers new ways of seeing the mechanisms at work in our modern pictorial culture.",Social Science,508,N/A,0,en
ART THEFT AND FORGERY INVESTIGATION,Robert E. Spiel,Charles C Thomas Publisher,2000-01-01,"The goal of this unique manual is to arm criminal investigators with tools and weapons that are suitable and effective against art theft and forgery. The author, with over 25 years' experience in the art theft investigation field, presents comprehensive techniques, tips, and ideas to help dimish the level of frustration experienced by criminal investigators required to handle the growing number and magnitude of art crimes. The structure of the manual is simple and direct. The first part guides the reader in the use of the text and introduces the art world environment. The second part discusses the investigator's interaction with the victim, including interviewing, crime scene investigation, and identifying and developing suspects. Part three deals with offenders and covers such topics as art theft methods, forgery techniques, methods of distribution, and investigative countermeasures. The final section presents a comprehensive review of solutions and recoveries, including chapters on legal weapons, insurance and rewards, the use of experts, universal and variable contact group classifications, object bulletins, art criminal photo albums, informant development, undercover methods, unidentified victims, and recovery and seizure of stolen or fake art. In addition, the book is complemented by an extensive glossary and bibliographic resources. This exceptionally unique manual is intended to function at an intensely practical level and is intended for both study and immediate reference.",Art,311,N/A,0,en
"WALNECK'S CLASSIC CYCLE TRADER, MARCH 2002","Causey Enterprises, LLC","Causey Enterprises, LLC",N/A,N/A,,212,N/A,0,en
"Heritage Auctions Historical Manuscripts Auction Catalog #6026, Dallas, TX",Sandra Palomino,Heritage Capital Corporation,2009-04,N/A,Antiques & Collectibles,128,N/A,0,en
Social Economics,"Gary Stanley Becker, Kevin M. Murphy",Harvard University Press,2009-07,"Economists assume that people make choices based on their preferences and their budget constraints. The preferences and values of others play no role in the standard economic model. This feature has been sharply criticized by other social scientists, who believe that the choices people make are also conditioned by social and cultural forces. Economists, meanwhile, are not satisfied with standard sociological and anthropological concepts and explanations because they are not embedded in a testable, analytic framework. In this book, Gary Becker and Kevin Murphy provide such a framework by including the social environment along with standard goods and services in their utility functions. These extended utility functions provide a way of analyzing how changes in the social environment affect people's choices and behaviors. More important, they also provide a way of analyzing how the social environment itself is determined by the interactions of individuals. Using this approach, the authors are able to explain many puzzling phenomena, including patterns of drug use, how love affects marriage patterns, neighborhood segregation, the prices of fine art and other collectibles, the social side of trademarks, the rise and fall of fads and fashions, and the distribution of income and status.",Business & Economics,180,N/A,0,en
Heritage Rare Books Auction #6025,,Heritage Capital Corporation,N/A,N/A,,228,N/A,0,en
"Heritage Auctions Militaria Auction Catalog #6023, Dallas, TX",Marsha Dixey,Heritage Capital Corporation,2009-06,N/A,Antiques & Collectibles,104,N/A,0,en
A Guide to Planning Your Retirement Finances,,N/A,1982,N/A,Older people,40,N/A,0,en
Unblockchain,,Henrique Centieiro ,2021-03-31,"What will you learn with this book? Why is everyone talking about blockchain? What is it all about? Wouldn’t it be great if there is something out there that can help you understand the latest trending technology - Blockchain in a relaxed manner with tons of graphics, which is even more fun than a barrel full of monkeys?! With this book Unblockchain, you will learn how blockchains are architected, what the main technology components are such as cryptography, hashing, applications as well as the constraints and limitations of blockchain.In this book we are going to cover in dept all the components of blockchains. We are going to understand how the hashing mechanisms work, what the cryptography role is, how transactions are signed and much more! We are also going to look at the blockchain use cases, understand the blockchain architecture and even deploy an Ethereum node and play around with the blockchain. I will help you to better understand when to use blockchain, the key concepts, the industry jargon and a lot of additional information that will help you interact with stakeholders in any blockchain project you may get involved in.No matter what your background is, you will be able to follow along with this book and do the hands-on! After this, you will for sure be able to get involved in any blockchain project and to show off your knowledge in front of your pals! Why does this book look so different? Based on cognitive science and learning theory researches, Unblockchain uses a visually rich format to engage with your mind, rather than using solely heavy boring text. You will also have a few hands-on that will help you understand the technology by trying it yourself! This multi-sensory book is designed to turn you into a blockchain expert!",Computers,327,N/A,0,en
Another Famous DiMaggio,Robert Joseph DiMaggio,Xlibris Corporation,2014-07-08,"This book, in its entirety, is dedicated in memory and in honor of my beloved wife Francine Veronica DiMaggio — a very special woman and wife that I was most fortunate and blessed to know and love in my lifetime, wholeheartedly and unconditionally. I'll always love her till the end of time, and because she was very special to me. I love and miss her very much, and she was, still is, and will always be ""The Love of My Life"". We were married for nearly fifty-two wonderful years, and during that period, I always put Francine on a pedestal, because she was a very special person, my best friend and deserved this honor. Robert Joseph DiMaggio Author of ""Another Famous DiMaggio"" Website: www.anotherfamousdimaggio.com In this book, author Robert Joseph DiMaggio tells about his fondest dream to follow the footsteps of his famous cousin, Mr. Joe DiMaggio, his adventures and the meaningful journey he lived with the love of his life, Francine. He has always focused more on 'My Message in the Music' project, entitled ""A Special Tribute to America"", including the three special songs he wrote ""Peace on Earth"", ""Our Missing Children"" and ""So Please Give With Me"". Also, refer to Mr. DiMaggio's heartfelt ""Thank You and 3 wishes"" displayed at the beginning of his book. ""Another Famous DiMaggio"" is more than an autobiography. This is an inspiring life story of a man that will change the readers' view about life and motivate them to discover their own purpose in this world. The two most favorite Record Album projects released by RJD Records is ""A Special Tribute to America"", and the second most favorite is the one displayed below. ""I'm not like my famous cousin, Mr. Joe DiMaggio, one of the Worlds' greatest baseball players of all time, who set some outstanding records, and hitting many home runs, but I'm hitting home runs in the music and entertainment business"". God bless you Mr. Joe DiMaggio",Biography & Autobiography,546,N/A,0,en
The Catalog of American Collectibles,William C. Ketchum,N/A,1979,N/A,Americana,328,N/A,0,en
