Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
But how Do it Know?,J. Clark Scott,John C Scott,2009,"This book thoroughly explains how computers work. It starts by fully examining a NAND gate, then goes on to build every piece and part of a small, fully operational computer. The necessity and use of codes is presented in parallel with the apprioriate pieces of hardware. The book can be easily understood by anyone whether they have a technical background or not. It could be used as a textbook.",Computers,223,5,9,en
How Do Computers Follow Instructions?,J. T. Liso,How Do,2019,"""Come along on a science adventure to discover how computers do math so quickly, how we can communicate with computers, and so much more! This fun question and answer book has everything from facts and figures to simple diagrams and hilarious illustrations to help you learn introductory computer science terms and concepts, including programming languages, variables, inputs, outputs, loops, and more.""--Provided by publisher.",Juvenile Nonfiction,0,N/A,0,en
The Day the Computers Broke Down,Laura Normand,Heinemann/Raintree,1996,"When all the computers go out on her birthday, Kerri's entire computer-controlled town shuts down, but her old-fashioned grandmother saves the day.",Birthdays,31,N/A,0,en
The First Computers,"Raul Rojas, Ulf Hashagen",MIT Press,2002-07-26,"This history of computing focuses not on chronology (what came first and who deserves credit for it) but on the actual architectures of the first machines that made electronic computing a practical reality. The book covers computers built in the United States, Germany, England, and Japan. It makes clear that similar concepts were often pursued simultaneously and that the early researchers explored many architectures beyond the von Neumann architecture that eventually became canonical. The contributors include not only historians but also engineers and computer pioneers. An introductory chapter describes the elements of computer architecture and explains why ""being first"" is even less interesting for computers than for other areas of technology. The essays contain a remarkable amount of new material, even on well-known machines, and several describe reconstructions of the historic machines. These investigations are of more than simply historical interest, for architectures designed to solve specific problems in the past may suggest new approaches to similar problems in today's machines. Contributors Titiimaea F. Ala'ilima, Lin Ping Ang, William Aspray, Friedrich L. Bauer, Andreas Brennecke, Chris P. Burton, Martin Campbell-Kelly, Paul Ceruzzi, I. Bernard Cohen, John Gustafson, Wilhelm Hopmann, Harry D. Huskey, Friedrich W. Kistermann, Thomas Lange, Michael S. Mahoney, R. B. E. Napper, Seiichi Okoma, Hartmut Petzold, Raúl Rojas, Anthony E. Sale, Robert W. Seidel, Ambros P. Speiser, Frank H. Sumner, James F. Tau, Jan Van der Spiegel, Eiiti Wada, Michael R. Williams",Science,476,5,1,en
The Trouble with Computers,Thomas K. Landauer,MIT Press,1995,"Beginning with an explanation of why considerable outlays for computing since 1973 have not resulted in comparable payoffs, the author proposes that emerging techniques for user-centred development can turn the situation around - through task analysis, ite",Computers,444,N/A,0,en
The Star Wars Question & Answer Book about Computers,Fred D'Ignazio,Random House Books for Young Readers,1983,"Question and answer format presents information on how computers work, what their insides are like, and the wide variety of uses to which they have been put today--inside robots, in games, and inside human bodies.",Juvenile Nonfiction,68,N/A,0,en
Fundamentals of Computers,EduGorilla Prep Experts,EduGorilla Publication,2024-09-03,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",Computers,484,N/A,0,en
Computers Ltd,David Harel,Oxford University Press,2004,"The computer has been hailed as the greatest innovation of the 20th century, and there is no denying that these technological marvels have dramatically changed our everyday lives. They can fly airplanes and spaceships, route millions of phone calls simultaneously, and play chess with the world's greatest players. But how limitless is the future for the computer? Will computers one day be truly intelligent, make medical diagnoses, run companies, compose music, and fall in love? In Computers Ltd., David Harel, the best-selling author of Algorithmics, illuminates one of the most fundamental yet under-reported facets of computers--their inherent limitations. Looking only at the bad news that is proven, discussing limitations that no amounts of hardware, software, talent, or resources can overcome, the book presents a disturbing and provocative view of computing at the start of the 21st century. Harel takes us on a fascinating tour that touches on everything from tiling problems and monkey puzzles to Monte Carlo algorithms and quantum computing, showing just how far from perfect computers are, while shattering some of the many claims made for these machines. He concludes that though we may strive for bigger and better things in computing, we need to be realistic: computers are not omnipotent--far from it. Their limits are real and here to stay. Based on hard facts, mathematically proven and indisputable, Computers Ltd. offers a vividly written and often amusing look at the shape of the future.",Computers,244,N/A,0,en
Computers as Theatre,Brenda Laurel,Pearson Education,2014,"Brenda Laurel's Computers as Theatre revolutionized the field of human-computer interaction, offering ideas that inspired generations of interface and interaction designers-and continue to inspire them. Laurel's insight was that effective interface design, like effective drama, must engage the user directly in an experience involving both thought and emotion. Her practical conclusion was that a user's enjoyment must be a paramount design consideration, and this demands a deep awareness of dramatic theory and technique, both ancient and modern. Now, two decades later, Laurel has revised and revamped her influential work, reflecting back on enormous change and personal experience and forward toward emerging technologies and ideas that will transform human-computer interaction yet again. Beginning with a clear analysis of classical drama theory, Laurel explores new territory through the lens of dramatic structure and purpose. Computers as Theatre, Second Edition, is directed to a far wider audience, is written more simply and elegantly, is packed with new examples, and is replete with exciting and important new ideas. This book Draws lessons from massively multiplayer online games and systems, social networks, and mobile devices with embedded sensors Integrates values-driven design as a key principle Integrates key ideas about virtual reality Covers new frontiers, including augmented reality, distributed and participatory sensing, interactive public installations and venues, and design for emergence Once more, Brenda Laurel will help you see the connection between humans and computers as you never have before-and help you build interfaces and interactions that are pleasurably, joyously right!",Computers,272,N/A,0,en
Inside the Machine,Jon Stokes,No Starch Press,2007,"Om hvordan mikroprocessorer fungerer, med undersøgelse af de nyeste mikroprocessorer fra Intel, IBM og Motorola.",Computers,320,4.5,3,en
