Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Just Married,Caroline Chambers,Chronicle Books,2018-10-16,"Put your kitchen registry items to good use with this happily-ever-after cookbook for two that contains 130 recipes to celebrate a new marriage. Whether it’s experimenting in the kitchen or perfecting the classics, newlyweds can create cherished traditions around the table. Filled with recipes perfect for spending leisurely days cooking with your loved one, entertaining ideas for family and friends, and plenty of options for quick and satisfying weeknight dinners, this book is a sweet and practical resource for modern couples. Author Caroline Chambers shares stories from her first years of marriage and tips on weekly meal planning, pantry staples, and handy kitchen tools, everything needed to build a new kitchen together. This heartfelt collection of recipes and advice fosters everyday romance and inspires traditions, making this a joyfully welcome wedding or engagement present for the happy couple.",Cooking,275,N/A,0,en
"Salt, Fat, Acid, Heat",Samin Nosrat,Simon and Schuster,2017-04-25,"Now a Netflix series New York Times Bestseller and Winner of the 2018 James Beard Award for Best General Cookbook and multiple IACP Cookbook Awards Named one of the Best Books of 2017 by: NPR, BuzzFeed, The Atlantic, The Washington Post, Chicago Tribune, Rachel Ray Every Day, San Francisco Chronicle, Vice Munchies, Elle.com, Glamour, Eater, Newsday, Minneapolis Star Tribune, The Seattle Times, Tampa Bay Times, Tasting Table, Modern Farmer, Publishers Weekly, and more. A visionary new master class in cooking that distills decades of professional experience into just four simple elements, from the woman declared ""America's next great cooking teacher"" by Alice Waters. In the tradition of The Joy of Cooking and How to Cook Everything comes Salt, Fat, Acid, Heat, an ambitious new approach to cooking by a major new culinary voice. Chef and writer Samin Nosrat has taught everyone from professional chefs to middle school kids to author Michael Pollan to cook using her revolutionary, yet simple, philosophy. Master the use of just four elements--Salt, which enhances flavor; Fat, which delivers flavor and generates texture; Acid, which balances flavor; and Heat, which ultimately determines the texture of food--and anything you cook will be delicious. By explaining the hows and whys of good cooking, Salt, Fat, Acid, Heat will teach and inspire a new generation of cooks how to confidently make better decisions in the kitchen and cook delicious meals with any ingredients, anywhere, at any time. Echoing Samin's own journey from culinary novice to award-winning chef, Salt, Fat Acid, Heat immediately bridges the gap between home and professional kitchens. With charming narrative, illustrated walkthroughs, and a lighthearted approach to kitchen science, Samin demystifies the four elements of good cooking for everyone. Refer to the canon of 100 essential recipes--and dozens of variations--to put the lessons into practice and make bright, balanced vinaigrettes, perfectly caramelized roast vegetables, tender braised meats, and light, flaky pastry doughs. Featuring 150 illustrations and infographics that reveal an atlas to the world of flavor by renowned illustrator Wendy MacNaughton, Salt, Fat, Acid, Heat will be your compass in the kitchen. Destined to be a classic, it just might be the last cookbook you'll ever need. With a foreword by Michael Pollan.",Cooking,480,N/A,0,en
Cooking for Picasso,Camille Aubray,N/A,2016,"""The French Riviera, spring 1936. It's off-season in the lovely seaside village of Juan-les-Pins, where seventeen-year-old Ondine cooks with her mother in the kitchen of their family-owned Cafe Paradis. A mysterious new patron who's slipped out of Paris and is traveling under a different name has made an unusual request--to have his lunch served to him at the nearby villa he's secretly rented ... Pablo Picasso is at a momentous crossroads in his personal and professional life--and for him, art and women are always entwined ... New York, present day. Caeline, a Hollywood makeup artist who's come home for the holidays, learns from her mother Julie that Grandmother Ondine once cooked for Picasso""--",Fiction,402,N/A,0,en
How to Cook Without a Book,Pam Anderson,Clarkson Potter,2000,"Recalling an earlier era when cooks relied on sight, touch, and taste rather than cookbooks, the author encourages readers to rediscover the lost art of preparing food and use their imagination in the kitchen.",Cooking,306,4.5,2,en
The Cooking Gene,Michael W. Twitty,HarperCollins,2018-07-31,"2018 James Beard Foundation Book of the Year | 2018 James Beard Foundation Book Award Winner inWriting | Nominee for the 2018 Hurston/Wright Legacy Award in Nonfiction | #75 on The Root100 2018 A renowned culinary historian offers a fresh perspective on our most divisive cultural issue, race, in this illuminating memoir of Southern cuisine and food culture that traces his ancestry—both black and white—through food, from Africa to America and slavery to freedom. Southern food is integral to the American culinary tradition, yet the question of who ""owns"" it is one of the most provocative touch points in our ongoing struggles over race. In this unique memoir, culinary historian Michael W. Twitty takes readers to the white-hot center of this fight, tracing the roots of his own family and the charged politics surrounding the origins of soul food, barbecue, and all Southern cuisine. From the tobacco and rice farms of colonial times to plantation kitchens and backbreaking cotton fields, Twitty tells his family story through the foods that enabled his ancestors’ survival across three centuries. He sifts through stories, recipes, genetic tests, and historical documents, and travels from Civil War battlefields in Virginia to synagogues in Alabama to Black-owned organic farms in Georgia. As he takes us through his ancestral culinary history, Twitty suggests that healing may come from embracing the discomfort of the Southern past. Along the way, he reveals a truth that is more than skin deep—the power that food has to bring the kin of the enslaved and their former slaveholders to the table, where they can discover the real America together. Illustrations by Stephen Crotts",Cooking,505,N/A,0,en
Super Natural Every Day,Heidi Swanson,Hardie Grant Publishing,2011,"""The eagerly anticipated follow-up to Heidi Swanson's James Beard-nominated Super Natural Cooking features 100 vegetarian recipes for nutritious, gratifying, weekday-friendly dishes from the popular blogger behind 101 Cookbooks. In Super Natural Cooking, Heidi taught us how to navigate a healthier, less-processed world of cooking by restocking our pantries and getting acquainted with organic, nutrient-rich whole foods. Now, in Super Natural Every Day, Heidi presents a sumptuous collection of seductively flavored dishes that are simple enough to prepare for breakfast on the fly, a hearty brown bag lunch, or a weeknight dinner with friends. Nearly 100 vegetarian recipes, including Pomegranate-Glazed Eggplant, Black Sesame Otsu, Mostly Not Potato Salad, Chickpea Saffron Stew, Salted Buttermilk Cake, and a new version of the ever-popular Pan-Fried Beans and Greens, are presented in Heidi's signature nonpreachy style. Gorgeously photographed, this stylish cookbook reveals the beauty of uncomplicated food prepared well and reflects a realistic yet gourmet approach to a healthy and sophisticated urban lifestyle""--",Cooking,241,N/A,0,en
The Sprouted Kitchen,Sara Forte,Ten Speed Press,2012-08-28,"Sprouted Kitchen food blogger Sara Forte showcases 100 tempting recipes that take advantage of fresh produce, whole grains, lean proteins, and natural sweeteners—with vivid flavors and seasonal simplicity at the forefront. Sara Forte is a food-loving, wellness-craving veggie enthusiast who relishes sharing a wholesome meal with friends and family. The Sprouted Kitchen features 100 of her most mouthwatering recipes. Richly illustrated by her photographer husband, Hugh Forte, this bright, vivid book celebrates the simple beauty of seasonal foods with original recipes—plus a few favorites from her popular Sprouted Kitchen food blog tossed in for good measure. The collection features tasty snacks on the go like Granola Protein Bars, gluten-free brunch options like Cornmeal Cakes with Cherry Compote, dinner party dishes like Seared Scallops on Black Quinoa with Pomegranate Gastrique, “meaty” vegetarian meals like Beer Bean– and Cotija-Stuffed Poblanos, and sweet treats like Cocoa Hazelnut Cupcakes. From breakfast to dinner, snack time to happy hour, The Sprouted Kitchen will help you sneak a bit of delicious indulgence in among the vegetables.",Cooking,254,N/A,0,en
What's Cooking?,Joshua David Stein,Phaidon Press,2017-10-25,"A whimsical read-aloud of delicious answers to ridiculous questions about what can — and cannot — be done in the kitchen! Food critic and author Joshua David Stein tackles the world of cookery with his signature quirk and charm. From the practical (""Can I fry a scoop of gelato?"") to the playful (""Do frozen peas grow on frozen trees?""), each vignette features an engaging question and a satisfying reveal, all revolving around the preparation of food. The simple yet sophisticated hand-drawings by Julia Rothman provide authenticity and a balance of seriousness to the silliness at hand. Incorporating humor, word play, logic and illogic, foreign foods, and even some cookbook vocabulary, this read-aloud book offers children facts to share and maybe even the impetus to get involved in the kitchen!",Juvenile Nonfiction,0,N/A,0,en
Cook This Book,Molly Baz,Clarkson Potter,2021-04-20,"NEW YORK TIMES BESTSELLER • A thoroughly modern guide to becoming a better, faster, more creative cook, featuring fun, flavorful recipes anyone can make. ONE OF THE BEST COOKBOOKS OF THE YEAR: NPR, Food52, Taste of Home “Surprising no one, Molly has written a book as smart, stylish, and entertaining as she is.”—Carla Lalli Music, author of Where Cooking Begins If you seek out, celebrate, and obsess over good food but lack the skills and confidence necessary to make it at home, you’ve just won a ticket to a life filled with supreme deliciousness. Cook This Book is a new kind of foundational cookbook from Molly Baz, who’s here to teach you absolutely everything she knows and equip you with the tools to become a better, more efficient cook. Molly breaks the essentials of cooking down to clear and uncomplicated recipes that deliver big flavor with little effort and a side of education, including dishes like Pastrami Roast Chicken with Schmaltzy Onions and Dill, Chorizo and Chickpea Carbonara, and of course, her signature Cae Sal. But this is not your average cookbook. More than a collection of recipes, Cook This Book teaches you the invaluable superpower of improvisation though visually compelling lessons on such topics as the importance of salt and how to balance flavor, giving you all the tools necessary to make food taste great every time. Throughout, you’ll encounter dozens of QR codes, accessed through the camera app on your smartphone, that link to short technique-driven videos hosted by Molly to help illuminate some of the trickier skills. As Molly says, “Cooking is really fun, I swear. You simply need to set yourself up for success to truly enjoy it.” Cook This Book will help you do just that, inspiring a new generation to find joy in the kitchen and take pride in putting a home-cooked meal on the table, all with the unbridled fun and spirit that only Molly could inspire.",Cooking,306,5,1,en
The Last Course,"Claudia Fleming, Melissa Clark",Random House,2019-11-12,"A beautiful new edition of “the greatest dessert book in the history of the world” (Bon Appétit), featuring 175 timeless recipes from Gramercy Tavern’s James Beard Award–winning pastry chef. Claudia Fleming is a renowned name in the pastry world, acclaimed for having set an industrywide standard at New York City’s Gramercy Tavern with her James Beard Award–winning desserts. With The Last Course, dessert lovers everywhere will be able to re-create and savor her impressive repertoire at home. Fleming’s desserts have won a range of awards because they embody her philosophy of highly satisfying food without pretension, a perfect balance for home cooks. Using fresh, seasonal ingredients at the peak of their flavor, Fleming creates straightforward yet enchanting desserts that are somehow equal to much more than the sum of their parts. She has an uncanny ability to match contrasting textures, flavors, and temperatures to achieve a perfect result—placing something brittle and crunchy next to something satiny and smooth, and stretching the definition of sweet and savory while retaining an elemental simplicity. The Last Course contains 175 mouthwatering recipes that are organized seasonally by fruits, vegetables, nuts, herbs and flowers, spices, sweet essences, dairy, and chocolate. In the final chapter, Fleming suggests how to combine and assemble desserts from the previous chapters to create the ultimate composed desserts. And each chapter and each composed dessert is paired with a selection of wines. Recipes include Raspberry–Lemon Verbena Meringue Cake, Blueberry–Cream Cheese Tarts with Graham Cracker Crust, Cherry Cheesecake Tart with a Red Wine Glaze, Concord Grape Sorbet, Apple Tarte Tatin, Chestnut Soufflés with Armagnac-Nutmeg Custard Sauce, Buttermilk Panna Cotta with Sauternes Gelée, Warm Chocolate Ganache Cakes, and more. Beautifully illustrated with more than eighty photographs throughout, The Last Course is a timeless, one-of-a-kind collection filled with original recipes that will inspire dessert enthusiasts for years to come. Praise for The Last Course “While I must admit to being particularly partial to Claudia’s Buttermilk Panna Cotta, every dessert in The Last Course made me salivate. Claudia’s inspired recipes are so beautifully transcribed that even the most nervous of home cooks will feel comfortable trying them and will be a four-star chef for the day.”—Daniel Boulud “The Goddess of New American Pastry.”—Elle",Cooking,612,N/A,0,en
