Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Repurposed Library,Lisa Occhipinti,Abrams,2019-11-26,"“How-to instructions on crafting with books . . . will inspire you to think about creative ways to make new treasures out of old things” (The Virginian-Pilot). We all love to read and learn from books, but The Repurposed Library takes our passion even further, presenting us with thirty-three projects to make—quite literally—out of books. For these projects, Lisa Occhipinti rescues and repurposes orphaned and outdated books from flea markets and library sales and turns them into new art objects and practical items for the home. Her creations range from artfully constructed mobiles, wreaths, and vases, to functional items like shelves, storage boxes, and even a Kindle “keeper” for those who want to replicate the sensation of holding a “real” book while reading from an e-reader. Projects utilize every imaginable part of a book—from hardback cover to individual pages—and are a DIY celebration of a new way to view a book’s potential. “Occhipinti’s ‘repurposed’ books are truly beautiful art objects, and whether or not you’re crafty enough to give them a try yourself, her book is thoroughly enjoyable.” —Fine Books and Collections “She shows readers how to transform books into mobiles, lamp shades, even clocks.” —National Post",Crafts & Hobbies,233,N/A,0,en
The Crafts Family,William Francis Crafts,N/A,1893,N/A,"Roxbury (Boston, Mass.)",912,5,1,en
The Gardens of Ellen Biddle Shipman,Judith B. Tankard,ABRAMS,1996,"Illustrated with original photographs of Shipman's superb gardens - many by photographer Mattie Edwards Hewitt which have never been previously published - and new photographs by Carol Betsch which were specially commissioned for this volume, the book documents in fascinating detail the life and work of one of America's most important and influential garden designers.",Biography & Autobiography,260,N/A,0,en
The Kelloggs in the Old World and the New,Timothy Hopkins,N/A,1903,N/A,,866,N/A,0,en
The Magic Half,Annie Barrows,Bloomsbury Publishing USA,2010-08-10,"From New York Times bestselling author of the Ivy and Bean series and blockbuster The Guernsey Literary and Potato Peel Society comes a sweet and charming time travel story. Miri is the non-twin child in a family with two sets of them-older brothers and younger sisters. The family has just moved to an old farmhouse in a new town, where the only good thing seems to be Miri's ten-sided attic bedroom. But when Miri gets sent to her room after accidentally bashing her big brother on the head with a shovel, she finds herself in the same room . . . only not quite. Without meaning to, she has found a way to travel back in time to 1935 where she discovers Molly, a girl her own age very much in need of a loving family. A highly satisfying classic-in-the-making full of spine-tingling moments, both books in the delightful time-travelling Molly and Miri series is perfect for the whole family. Don't miss the sequel: Magic in the Mix Awards for The Magic Half The Virginia Readers' Choice Award list (2010-2011) Missouri Mark Twain Reader Award nominee (2010-2011) Kentucky Bluegrass Award Nominee 2011 Rhode Island Children's Book Award 2011 Massachusetts Children's Book Award 2011 Washington State Sasquatch Reading Award Masterlist: 2011-2012 Florida Sunshine State Young Reader's Award (grades 3-5)",Juvenile Fiction,160,5,3,en
Official Register of the United States,,N/A,1878,N/A,United States,988,N/A,0,en
Catalog of Army Education Centers,United States. Army Recruiting Command,N/A,1976,N/A,Military education,324,N/A,0,en
The Boston Directory,,N/A,1873,N/A,Boston (Mass.),1570,5,1,en
Official Register of the United States,United States. Department of the Interior,N/A,1879,N/A,United States,648,N/A,0,en
"Register of Officers and Agents, Civil, Military and Naval [etc]",United States. Department of the Interior,N/A,1884,N/A,United States,1012,N/A,0,en
Clark's Boston Blue Book,,N/A,1917,N/A,,1060,N/A,0,en
Official Register,United States Civil Service Commission,N/A,1881,N/A,Government executives,908,N/A,0,en
New England Marriages Prior to 1700,Clarence Almon Torrey,Genealogical Publishing Com,1985,"This work, compiled over a period of thirty years from about 2,000 books and manuscripts, is a comprehensive listing of the 37,000 married couples who lived in New England between 1620 and 1700. Listed are the names of virtually every married couple living in New England before 1700, their marriage date or the birth year of a first child, the maiden names of 70% of the wives, the birth and death years of both partners, mention of earlier or later marriages, the residences of every couple and an index of names. The provision of the maiden names make it possible to identify the husbands of sisters, daughters, and many granddaughters of immigrants, and of immigrant sisters or kinswomen.",History,1040,5,2,en
Know Your State Uttar Pradesh,Arihant Experts,Arihant Publications India limited,2019-07-22,"Uttar Pradesh being the most populous state of this country which is now developing at the higher rate in the field of education, infrastructure, economics etc. and creating many job opportunities there. Thus, helping people through employment as a result it is raising their living standards. Cities like Prayaag (Allahabad) and Kashi (Banaras) are also being modified by the government therefore, promoting tourism in the state. This state is the largest producer of food grains among all states in India and accounted for about 17.83 per cent share in the country’s total food grain. General Knowledge of Uttar Pradesh is essential for various competitive examinations and especially for the students who are appearing for Uttar Pradesh Public Service commission (UPPSC) and other state level examinations The current edition of ‘Know Your State – Uttar Pradesh’ gives the detailed study of History, Geography, Economy, Polity, Art & Culture, Center and State government welfare schemes and Current Affairs of Uttar Pradesh. A systematic Chapter wise study will mark improvement in the performance of the students, moreover Tables, boxes and figures gives better representation for memorizing the main points. More than 1100 MCQs have been provided at the end of each chapter that helps in understanding and preparing the subject at the exam point-of-view level. This book comes a quick, relevant and easy route for achieving in the examination. TABLE OF CONTENT Uttar Pradesh: Basic Information, Ancient History of Uttar Pradesh, Medieval History of Uttar Pradesh, Modern History of Uttar Pradesh, Geographical Features of Uttar Pradesh, Climate Soil of Uttar Pradesh, Rivers and Drainage System of Uttar Pradesh, Agriculture of Uttar Pradesh, Irrigation of Uttar Pradesh, Animal Husbandry in Uttar Pradesh, Natural Vegetation of Uttar Pradesh, National Park and Wildlife Sanctuaries of Uttar Pradesh, Energy Resources in Uttar Pradesh, Mineral Resources of Uttar Pradesh, Transport System in Uttar Pradesh, Formation and Administrative Structure of Uttar Pradesh, Local Self Government in Uttar Pradesh, District of Uttar Pradesh, Historical and Tourist Places of Uttar Pradesh, Religious and Other Tourist Places of Uttar Pradesh, Language and Literature of Uttar Pradesh, Art and Craft of Uttar Pradesh, Fairs and Festivals of Uttar Pradesh, Education and Health in Uttar Pradesh, Sports in Uttar Pradesh, Castes and Tribes of the Uttar Pradesh, Demographic Profile of Uttar Pradesh, Social Welfare Schemes, Current Affairs.",Study Aids,399,N/A,0,en
Boston Directory,,N/A,1854,N/A,Boston,498,N/A,0,en
Violations of Free Speech and Assembly and Interference with Rights of Labor,United States. Congress. Senate. Committee on Education and Labor,N/A,1936,N/A,Civil rights,1156,N/A,0,en
Violations of Free Speech and Rights of Labor,United States. Congress. Senate. Committee on Education and Labor,N/A,1938,N/A,Civil rights,2100,N/A,0,en
"Index-digest of Decisions of United States Railroad Labor Board to May 1, 1922 (decisions Nos. 1-949)",United States Railroad Labor Board,N/A,1922,N/A,Railroads,332,N/A,0,en
Index-digest of Decisions of the United States Railroad Labor Board (cumulative),United States Railroad Labor Board,N/A,1923,N/A,Railroads,754,N/A,0,en
The History of the Descendants of John Dwight,Benjamin Dwight,BoD – Books on Demand,2023-08-15,"Reprint of the original, first published in 1874.",Fiction,621,N/A,0,en
"The History of the Descendants of John Dwight, of Dedham, Mass",Benjamin Woodbridge Dwight,N/A,1874,N/A,,632,N/A,0,en
Objective English For Competitive Examinations,Shradha kaul,Oswal Publishers,2020-05-06,"We are proud to present Objective English which is divided into three sections: Grammar, Vocabulary and Reading Comprehension. The explanation makes learning of English grammar easier , especially for the students who come from the Hindi Heartland of India. This book is an useful resource for students appearing for Banking, Insurance, SSC, AFCAT, CTET, Railways , State Level Examinations , Managementm aptitude test , and other Entrance exams",Foreign Language Study,386,N/A,0,en
"History of the Town of Whately, Mass",Josiah Howard Temple,N/A,1872,N/A,Whately (Mass.),352,N/A,0,en
The Kelloggs in the Old World and the New,Hopkins Timothy,Рипол Классик,N/A,N/A,,847,N/A,0,en
The Palladino Family in America,Peter August Hoetjes,Virtualbookworm Publishing,2004,"The family surname is derived from the Italian first name Paladino. The first recorded Paladino was a medieval knight and the nephew to the Holy Roman Emperor Charlemagne, 742-814 AD. Many romantic fables are told of Charlemagne and his paladins. The most famous of the paladins was Roland, the favorite nephew of Charlemagne. It is Roland, the Italian, bestowed by Charlemagne with the name Paladin, who may be our famous ancestral noble Cavaliere that all Palladino's and modern-day Pauldine's are descended from. genealogy and objective interpretation of these topics can spell the difference between real family history and fanciful family folklore. It is in a whimsical and fanciful vein that I portend that the Palladino and modern-day Pauldine clan is in some way related to the famous Holy Roman Emperor Charlemagne and his equally famous nephew, Roland the Paladin. But, who knows! Perhaps a future Palladino explorer with the inclination and, more importantly, possessing very deep pockets, might one day embark on the eternal quest for the truth and in the process even perchance recover Roland's magical sword, Durandal.",Fiction,300,5,1,en
Handbook of Cliometrics,Claude Diebolt,Springer Nature,N/A,N/A,,2796,N/A,0,en
Doggett's New York City Directory,,N/A,1848,N/A,New York (N.Y.),524,N/A,0,en
The Book of Chicagoans,,N/A,1911,N/A,Chicago (Ill.),772,N/A,0,en
