Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Business Economics - B.Com SEM-II - According to Minimum Uniform Syllabus Prescribed by National Education Policy," Dr. V.C. Sinha, Dr. Ritika Sinha",SBPD Publishing House,2022-05-05,Business Economics - B.Com Semester-II (According to Minimum Uniform Syllabus Prescribed by National Education Policy): 1. FAMOUS ECONOMIST OF INDIA 2. BUSINESS ECONOMICS : AN INTRODUCTION 3. THEORY OF DEMAND 4. ELASTICITY OF DEMAND 5. DEMAND FORECASTING 6. THEORY OF COST (Short Run and Long Run Cost Curve) 7. PRODUCTION FUNCTION AND LAW OF VARIABLE PROPORTION 8. EQUAL PRODUCT CURVE ANALYSIS : OPTIMUM COMBINATION OF FACTOR AND EXPANSION PATH 9. RETURNS OF SCALE 10. ECONOMIES OF SCALE 11. PRICE AND OUTPUT DETERMINATION UNDER PERFECT COMPETITION 12. PRICE AND OUTPUT UNDER MONOPOLY 13. PRICE AND OUTPUT UNDER IMPERFECT OR MONOPOLISTIC COMPETITION 14. BUSINESS OR TRADE CYCLE 15. THEORIES OF DISTRIBUTION 16. WAGES 17. RENT 18. INTEREST 19. PROFIT,Business & Economics,296,N/A,0,en
"Economics Class XII by Dr. Anupam Agarwal, Mrs. Sharad Agarwal (SBPD Publications)","Dr. Anupam Agarwal, Mrs. Sharad Agarwal",SBPD Publications,2021-07-06,"Strictly according to the latest syllabus prescribed by Central Board of Secondary Education (CBSE), Delhi and State Boards of Bihar, Jharkhand, Uttarakhand, Rajasthan, Haryana, H.P. etc. & Navodaya, Kasturba, Kendriya Vidyalayas etc. following CBSE curriculum based on NCERT guidelines. Part A : Introductory Micro Economics 1.Micro Economics : An Introduction, 2. Central Problems of an Economy, 3. Consumer’s Equilibrium, 4. Demand and Law of Demand, 5. Price Elasticity of Demand, 6. Production Function : Returns to a Factor and Returns to Scale, 7. Production Costs, 8. Concepts of Revenue, 9. Producer’s Equilibrium : Meaning and Conditions, 10. Supply and Law of Supply, 11. Elasticity of Supply, 12. Different Forms of Market : Meaning and Features, 13. Market Equilibrium Under Perfect Competition and Effects of Shifts in Demand & Supply, 14. Simple Applications of Tools of Demand and Supply, Part B : Introductory Macro Economics 15. Macro Economics : Meaning, 16. Circular Flow of Income, 17. Concepts and Aggregates related to National Income, 18. Measurement of National Income, 19. Money : Meaning, Evolution and Functions, 20. Commercial Banks and Credit Creation, 21. Central Bank : Meaning and Functions, 22. Recent Significant Reforms and Issues in Indian Banking System : Privatisation and Modernisation, 23. Aggregate Demand, Aggregate Supply and Related Concepts (Propensity to Consume, Propensity to Save and Investment), 24. Short Run Equilibrium Output, 25. Investment Multiplier and its Mechanism, 26. Problems of Deficient and Excess Demand, 27. Measures to Correct Deficient Demand and Excess Demand, 28. Government Budget and Economy, 29. Foreign Exchange Rate, 30. Balance of Payment Accounts : Meaning and Components. Model Paper Board Examination Papers",Business & Economics,417,N/A,0,en
Economics,John B. Taylor,Cengage Learning,2004,"In ""Economics, noted economist and teacher John Taylor unravels sophisticated material by combining clear, straightforward writing with annotated graphs and real-life examples that drive students' interest in modern economic theory. The first to cover long-run fundamentals before short-term economic fluctuations, Taylor' s modern approach helps students to understand the basic determinants of growth (labor, capital, and technology) before introducing fluctuations (inflation, output, and employment) that can occur even during periods of steady growth. In addition, he offers a breakthrough discussion of economic fluctuations--modifying the classic AD/AS model to include inflation so that students gain a realistic viewpoint on long-run growth. Chapters 5-7 address the efficiency of competitive markets, setting the stage for later discussion of market failure and government policy. An in-depth description of an experimental double-oral auction in Chapter 7 provides a unique perspective on people' s economic interactions with the market.""New! Expanded applications and case studies appear throughout the text, providing more opportunities for students to connect the material with the real world.""New! New! Updated discussions of the latest economic developments in the U.S. and around the world--including the 2001 recession--illustrate practical, contemporary applications for concepts covered in the text.""New! A significantly enhanced support package features extensive study aids for students, including online tutoring through SMARTHINKING and a reduced subscription price to WSJ.com and ""The Wall Street Journal. In addition, classroom management tools help instructors cutdown on the time spent preparing for lectures.Numerous graphs feature Taylor' s trademark ""conversation boxes"" and offer students a step-by-step illustration of the economic models and theories under review.""Economics in Action boxes highlight how economic principles shape everyday life, including ""Green Pricing and Incentives,"" and ""Digital Cameras and the Future of Film."" Likewise, ""Reading the News boxes help students decipher recent news stories about economic policy, including the impact of 9/11 and the downsizing of the dot-com business sector.",Business & Economics,840,N/A,0,en
Consumer Economics,Elizabeth B. Goldsmith,Routledge,2016-06-10,"From identity theft to product recalls, from what we once thought of as unshakeable institutions to increasing concerns about sustainability, consumer issues are an integral part of modern life. This fully updated third edition of Consumer Economics offers students an accessible and thorough guide to the concerns surrounding the modern consumer and brings to light the repercussions of making uninformed decisions in today’s economy. This definitive textbook introduces students to these potential issues and covers other key topics including consumer behavior, personal finance, legal rights and responsibilities, as well as marketing and advertising. Combining theory and practice, students are introduced to both the fundamentals of consumer economics and how to become better-informed consumers themselves. Highlights in this new edition include: New Critical Thinking Projects feature to encourage students to develop their critical thinking skills through analysing consumer issues. Expanded coverage of social media and the impact of social influence on consumers. Revised Consumer Alerts: practical advice and guidance for students to make smart consumer decisions. A new Companion Website with a range of presentation materials and exercises related to each chapter. Fully updated throughout, this textbook is suitable for students studying consumer sciences – what works, what doesn’t, and how consumers are changing.",Business & Economics,579,N/A,0,en
"Oswaal Karnataka 2nd PUC Question Bank Class 12 Economics, Chapterwise & Topicwise Previous Solved Papers (2017-2023) for 2024 Board Exams",Oswaal Editorial Board,Oswaal Books,2023-11-04,"Description of the product: • 100 % Updated for 2023-24 with Latest Reduced Karnataka PUE Syllabus • Concept Clarity with Concept wise Revision Notes, Mind Maps & Mnemonics • 100% Exam Readiness with Previous Year’s Questions & Board Scheme of ValuationAnswers • Valuable Exam Insights with 2000+ NCERT & Exemplar Questions • Extensive Practice 2 Model Papers & 3 Online Model Papers",Study Aids,307,N/A,0,en
ICSE Economics Applications for Class IX (A.Y. 2023-24)Onward,J. P. Goel,Goyal Brothers Prakashan,2023-05-20,"We are very pleased to place before the students the thoroughly revised, enlarged and updated edition of the book entitled 'I.C.S.E. Economic Applications' for the students of Class IX This edition of the book has been designed strictly according to the latest course scheme prescribed by the Council of Indian Certificate of Secondary Examination (I.C.S.E.), New Delhi. • Efforts have been made to incorporate the latest available material and statistical information pertaining to various aspects of the Indian Economy. • Each chapter is equipped with a Question Bank consisting of exam oriented questions with their to-the-point answers. • To make the text interesting and easily understandable the language has been kept simple and lucid. • The book covers the course comprehensively. • Project work given at the end has been specially designed for the students. • Two Model Test Papers based on the examination pattern have also been given at the end. • Glossary of various technical terms used in the book has been further updated to cover the entire course. It is, therefore, sincerely hoped that this book will prove immensely useful to both students and teachers. We express our special thanks to M/s Goyal Brothers Prakasban for bringing out the book in record time. Suggestions and opinions of the readers of the book would be most welcome. J.P. Goel & Kaushal Goel C-131B, Sushant Lok-3 Sector 57, Gurugram (Haryana) Mobile : 9810945659 8595188940 e-mail : jpgoel03@gmai1 .com",Juvenile Nonfiction,178,N/A,0,en
"Business Economics (For CA Foundation), 5e",S K Agarwal,S. Chand Publishing,N/A,"The book has been primarily designed for the students of C.A. Foundation course for the subject Business Economics. It has been revised and remodelled according to the newly introduced C.A. Foundation course. Written in concise and self-explanatory style, this book contains detailed notes and Multiple Choice Questions-Answers with detailed reasoning on Business Economics.",Business & Economics,264,5,1,en
Managerial Economics - SBPD Publications,"Dr. V. C. Sinha, , Dr. Ritika Sinha",SBPD Publications,2022-05-07,"1.Managerial Economics : Meaning, Scope and Importance, 2.Role, Duties and Responsibilities of Managerial Economist, 3.Managerial Economics and Decision-Making , 4. Demand Analysis , 5. Elasticity of Demand, 6. Market-Structure, 7. Price Determination Under Perfect Competition, 8. Equilibrium of Firm Under Perfect Competition, 9. Monopoly, Discriminating Monopoly and Monopol Control, 10. Monopolistic (Imperfect) Competition, 11. Oligopoly, 12. Pricing Methods , 13. Nature and Measurement of Profit.",Business & Economics,176,N/A,0,en
Economics Class XII,"Dr. Anupam Agarwal, , Mrs. Sharad Agarwal",SBPD Publications,2021-10-25,"Part A : Introductory Micro Economics 1.Micro Economics : An Introduction, 2. Central Problems of an Economy, 3. Consumer’s Equilibrium, 4. Demand and Law of Demand, 5. Price Elasticity of Demand, 6. Production Function : Returns to a Factor and Returns to Scale, 7. Production Costs, 8. Concepts of Revenue, 9. Producer’s Equilibrium : Meaning and Conditions, 10. Supply and Law of Supply, 11. Elasticity of Supply, 12. Different Forms of Market : Meaning and Features, 13. Market Equilibrium Under Perfect Competition and Effects of Shifts in Demand & Supply, 14. Simple Applications of Tools of Demand and Supply, Part B : Introductory Macro Economics 15. Macro Economics : Meaning, 16. Circular Flow of Income, 17. Concepts and Aggregates related to National Income, 18. Measurement of National Income, 19. Money : Meaning, Evolution and Functions, 20. Commercial Banks and Credit Creation, 21. Central Bank : Meaning and Functions, 22. Recent Significant Reforms and Issues in Indian Banking System : Privatisation and Modernisation, 23. Aggregate Demand, Aggregate Supply and Related Concepts (Propensity to Consume, Propensity to Save and Investment), 24. Short Run Equilibrium Output, 25. Investment Multiplier and its Mechanism, 26. Problems of Deficient and Excess Demand, 27. Measures to Correct Deficient Demand and Excess Demand, 28. Government Budget and Economy, 29. Foreign Exchange Rate, 30. Balance of Payment Accounts : Meaning and Components. Model Paper Board Examination Papers",Business & Economics,417,N/A,0,en
Economics Class XII - SBPD Publications [2022-23],"Dr. Anupam Agarwal. , Mrs. Sharad Agarwal",SBPD Publications,2022-02-15,"Part A : Introductory Micro Economics 1.Micro Economics : An Introduction, 2. Central Problems of an Economy, 3. Consumer’s Equilibrium, 4. Demand and Law of Demand, 5. Price Elasticity of Demand, 6. Production Function : Returns to a Factor and Returns to Scale, 7. Production Costs, 8. Concepts of Revenue, 9. Producer’s Equilibrium : Meaning and Conditions, 10. Supply and Law of Supply, 11. Elasticity of Supply, 12. Different Forms of Market : Meaning and Features, 13. Market Equilibrium Under Perfect Competition and Effects of Shifts in Demand & Supply, 14. Simple Applications of Tools of Demand and Supply, Part B : Introductory Macro Economics 15. Macro Economics : Meaning, 16. Circular Flow of Income, 17. Concepts and Aggregates related to National Income, 18. Measurement of National Income, 19. Money : Meaning, Evolution and Functions, 20. Commercial Banks and Credit Creation, 21. Central Bank : Meaning and Functions, 22. Recent Significant Reforms and Issues in Indian Banking System : Privatisation and Modernisation, 23. Aggregate Demand, Aggregate Supply and Related Concepts (Propensity to Consume, Propensity to Save and Investment), 24. Short Run Equilibrium Output, 25. Investment Multiplier and its Mechanism, 26. Problems of Deficient and Excess Demand, 27. Measures to Correct Deficient Demand and Excess Demand, 28. Government Budget and Economy, 29. Foreign Exchange Rate, 30. Balance of Payment Accounts : Meaning and Components. Model Paper Board Examination Papers",Business & Economics,433,N/A,0,en
