Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Education,"Marcelo Suárez-Orozco, Carola Suárez-Orozco",Columbia University Press,2022-07-05,"In an age of catastrophes—unchecked climate change, extreme poverty, forced migrations, war, and terror, all compounded by the COVID-19 pandemic—how can schooling be reengineered and education reimagined? This book calls for a new global approach to education that responds to these overlapping crises in order to enrich and enhance the lives of children everywhere. Marcelo Suárez-Orozco and Carola Suárez-Orozco convene scholars and practitioners from a range of disciplines—including anthropology, neuroscience, demography, psychology, child development, sociology, and economics—who offer incisive essays on the global state of education. Contributors consider how educational policy and practice can foster social inclusion and improve outcomes for all children. They emphasize the centrality of education to social and environmental justice, as well as the philosophical foundations of education and its centrality to human flourishing, personal dignity, and sustainable development. Chapters examine topics such as the neuroscience of education; the uses of technology to engage children who are not reached by traditional schooling; education for climate change; the education of immigrants, refugees, and the forcibly displaced; and how to address and mitigate the effects of inequality and xenophobia in the classroom. Global and interdisciplinary, Education speaks directly to urgent contemporary challenges. Contributors include Stefania Giannini, the director of education for UNESCO; development economist Jeffrey Sachs; cognitive psychologist Howard Gardner; Carla Rinaldi, president of the Reggio Children Foundation; and academics from leading global universities. The book features a foreword by Pope Francis.",Education,389,N/A,0,en
The Case against Education,Bryan Caplan,Princeton University Press,2019-08-20,"Why we need to stop wasting public funds on education Despite being immensely popular—and immensely lucrative—education is grossly overrated. Now with a new afterword by Bryan Caplan, this explosive book argues that the primary function of education is not to enhance students' skills but to signal the qualities of a good employee. Learn why students hunt for easy As only to forget most of what they learn after the final exam, why decades of growing access to education have not resulted in better jobs for average workers, how employers reward workers for costly schooling they rarely ever use, and why cutting education spending is the best remedy. Romantic notions about education being ""good for the soul"" must yield to careful research and common sense—The Case against Education points the way.",Education,518,N/A,0,en
A World-class Education,Vivien Stewart,ASCD,2012,"Designed to promote conversation about how to educate students for a rapidly changing, innovation-based world, this comprehensive and illuminating book from international education expert Vivien Stewart focuses on understanding what the world's best school systems are doing right for the purpose of identifying what U.S. schools--at the national, state, and local level--might do differently and better.",Business & Economics,202,N/A,0,en
The Education Of A Gardener,Russell Page,New York Review of Books,2007-07-03,"Russell Page, one of the legendary gardeners and landscapers of the twentieth century, designed gardens great and small for clients throughout the world. His memoirs, born of a lifetime of sketching, designing, and working on site, are a mixture of engaging personal reminiscence, keen critical intelligence, and practical know-how. They are not only essential reading for today’s gardeners, but a master’s compelling reflection on the deep sources and informing principles of his art. The Education of a Gardener offers charming, sometimes pointed anecdotes about patrons, colleagues, and, of course, gardens, together with lucid advice for the gardener. Page discusses how to plan a garden that draws on the energies of the surrounding landscape, determine which plants will do best in which setting, plant for the seasons, handle color, and combine trees, shrubs, and water features to rich and enduring effect. To read The Education of a Gardener is to wander happily through a variety of gardens in the company of a wise, witty, and knowledgeable friend. It will provide pleasure and insight not only to the dedicated gardener, but to anyone with an interest in abiding questions of design and aesthetics, or who simply enjoys an unusually well-written and thoughtful book.",Gardening,468,N/A,0,en
A Political Education,Elizabeth Todd-Breland,UNC Press Books,2018-10-03,"In 2012, Chicago's school year began with the city's first teachers' strike in a quarter century and ended with the largest mass closure of public schools in U.S. history. On one side, a union leader and veteran black woman educator drew upon organizing strategies from black and Latinx communities to demand increased school resources. On the other side, the mayor, backed by the Obama administration, argued that only corporate-style education reform could set the struggling school system aright. The stark differences in positions resonated nationally, challenging the long-standing alliance between teachers' unions and the Democratic Party. Elizabeth Todd-Breland recovers the hidden history underlying this battle. She tells the story of black education reformers' community-based strategies to improve education beginning during the 1960s, as support for desegregation transformed into community control, experimental schooling models that pre-dated charter schools, and black teachers' challenges to a newly assertive teachers' union. This book reveals how these strategies collided with the burgeoning neoliberal educational apparatus during the late twentieth century, laying bare ruptures and enduring tensions between the politics of black achievement, urban inequality, and U.S. democracy.",Education,343,N/A,0,en
American Education,"Wayne J. Urban, Jennings L. Wagoner, Jr.",Routledge,2013-08-15,"American Education: A History, 5e is a comprehensive, highly-regarded history of American education from pre-colonial times to the present. Chronologically organized, it provides an objective overview of each major period in the development of American education, setting the discussion against the broader backdrop of national and world events. The first text to explore Native American traditions (including education) prior to colonization, it also offers strong, ongoing coverage of minorities and women. New to this much-anticipated fifth edition is substantial expanded attention to the discussions of Native American education to reflect recent scholarship, the discussion of teachers and teacher leaders, and the educational developments and controversies of the 21st century.",Education,557,N/A,0,en
What's the Good of Education?,"Stephen Machin, Anna Vignoles",Princeton University Press,2018-06-05,"Volumes have been written about the value of more and better education. But is there sufficient evidence to support the commonly held belief that we, as individuals and as a community, should be investing more in education? This book explores that question in unprecedented detail, drawing on empirical evidence from an impressive array of sources. While much of the focus is on the educational system in the United Kingdom, the book offers lessons of international applicability. A state-of-the-art compendium on education policy and its impact on educational attainment, the book examines numerous large-scale data sources on individual pupils and schools. The questions the book considers are far-ranging: How much do teachers matter for children's educational attainment? What payoff do people get from acquiring more education when they enter the labor market? How well do education systems function to provide employers with the skills they want? The book concludes by issuing some strong policy recommendations and offering an evaluation of what does and does not work in improving educational attainment. The recommendations address such issues as school effectiveness, education financing, individual investment in education, government education initiatives, higher education, labor market rewards, and lifelong learning.",Education,257,N/A,0,en
Mindstorms,Seymour A Papert,Basic Books,2020-10-06,"In this revolutionary book, a renowned computer scientist explains the importance of teaching children the basics of computing and how it can prepare them to succeed in the ever-evolving tech world. Computers have completely changed the way we teach children. We have Mindstorms to thank for that. In this book, pioneering computer scientist Seymour Papert uses the invention of LOGO, the first child-friendly programming language, to make the case for the value of teaching children with computers. Papert argues that children are more than capable of mastering computers, and that teaching computational processes like de-bugging in the classroom can change the way we learn everything else. He also shows that schools saturated with technology can actually improve socialization and interaction among students and between students and teachers. Technology changes every day, but the basic ways that computers can help us learn remain. For thousands of teachers and parents who have sought creative ways to help children learn with computers, Mindstorms is their bible.",Education,272,N/A,0,en
Black Education,Joyce E. King,Routledge,2006-04-21,"This volume presents the findings and recommendations of the American Educational Research Association's (AERA) Commission on Research in Black Education (CORIBE) and offers new directions for research and practice. By commissioning an independent group of scholars of diverse perspectives and voices to investigate major issues hindering the education of Black people in the U.S., other Diaspora contexts, and Africa, the AERA sought to place issues of Black education and research practice in the forefront of the agenda of the scholarly community. An unprecedented critical challenge to orthodox thinking, this book makes an epistemological break with mainstream scholarship. Contributors present research on proven solutions--best practices--that prepare Black students and others to achieve at high levels of academic excellence and to be agents of their own socioeconomic and cultural transformation. These analyses and empirical findings also link the crisis in Black education to embedded ideological biases in research and the system of thought that often justifies the abject state of Black education. Written for both a scholarly and a general audience, this book demonstrates a transformative role for research and a positive role for culture in learning, in the academy, and in community and cross-national contexts. Volume editor Joyce E. King is the Benjamin E. Mays Endowed Chair of Urban Teaching, Learning and Leadership at Georgia State University and was chair of CORIBE. Additional Resources Black Education [CD-ROM] Research and Best Practices 1999-2001 Edited by Joyce E. King Georgia State University Informed by diverse perspectives and voices of leading researchers, teacher educators and classroom teachers, this rich, interactive CD-ROM contains an archive of the empirical findings, recommendations, and best practices assembled by the Commission on Research in Black Education. Dynamic multi-media presentations document concrete examples of transformative practice that prepare Black students and others to achieve academic and cultural excellence. This CD-ROM was produced with a grant from the SOROS Foundation, Open Society Institute. 0-8058-5564-5 [CD-ROM] / 2005 / Free Upon Request A Detroit Conversation [Video] Edited by Joyce E. King Georgia State University In this 20-minute video-documentary a diverse panel of educators--teachers, administrators, professors, a ""reform"" Board member, and parent and community activists--engage in a ""no holds barred"" conversation about testing, teacher preparation, and what is and is not working in Detroit schools, including a school for pregnant and parenting teens and Timbuktu Academy. Concrete suggestions for research and practice are offered. 0-8058-5625-0 [Video] / 2005 / $10.00 A Charge to Keep [Video] The Findings and Recommendations of te AERA Commission on Research in Black Education Edited by Joyce E. King Georgia State University This 50-minute video documents the findings and recommendations of the Commission on Research in Black Education (CORIBE), including exemplary educational approaches that CORIBE identified, cameo commentaries by Lisa Delpit, Gloria Ladson-Billings, Kathy Au, Donna Gollnick, Adelaide L. Sanford, Asa Hilliard, Edmund Gordon and others, and an extended interview with Sylvia Wynter. 0-8058-5626-9 [Video] / 2005 / $10.00",Education,437,N/A,0,en
Instructional Rounds in Education,Elizabeth A. City,N/A,2009,"Instructional Rounds in Education is intended to help education leaders and practitioners develop a shared understanding of what high-quality instruction looks like and what schools and districts need to do to support it. Walk into any school in America and you will see adults who care deeply about their students and are doing the best they can every day to help students learn. But you will also see a high degree of variability among classrooms--much higher than in most other industrialized countries. Today we are asking schools to do something they have never done before--educate all students to high levels--yet we don't know how to do that in every classroom for every child. Inspired by the medical-rounds model used by physicians, the authors have pioneered a new form of professional learning known as instructional rounds networks. Through this process, educators develop a shared practice of observing, discussing, and analyzing learning and teaching.",Education,238,N/A,0,en
