Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Get to the Point!,Joel Schwartzberg,Berrett-Koehler Publishers,2017-10-16,"In this indispensable guide for anyone who must communicate in speech or writing, Schwartzberg shows that most of us fail to convince because we don't have a point-a concrete contention that we can argue, defend, illustrate, and prove. He lays out, step-by-step, how to develop one. In Joel's Schwartzberg's ten-plus years as a strategic communications trainer, the biggest obstacle he's come across-one that connects directly to nervousness, stammering, rambling, and epic fail-is that most speakers and writers don't have a point. They typically have just a title, a theme, a topic, an idea, an assertion, a catchphrase, or even something much less. A point is something more. It's a contention you can propose, argue, defend, illustrate, and prove. A point offers a position of potential value. Global warming is real is not a point. Scientific evidence shows that global warming is a real, human-generated problem that will have a devastating environmental and financial impact is a point. When we have a point, our influence snaps into place. We communicate belief, conviction, and urgency. This book shows you how to identify your point, leverage it, stick to it, and sell it and how to train others to identify and successfully make their own points.",Business & Economics,129,N/A,0,en
Prose Fiction: An Introduction to the Semiotics of Narrative,Ignasi Ribó,Open Book Publishers,2019-12-13,"This concise and highly accessible textbook outlines the principles and techniques of storytelling. It is intended as a high-school and college-level introduction to the central concepts of narrative theory – concepts that will aid students in developing their competence not only in analysing and interpreting short stories and novels, but also in writing them. This textbook prioritises clarity over intricacy of theory, equipping its readers with the necessary tools to embark on further study of literature, literary theory and creative writing. Building on a ‘semiotic model of narrative,’ it is structured around the key elements of narratological theory, with chapters on plot, setting, characterisation, and narration, as well as on language and theme – elements which are underrepresented in existing textbooks on narrative theory. The chapter on language constitutes essential reading for those students unfamiliar with rhetoric, while the chapter on theme draws together significant perspectives from contemporary critical theory (including feminism and postcolonialism). This textbook is engaging and easily navigable, with key concepts highlighted and clearly explained, both in the text and in a full glossary located at the end of the book. Throughout the textbook the reader is aided by diagrams, images, quotes from prominent theorists, and instructive examples from classical and popular short stories and novels (such as Jane Austen’s Pride and Prejudice, Franz Kafka’s ‘The Metamorphosis,’ J. K. Rowling’s Harry Potter, or Dostoyevsky’s The Brothers Karamazov, amongst many others). Prose Fiction: An Introduction to the Semiotics of Narrative can either be incorporated as the main textbook into a wider syllabus on narrative theory and creative writing, or it can be used as a supplementary reference book for readers interested in narrative fiction. The textbook is a must-read for beginning students of narratology, especially those with no or limited prior experience in this area. It is of especial relevance to English and Humanities major students in Asia, for whom it was conceived and written.",Education,119,N/A,0,en
Science Fiction: A Critical Guide,Patrick Parrinder,Routledge,2021-05-18,"This book, first published in 1979, presents a portrait of science fiction as a distinct form of serious and creative literature. Contributors are drawn from Britain, America and Europe, and range from well-known academic critics to young novelists. The essays establish the common properties of science fiction writing, and assess the history and significance of a field in which critical judgements have often been unreliable. The material ranges from the earliest imaginative journeys to the moon, to later developments of British, American and European science fiction.",Literary Criticism,267,N/A,0,en
Modern Science Fiction: A Critical Analysis,"James Gunn, Michael R. Page",McFarland,2018-06-07,"James Gunn--one of the founding figures of science fiction scholarship and teaching--wrote in 1951 what is likely the first master's thesis on modern science fiction. Portions were in the short-lived pulp magazine Dynamic but it has otherwise remained unavailable. Here in its first full publication, the thesis explores many of the classic Golden Age stories of the 1940s and the critical perspective that informed Gunn's essential genre history Alternate Worlds and his anthology series The Road to Science Fiction. The editor's introduction and commentary show the historical significance of Gunn's work and its relevance to today's science fiction studies.",Literary Criticism,214,N/A,0,en
"Discovering Fiction, An Introduction Teacher's Manual","Judith Kay, Kay Gelshenen, Karen McAlister Shimoda",Cambridge University Press,2008-05-12,"Authentic North American short stories enhance students' reading skills, language learning, and enjoyment of literature. The Teacher's Manual provides tips and strategies on how to teach the different exercise types in a chapter. In addition, the authors provide interpretative commentary on the readings, helping teachers gain a literary appreciation of the text. Finally, a complete answer key is provided, including suggested answers to the critical thinking questions.",Fiction,84,N/A,0,en
Making It Up,Penelope Lively,Penguin,2006-09-26,"""Nobody writes more astutely or affectingly about [love]... than Penelope Lively."" -- The Washington Post An intelligent examination of alternative destinies, choices and the moments in our lives when we could have chosen a different path, from Booker Prize-winning author Penelope Lively In this fascinating piece of fiction, Penelope Lively takes moments from her own life and asks 'what if' she had made other choices: what if she hadn't escaped from Alexandria at the outbreak of WWII? What would her life have been like if she had become pregnant when she was 18? If she had married someone else? If she taken a different job? If she had lived her life abroad? These stories offer a sublime dance between realityand imaganation, inviting the reader to ask similar questions.",Fiction,225,N/A,0,en
A Million Little Pieces,James Frey,Hachette UK,2009-02-05,"A NEW YORK TIMES BESTSELLER 'Inspirational and essential' Bret Easton Ellis, author of American Psycho 'Poignant and tragic' The Spectator 'Easily the most remarkable non-fiction book about drugs and drug taking since Hunter S Thompson's Fear and Loathing in Las Vegas' Observer James Frey wakes up on a plane, with no memory of the preceding two weeks. His face is cut and his body is covered with bruises. He has no wallet and no idea of his destination. He has abused alcohol and every drug he can lay his hands on for a decade - and he is aged only twenty-three. What happens next is one of the most powerful and extreme stories ever told. His family takes him to a rehabilitation centre. And James Frey starts his perilous journey back to the world of the drug and alcohol-free living. His lack of self-pity is unflinching and searing. A Million Little Pieces is a dazzling account of a life destroyed and a life reconstructed. It is also the introduction of a bold and talented literary voice.",Biography & Autobiography,562,4,3,en
Malarky,Anakana Schofield,Simon and Schuster,2013-07-01,"A wickedly funny and wonderfully deranged literary debut introducing a brilliant new voice in contemporary Irish fiction Our Woman refuses to be sunk by what life is about to serve her. She’s just caught her son Jimmy in the barn with another man. She’s been accosted by Red the Twit, who claims to have done the unmentionable with her husband. And now her son’s gone and joined the only group that will have him: an army division on its way to Afghanistan. Setting aside her prim and proper ways, Our Woman promptly embarks on an odyssey of her own – one that forces her to look grief in the eye and come face-to-face with the mad agony of longing.",Fiction,266,N/A,0,en
Studying Fiction,"Jessica Mason, Marcello Giovanelli",Routledge,2021-04-19,"Studying Fiction provides a clear rationale alongside ideas and methods for teaching literature in schools from a cognitive linguistic perspective. Written by experienced linguists, teachers and researchers, it offers an overview of recent studies on reading and the mind, providing a detailed guide to concepts such as attention, knowledge, empathy, immersion, authorial intention, characterisation and social justice. The book synthesises research from cognitive linguistics in an applied way so that teachers and those researching English in education can consider ways to approach literary reading in the classroom. Each chapter: draws on the latest research in cognitive stylistics and cognitive poetics; discusses a range of ideas related to the whole experience of conceptualising teaching fiction in the classroom and enacting it through practice; provides activities and reflection exercises for the practitioner; encourages engagement with important issues such as social justice, emotion and curriculum design. Together with detailed suggestions for further reading and a guide to available resources, this is an essential guide for all secondary English teachers as well as those teaching and researching in primary and undergraduate phases.",Education,157,N/A,0,en
A Closed and Common Orbit,Becky Chambers,Hodderscape,2016-10-20,"SHORTLISTED FOR THE 2017 HUGO AWARD AND THE ARTHUR C CLARKE AWARD. WINNER OF THE 2017 PRIX JULIA-VERLANGER. 'Chambers is simply an exceptional talent' Tor.com The stand-alone sequel to the award-winning The Long Way to a Small, Angry Planet. Lovelace was once merely a ship's artificial intelligence. When she wakes up in an new body, following a total system shut-down and reboot, she has to start over in a synthetic body, in a world where her kind are illegal. She's never felt so alone. But she's not alone, not really. Pepper, one of the engineers who risked life and limb to reinstall Lovelace, is determined to help her adjust to her new world. Because Pepper knows a thing or two about starting over. Together, Pepper and Lovey will discover that, huge as the galaxy may be, it's anything but empty. PRAISE FOR THE WAYFARERS 'Never less than deeply involving' DAILY MAIL 'Explores the quieter side of sci-fi while still wowing us with daring leaps of imagination' iBOOKS 'So much fun to read' HEAT 'Warm, engaging, properly science-fictional, A Closed and Common Orbit is a very likable novel indeed' GUARDIAN 'The most fun that I've had with a novel in a long, long time' iO9",Fiction,353,N/A,0,en
