Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Caveboy Dave: More Scrawny Than Brawny,Aaron Reynolds,Penguin,2016-11-01,"A funny graphic-novel series by Aaron Reynolds, New York Times bestselling author of Creepy Carrots! His grandpa invented fire. His dad invented the wheel. How will Caveboy Dave leave his mark? Dave Unga-Bunga has always been more scrawny than brawny. This is a major problem when your village expects you to become a meat-bringer. At age twelve, all young cave-people must stalk through the eerie mushroom forests for a prehistoric beast the village can feast on. But Dave would much rather invent stuff for a better life—like underwear to make loincloths less itchy and cutlery to make eating less filthy. Can Dave save his group by inventing the perfect defense against a bloodthirsty pokeyhorn? Or will he MEET HIS DOOM? First in a new series, More Scrawny Than Brawny delivers irresistible characters, big thrills, and even bigger laughs. ""Imagine a prehistoric version of Wimpy Kid meets Captain Underpants."" —Boys' Life",Juvenile Fiction,257,N/A,0,en
Graphic Novels,Paul Gravett,Harper Design,2005-11-01,"Graphic novels, long stories told in comics format, have enjoyed the fastest-growing sales of any category of book in the U.S. over the last four years. This modern renaissance of comics has produced a library of substantial works, whose subjects are not confined to superheroes or fantasy but are as varied and sophisticated as the best films and literature. Graphic Novels presents an accessible, entertaining, and highly illustrated guide to the diversity of contemporary comics in book form. Featuring striking graphics and explanatory extracts from a wide range of graphic novels, the book examines the specific language of the comics medium; the history and pioneers of the form; recent masterpieces from Art Spiegelman's Maus to Chris Ware's Jimmy Corrigan; the impact of Japanese manga and European albums translated into English; how artists have overcome prejudices towards the genre; and the ambitious range of themes and issues artists are addressing, including childhood, war and survival, politics, the future, sexuality, and the supernatural.",Art,192,N/A,0,en
Dewdrop,K. O'Neill,Oni Press,2022-07-05,"""The axolotl-cheerleader picture book you didn't know you were waiting for."" - Kirkus From the author of The Tea Dragon Society comes Dewdrop, the delightful children's tale of an adorable axolotl who cheers on his underwater friends as they each bring their talents to the pond's sports fair! Dewdrop is an easygoing, gentle axolotl who enjoys naps, worm pie, and cheerleading. When the yearly sports fair nears, he and his friends—Mia the weightlifting turtle, Newman the musical newt, and three minnows who love to cook—get ready to showcase their skills to the whole pond! However, as the day of the fair gets closer, Dewdrop's friends can't help putting pressure on themselves to be the best. It's up to Dewdrop to remind them how to be mindful, go at their own pace, and find joy in their own achievements.",Juvenile Fiction,40,N/A,0,en
The Breakaways,Cathy G. Johnson,First Second,2019-03-05,"Quiet, sensitive Faith starts middle school already worrying about how she will fit in. To her surprise, Amanda, a popular eighth grader, convinces her to join the school soccer team, the Bloodhounds. Having never played soccer in her life, Faith ends up on the C team, a ragtag group that’s way better at drama than at teamwork. Although they are awful at soccer, Faith and her teammates soon form a bond both on and off the soccer field that challenges their notions of loyalty, identity, friendship, and unity. The Breakaways from Cathy G. Johnson is a raw, and beautifully honest graphic novel that looks into the lives of a diverse and defiantly independent group of kids learning to make room for themselves in the world.",Juvenile Fiction,226,5,1,en
Earthling!,"Mark Fearing, Tim Rummel",Chronicle Books,2018-10-02,"Every kid worries about making friends at a new school, but when nine-year-old Bud accidentally catches the wrong bus and finds himself launched into deep space, new friends are the least of his problems! At Cosmos Academy, Bud learns that Earthlings are the most feared creatures in the galaxy, and even Earth's location has been hidden! With the help of his new friend, Gort, Bud goes undercover as a Tenarian exchange student. Unfortunately that means everyone thinks he's a pro at anti-gravity Zero-Ball (even though he's really only a pro at watching sports). And with paranoid Principal Lepton threat ening to expel any Earthlings (into outer space) and only Gort's hacked Blip computer to help them determine Earth's co-ordinates, will Bud ever find his way home?",Juvenile Fiction,250,N/A,0,en
500 Essential Graphic Novels,Gene Kannenberg,Harper Collins,2008-08-05,"500 Essential Graphic Novels is an all-in-one guide to this exciting form of visual literature. Including more than 350 authors and 400 artists, this lush volume contains an essential mix of some of the finest visually-stunning stories of our time. From politically-charged non-fiction sagas to imaginative fantasy tales, this ultimate guide has something to satisfy everyone's taste. The first of its kind, this book focuses on each graphic novel separately, honing in on art technique, style and prose, plus an age rating system so parents will know what is suitable for their children. Chapters are divided by genre, complete with individual plot synopses and star-scaled reviews for each book, providing the reader with a concise and balanced understanding of today's best graphic novels.","Comic books, strips, etc",532,N/A,0,en
This Book Contains Graphic Language,Rocco Versaci,Continuum,2007-12-15,No Marketing Blurb,Language Arts & Disciplines,252,N/A,0,en
Blankets,Craig Thompson,Drawn & Quarterly,2023-07-03,"Blankets is the story of a young man coming of age and finding the confidence to express his creative voice. Craig Thompson's poignant graphic memoir plays out against the backdrop of a Midwestern winterscape: finely-hewn linework draws together a portrait of small town life, a rigorously fundamentalist Christian childhood, and a lonely, emotionally mixed-up adolescence. Under an engulfing blanket of snow, Craig and Raina fall in love at winter church camp, revealing to one another their struggles with faith and their dreams of escape. Over time though, their personal demons resurface and their relationship falls apart. It's a universal story, and Thompson's vibrant brushstrokes and unique page designs make the familiar heartbreaking all over again. This groundbreaking graphic novel, winner of two Eisner and three Harvey Awards, is an eloquent portrait of adolescent yearning; first love (and first heartache); faith in crisis; and the process of moving beyond all of that. Beautifully rendered in pen and ink, Thompson has created a love story that lasts.",Comics & Graphic Novels,584,N/A,0,en
The Invention of Hugo Cabret,Brian Selznick,Scholastic,2015-09-03,"An orphan and thief, Hugo lives in the walls of a busy train station. He desperately believes a broken automaton will make his dreams come true. But when his world collides with an eccentric girl and a bitter old man, Hugo's undercover life are put in jeopardy. Turn the pages, follow the illustrations and enter an unforgettable new world!",Juvenile Fiction,264,4,5,en
Signal to Noise,Neil Gaiman,Dark Horse Comics,2016-11-30,"A film director is dying of cancer. His greatest film would have told the story of a European village as the last hour of 999 AD approached—bringing Armageddon. Now that story will never be told. But he’s still working it out in his head, making a film that no one will ever see.",Comics & Graphic Novels,99,N/A,0,en
