Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The American Health Care Paradox,"Elizabeth Bradley, Lauren Taylor",Public Affairs,2013-11-05,"Considers why U.S. society is believed to be less healthy in spite of disproportionate spending on health care, identifying a lack of social services, outdated care allocations, and a resistance to government programs as the problem.",Political Science,274,N/A,0,en
To Err Is Human,"Institute of Medicine, Committee on Quality of Health Care in America",National Academies Press,2000-03-01,"Experts estimate that as many as 98,000 people die in any given year from medical errors that occur in hospitals. That's more than die from motor vehicle accidents, breast cancer, or AIDSâ€""three causes that receive far more public attention. Indeed, more people die annually from medication errors than from workplace injuries. Add the financial cost to the human tragedy, and medical error easily rises to the top ranks of urgent, widespread public problems. To Err Is Human breaks the silence that has surrounded medical errors and their consequenceâ€""but not by pointing fingers at caring health care professionals who make honest mistakes. After all, to err is human. Instead, this book sets forth a national agendaâ€""with state and local implicationsâ€""for reducing medical errors and improving patient safety through the design of a safer health system. This volume reveals the often startling statistics of medical error and the disparity between the incidence of error and public perception of it, given many patients' expectations that the medical profession always performs perfectly. A careful examination is made of how the surrounding forces of legislation, regulation, and market activity influence the quality of care provided by health care organizations and then looks at their handling of medical mistakes. Using a detailed case study, the book reviews the current understanding of why these mistakes happen. A key theme is that legitimate liability concerns discourage reporting of errorsâ€""which begs the question, ""How can we learn from our mistakes?"" Balancing regulatory versus market-based initiatives and public versus private efforts, the Institute of Medicine presents wide-ranging recommendations for improving patient safety, in the areas of leadership, improved data collection and analysis, and development of effective systems at the level of direct patient care. To Err Is Human asserts that the problem is not bad people in health careâ€""it is that good people are working in bad systems that need to be made safer. Comprehensive and straightforward, this book offers a clear prescription for raising the level of patient safety in American health care. It also explains how patients themselves can influence the quality of care that they receive once they check into the hospital. This book will be vitally important to federal, state, and local health policy makers and regulators, health professional licensing officials, hospital administrators, medical educators and students, health caregivers, health journalists, patient advocatesâ€""as well as patients themselves. First in a series of publications from the Quality of Health Care in America, a project initiated by the Institute of Medicine",Medical,312,N/A,0,en
Essentials of Global Health,"Babulal Sethia, Parveen Kumar",Elsevier Health Sciences,2018-03-19,"This unique introduction to the essentials of global health has been constructed by medical students from all over the world through the help of Medsin (now Students for Global Health) and the International Federation of Medical Students' Association (IFMSA). The global student and trainee author team, recruited and guided initially by Drs Dan and Felicity Knights (themselves students and officers of Medsin when work commenced), identified the key areas to be covered. Then the book they put together was edited by two experts in the field: Mr B Sethia and Professor Parveen Kumar. Royalties raised from this book go to a grant fund for student global health projects. Written by medical students and junior doctors from Students for Global Health and the International Federation of Medical Students' Association (IFMSA). Edited by two experts in the field, Mr B Sethia and Professor Parveen Kumar. Royalties go to a grant fund for student global health projects.",Medical,316,N/A,0,en
VA health care overview,United States. Department of Veterans Affairs,N/A,2004,N/A,Families of military personnel,22,N/A,0,en
The Five Health Frontiers,Christopher Thomas,N/A,2022-01-20,"A transformative approach to public health, political economy and social care in the wake of Covid-19",,240,N/A,0,en
The Political Determinants of Health,Daniel E. Dawes,Johns Hopkins University Press,2020-03-24,"How do policy and politics influence the social conditions that generate health outcomes? Reduced life expectancy, worsening health outcomes, health inequity, and declining health care options—these are now realities for most Americans. However, in a country of more than 325 million people, addressing everyone's issues is challenging. How can we effect beneficial change for everyone so we all can thrive? What is the great equalizer? In this book, Daniel E. Dawes argues that political determinants of health create the social drivers—including poor environmental conditions, inadequate transportation, unsafe neighborhoods, and lack of healthy food options—that affect all other dynamics of health. By understanding these determinants, their origins, and their impact on the equitable distribution of opportunities and resources, we will be better equipped to develop and implement actionable solutions to close the health gap. Dawes draws on his firsthand experience helping to shape major federal policies, including the Affordable Care Act, to describe the history of efforts to address the political determinants that have resulted in health inequities. Taking us further upstream to the underlying source of the causes of inequities, Dawes examines the political decisions that lead to our social conditions, makes the social determinants of health more accessible, and provides a playbook for how we can address them effectively. A thought-provoking and evocative account that considers both the policies we think of as ""health policy"" and those that we don't, The Political Determinants of Health provides a novel, multidisciplinary framework for addressing the systemic barriers preventing the United States from becoming the healthiest nation in the world.",Medical,241,N/A,0,en
Health Professions Education,"Institute of Medicine, Board on Health Care Services, Committee on the Health Professions Education Summit",National Academies Press,2003-07-01,"The Institute of Medicine study Crossing the Quality Chasm (2001) recommended that an interdisciplinary summit be held to further reform of health professions education in order to enhance quality and patient safety. Health Professions Education: A Bridge to Quality is the follow up to that summit, held in June 2002, where 150 participants across disciplines and occupations developed ideas about how to integrate a core set of competencies into health professions education. These core competencies include patient-centered care, interdisciplinary teams, evidence-based practice, quality improvement, and informatics. This book recommends a mix of approaches to health education improvement, including those related to oversight processes, the training environment, research, public reporting, and leadership. Educators, administrators, and health professionals can use this book to help achieve an approach to education that better prepares clinicians to meet both the needs of patients and the requirements of a changing health care system.",Medical,191,N/A,0,en
Art Therapy and Health Care,Cathy A. Malchiodi,Guilford Press,2012-01-01,"Demonstrating the benefits of creative expression for patients living with acute or chronic illness, this volume provides a complete, practical introduction to medical art therapy. It presents evidence-based strategies for helping people of all ages -- from young children to older adults -- cope with physical and cognitive symptoms, reduce stress, and improve their quality of life. Detailed case material and approximately 100 drawings and other artwork illustrate ways to work with individuals and groups with specific health conditions and challenges, as well as their family members. Contributors are experienced art therapists who combine essential background knowledge with in-depth clinical guidance.",Psychology,402,N/A,0,en
Care Without Coverage,"Institute of Medicine, Board on Health Care Services, Committee on the Consequences of Uninsurance",National Academies Press,2002-06-20,"Many Americans believe that people who lack health insurance somehow get the care they really need. Care Without Coverage examines the real consequences for adults who lack health insurance. The study presents findings in the areas of prevention and screening, cancer, chronic illness, hospital-based care, and general health status. The committee looked at the consequences of being uninsured for people suffering from cancer, diabetes, HIV infection and AIDS, heart and kidney disease, mental illness, traumatic injuries, and heart attacks. It focused on the roughly 30 million-one in seven-working-age Americans without health insurance. This group does not include the population over 65 that is covered by Medicare or the nearly 10 million children who are uninsured in this country. The main findings of the report are that working-age Americans without health insurance are more likely to receive too little medical care and receive it too late; be sicker and die sooner; and receive poorer care when they are in the hospital, even for acute situations like a motor vehicle crash.",Medical,213,N/A,0,en
Health Care Revolt,Michael Fine,PM Press,2018-09-01,"The U.S. does not have a health system. Instead we have market for health-related goods and services, a market in which the few profit from the public’s ill-health. Health Care Revolt looks around the world for examples of health care systems that are effective and affordable, pictures such a system for the U.S., and creates a practical playbook for a political revolution in health care that will allow the nation to protect health while strengthening democracy. Dr. Fine writes with the wisdom of a clinician, the savvy of a state public health commissioner, the precision of a scholar, and the energy and commitment of a community organizer.",Political Science,172,N/A,0,en
