Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Book of the Year,Anthony F. Aveni,Oxford University Press,2004-04-22,"Halloween, Valentine's Day, Christmas, Thanksgiving, New Year's Day - these are but a handful of modern holidays descended from the red-letter days, seasonal celebrations we have invented and reinvented over more than five millennia to meet our changing human needs. When we explore their origins, the holidays begin to reflect not only who we are but also why, through oppressed by time and thwarted by the forces of nature, we never seem to lose the will to control the future.",History,228,N/A,0,en
A History of the Book in America,"Robert A. Gross, Mary Kelley",N/A,2014-07-07,"History of the Book in America: Volume 2: An Extensive Republic: Print, Culture, and Society in the New Nation, 1790-1840",History,0,N/A,0,en
These Truths: A History of the United States,Jill Lepore,W. W. Norton & Company,2018-09-18,"“Nothing short of a masterpiece.” —NPR Books A New York Times Bestseller and a Washington Post Notable Book of the Year In the most ambitious one-volume American history in decades, award-winning historian Jill Lepore offers a magisterial account of the origins and rise of a divided nation. Widely hailed for its “sweeping, sobering account of the American past” (New York Times Book Review), Jill Lepore’s one-volume history of America places truth itself—a devotion to facts, proof, and evidence—at the center of the nation’s history. The American experiment rests on three ideas—“these truths,” Jefferson called them—political equality, natural rights, and the sovereignty of the people. But has the nation, and democracy itself, delivered on that promise? These Truths tells this uniquely American story, beginning in 1492, asking whether the course of events over more than five centuries has proven the nation’s truths, or belied them. To answer that question, Lepore wrestles with the state of American politics, the legacy of slavery, the persistence of inequality, and the nature of technological change. “A nation born in contradiction… will fight, forever, over the meaning of its history,” Lepore writes, but engaging in that struggle by studying the past is part of the work of citizenship. With These Truths, Lepore has produced a book that will shape our view of American history for decades to come.",History,733,5,1,en
Art History: A Very Short Introduction,Dana Arnold,OUP Oxford,2004-01-22,"This clear and concise new introduction examines all the major debates and issues using a wide range of well-known examples. It discusses the challenge of using verbal and written language to analyse a visual form. Dana Arnold also examines the many different ways of writing about art, and the changing boundaries of the subject of art history. Topics covered include the canon of Art History, the role of the gallery, 'blockbuster' exhibitions, the emergence of social histories of art (Feminist Art History or Queer Art History, for example), the impact of photography, and the development of Art History using artefacts such as the altarpiece, the portrait, or pornography, to explore social and cultural issues such as consumption, taste, religion, and politics. Importantly, this book explains how the traditional emphasis on periods and styles originates in western art production and can obscure other critical approaches, as well as art from non western cultures. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",Art,166,N/A,0,en
A Universal History of the Destruction of Books,Fernando Báez,N/A,2008,"Examines the many reasons and motivations for the destruction of books throughout history, citing specific acts from the smashing of ancient Sumerian tablets to the looting of libraries in post-war Iraq.",History,392,N/A,0,en
Taiwan: A New History,Murray A. Rubinstein,Routledge,2015-02-12,"This is a comprehensive portrait of Taiwan. It covers the major periods in the development of this small but powerful island province/nation. The work is designed in the style of the multi-volume ""Cambridge History of China"".",Religion,650,N/A,0,en
A People's History of the United States,Howard Zinn,Harper Collins,2003-02-04,"Since its original landmark publication in 1980, A People's History of the United States has been chronicling American history from the bottom up, throwing out the official version of history taught in schools -- with its emphasis on great men in high places -- to focus on the street, the home, and the, workplace. Known for its lively, clear prose as well as its scholarly research, A People's History is the only volume to tell America's story from the point of view of -- and in the words of -- America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers. As historian Howard Zinn shows, many of our country's greatest battles -- the fights for a fair wage, an eight-hour workday, child-labor laws, health and safety standards, universal suffrage, women's rights, racial equality -- were carried out at the grassroots level, against bloody resistance. Covering Christopher Columbus's arrival through President Clinton's first term, A People's History of the United States, which was nominated for the American Book Award in 1981, features insightful analysis of the most important events in our history. Revised, updated, and featuring a new after, word by the author, this special twentieth anniversary edition continues Zinn's important contribution to a complete and balanced understanding of American history.",History,764,3.5,12,en
History,John H. Arnold,OUP Oxford,2000-02-24,"There are many stories we can tell about the past, and we are not, perhaps, as free as we might imagine in our choice of which stories to tell, or where those stories end. John Arnold's Very Short Introduction is a stimulating essay about how we study and understand history. The book begins by inviting us to think about various questions provoked by our investigation of history, and explores the ways these questions have been answered in the past. Concepts such as causation, interpretation, and periodization, are introduced by means of concrete examples of how historians work, giving the reader a sense of the excitement of discovering not only the past, but also ourselves. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",History,156,4,1,en
Knowing History in Schools,Arthur Chapman ,UCL Press,2021-01-07,"The ‘knowledge turn’ in curriculum studies has drawn attention to the central role that knowledge of the disciplines plays in education, and to the need for new thinking about how we understand knowledge and knowledge-building. Knowing History in Schools explores these issues in the context of teaching and learning history through a dialogue between the eminent sociologist of curriculum Michael Young, and leading figures in history education research and practice from a range of traditions and contexts. With a focus on Young’s ‘powerful knowledge’ theorisation of the curriculum, and on his more recent articulations of the ‘powers’ of knowledge, this dialogue explores the many complexities posed for history education by the challenge of building children’s historical knowledge and understanding. The book builds towards a clarification of how we can best conceptualise knowledge-building in history education. Crucially, it aims to help history education students, history teachers, teacher educators and history curriculum designers navigate the challenges that knowledge-building processes pose for learning history in schools.",Education,286,N/A,0,en
The Lessons of History,"Will Durant, Ariel Durant",Simon and Schuster,2012-08-21,"A concise survey of the culture and civilization of mankind, The Lessons of History is the result of a lifetime of research from Pulitzer Prize–winning historians Will and Ariel Durant. With their accessible compendium of philosophy and social progress, the Durants take us on a journey through history, exploring the possibilities and limitations of humanity over time. Juxtaposing the great lives, ideas, and accomplishments with cycles of war and conquest, the Durants reveal the towering themes of history and give meaning to our own.",History,117,N/A,0,en
The Book,"F. J. F. Suarez, H. R. Woudhuysen",OUP Oxford,2013-10-24,"A concise edition of the highly acclaimed Oxford Companion to the Book, this book features the 51 articles from the Companion plus 3 brand new chapters in one affordable volume. The 54 chapters introduce readers to the fascinating world of book history. Including 21 thematic studies on topics such as writing systems, the ancient and the medieval book, and the economics of print, as well as 33 regional and national histories of 'the book', offering a truly global survey of the book around the world, the Oxford History of the Book is the most comprehensive work of its kind. The three new articles, specially commissioned for this spin-off, cover censorship, copyright and intellectual property, and book history in the Caribbean and Bermuda. All essays are illustrated throughout with reproductions, diagrams, and examples of various typographical features. Beautifully produced and hugely informative, this is a must-have for anyone with an interest in book history and the written word.",Reference,937,N/A,0,en
A Sense of History,American Heritage Publishing Staff,Ibooks,2003-08-01,"For almost 50 years, American Heritage magazine has been telling America's story in fresh and vivid articles that have come to represent the best of responsible popular history. In this compre-hensive and informative book, the editors of American Heritage have combed through every issue to find the most entertaining and illuminating pieces. The result -- by turns stirring, moving, funny, evocative, horrifying -- is an unusually revealing informal history of American civilisation from the first settlements to the close of the twentieth century. ""A Sense of History"" proves that the best history is always the best reading. And the authors are numbered among the foremost historians, novelists, and public figures of recent years.",History,864,N/A,0,en
The Cambridge Companion to the History of the Book,Leslie Howsam,Cambridge University Press,2015,"An accessible and wide-ranging study of the history of the book within local, national and global contexts.",Language Arts & Disciplines,301,N/A,0,en
U.S. History,"P. Scott Corbett, Volker Janssen, John M. Lund, Todd Pfannestiel, Sylvie Waskiewicz, Paul Vickery",,2024-09-10,"U.S. History is designed to meet the scope and sequence requirements of most introductory courses. The text provides a balanced approach to U.S. history, considering the people, events, and ideas that have shaped the United States from both the top down (politics, economics, diplomacy) and bottom up (eyewitness accounts, lived experience). U.S. History covers key forces that form the American experience, with particular attention to issues of race, class, and gender.",History,1886,N/A,0,en
A History of the Book in America,"David Paul Nord, Joan Shelley Rubin, Michael Schudson, David D. Hall",UNC Press Books,2015-12-01,"The fifth volume of A History of the Book in America addresses the economic, social, and cultural shifts affecting print culture from World War II to the present. During this period factors such as the expansion of government, the growth of higher education, the climate of the Cold War, globalization, and the development of multimedia and digital technologies influenced the patterns of consolidation and diversification established earlier. The thirty-three contributors to the volume explore the evolution of the publishing industry and the business of bookselling. The histories of government publishing, law and policy, the periodical press, literary criticism, and reading--in settings such as schools, libraries, book clubs, self-help programs, and collectors' societies--receive imaginative scrutiny as well. The Enduring Book demonstrates that the corporate consolidations of the last half-century have left space for the independent publisher, that multiplicity continues to define American print culture, and that even in the digital age, the book endures. Contributors: David Abrahamson, Northwestern University James L. Baughman, University of Wisconsin-Madison Kenneth Cmiel (d. 2006) James Danky, University of Wisconsin-Madison Robert DeMaria Jr., Vassar College Donald A. Downs, University of Wisconsin-Madison Robert W. Frase (d. 2003) Paul C. Gutjahr, Indiana University David D. Hall, Harvard Divinity School John B. Hench, American Antiquarian Society Patrick Henry, New York City College of Technology Dan Lacy (d. 2001) Marshall Leaffer, Indiana University Bruce Lewenstein, Cornell University Elizabeth Long, Rice University Beth Luey, Arizona State University Tom McCarthy, Beirut, Lebanon Laura J. Miller, Brandeis University Priscilla Coit Murphy, Chapel Hill, N.C. David Paul Nord, Indiana University Carol Polsgrove, Indiana University David Reinking, Clemson University Jane Rhodes, Macalester College John V. Richardson Jr., University of California, Los Angeles Joan Shelley Rubin, University of Rochester Michael Schudson, University of California, San Diego, and Columbia University Linda Scott, University of Oxford Dan Simon, Seven Stories Press Ilan Stavans, Amherst College Harvey M. Teres, Syracuse University John B. Thompson, University of Cambridge Trysh Travis, University of Florida Jonathan Zimmerman, New York University",History,637,N/A,0,en
History in the Making,"Catherine Locks, Sarah K. Mergel, Pamela Thomas Roseman, Tamara Spike",N/A,2013-04-19,A peer-reviewed open U.S. History Textbook released under a CC BY SA 3.0 Unported License.,History,0,N/A,0,en
A Little History of the World,E. H. Gombrich,Yale University Press,2014-10-01,"E. H. Gombrich's Little History of the World, though written in 1935, has become one of the treasures of historical writing since its first publication in English in 2005. The Yale edition alone has now sold over half a million copies, and the book is available worldwide in almost thirty languages. Gombrich was of course the best-known art historian of his time, and his text suggests illustrations on every page. This illustrated edition of the Little History brings together the pellucid humanity of his narrative with the images that may well have been in his mind's eye as he wrote the book. The two hundred illustrations—most of them in full color—are not simple embellishments, though they are beautiful. They emerge from the text, enrich the author's intention, and deepen the pleasure of reading this remarkable work. For this edition the text is reset in a spacious format, flowing around illustrations that range from paintings to line drawings, emblems, motifs, and symbols. The book incorporates freshly drawn maps, a revised preface, and a new index. Blending high-grade design, fine paper, and classic binding, this is both a sumptuous gift book and an enhanced edition of a timeless account of human history.",History,401,N/A,0,en
History and Presence,Robert A. Orsi,Belknap Press,2018-06-11,"A Choice Outstanding Academic Title of the Year Beginning with metaphysical debates in the sixteenth century over the nature of Christ’s presence in the host, the distinguished historian and scholar of religion Robert Orsi imagines an alternative to the future of religion that early moderns proclaimed was inevitable. “Orsi’s evoking of the full reality of the holy in the world is extremely moving, shot through with wonder and horror.” —Caroline Walker Bynum, Common Knowledge “This is a meticulously researched, humane, and deeply challenging book. The men and women studied in this book do not belong to ‘a world we have lost.’ They belong to a world we have lost sight of.” —Peter Brown, Princeton University “[A] brilliant, theologically sophisticated exploration of the Catholic experience of God’s presence through the material world... On every level—from its sympathetic, honest, and sometimes moving ethnography to its astute analytical observations—this book is a scholarly masterpiece.” —A. W. Klink, Choice “Orsi recaptures God’s breaking into the world ... The book does an excellent job of explaining both the difficulties and values inherent in recognizing God in the world.” —Publishers Weekly “This book is classic Orsi: careful, layered, humane, and subtle...a thought-provoking, expertly arranged tour of precisely those abundant, excessive phenomena which scholars have historically found so difficult to think.” —Sonja Anderson, Reading Religion",Religion,378,N/A,0,en
End of History and the Last Man,Francis Fukuyama,Simon and Schuster,2006-03-01,"Ever since its first publication in 1992, the New York Times bestselling The End of History and the Last Man has provoked controversy and debate. ""Profoundly realistic and important...supremely timely and cogent...the first book to fully fathom the depth and range of the changes now sweeping through the world."" —The Washington Post Book World Francis Fukuyama's prescient analysis of religious fundamentalism, politics, scientific progress, ethical codes, and war is as essential for a world fighting fundamentalist terrorists as it was for the end of the Cold War. Now updated with a new afterword, The End of History and the Last Man is a modern classic.",History,464,5,1,en
