Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
"Humor, Seriously","Jennifer Aaker, Naomi Bagdonas",Crown Currency,2021-02-02,"WALL STREET JOURNAL, LOS ANGELES TIMES, AND USA TODAY BESTSELLER • Anyone—even you!—can learn how to harness the power of humor in business (and life), based on the popular class at Stanford’s Graduate School of Business. Don’t miss the authors’ TED Talk, “Why great leaders take humor seriously,” online now. “The ultimate guide to using the magical power of funny as a tool for leadership and a force for good.”—Daniel H. Pink, #1 New York Times bestselling author of When and Drive We are living through a period of unprecedented uncertainty and upheaval in both our personal and professional lives. So it should come as a surprise to exactly no one that trust, human connection, and mental well-being are all on the decline. This may seem like no laughing matter. Yet, the research shows that humor and laughter are among the most valuable tools we have at our disposal for strengthening bonds and relationships, diffusing stress and tension, boosting resilience, and performing when the stakes are high. That’s why Jennifer Aaker and Naomi Bagdonas teach the popular course Humor: Serious Business at the Stanford Graduate School of Business, where they help some of the world’s most hard-driving, blazer-wearing business minds infuse more humor and levity into their work and lives. In Humor, Seriously, they draw on findings by behavioral scientists, world-class comedians, and inspiring business leaders to reveal how humor works and—more important—how you can use more of it, better. Aaker and Bagdonas unpack the theory and application of humor: what makes something funny, how to mine your life for material, and simple ways to identify and leverage your unique humor style. They show how to use humor to rebuild vital connections; appear more confident, competent, and authentic at work; and foster cultures where levity and creativity can thrive. President Dwight David Eisenhower once said, “A sense of humor is part of the art of leadership, of getting along with people, of getting things done.” If Dwight David Eisenhower, the second least naturally funny president (after Franklin Pierce), thought humor was necessary to win wars, build highways, and warn against the military-industrial complex, then you might consider learning it too.",Business & Economics,274,N/A,0,en
American Humor,Constance Rourke,New York Review of Books,2004-02-29,"Stepping out of the darkness, the American emerges upon the stage of history as a new character, as puzzling to himself as to others. American Humor, Constance Rourke's pioneering ""study of the national character,"" singles out the archetypal figures of the Yankee peddler, the backwoodsman, and the blackface minstrel to illuminate the fundamental role of popular culture in fashioning a distinctive American sensibility. A memorable performance in its own right, American Humor crackles with the jibes and jokes of generations while presenting a striking picture of a vagabond nation in perpetual self-pursuit. Davy Crockett and Henry James, Jim Crow and Emily Dickinson rub shoulders in a work that inspired such later critics as Pauline Kael and Lester Bangs and which still has much to say about the America of Bob Dylan and Thomas Pynchon, Bill Clinton and George W. Bush.",History,284,N/A,0,en
Writing Humor (Lit Starts),San Francisco Writers' Grotto,Abrams,2022-07-05,"A book of writing prompts from the San Francisco Writers’ Grotto, authors of the best-selling 642 Things series. Focus on a single aspect of the craft of writing with help from the San Francisco Writers’ Grotto. Writing Humor starts with a foreword by author Chris Colin, who offers pointers for developing your own comedic style. The rest of the book consists of prompts and space to think, providing opportunities to explore your voice in various hilarious scenarios. Among other ideas, you’ll be asked to write: an account of a bachelor, from the perspective of his refrigerator a Craigslist ad for something you are desperate to sell a eulogy to a pair of jeans that no longer fit an evaluation of a coworker in the form of a school report card a list of embarrassing moments that are funny in hindsight Take to a café, on vacation, or on your morning commute and practice your creative writing a little bit at a time. Special Features Advice from a published writer, followed by prompts Part of a collection of single-subject writing prompt books by the San Francisco Writers’ Grotto Check out the other books in the Lit Starts series: Writing Action, Writing Character, and Writing Dialogue.",Language Arts & Disciplines,70,N/A,0,en
Roy Blount's Book of Southern Humor,Roy Blount,W. W. Norton,1994,"A treasury of contemporary Southern humor includes more than 150 stories, sketches, essays, poems, memoirs, and song lyrics from William Faulkner, Mark Twain, Zora Neal Hurston, Dave Barry, and other contributors",Humor,668,N/A,0,en
The Random House Book of Humor for Children,Pamela Pollack,Random House Books for Young Readers,1988,A humor collection for middle graders composed of thirty-four prose selections--short stories and chunks from novels.,"Children's stories, American",0,N/A,0,en
Encyclopedia of Humor Studies,Salvatore Attardo,SAGE Publications,2014-02-25,"The Encyclopedia of Humor: A Social History explores the concept of humor in history and modern society in the United States and internationally. This work’s scope encompasses the humor of children, adults, and even nonhuman primates throughout the ages, from crude jokes and simple slapstick to sophisticated word play and ironic parody and satire. As an academic social history, it includes the perspectives of a wide range of disciplines, including sociology, child development, social psychology, life style history, communication, and entertainment media. Readers will develop an understanding of the importance of humor as it has developed globally throughout history and appreciate its effects on child and adult development, especially in the areas of health, creativity, social development, and imagination. This two-volume set is available in both print and electronic formats. Features & Benefits: The General Editor also serves as Editor-in-Chief of HUMOR: International Journal of Humor Research for The International Society for Humor Studies. The book’s 335 articles are organized in A-to-Z fashion in two volumes (approximately 1,000 pages). This work is enhanced by an introduction by the General Editor, a Foreword, a list of the articles and contributors, and a Reader’s Guide that groups related entries thematically. A Chronology of Humor, a Resource Guide, and a detailed Index are included. Each entry concludes with References/Further Readings and cross references to related entries. The Index, Reader’s Guide themes, and cross references between and among related entries combine to provide robust search-and-browse features in the electronic version. This two-volume, A-to-Z set provides a general, non-technical resource for students and researchers in such diverse fields as communication and media studies, sociology and anthropology, social and cognitive psychology, history, literature and linguistics, and popular culture and folklore.",Language Arts & Disciplines,985,3,1,en
The Psychology of Humor,"Rod A. Martin, Thomas Ford",Academic Press,2018-07-14,"Most of us laugh at something funny multiple times during a typical day. Humor serves multiple purposes, and although there is a sizable and expanding research literature on the subject, the research is spread in a variety of disciplines. The Psychology of Humor, 2e reviews the literature, integrating research from across subdisciplines in psychology, as well as related fields such as anthropology, biology, computer science, linguistics, sociology, and more. This book begins by defining humor and presenting theories of humor. Later chapters cover cognitive processes involved in humor and the effects of humor on cognition. Individual differences in personality and humor are identified as well as the physiology of humor, the social functions of humor, and how humor develops and changes over the lifespan. This book concludes noting the association of humor with physical and mental health, and outlines applications of humor use in psychotherapy, education, and the workplace. In addition to being fully updated with recent research, the second edition includes a variety of new materials. More graphs, tables, and figures now illustrate concepts, processes, and theories. It provides new brief interviews with prominent humor scholars via text boxes. The end of each chapter now includes a list of key concepts, critical thinking questions, and a list of resources for further reading. - Covers research on humor and laughter in every area of psychology - Integrates research findings into a coherent conceptual framework - Includes brain imaging studies, evolutionary models, and animal research - Integrates related information from sociology, linguistics, neuroscience, and anthropology - Explores applications of humor in psychotherapy, education, and the workplace - Provides new research, plus key concepts and chapter summaries",Psychology,550,N/A,0,en
Humor Works,John Morreall,Human Resource Development,1997,"Explores the connections between humor and creativity, teamwork, risk-taking, and effective communication.",Business & Economics,284,N/A,0,en
The Humor Code,"Peter McGraw, Joel Warner",Simon and Schuster,2015-04-28,"Part road-trip comedy and part social science experiment, a scientist and a journalist travel the globe to discover the secret behind what makes things funny, questioning countless experts, including Louis C.K., along the way.",Business & Economics,256,N/A,0,en
An Anatomy of Humor,Arthur Asa Berger,Routledge,2017-07-05,"Humor permeates every aspect of society and has done so for thousands of years. People experience it daily through television, newspapers, literature, and contact with others. Rarely do social researchers analyze humor or try to determine what makes it such a dominating force in our lives. The types of jokes a person enjoys contribute significantly to the definition of that person as well as to the character of a given society. Arthur Asa Berger explores these and other related topics in An Anatomy of Humor. He shows how humor can range from the simple pun to complex plots in Elizabethan plays.Berger examines a number of topics ethnicity, race, gender, politics each with its own comic dimension. Laughter is beneficial to both our physical and mental health, according to Berger. He discerns a multiplicity of ironies that are intrinsic to the analysis of humor. He discovers as much complexity and ambiguity in a cartoon, such as Mickey Mouse, as he finds in an important piece of literature, such as Huckleberry Finn. An Anatomy of Humor is an intriguing and enjoyable read for people interested in humor and the impact of popular and mass culture on society. It will also be of interest to professionals in communication and psychologists concerned with the creative process.",Psychology,211,N/A,0,en
