Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Pura's Cuentos,Annette Bay Pimentel,Abrams,2021-09-07,"A lyrical, vibrant picture book tribute to the amazing life and legacy of Pura Belpré, a lauded storyteller, librarian, and pioneer of bilingual storytimes Pura’s abuela always has a cuento to share. She crows ¡Qui-qui-ri-quí! for Señor Gallo, booms Borom, Borom for Señor Zapo, and tells of a beautiful cockroach who loves a mouse. Pura clings to these stories like coquíes cling to green leaves. When Pura grows up and moves from Puerto Rico to Harlem, she gets a job at the library, where she is surrounded by stories—but they’re only in English. Where is Señor Gallo? Where is Pérez the mouse? Where is Puerto Rico on these shelves? She decides to tell children the tales of her homeland in English and in Spanish. Lyrically written by Annette Bay Pimentel with lively illustrations from award-winning artist Magaly Morales, Pura’s Cuentos captures the exuberant spirit and passion of Pura Belpré: celebrated storyteller, author, folklorist, and the first Latina librarian in New York City. A pioneer of bilingual storytimes, she welcomed countless new families to the library, formed cultural bridges in her community, and broke the rules by telling stories that weren’t printed in books—at least, not yet. “Morales’ vivid artwork in warm, saturated colors wittily captures the movement, rhythm, and energy of Belpré’s legacy, which is echoed in the lyrical text. Emphasizing the importance of books as mirrors, as well as inclusion, diversity, proactiveness, talent, and social impact, this is a treasure of a picture-book biography.” —Booklist (starred review)",Juvenile Nonfiction,42,N/A,0,en
Biblioburro,Jeanette Winter,Simon and Schuster,2011-06-28,"A man, his burros, and his books bring joy to children in remote Colombian villages in this inspiring book based on a true story by celebrated picture book creator Jeanette Winter. Luis loves to read, but soon his house in Colombia is so full of books there’s barely room for the family. What to do? Then he comes up with the perfect solution—a traveling library! He buys two donkeys—Alfa and Beto—and travels with them throughout the land, bringing books and reading to the children in faraway villages. Complete with an author’s note about the real man on whom this story is based.",Juvenile Nonfiction,32,5,2,en
Dear Librarian,Lydia M. Sigwarth,"Farrar, Straus and Giroux (BYR)",2021-06-01,"When Lydia was five years old, she and her family had to leave their home. They hopped from Grandma's house to Aunt Linda's house to Cousin Alice's house, but no place was permanent. Then one day, everything changed. Lydia's mom took her to a new place — not a house, but a big building with stone columns, and tall, tall steps. The library. In the library, Lydia found her special spot across from the sunny window, at a round desk. For behind that desk was her new friend, the librarian. Together, Lydia and the librarian discovered a world beyond their walls, one that sparkled with spectacular joy. Paired with warm art by newcomer Romina Galotta and a foreword by Ira Glass, Dear Librarian is a ""thank you"" to anyone who has offered a child love and support during a difficult time.",Juvenile Nonfiction,21,N/A,0,en
The Journey That Saved Curious George,Louise Borden,Houghton Mifflin Harcourt,2005-09-26,"In 1940, Hans and Margret Rey fled their Paris home as the German army advanced. They began their harrowing journey on bicycles, pedaling to Southern France with children’s book manuscripts among their few possessions. Louise Borden combed primary resources, including Hans Rey’s pocket diaries, to tell this dramatic true story. Archival materials introduce readers to the world of Hans and Margret Rey while Allan Drummond dramatically and colorfully illustrates their wartime trek to a new home. Follow the Rey’s amazing story in this unique large format book that resembles a travel journal and includes full-color illustrations, original photos, actual ticket stubs and more. A perfect book for Curious George fans of all ages.",Juvenile Nonfiction,79,N/A,0,en
Some Writer!,Melissa Sweet,Clarion Books,2016,"In this stunning, first-ever fully-illustrated biography of legendary author E.B. White, Sibert medalist and Caldecott Honor winner Melissa Sweet uses White's letters, photos, and mementos, as well as her original collaged art, to tell the true story of one of the most beloved authors of all time.",Juvenile Nonfiction,0,5,1,en
Schomburg: The Man Who Built a Library,Carole Boston Weatherford,Candlewick Press,2020-10-06,"“A must-read for a deeper understanding of a well-connected genius who enriched the cultural road map for African Americans and books about them.” — Kirkus Reviews (starred review) Amid the scholars, poets, authors, and artists of the Harlem Renaissance stood an Afro–Puerto Rican named Arturo Schomburg. This law clerk’s passion was to collect books, letters, music, and art from Africa and the African diaspora and bring to light the achievements of people of African descent through the ages. A century later, his groundbreaking collection, known as the Schomburg Center for Research in Black Culture, has become a beacon to scholars all over the world. In luminous paintings and arresting poems, two of children’s literature’s top African-American scholars track Arturo Schomburg’s quest to correct history.",Juvenile Nonfiction,51,N/A,0,en
"Pipsqueaks, Slowpokes, and Stinkers",Melissa Stewart,Holiday House,2020-09-01,"Underdogs, unite! Celebrated nonfiction author Melissa Stewart offers young readers a funny, informative look at some animal ""underdogs"" that have amazing means of survival. Pee-ew! Should the stinky, skunklike zorilla take a bath? And should the slowpoke Galápagos tortoise get a move on? Everyone knows ""cool"" animals like elephants and cheetahs, but you should meet these lesser-known creatures that have amazing, creative means of survival! Written with a lively, playful voice, this book introduces young readers to a variety of animal ""underdogs"" and explains how characteristics that might seem like weaknesses are critical for finding food and staying safe in an eat-or-be-eaten world. Along with her engaging animal facts, Stewart weaves in a gentle message of understanding and celebrating differences. Stephanie Laberis's bright, humorous, and scientifically accurate illustrations add to the fun.",Juvenile Nonfiction,32,N/A,0,en
No Matter How Loud I Shout,Edward Humes,Simon and Schuster,2015-03-17,"Now updated with a new introduction and afterword, this award-winning examination of the nation’s largest juvenile criminal justice system in Los Angeles by a Pulitzer Prize–winning journalist is “an important book with a message of great urgency, especially to all concerned with the future of America’s children” (Booklist). In an age when violence and crime by young people is again on the rise, No Matter How Loud I Shout offers a rare look inside the juvenile court system that deals with these children and the impact decisions made in the courts had on the rest of their lives. Granted unprecedented access to the Los Angeles Juvenile Court, including the judges, the probation officers, and the children themselves, Edward Humes creates an unforgettable portrait of a chaotic system that is neither saving our children in danger nor protecting us from adolescent violence. Yet he shows us there is also hope in the handful of courageous individuals working tirelessly to triumph over seemingly insurmountable odds. Weaving together a poignant, compelling narrative with razor-sharp investigative reporting, No Matter How Loud I Shout is a convincingly reported, profoundly disturbing discussion of the Los Angeles juvenile court’s failings, providing terrifying evidence of the system’s inability to slow juvenile crime or to make even a reasonable stab at rehabilitating troubled young offenders. Humes draws an alarming portrait of a judicial system in disarray.",Social Science,400,N/A,0,en
5 Kinds of Nonfiction,"Melissa Stewart, Marlene Correia",Taylor & Francis,2023-10-10,"Once upon a time...children's nonfiction books were stodgy, concise, and not very kid friendly. Most were text heavy, with just a few scattered images decorating the content and meaning, rather than enhancing it. Over the last 20 years, children's nonfiction has evolved into a new breed of visually dynamic and engaging texts.In 5 Kinds of Nonfiction: Enriching Reading and Writing Instruction with Children's Books , Melissa Stewart and Dr. Marlene Correia present a new way to sort nonfiction into five major categories and show how doing so can help teachers and librarians build stronger readers and writers. Along the way, they: Introduce the 5 kinds of nonfiction: Active, Browseable, Traditional, Expository Literature, and Narrative -;and explore each category through discussions, classroom examples, and insights from leading children's book authorsOffer tips for building strong, diverse classroom texts and library collectionsProvide more than 20 activities to enhance literacy instructionInclude innovative strategies for sharing and celebrating nonfiction with students.With more than 150 exemplary nonfiction book recommendations and Stewart and Correia's extensive knowledge of literacy instruction, 5 Kinds of Nonfiction will elevate your understanding of nonfiction in ways that speak specifically to the info-kids in your classrooms, but will inspire all readers and writers.",Education,312,N/A,0,en
"Sweet Dreams, Sarah",Vivian Kirkfield,N/A,2019,"Describes the life of Sarah Goode, who was born a slave and grew up to invent a space-saving foldable bed and became the first African American woman to obtain a patent in the United States.",Juvenile Nonfiction,19,N/A,0,en
The Coming of the Mormons,Jim Kjelgaard,N/A,2019,A fascinating readable history about the reasons why the Mormons migrated to the West and how they settled Utah.,Mormon Church,0,N/A,0,en
Indestructibles: Baby Faces,Amy Pixton,Workman Publishing,2012-05-22,"Indestructibles are the books built for the way babies read. They are 100 percent baby-proof, chew-proof, rip-proof, and drool-proof. Printed on a unique nontoxic, paperlike material that holds up to anything babies can throw at it—gumming, spilling, dragging across the floor— Indestructibles are the little books that could. They’re indestructible. And if they get dirty, just throw them in the washing machine or dishwasher. Baby Faces features baby’s favorite thing: pictures of other babies. It’s a book for parents and children to share together the many moods of a baby.",Juvenile Nonfiction,12,N/A,0,en
Outstanding Books for the College Bound,Angela Carstensen,American Library Association,2011-05-27,"More than simply a vital collection development tool, this book can help librarians help young adults grow into the kind of independent readers and thinkers who will flourish at college.",Language Arts & Disciplines,175,N/A,0,en
Grand Canyon,Jason Chin,Roaring Brook Press,2017-02-21,"Rivers wind through earth, cutting down and eroding the soil for millions of years, creating a cavity in the ground 277 miles long, 18 miles wide, and more than a mile deep known as the Grand Canyon. Home to an astonishing variety of plants and animals that have lived and evolved within its walls for millennia, the Grand Canyon is much more than just a hole in the ground. Follow a father and daughter as they make their way through the cavernous wonder, discovering life both present and past. Weave in and out of time as perfectly placed die cuts show you that a fossil today was a creature much long ago, perhaps in a completely different environment. Complete with a spectacular double gatefold, an intricate map and extensive back matter.",Juvenile Nonfiction,56,N/A,0,en
The Right Word,Jen Bryant,Wm. B. Eerdmans Publishing,2014-09-15,"2015 Caldecott Honor Book 2015 Sibert Medal Winner For shy young Peter Mark Roget, books were the best companions -- and it wasn’t long before Peter began writing his own book. But he didn’t write stories; he wrote lists. Peter took his love for words and turned it to organizing ideas and finding exactly the right word to express just what he thought. His lists grew and grew, eventually turning into one of the most important reference books of all time. Readers of all ages will marvel at Roget’s life, depicted through lyrical text and brilliantly detailed illustrations. This elegant book celebrates the joy of learning and the power of words.",Juvenile Nonfiction,48,N/A,0,en
