Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Polyglot: How I Learn Languages,Kat— Lomb,Lulu.com,2008-01-01,"KAT LOMB (1909-2003) was one of the great polyglots of the 20th century. A translator and one of the first simultaneous interpreters in the world, Lomb worked in 16 languages for state and business concerns in her native Hungary. She achieved further fame by writing books on languages, interpreting, and polyglots. Polyglot: How I Learn Languages, first published in 1970, is a collection of anecdotes and reflections on language learning. Because Dr. Lomb learned her languages as an adult, after getting a PhD in chemistry, the methods she used will be of particular interest to adult learners who want to master a foreign language.",Education,220,N/A,0,en
A Pattern Language,Christopher Alexander,Oxford University Press,2018-09-20,"You can use this book to design a house for yourself with your family; you can use it to work with your neighbors to improve your town and neighborhood; you can use it to design an office, or a workshop, or a public building. And you can use it to guide you in the actual process of construction. After a ten-year silence, Christopher Alexander and his colleagues at the Center for Environmental Structure are now publishing a major statement in the form of three books which will, in their words, ""lay the basis for an entirely new approach to architecture, building and planning, which will we hope replace existing ideas and practices entirely."" The three books are The Timeless Way of Building, The Oregon Experiment, and this book, A Pattern Language. At the core of these books is the idea that people should design for themselves their own houses, streets, and communities. This idea may be radical (it implies a radical transformation of the architectural profession) but it comes simply from the observation that most of the wonderful places of the world were not made by architects but by the people. At the core of the books, too, is the point that in designing their environments people always rely on certain ""languages,"" which, like the languages we speak, allow them to articulate and communicate an infinite variety of designs within a forma system which gives them coherence. This book provides a language of this kind. It will enable a person to make a design for almost any kind of building, or any part of the built environment. ""Patterns,"" the units of this language, are answers to design problems (How high should a window sill be? How many stories should a building have? How much space in a neighborhood should be devoted to grass and trees?). More than 250 of the patterns in this pattern language are given: each consists of a problem statement, a discussion of the problem with an illustration, and a solution. As the authors say in their introduction, many of the patterns are archetypal, so deeply rooted in the nature of things that it seemly likely that they will be a part of human nature, and human action, as much in five hundred years as they are today.",Architecture,1216,N/A,0,en
A Grammar of the Massachusetts Indian Language. A New Ed,John Eliot,N/A,1822,N/A,,162,N/A,0,en
A/AS Level English Language for AQA Student Book,"Marcello Giovanelli, Gary Ives, John Keen, Raj Rana, Rachel Rudman",Cambridge University Press,2015-06-04,"A new series of bespoke, full-coverage resources developed for the 2015 A Level English qualifications. Endorsed for the AQA A/AS Level English Language specifications for first teaching from 2015, this print Student Book is suitable for all abilities, providing stretch opportunities for the more able and additional scaffolding for those who need it. Helping bridge the gap between GCSE and A Level, the unique three-part structure provides essential knowledge and allows students to develop their skills through a deeper study of key topics, whilst encouraging independent learning. An enhanced digital version and free Teacher's Resource are also available.",Juvenile Nonfiction,321,N/A,0,en
Language Acquisition Made Practical,"Tom Brewster, Betty Sue Brewster",N/A,1976,"It can be done! You can successfully learn a new language if three conditions are met: 1. You live where the new language is spoken. 2. You are motivated to learn the new language. 3. You know how to proceed with language learning, step-by-step and day-by-day. This manual assumes that the first and second conditions are met. It is a simple guide planned to help you, the learner, proceed without boredom or frustration, through manageable steps, so that you can become proficient in your new language. The objective of this manual is to help guide you in your daily activities of language learning. - Preface.",Language Arts & Disciplines,406,N/A,0,en
The English Language: A Very Short Introduction,Simon Horobin,Oxford University Press,2018-01-18,"The English language is spoken by more than a billion people throughout the world. But where did English come from? And how has it evolved into the language used today? In this Very Short Introduction Simon Horobin investigates how we have arrived at the English we know today, and celebrates the way new speakers and new uses mean that it continues to adapt. Engaging with contemporary concerns about correctness, Horobin considers whether such changes are improvements, or evidence of slipping standards. What is the future for the English language? Will Standard English continue to hold sway, or we are witnessing its replacement by newly emerging Englishes? ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",Language Arts & Disciplines,177,N/A,0,en
Understanding Language,Donald Fairbairn,CUA Press,2011-07-20,Understanding Language includes major sections on the noun and verb systems of the classical languages.,Foreign Language Study,216,N/A,0,en
Enhancing Beginner-Level Foreign Language Education for Adult Learners,Ekaterina Nemtchinova,Taylor & Francis,2022-12-30,"This book is an authoritative text that explores best classroom practices for engaging adult learners in beginner-level foreign language courses. Built around a diverse range of international research studies and conceptual articles, the book covers four key issues in teaching language to novice students: development of linguistic skills, communicative and intercultural competence, evaluation and assessment, and the use of technology. Each chapter includes teaching insights that are supported by critical research and can be practically applied across languages to enhance instructional strategies and curriculum designs. The text also aims to build intercultural competence, harness technology, and design assessment to stimulate effective learning in formal instructional settings, including colleges, universities, and specialist language schools. With its broad coverage of language pedagogy at the novice level, this book is a must read for graduate students, scholars, researchers, and practitioners in the fields of language education, second language acquisition, language teaching and learning, and applied linguistics.",Education,291,N/A,0,en
Constructing a Language,Michael TOMASELLO,Harvard University Press,2009-06-30,"In this groundbreaking book, Tomasello presents a comprehensive usage-based theory of language acquisition. Drawing together a vast body of empirical research in cognitive science, linguistics, and developmental psychology, Tomasello demonstrates that we don't need a self-contained ""language instinct"" to explain how children learn language. Their linguistic ability is interwoven with other cognitive abilities.",Psychology,399,N/A,0,en
The Way of the Linguist,Steve Kaufmann,AuthorHouse,2005-11,"The Way of The Linguist, A language learning odyssey. It is now a cliché that the world is a smaller place. We think nothing of jumping on a plane to travel to another country or continent. The most exotic locations are now destinations for mass tourism. Small business people are dealing across frontiers and language barriers like never before. The Internet brings different languages and cultures to our finger-tips. English, the hybrid language of an island at the western extremity of Europe seems to have an unrivalled position as an international medium of communication. But historically periods of cultural and economic domination have never lasted forever. Do we not lose something by relying on the wide spread use of English rather than discovering other languages and cultures? As citizens of this shrunken world, would we not be better off if we were able to speak a few languages other than our own? The answer is obviously yes. Certainly Steve Kaufmann thinks so, and in his busy life as a diplomat and businessman he managed to learn to speak nine languages fluently and observe first hand some of the dominant cultures of Europe and Asia. Why do not more people do the same? In his book The Way of The Linguist, A language learning odyssey, Steve offers some answers. Steve feels anyone can learn a language if they want to. He points out some of the obstacles that hold people back. Drawing on his adventures in Europe and Asia, as a student and businessman, he describes the rewards that come from knowing languages. He relates his evolution as a language learner, abroad and back in his native Canada and explains the kind of attitude that will enable others to achieve second language fluency. Many people have taken on the challenge of language learning but have been frustrated by their lack of success. This book offers detailed advice on the kind of study practices that will achieve language breakthroughs. Steve has developed a language learning system available online at: www.thelinguist.com.",Linguistics,142,N/A,0,en
Language in Our Brain,Angela D. Friederici,MIT Press,2017-11-16,"A comprehensive account of the neurobiological basis of language, arguing that species-specific brain differences may be at the root of the human capacity for language. Language makes us human. It is an intrinsic part of us, although we seldom think about it. Language is also an extremely complex entity with subcomponents responsible for its phonological, syntactic, and semantic aspects. In this landmark work, Angela Friederici offers a comprehensive account of these subcomponents and how they are integrated. Tracing the neurobiological basis of language across brain regions in humans and other primate species, she argues that species-specific brain differences may be at the root of the human capacity for language. Friederici shows which brain regions support the different language processes and, more important, how these brain regions are connected structurally and functionally to make language processes that take place in milliseconds possible. She finds that one particular brain structure (a white matter dorsal tract), connecting syntax-relevant brain regions, is present only in the mature human brain and only weakly present in other primate brains. Is this the “missing link” that explains humans' capacity for language? Friederici describes the basic language functions and their brain basis; the language networks connecting different language-related brain regions; the brain basis of language acquisition during early childhood and when learning a second language, proposing a neurocognitive model of the ontogeny of language; and the evolution of language and underlying neural constraints. She finds that it is the information exchange between the relevant brain regions, supported by the white matter tract, that is the crucial factor in both language development and evolution.",Language Arts & Disciplines,300,N/A,0,en
The Routledge Handbook of Language Policy and Planning,"Michele Gazzola, François Grin, Linda Cardinal, Kathleen Heugh",Taylor & Francis,2023-10-03,"The Routledge Handbook of Language Policy and Planning is a comprehensive and authoritative survey, including original contributions from leading senior scholars and rising stars to provide a basis for future research in language policy and planning in international, national, regional, and local contexts. The Handbook approaches language policy as public policy that can be studied through the policy cycle framework. It offers a systematic and research-informed view of actual processes and methods of design, implementation, and evaluation. With a substantial introduction, 38 chapters and an extensive bibliography, this Handbook is an indispensable resource for all decision makers, students, and researchers of language policy and planning within linguistics and cognate disciplines such as public policy, economics, political science, sociology, and education.",Language Arts & Disciplines,637,N/A,0,en
The Oxford Handbook of Language Contact,Anthony P. Grant,Oxford University Press,2019,"""In thirty-three chapters, The Oxford Handbook of Language Contact examines the various forms of contact-induced linguistic change and the levels of language which have provided instances of these influences. In addition, it provides accounts of how language contact has affected some twenty languages, spoken and signed, from all parts of the world.""-- Jaquette.",Language Arts & Disciplines,788,N/A,0,en
