Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Law 101,"Brien A Roche, John Roche, Sean Roche","Sourcebooks, Inc.",2009-08-01,"A solid reference for both the everyday and the unexpected legal issues, written by practicing attorneys Law 101 is an essential reference that explains: How laws are made How the court system works How each area of the law impacts your daily life Key information for important questions: How does a lawsuit begin? How do civil and criminal law differ? When do state laws trump federal laws? What makes a contract solid? What can you expect if called as a juror? What can you expect if called as a witness? And other complex areas of the law that you need to know. No home reference shelf is complete without this indispensible guide. The new edition also includes information on legal subjects that have become more important recently, including alternative dispute resolution, privacy rights, and Internet law.",Law,274,5,1,en
The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,Liveright Publishing,2017-05-02,"New York Times Bestseller • Notable Book of the Year • Editors' Choice Selection One of Bill Gates’ “Amazing Books” of the Year One of Publishers Weekly’s 10 Best Books of the Year Longlisted for the National Book Award for Nonfiction An NPR Best Book of the Year Winner of the Hillman Prize for Nonfiction Gold Winner • California Book Award (Nonfiction) Finalist • Los Angeles Times Book Prize (History) Finalist • Brooklyn Public Library Literary Prize This “powerful and disturbing history” exposes how American governments deliberately imposed racial segregation on metropolitan areas nationwide (New York Times Book Review). Widely heralded as a “masterful” (Washington Post) and “essential” (Slate) history of the modern American metropolis, Richard Rothstein’s The Color of Law offers “the most forceful argument ever published on how federal, state, and local governments gave rise to and reinforced neighborhood segregation” (William Julius Wilson). Exploding the myth of de facto segregation arising from private prejudice or the unintended consequences of economic forces, Rothstein describes how the American government systematically imposed residential segregation: with undisguised racial zoning; public housing that purposefully segregated previously mixed communities; subsidies for builders to create whites-only suburbs; tax exemptions for institutions that enforced segregation; and support for violent resistance to African Americans in white neighborhoods. A groundbreaking, “virtually indispensable” study that has already transformed our understanding of twentieth-century urban history (Chicago Daily Observer), The Color of Law forces us to face the obligation to remedy our unconstitutional past.",Social Science,243,N/A,0,en
Law & Order,"Kevin Courrier, Susan Green",Macmillan,1999-11-20,"Whether you tune in each week to see veteran Detective Lennie Briscoe analyze clues with wild-card partner Ed Green in the fist half of the show, or to see Assistant District Attorney Jack McCoy invoke justice in the courtroom in the second half, you cannot help but get involved with the most human characters on television. With these powerful characters and socially relevant stories ripped from today's headlines, it is difficult to tell whether you are watching the evening news or one of the most intense dramas ever seen on television. Law & Order: The Unofficial Companion was written with the cooperation of the show's creator and executive producer, Dick Wolf, and features interviews with the stars, producers, and writers. It is the first-ever guide to this popular, Emmy award-winning police drama. You'll get the inside scoop on: -the past and current stars of the show-including Paul Sorvino, Jerry Orbach, Jesse L. Martin, Christopher Noth, S. Epatha Merkerson, Sam Waterston, Carey Lowell, Angie Harmon, and Michael Moriarty-and find out who was fired, who left willingly, and who remains -the show's continued problems with censorship issues and advertiser fallout -the behind-the-scenes anecdotes about cast regulars, including the fights-both verbal and physical-that have peppered the production -how Wolf was forced to increase the estrogen and decrease the testosterone on the show -the detailed history behind the creation and development of the show, and season-by-season critiques of each episode through the entire 1999 season",Performing Arts,372,N/A,0,en
Law 101,Jay Feinman,Oxford University Press,2014-08-01,"In each of the first three editions of the bestselling Law 101, Jay Feinman gave readers an upbeat and vivid examination of the American legal system. Since the third edition was published in 2010, much has happened: several key Supreme Court cases have been decided, we've seen sensational criminal trials, and the legal system has had to account for the latest developments in Internet law. This fully updated fourth edition of Law 101 accounts for all this and more, as Feinman once again provides a clear introduction to American law. The book covers all the main subjects taught in the first year of law school, and discusses every facet of the American legal tradition, including constitutional law, the litigation process, and criminal, property, and contracts law. To accomplish this, Feinman brings in the most noteworthy, infamous, and often outrageous examples and cases. We learn about the case involving scalding coffee that cost McDonald's half a million dollars, the murder trial in Victorian London that gave us the legal definition of insanity, and the epochal decision of Marbury vs. Madison that gave the Supreme Court the power to declare state and federal law unconstitutional. A key to learning about the law is learning legal vocabulary, and Feinman helps by clarifying terms like ""due process"" and ""equal protection,"" as well as by drawing distinctions between terms like ""murder"" and ""manslaughter."" Above all, though, is that Feinman reveals to readers of all kinds that despite its complexities and quirks, the law is can be understood by everyone. Perfect for students contemplating law school, journalists covering legislature, or even casual fans of ""court-television"" shows, Law 101 is a clear and accessible introduction to the American legal system. New to this edition: Featured analysis of: -the Obamacare case -Citizens United -the DOMA decision -the Trayvon Martin case As well as recent legal developments pertaining to: -online contracting -mortgages -police investigations -criminal sentencing",Law,377,N/A,0,en
Law and Popular Culture,"Michael Asimow, Shannon Mader",Peter Lang,2004,"This book explores the interface between law and popular culture, two subjects of enormous current importance and influence. Exploring how they affect each other, each chapter discusses a legally themed film or television show, such as Philadelphia or Dead Man Walking, and treats it as both a cultural and a legal text, illustrating how popular culture both constructs our perceptions of law, and changes the way that players in the legal system behave. Written without theoretical jargon, Law and Popular Culture: A Course Book is intended for use in undergraduate or graduate courses and can be taught by anyone who enjoys pop culture and is interested in law.",Art,308,N/A,0,en
Law as a Means to an End,Brian Z. Tamanaha,Cambridge University Press,2006-10-02,"The contemporary US legal culture is marked by ubiquitous battles among various groups attempting to seize control of the law and wield it against others in pursuit of their particular agenda. This battle takes place in administrative, legislative, and judicial arenas at both the state and federal levels. This book identifies the underlying source of these battles in the spread of the instrumental view of law - the idea that law is purely a means to an end - in a context of sharp disagreement over the social good. It traces the rise of the instrumental view of law in the course of the past two centuries, then demonstrates the pervasiveness of this view of law and its implications within the contemporary legal culture, and ends by showing the various ways in which seeing law in purely instrumental terms threatens to corrode the rule of law.",Law,238,N/A,0,en
Reading Law,"Antonin Scalia, Bryan A. Garner",West Publishing Company,2012,"In this groundbreaking book, Scalia and Garner systematically explain all the most important principles of constitutional, statutory, and contractual interpretation in an engaging and informative style with hundreds of illustrations from actual cases. Is a burrito a sandwich? Is a corporation entitled to personal privacy? If you trade a gun for drugs, are you using a gun in a drug transaction? The authors grapple with these and dozens of equally curious questions while explaining the most principled, lucid, and reliable techniques for deriving meaning from authoritative texts. Meanwhile, the book takes up some of the most controversial issues in modern jurisprudence. What, exactly, is textualism? Why is strict construction a bad thing? What is the true doctrine of originalism? And which is more important: the spirit of the law, or the letter? The authors write with a well-argued point of view that is definitive yet nuanced, straightforward yet sophisticated.",Judicial process,0,N/A,0,en
Law’s Abnegation,Adrian Vermeule,Harvard University Press,2016-11-14,"Ronald Dworkin once imagined law as an empire and judges as its princes. But over time, the arc of law has bent steadily toward deference to the administrative state. Adrian Vermeule argues that law has freely abandoned its imperial pretensions, and has done so for internal legal reasons. In area after area, judges and lawyers, working out the logical implications of legal principles, have come to believe that administrators should be granted broad leeway to set policy, determine facts, interpret ambiguous statutes, and even define the boundaries of their own jurisdiction. Agencies have greater democratic legitimacy and technical competence to confront many issues than lawyers and judges do. And as the questions confronting the state involving climate change, terrorism, and biotechnology (to name a few) have become ever more complex, legal logic increasingly indicates that abnegation is the wisest course of action. As Law’s Abnegation makes clear, the state did not shove law out of the way. The judiciary voluntarily relegated itself to the margins of power. The last and greatest triumph of legalism was to depose itself.",Law,267,N/A,0,en
Justice for Some,Noura Erakat,Stanford University Press,2019-04-23,"“A brilliant and bracing analysis of the Palestine question and settler colonialism . . . a vital lens into movement lawyering on the international plane.” —Vasuki Nesiah, New York University, founding member of Third World Approaches to International Law (TWAIL) Justice in the Question of Palestine is often framed as a question of law. Yet none of the Israel-Palestinian conflict’s most vexing challenges have been resolved by judicial intervention. Occupation law has failed to stem Israel’s settlement enterprise. Laws of war have permitted killing and destruction during Israel’s military offensives in the Gaza Strip. The Oslo Accord’s two-state solution is now dead letter. Justice for Some offers a new approach to understanding the Palestinian struggle for freedom, told through the power and control of international law. Focusing on key junctures—from the Balfour Declaration in 1917 to present-day wars in Gaza—Noura Erakat shows how the strategic deployment of law has shaped current conditions. Over the past century, the law has done more to advance Israel’s interests than the Palestinians’. But, Erakat argues, this outcome was never inevitable. Law is politics, and its meaning and application depend on the political intervention of states and people alike. Within the law, change is possible. International law can serve the cause of freedom when it is mobilized in support of a political movement. Presenting the promise and risk of international law, Justice for Some calls for renewed action and attention to the Question of Palestine. “Careful and captivating . . . This book asks that the Palestinian liberation struggle and Jewish-Israeli society each reckon with the impossibility of a two-state future, reimagining what their interests are—and what they could become.” —Amanda McCaffrey, Jewish Currents",History,405,N/A,0,en
Law and Authors,Jacqueline D. Lipton,University of California Press,2020-08-04,"This accessible, reader-friendly handbook will be an invaluable resource for authors, agents, and editors in navigating the legal landscape of the contemporary publishing industry. Drawing on a wealth of experience in legal scholarship and publishing, Jacqueline D. Lipton provides a useful legal guide for writers whatever their levels of expertise or categories of work (fiction, nonfiction, or academic). Through case studies and hypothetical examples, Law and Authors addresses issues of copyright law, including explanations of fair use and the public domain; trademark and branding concerns for those embarking on a publishing career; laws that impact the ways that authors might use social media and marketing promotions; and privacy and defamation questions that writers may face. Although the book focuses on American law, it highlights key areas where laws in other countries differ from those in the United States. Law and Authors will prepare every writer for the inevitable and the unexpected.",Law,272,N/A,0,en
