Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Children's Literature Collections,"Keith O'Sullivan, Pádraic Whyte",Springer,2017-05-19,"This book provides scholars, both national and international, with a basis for advanced research in children’s literature in collections. Examining books for children published across five centuries, gathered from the collections in Dublin, this unique volume advances causes in collecting, librarianship, education, and children’s literature studies more generally. It facilitates processes of discovery and recovery that present various pathways for researchers with diverse interests in children’s books to engage with collections. From book histories, through bookselling, information on collectors, and histories of education to close text analyses, it is evident that there are various approaches to researching collections. In this volume, three dominant approaches emerge: history and canonicity, author and text, ideals and institutions. Through its focus on varied materials, from fiction to textbooks, this volume illuminates how cities can articulate a vision of children's literature through particular collections and institutional practices.",Literary Criticism,260,N/A,0,en
The Oxford Handbook of Classical Chinese Literature (1000 BCE-900 CE),"Wiebke Denecke, Wai-yee Li, Xiaofei Tian",Oxford University Press,2017,"This volume introduces readers to classical Chinese literature from its beginnings (ca. 10th century BCE) to the tenth century BCE through a conceptual framework centered on textual production and transmission. It focuses on recuperating historical perspectives for the period it surveys, and attempts to draw connections between the past and present.",Literary Collections,625,N/A,0,en
Literary Information in China,"Bruce Rusk, Anatoly Detwyler, Christopher Nugent, Xiao Liu, Jack W. Chen",Columbia University Press,2021-05-11,"“Information” has become a core concept across the disciplines, yet it is still often seen as a unique feature of the Western world that became central only in the digital age. In this book, leading experts turn to China’s textual tradition to show the significance of information for reconceptualizing the work of literary history, from its beginnings to the present moment. Contributors trace the organization of literary information across China’s three millennia of history, examining the forms and practices of information management that have evolved alongside the increasing scale and complexity of textual production. They reimagine literary history as information processing, detailing the many kinds of storage, encoding, sorting, and transmission that constitute and feed back into China’s long and ever-growing cultural tradition. The volume features state-of-the-field essays on all major forms of literary information management, from graphs to internet literature, and from commentaries to literary museums and archives. By shifting focus from individual works and their authors to the informatic schemata of literature, it identifies three scales of information management—the word, the document, and the collection—and surveys the forms that operate at each level, such as the dictionary, the anthology, and the library. Literary Information in China is a groundbreaking work that provides a systematic and innovative reassessment of literary history with implications that extend beyond the particular Chinese context, revealing how informatic practices shape literary tradition.",History,793,N/A,0,en
The Routledge Companion to Korean Literature,Heekyoung Cho,Routledge,2022-03-15,"The Routledge Companion to Korean Literature consists of 35 chapters written by leaders in the field, who explore significant topics and who have pioneered innovative approaches. The collection highlights the most dynamic current scholarship on Korean literature, presenting rigorous literary analysis, interdisciplinary methodologies, and transregional thinking so as to provide a valuable and inspiring resource for researchers and students alike. This Companion has particular significance as the most extensive collection to date of English-language articles on Korean literature; it both offers a thorough intellectual engagement with current scholarship and addresses a broad range of topics and time periods, from premodern to contemporary. It will contribute to an understanding of literature as part of a broad sociocultural process that aims to put the field into conversation with other fields of study in the humanities and social sciences. While presenting rigorous and innovative academic research that will be useful to graduate students and researchers, the chapters in the collection are written to be accessible to the average upper-level undergraduate student and include only minimal use of academic jargon. In an effort to provide substantially helpful material for researching, teaching, and learning Korean literature, this Companion includes as an appendix an extensive list of English translations of Korean literature.",Literary Criticism,1040,N/A,0,en
The Columbia History of Chinese Literature,Victor H. Mair,Columbia University Press,2010-02-22,"Comprehensive yet portable, this account of the development of Chinese literature from the very beginning up to the present brings the riches of this august literary tradition into focus for the general reader. Organized chronologically with thematic chapters interspersed, the fifty-five original chapters by leading specialists cover all genres and periods of poetry, prose, fiction, and drama, with a special focus on such subjects as popular culture, the impact of religion upon literature, the role of women, and relationships with non-Sinitic languages and peoples.",Literary Criticism,1369,N/A,0,en
The Role and Future of Special Collections in Research Libraries,Sul H Lee,Routledge,2014-01-14,"What does the future hold for special collections in research libraries? Will special collections be an important feature in humanistic research or will technology make special collections irrelevant to research in the humanities? The Role and Future of Special Collections in Research Libraries explores the answers to these questions by examining special collections in British and American libraries and the changing trends in research and scholarship as they relate to special collections. This book examines the particular experience of a variety of special collections in British research libraries. By learning more about British experiences related to special collections, North American libraries will discover new ways to manage existing information resources in light of diminished funding. The topics cover this essential role of special collections in these areas: the British perspective on issues relating to access and preservation of manuscripts, reproduction from originals, confidentiality, and the development of collections a historical overview of changes in special collections technology and special collections balancing the collection and preservation of books and manuscripts with the acquisition of new materials in electronic format The Role and Future of Special Collections in Research Libraries brings together international perspectives on library programs to help librarians and library administrators understand the factors that influence special collections. With the help of this insightful book, librarians will learn how to develop and modify future programs and services to maintain excellent special collections.",Language Arts & Disciplines,137,N/A,0,en
Literary Communication in Song Dynasty,Wang Zhaopeng,Taylor & Francis,2024-02-29,"Based on first-hand historical materials, this book explores the various aspects of literary communication during the Song Dynasty in China. The book investigates the single-channel dissemination of poetry and ci works, the dissemination of literary collections, the dissemination through wall inscriptions, the oral dissemination of Song ci, the remuneration and commercialization of literature in the Song Dynasty, the paths to fame for Song writers, the non-literary factors in the dissemination of literature and the dissemination of literary works through paintings and songs. The author provides insights into the six major questions in the study of literary communication: Who disseminates, where, how, what, to whom and the effects of dissemination. The author also seeks to provide detailed answers to the following questions. What was the role of female singers in both domestic and official entertainment? What were the costs and prices of the books? Who paid the authors? What methods did writers use to gain fame and social recognition? This work will be essential reading for scholars and students of Chinese studies, communication studies and media and cultural studies.",Literary Criticism,273,N/A,0,en
Library of Congress Subject Headings,"Library of Congress, Library of Congress. Subject Cataloging Division, Library of Congress. Office for Subject Cataloging Policy",N/A,1995,N/A,Subject headings,1546,N/A,0,en
User’s Guide to Sears List of Subject Headings,M. P. Satija,Rowman & Littlefield,2019-11-05,"The Sears List of Subject Headings, an outstanding name amongst subject headings lists, is used all over the world in small and medium sized libraries. It has constantly been revised and kept up to date, both in its methods and contents, by incorporating new subjects and updated organizational machinery. Being handy, simple, inexpensive and always current, the Sears List is a convenient choice for teaching subject headings work in library schools. User’s Guide to Sears List of Subject Headings, 2nd Edition is a companion book which, although based on the 222nd edition of the Sears List, should also be useful to the libraries using some previous edition. It attempts to explain the theoretical foundations, history and application of the Sears List as well as of the subject headings work ion general. It explicates the various hidden potentials of the system to construct subject headings needed for local situations. The object of this small, practical introduction is to be simple, clear and illustrative. The book assumes no prior knowledge either of the Sears List or of subject headings work in general. It is a manual for beginners to understand the importance of vocabulary control, the process of subject analysis, the structure and organization of the Sears List, and the methods to locate, specify and construct subject headings and provide cross references for the public catalogue. Subject headings in the complex areas of languages, literatures, biographical and geographical works are given a chapter each. Review questions and exercises conclude most chapters. A bibliography and glossary are valuable features of this work",Language Arts & Disciplines,235,N/A,0,en
Disputed Archival Heritage,James Lowry,Taylor & Francis,2022-10-10,"Disputed Archival Heritage brings important new perspectives into the discourse on displaced archives. In contrast to shared or joint heritage framings, the book considers the implications of force, violence and loss in the displacement of archival heritage. With chapters from established and emerging scholars in archival studies, Disputed Archival Heritage extends and enriches the conversation that started with the earlier volume, Displaced Archives. Advancing novel theories and methods for understanding disputes and claims over archives, the volume includes chapters that focus on Indigenous records in settler colonial states; literary and community archives; sub-national and private sector displacements; successes in repatriating formerly displaced archives; comparisons with cultural objects seized by colonial powers and the relationship between repatriation and reparations. Analysing key concepts such as joint heritage and provenance, the contributors unsettle Western understandings of records, place and ownership. Disputed Archival Heritage speaks to the growing interest in shared archival heritage, repatriation of cultural artefacts and cultural diasporas. As such, it will be a useful resource for academics, students and practitioners working in the field of archives, records and information management, as well as cultural property and heritage management, peace and conflict studies and international law.",Language Arts & Disciplines,361,N/A,0,en
