Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Tactile Learning Activities in Mathematics,"Julie Barnes, Jessica M. Libertini",American Mathematical Soc.,2018-08-06,"Q: What do feather boas, cookies, and paper shredders have in common? A: They are all ingredients that have the potential to help your undergraduate students understand a variety of mathematical concepts. In this book, 43 faculty from a wide range of institutional settings share a total of 64 hands-on activities that allow students to physically engage with mathematical ideas ranging from the basics of precalculus to special topics appropriate for upper-level courses. Each learning activity is presented in an easy-to-read recipe format that includes a list of supplies; a narrative briefly describing the reasons, logistics, and helpful hints for running the activity; and a page that can be used as a handout in class. Purchase of the book also includes access to electronic printable versions of the handouts. With so many activities, it might be hard to decide where to start. For that reason, there are four indices to help the reader navigate this book: a concept index, a course index, an [Author]; index, and a main ingredient index. In addition to providing activities for precalculus, calculus, commonly required mathematics courses for majors, and more specialized upper-level electives, there is also a section describing how to modify many of the activities to fit into a liberal arts mathematics class. Whether you are new to using hands-on activities in class or are more experienced, the [Author];s hope that this book will encourage and inspire you to explore the possibilities of using more hands-on activities in your classes. Bon appetit!",Mathematics,327,N/A,0,en
The A to Z of Mathematics,Thomas H. Sidebotham,John Wiley & Sons,2003-04-14,"Forget the jargon. Forget the anxiety. Just remember themath. In this age of cheap calculators and powerful spreadsheets, whoneeds to know math? The answer is: everyone. Math is all around us.We confront it shopping in the supermarket, paying our bills,checking the sports stats, and working at our jobs. It is also oneof the most fascinating-and useful-subjects. Mastering math canmake a difference in your career, your studies, and your dailylife. If you are among the millions of people who would love tounderstand math but are turned away by fear of its complexity, hereis your salvation. The A to Z of Mathematics makes math simplewithout making it simplistic. Both easy to use and easy to read,the book covers all the topics in basic mathematics. You'll learnthe definitions of such terms as ""proportion""and ""hexomino,"" andgrasp the concepts behind algebra, statistics, and other processes.The book's alphabetical arrangement helps you quickly home in onany topic, and its text is rich with stimulating examples,diagrams, and other illustrations that make the discussion crystalclear to every reader. Everyone will find something of interest inthis wide-ranging guide to mathematics. The perfect antidote to math anxiety, this is an invaluableresource for parents and students, home schoolers, teachers, andanyone else who wants to improve his or her math skills anddiscover the amazing relevance of mathematics to the world aroundus.",Mathematics,488,3.5,2,en
Mathematics: A Concise History and Philosophy,W.S. Anglin,Springer Science & Business Media,2012-12-06,"This is a concise introductory textbook for a one-semester (40-class) course in the history and philosophy of mathematics. It is written for mathemat ics majors, philosophy students, history of science students, and (future) secondary school mathematics teachers. The only prerequisite is a solid command of precalculus mathematics. On the one hand, this book is designed to help mathematics majors ac quire a philosophical and cultural understanding of their subject by means of doing actual mathematical problems from different eras. On the other hand, it is designed to help philosophy, history, and education students come to a deeper understanding of the mathematical side of culture by means of writing short essays. The way I myself teach the material, stu dents are given a choice between mathematical assignments, and more his torical or philosophical assignments. (Some sample assignments and tests are found in an appendix to this book. ) This book differs from standard textbooks in several ways. First, it is shorter, and thus more accessible to students who have trouble coping with vast amounts of reading. Second, there are many detailed explanations of the important mathematical procedures actually used by famous mathe maticians, giving more mathematically talented students a greater oppor tunity to learn the history and philosophy by way of problem solving.",Science,253,N/A,0,en
All the Mathematics You Missed,Thomas A. Garrity,清华大学出版社有限公司,2004,N/A,Mathematics,380,N/A,0,en
Conceptual Mathematics,"F. William Lawvere, Stephen H. Schanuel",Cambridge University Press,2009-07-30,"This truly elementary book on categories introduces retracts, graphs, and adjoints to students and scientists.",Mathematics,409,N/A,0,en
Mathematics,Timothy Gowers,OUP Oxford,2002-08-22,"The aim of this book is to explain, carefully but not technically, the differences between advanced, research-level mathematics, and the sort of mathematics we learn at school. The most fundamental differences are philosophical, and readers of this book will emerge with a clearer understanding of paradoxical-sounding concepts such as infinity, curved space, and imaginary numbers. The first few chapters are about general aspects of mathematical thought. These are followed by discussions of more specific topics, and the book closes with a chapter answering common sociological questions about the mathematical community (such as ""Is it true that mathematicians burn out at the age of 25?"") ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",Mathematics,187,4,2,en
The History of Mathematics: A Source-Based Approach: Volume 1,"June Barrow-Green, Jeremy Gray, Robin Wilson",American Mathematical Soc.,2019-05-08,"The History of Mathematics: A Source-Based Approach is a comprehensive history of the development of mathematics. This, the first volume of the two-volume set, takes readers from the beginning of counting in prehistory to 1600 and the threshold of the discovery of calculus. It is notable for the extensive engagement with original—primary and secondary—source material. The coverage is worldwide, and embraces developments, including education, in Egypt, Mesopotamia, Greece, China, India, the Islamic world and Europe. The emphasis on astronomy and its historical relationship to mathematics is new, and the presentation of every topic is informed by the most recent scholarship in the field. The two-volume set was designed as a textbook for the authors' acclaimed year-long course at the Open University. It is, in addition to being an innovative and insightful textbook, an invaluable resource for students and scholars of the history of mathematics. The authors, each among the most distinguished mathematical historians in the world, have produced over fifty books and earned scholarly and expository prizes from the major mathematical societies of the English-speaking world.",Biography & Autobiography,505,N/A,0,en
Higher Mathematics,"Mansfield Merriman, Robert Simpson Woodward",N/A,1898,N/A,Error analysis (Mathematics),618,N/A,0,en
An Historical Introduction to the Philosophy of Mathematics: A Reader,"Russell Marcus, Mark McEvoy",Bloomsbury Publishing,2016-02-11,"A comprehensive collection of historical readings in the philosophy of mathematics and a selection of influential contemporary work, this much-needed introduction reveals the rich history of the subject. An Historical Introduction to the Philosophy of Mathematics: A Reader brings together an impressive collection of primary sources from ancient and modern philosophy. Arranged chronologically and featuring introductory overviews explaining technical terms, this accessible reader is easy-to-follow and unrivaled in its historical scope. With selections from key thinkers such as Plato, Aristotle, Descartes, Hume and Kant, it connects the major ideas of the ancients with contemporary thinkers. A selection of recent texts from philosophers including Quine, Putnam, Field and Maddy offering insights into the current state of the discipline clearly illustrates the development of the subject. Presenting historical background essential to understanding contemporary trends and a survey of recent work, An Historical Introduction to the Philosophy of Mathematics: A Reader is required reading for undergraduates and graduate students studying the philosophy of mathematics and an invaluable source book for working researchers.",Philosophy,849,N/A,0,en
Pedagogical Material in Mathematics -A Handbook for Pre-service and In-service Teachers, Dr. Roohi Fatima,Blue Rose Publishers,2022-03-21,"Pedagogical material has an effective role in the teaching-learning process of mathematics. It engages the learner and sustains their interest in mathematics. By using the Pedagogical Materials given in this book properly in mathematics classrooms, teachers can empower their students to think like Creative Mathematicians. Concrete examples of Pedagogical Material and their detailed description used by the author and her students for teaching different concepts in Real Mathematics Classrooms are discussed in different chapters of this book. Each activity describes in detail, not only the required material, how to make that pedagogical material, and how to use/perform it in the classroom but also, what is the objective of this activity and what should be the previous knowledge/entry behaviour of the child to understand that concept.",Education,305,N/A,0,en
