Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Photography,Mary Warner Marien,Laurence King Publishing,2006,"Each of the eight chapters takes a period of up to forty years and examines the medium through the lenses of art, science, social science, travel, war, fashion, the mass media and individual practitioners.-Back Cover.",Photography,566,5,1,en
"The Art of Photography, 2nd Edition",Bruce Barnbaum,"Rocky Nook, Inc.",2017-04-12,"This is an updated and newly revised edition of the classic book The Art of Photography: An Approach to Personal Expression. Originally published in 1994 and first revised in 2010, The Art of Photography has sold well over 100,000 copies and has firmly established itself as the most readable, understandable, and complete textbook on photography. Featuring nearly 200 beautiful photographs in both black-and-white and color, as well as numerous charts, graphs, and tables, this book presents the world of photography to beginner, intermediate, and advanced photographers who seek to make a personal statement through the medium of photography. Without talking down to anyone or talking over anyone's head, renowned photographer, teacher, and author Bruce Barnbaum presents how-to techniques for both traditional and digital approaches. In this newest edition of the book, Barnbaum has included many new images and has completely revised the text, with particular focus on two crucial chapters covering digital photography: he revised a chapter covering the digital zone system, and includes a brand-new chapter on image adjustments using digital tools. There is also a new chapter discussing the concepts of “art versus technique” and “traditional versus digital” approaches to photography. Throughout the book, Barnbaum goes well beyond the technical, as he delves deeply into the philosophical, expressive, and creative aspects of photography so often avoided in other books. Barnbaum is recognized as one of the world's finest landscape and architectural photographers, and for decades has been considered one of the best instructors in the field of photography. This latest incarnation of his textbook—which has evolved, grown, and been refined over the past 45 years—will prove to be an ongoing, invaluable photographic reference for years to come. It is truly the resource of choice for the thinking photographer. Topics include: • Elements of Composition • Visualization • Light and Color • Filters • Black-and-White • The Digital Zone System • The Zone System for Film • Printing and Presentation • Exploding Photographic Myths • Artistic Integrity • Realism, Abstraction, and Art • Creativity and Intuition • A Personal Philosophy • And much, much more…",Photography,841,N/A,0,en
Primitive Photography,Alan Greene,CRC Press,2013-04-11,"Primitive Photography considers the hand-made photographic process in its entirety, showing the reader how to make box-cameras, lenses, paper negatives and salt prints, using inexpensive tools and materials found in most hardware and art-supply stores. Step-by-step procedures are presented alongside theoretical explanations and historical background. Streamlined calotype procedures are demonstrated, featuring different paper negative processes and overlooked, developing-out printing methods. Primitive Photography combines the simplicity of pinhole photography, the handmade quality of alternative processes, and the precision of large-format. For those seeking alternatives to commercially prepared material as well as digital photography, it provides the instructions for creating the entire photographic process from the ground up. Given its scope and treatment of the photographic process as a whole, this may be the first book of its kind to appear in over a century.",Photography,240,N/A,0,en
The Digital Photography Book,Scott Kelby,Pearson Education,2013,"Furnishes an overview of digital photography, covering such topics as cameras, exposure, lighting, shutter speed, depth of field, and resolution--and tips on how to avoid hours of photo-editing by taking great photographs the first time.",Medical,254,N/A,0,en
Photography,Steve Edwards,OUP Oxford,2006-08-24,"Photographs are an integral part of our daily lives from sensationalist images in tabloid papers and snapshots, to art photograpy displayed in galleries and sold through international art markets. In this thought-provoking exploration of the subject, Edwards combines a sense of the historical development of photography with an analysis of its purpose and meaning within a wider cultural context. He interrogates the way we look and think about photographs, and considers such issues as truth and recording, objectivity and fine art, identity and memory. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",Photography,201,N/A,0,en
American Photography,Jonathan Green,Abrams,1984-04,"Comprehensive, opinionated, knowledgeable - Jonathan Green's American Photography: A Critical History 1945 to the Present provides the first important survey of the field.",Art,252,N/A,0,en
Food Photography & Lighting,Teri Campbell,New Riders,2012-09-26,"Creating mouth-watering food images requires more than just a love of food and access to a kitchen. With the popularity of food blogs and photography how-tos, it’s tempting to think that anyone can photograph food, but it’s another thing entirely to shoot for a tight ad layout with the pressure of your client watching over your shoulder. Commercial food photographer Teri Campbell has been called a “lighting master,” and in this beautifully illustrated book, he not only shares his detailed lighting set-ups and shooting techniques for a wide range of food and drink shots, but also offers candid advice on how to set up a studio, use the right equipment, market your work, find clients, bid on assignments, hire food and prop stylists, and communicate effectively with everyone on the set. Campbell shares his expertise on dozens of commercial assignments–from shooting beignets on location in New Orleans, to creating perfect ice tea pours, to photographing beans on real flames in his studio. Learn how he creates dynamic compositions, uses studio strobes, and arranges light diffusers, reflectors, fill cards, and mirrors, to create the perfect capture. Campbell also discusses his post-processing techniques in Adobe Camera Raw and Adobe Photoshop to create images that are irresistible. This guide for intermediate and advanced users provides the insider details to help you expand your photography skills or turn your passion for food and images into a professional career.",Photography,789,N/A,0,en
Photography: A Critical Introduction,Liz Wells,Routledge,2015-01-30,"Photography: A Critical Introduction was the first introductory textbook to examine key debates in photographic theory and place them in their social and political contexts, and is now established as one of the leading textbooks in its field. Written especially for students in higher education and for introductory college courses, this fully revised edition provides a coherent introduction to the nature of photographic seeing. Individual chapters cover: Key debates in photographic theory and history Documentary photography and photojournalism Personal and popular photography Photography and the human body Photography and commodity culture Photography as art This revised and updated fifth edition includes: New case studies on topics such as: materialism and embodiment, the commodification of human experience, and an extended discussion of landscape as genre. 98 photographs and images, featuring work from: Bill Brandt, Susan Derges, Rineke Dijkstra, Fran Herbello, Hannah Höch, Karen Knorr, Dorothea Lange, Chrystel Lebas, Susan Meiselas, Lee Miller, Martin Parr, Ingrid Pollard, Jacob Riis, Alexander Rodchenko, Andres Serrano, Cindy Sherman and Jeff Wall. Fully updated resource information, including guides to public archives and useful websites. A full glossary of terms and a comprehensive bibliography. Contributors: Michelle Henning, Patricia Holland, Derrick Price, Anandi Ramamurthy and Liz Wells.",Art,548,N/A,0,en
Advertising Photography,"Lou Lesko, Bobbi Lane",Course Technology Ptr,2007-10,"If you are an aspiring or professional photographer looking to break into advertising, ""Advertising Photography: A Straightforward Guide to a Complex Industry"" will provide you with an honest and uncensored look at this highly competitive and lucrative business. While working in the advertising photography industry can be glamorous and financially rewarding, it can also be intimidating and difficult to break into, requiring networking savvy, financial know-how, and marketing and business skills on top of photographic talent. Advertising Photography strips away the glitz and presents a candid and complete picture with solid advice to newcomers. You'll learn how to get your business started, including writing a business strategy, successfully negotiating a bid, what to expect during the shoot, post production and delivery tips, and how to properly invoice your clients. The book explores several business management styles supported by the real-world experiences of veteran advertising photographers, illustrated with stunning full-color images of the work that got them where they are today. By examining the methods and strategies used by those who have already made it in the industry, you'll learn smart business practices to apply to your own work, giving you time to focus on the creative aspects of your craft, which is what will ultimately lead you to a successful advertising photography career. Learn from the experiences--good and bad--of those who have been there! -Practical how-to tips, information, and examples from each of the top genres -Learn how to get your business started, including writing a business strategy, licensing and copyright information, creating branding for websites and portfolios, insurance and legal issues, and more -Essential industry resources for estimating and invoicing software, professional organizations, marketing services, and creative consultants",Business & Economics,241,N/A,0,en
Complete Guide to Digital Infrared Photography,Joe Farace,"Sterling Publishing Company, Inc.",2006-10,"Cameras can capture what the eye can’t perceive: the presence of infrared light. And shooting infrared (IR) with a digital camera makes it easier than ever to create distinctively dreamlike, high-contrast black-and-white pictures. Using a wealth of stunning images, this thorough resource explores the technical and creative possibilities of this unique and increasingly popular medium. Get tips on focus and exposure; IR filters; and having a camera converted to shoot specifically in infrared. Follow instructions for processing and printing the photos--including toner effects and faux color. One glance through this guide and it’s clear why infrared pictures are fun to take and beautiful to look at.",Computers,176,N/A,0,en
