Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Political Science,,N/A,1964,N/A,,0,N/A,0,en
Political science,,N/A,1977,N/A,,0,N/A,0,en
Political Science,"Leonardo Morlino, Dirk Berg-Schlosser, Bertrand Badie",SAGE,2017-03-06,"From the award-winning team behind the International Encyclopaedia of Political Science... Moving beyond mainstream ""traditional"" approaches to bring you a new advanced-level introduction to political science. A perfect introduction for postgraduates who are new to political science, as well as upper-level undergraduates looking to broaden and deepen their understanding of core topics, this progressive account: Guides you through all key areas of political science: origins, methodological foundations, key topics, and current issues Takes an international and pluralist perspective with all issues explored in a comparative way related to different cultural and historical contexts Includes pulled-out descriptions of major concepts, further reading and self-assessment questions at the end of each chapter.",Political Science,313,N/A,0,en
political science is for everybody,amy l. atchison,University of Toronto Press,2021-02-16,This book is the first intersectionality-mainstreamed textbook written for introductory political science courses.,Political Science,460,N/A,0,en
Political Science,Herbert Victor Wiseman,N/A,1967,N/A,Political science,183,N/A,0,en
"Political Science: An Introduction, Global Edition","Michael G. Roskin, Robert L. Cord, James A. Medeiros, Walter S. Jones",Pearson Higher Ed,2016-08-18,"For courses in Introduction to Political Science. Explore the Fundamentals of Political Science Political Science: An Introduction shows students how the fundamental tenets of political science have helped important leaders make critical decisions for centuries. The authors present a balance of theoretical abstractions and applied reasoning to help students understand how to make calm, rational choices when it comes to political manipulation. This edition asks students to explore the controversial topic of exported democracy, and whether certain countries are ready and equipped to apply our form of government. By examining issues such as the Iraq war and the difficulty of adapting our own democracy in the U.S., the text prompts students to form their own opinions about democracy and political science. Geared toward those learning about the topic for the first time, the authors encourage students to consider different paradigms, viewpoints, and theories when developing their own political views. The full text downloaded to your computer With eBooks you can: search for key concepts, words and phrases make highlights and notes as you study share your notes with friends eBooks are downloaded to your computer and accessible either offline through the Bookshelf (available as a free download), available online and also via the iPad and Android apps. Upon purchase, you'll gain instant access to this eBook. Time limit The eBooks products do not have an expiry date. You will continue to access your digital ebook products whilst you have your Bookshelf installed.",Political Science,385,N/A,0,en
Careers and the Study of Political Science,Mary H. Curzan,Amer Political Science Assn,1992,N/A,Political science,51,N/A,0,en
Political Science,,N/A,1969,N/A,,148,N/A,0,en
Introduction to Political Science,James Wilford Garner,N/A,1910,Presents a collection of experiments exploring the properties of heat.,Political science,642,N/A,0,en
Politics in a Changing World,Marcus E. Ethridge,N/A,2012,N/A,Comparative government,561,N/A,0,en
