Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Book for the Hour of Recreation,María de San José Salazar,University of Chicago Press,2007-11-01,"María de San José Salazar (1548-1603) took the veil as a Discalced (""barefoot"") Carmelite nun in 1571, becoming one of Teresa of Avila's most important collaborators in religious reform and serving as prioress of the Seville and Lisbon convents. Within the parameters of the strict Catholic Reformation in Spain, María fiercely defended women's rights to define their own spiritual experience and to teach, inspire, and lead other women in reforming their church. María wrote this book as a defense of the Discalced practice of setting aside two hours each day for conversation, music, and staging of religious plays. Casting the book in the form of a dialogue, María demonstrates through fictional conversations among a group of nuns during their hours of recreation how women could serve as very effective spiritual teachers for each other. The book includes one of the first biographical portraits of Teresa and Maria's personal account of the troubled founding of the Discalced convent at Seville, as well as her tribulations as an Inquisitional suspect. Rich in allusions to women's affective relationships in the early modern convent, Book for the Hour of Recreation also serves as an example of how a woman might write when relatively free of clerical censorship and expectations. A detailed introduction and notes by Alison Weber provide historical and biographical context for Amanda Powell's fluid translation.",Biography & Autobiography,205,N/A,0,en
Outdoor Recreation in America,Clayne R. Jensen,N/A,1973,N/A,Travel,302,N/A,0,en
Black Recreation,Jearold Winston Holland,Rowman & Littlefield,2002,"While the black experience in America has been told in many ways, it has seldom, if ever, been substantially addressed from the play, recreation, and leisure perspective. That is the primary intent of Black Recreation: A Historical Perspective. Leisure and recreation activities are an important measure of quality of life--of happiness, wealth, and health. Historical interpretation, accurately presented, can help give individuals a better sense of identity--of who they are and how far they have come. Both minority and majority readers will benefit from broad-based analysis of the recreational activities and effects they had on American culture as a whole.",Games & Activities,228,N/A,0,en
Parks and Recreation: The Official Coloring Book,Insight Editions,Simon and Schuster,2022-11,"Bring Pawnee to life with Parks and Recreation: The Official Coloring Book, featuring more than 60 ready-to-color, detailed illustrations! What’s better than local government? Coloring in scenes of local government! Destress and relax with this coloring book that celebrates beloved characters like Leslie Knope, Ron Swanson, and Jerry (or was it Terry? Larry?). Featuring iconic and hilarious moments from the show, this coloring book is jam-packed with special designs and scenes that every Pawnee resident will love. • 60+ COLORING PAGES: Detailed pages offer hours of coloring fun, featuring fan-favorite moments from the show. • RELAX AND GET CREATIVE: Whether you’re coming home from a long day at city hall, or fresh off of creating a woodworking masterpiece, this coloring book is just what you need to destress and unwind. • A GREAT GIFT FOR PARKS AND REC FANS: A gift that Leslie Knope herself would approve of, this coloring book is a great way to treat yo’ self, or your friends and family.",Art,64,N/A,0,en
Recreation and Parks,Betty Van der Smissen,Human Kinetics,2005,"Gaining an understanding of the recreation and parks profession is crucial to success in the field and to effective leadership within the field. Recreation and Parks: The Profession is a one-of-a-kind resource that delineates the components that make this complex field a profession. Written by well-known recreation authority Betty van der Smissen, this book -defines the marks of the recreation and parks profession and identifies the steps involved in becoming a professional in the field; -profiles 62 professional organizations within the profession; -provides a Web site that features a time line of the development of areas and organizations of the profession and the most up-to-date Web addresses for organizations detailed in the text; -outlines a comparative history of 15 categories of the recreation and parks field in the United States and Canada; and -presents a classic-to-contemporary bibliography of resources that showcases an inclusive body of knowledge on the profession. Part I describes recreation and parks as a profession and provides students with steps to lay a solid foundation to become a professional. Part II grounds readers with a comparative historical overview of the recreation and parks field from the 1500s to the present day. The author divides the field into 15 categories and offers suggestions on how to use the time line. Part III profiles 62 professional organizations. Each profile includes the organization's mission, goals, structure, history, publications, services, and professional credentialing information. In addition, it lists the organization's Web sites, contact information, and other vital information that students use in completing course work, in applying for internships, and in researching various aspects of the profession. Part IV contains a bibliography of selected resources on recreation and parks, from classic to the present. Recreation and Parks: The Profession includes a Web site that not only provides links to other current Web sites for the organizations profiled, but it also is linked to a color-coded version of the time line. The time line is ready to download, print, and use in the classroom or office. This version of the time line provides the most effective way to obtain an overall picture of the historical comparison of the categories in the recreation and parks profession. Recreation and Parks: The Profession is a unique resource for students, professors, and professionals in recreation and parks. The text brings together the important aspects of the field as a profession.",Education,156,N/A,0,en
Club Swinging for Physical Exercise and Recreation,William Jackson Schatz,Franklin Classics Trade Press,2018-10-24,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,130,N/A,0,en
Parks and Recreation System Planning,David Barth,Island Press,2020-07-21,"Parks and recreation systems have evolved in remarkable ways over the past two decades. No longer just playgrounds and ballfields, parks and open spaces have become recognized as essential green infrastructure with the potential to contribute to community resiliency and sustainability. To capitalize on this potential, the parks and recreation system planning process must evolve as well. In Parks and Recreation System Planning, David Barth provides a new, step-by-step approach to creating parks systems that generate greater economic, social, and environmental benefits. Barth first advocates that parks and recreation systems should no longer be regarded as isolated facilities, but as elements of an integrated public realm. Each space should be designed to generate multiple community benefits. Next, he presents a new approach for parks and recreation planning that is integrated into community-wide issues. Chapters outline each step—evaluating existing systems, implementing a carefully crafted plan, and more—necessary for creating a successful, adaptable system. Throughout the book, he describes initiatives that are creating more resilient, sustainable, and engaging parks and recreation facilities, drawing from his experience consulting in more than 100 communities across the U.S. Parks and Recreation System Planning meets the critical need to provide an up-to-date, comprehensive approach for planning parks and recreation systems across the country. This is essential reading for every parks and recreation professional, design professional, and public official who wants their community to thrive.",Architecture,298,N/A,0,en
Outdoor Recreation,Ryan Plummer,N/A,2009,"'Outdoor Recreation' provides an informative and comprehensive overview of this broad field. Taking in core theoretical and practical themes, it is a student text drawing together a diverse range of perspectives on the subject.",Outdoor recreation,0,N/A,0,en
Studies in Outdoor Recreation,Robert E. Manning,N/A,1999,The first book to integrate the social science literature on outdoor recreation has been completely updated to reflect current research and new concerns. The book is a standard text in courses and an invaluable reference for park and recreation managers.,Business & Economics,388,N/A,0,en
"Introduction to Recreation and Leisure, 3E","Tapps, Tyler, Wells, Mary Sara",Human Kinetics,2019,"Introduction to Recreation and Leisure, Third Edition, presents perspectives from 52 leading experts from around the world. It delves into foundational concepts, delivery systems, and programming services; offers an array of ancillaries; and helps students make informed career choices.",Sports & Recreation,496,N/A,0,en
The Nature of Recreation,"Richard Saul Wurman, Alan Levy, Joel Katz",N/A,1972,"This handbook is·a response to the sesquicentennial celebration of the birth of Frederick Law Olmsted. Enlarging our ability to communicate our recreational needs and desires is a subject that demands our collective advocacy. We have attempted to help the reader learn to articulate constructive demands for recreation and for recreational facilities. Our tribute to Frederick Law Olmsted uses his works and words as a beginning point for this handbook-long definition of the nature of recreation. And we have attempted a meeting and an embrace between the performances of recreation and the physical places and spaces such performances desire to occupy. At best, this book will help you see some things that you have always seen but never seen.",Architecture,90,N/A,0,en
