Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Relationships,"Timothy S. Lane, Paul David Tripp",New Growth Press,2006-11-06,"Your best friend is suddenly cool and distant. Your spouse can't stop complaining about your bad habits. Your son refuses to talk to you. What are you supposed to do? Plans A, B, and C might be to shut down, lash out, or get out. But consider Plan D: Recognize that God has the last word on those messy, conflict-ridden relationships. He can ...",Religion,164,N/A,0,en
ADHD and Relationships: A Woman's Perspective,Suzanne Byrd,qasas.pub,2024-11-18,"Navigating relationships can be challenging, but for women with ADHD, it often comes with unique hurdles and insights. In this compelling and insightful book, ""ADHD and Relationships: A Woman's Perspective,"" the author delves into the intricacies of how ADHD affects romantic partnerships, friendships, and family dynamics from a distinctly female viewpoint. Through personal anecdotes, expert interviews, and practical advice, this book explores: Understanding ADHD: Gain a deeper understanding of ADHD and how it manifests differently in women. Communication Strategies: Learn effective communication techniques to bridge gaps and foster understanding in relationships. Emotional Management: Discover tools for managing emotions and reducing stress to maintain healthy connections. Building Support Systems: Find out how to create a supportive network that acknowledges and respects the challenges of ADHD. Success Stories: Be inspired by real-life stories of women who have successfully navigated their relationships despite the challenges of ADHD. Whether you are a woman with ADHD, a partner, or a loved one, this book offers valuable insights and practical strategies to enhance your relationships and improve your quality of life. Embrace the journey of understanding and connection with ""ADHD and Relationships: A Woman's Perspective.""",Family & Relationships,67,N/A,0,en
Life's About Relationships: A Foundation for Good Relationships,Dr. Don Woodard,Ambassador International,2021-10-12,"We interact with people every day whether it be with our coworkers, family, or friends—life is filled with relationships! While not all relationships are good, with God’s help, we can work to better our current and future relationships and overcome the effects of toxic relationships.",Religion,92,N/A,0,en
"Men, Women and Relationships - A Post-Jungian Approach",Phil Goss,Routledge,2010-09-13,"This book offers Jungian perspectives on social constructions of gender difference and explores how these feed into adult ways of relating within male-female relationships. Phil Goss places this discussion within an archetypal context drawing on the fairy tale Jack and the Beanstalk to consider the deep tension in western culture between the transcendent masculine and the immanent feminine. Offering both developmental and socio-cultural frameworks, areas of discussion include: the use of story and myth to understand gender Jungian and post-Jungian approaches: updating anima/animus working clinically with men, and with women the developmental pathways of gender difference power relations between men and women in the home. Men, Women and Relationships – A Post-Jungian Approach will be a valuable resource for all those with an interest in analytical psychology including psychotherapists, psychoanalysts and counsellors, as well as those in the broader fields of social work and education who have an interest in gender difference and identity.",Family & Relationships,270,N/A,0,en
"Simpifying Relationships - A concise guide to other people, life and connecting in disonnected times.","Jody Andrews, LMFT","Jody Andrews, LMFT",N/A,"The trouble with relationships is other people. We have friends and neighbors, partners and lovers. We live in communities, we come from families, and we earn our living working with or for other people. This simple guidebook utilizes tools to help you determine if a relationship is healthy and offers solutions for change if necessary. It will also help you understand what might be keeping you stuck in a difficult situation and learn what to expect when dealing with transitions and loss. Ultimately you will learn the art of living well, how to flourish in life and form deeper connections with others.",Self-Help,169,N/A,0,en
MANAGING CONFLICT IN MARRIAGE AND RELATIONSHIPS A Guide To Managing Relationship And Marriage,Philip Sodje,Philip Sodje,2024-04-26,"CHAPTER 1. INTRODUCTION: Conflict is an inevitable aspect of any relationship, and in the context of marriage and intimate partnerships, it can often feel overwhelming. However, it's essential to recognize that conflict, when handled constructively, can actually strengthen and deepen the bond between partners. ""Navigating Conflict: A Guide to Managing Conflict in Marriage and Relationships"" sets out to provide practical strategies and insights for couples to navigate conflict in a healthy and productive manner. In this book, we delve into the nature of conflict within relationships, emphasizing that it's a natural and inevitable part of being human. Drawing from psychology and relationship research, we explore the various triggers and dynamics that contribute to conflict, including differing expectations, communication styles, and unresolved issues from the past. By normalizing conflict, we aim to alleviate the stigma and fear often associated with it, empowering couples to approach disagreements with greater resilience and understanding. The Importance of Effectively Managing Conflict: Here, we highlight the significance of addressing conflict proactively for the overall health and longevity of a relationship. Unresolved conflicts can fester and lead to resentment, erosion of trust, and ultimately, relationship breakdown. Conversely, couples who learn to manage conflict constructively not only strengthen their connection but also cultivate greater intimacy, empathy, and mutual respect. We underscore that conflict resolution skills are essential for maintaining a thriving and fulfilling partnership, regardless of the stage or duration of the relationship. Overview of the Book Structure: This section provides a roadmap for the eBook, outlining the key themes, chapters, and exercises designed to support couples in navigating conflict more effectively. Each chapter will address specific aspects of conflict management, from understanding triggers and communication patterns to practicing active listening and negotiating compromises. Throughout the eBook, readers will find practical tips, case studies, and reflective prompts to apply the concepts to their own relationship dynamics. By offering a comprehensive yet accessible framework, ""Navigating Conflict"" aims to empower couples to transform conflict from a source of tension into an opportunity for growth and deeper connection",Antiques & Collectibles,27,N/A,0,en
The Tao of Relationships: A Balancing of Man and Woman,Ray Grigg,Green Dragon Books,N/A,"The balancing of man and woman is not just their coming together, but their ability to stay separate. Love, like the Tao, cannot be limited by time or words. They are a process, a way of life, a balance. They move from the yin and yang of male/female to the mystical wholeness of the Tao. This thought-provoking, intuitive, and inspiring volume is for all lovers to learn from and enjoy.",Religion,253,N/A,0,en
7 Days to Improve Relationships: A New Way to Love,Maria Jesus Marin Lopez,Lulu.com,2015-10-28,"Enjoy this 7 day challenge to improve your relationships! This is a very simple, yet very effective guide to achieve happiness in the way you relate to others. Every day, for 7 days, you'll be focusing on a specific topic, then you just have to put it into practice. You'll be amazed how easy it is for you to enjoy harmony in your every day. Every one of us wants to have a happy, harmonious, long lasting relationship. What prevents this are our unconscious patterns. We act these out in our romantic relationships more so than in any other form. From the beginning of our life the way we interact creates a set of limiting unconscious patterns and beliefs. We can be trapped in unconscious patterns, but what gives us our power is, that when we come to full awareness, then we don't need to react, but can act from an empowered place. We have the ability to choose and as a result of making these choices, we create the life that we were born to live.",Family & Relationships,58,N/A,0,en
Scoring Women and Relationships: A Gentleman's Pocketbook for How the Game Works,Joseph Sorrell,Lulu.com,2009-03-01,"Have you ever wanted to know how to approach a woman with confidence? This insightful, yet humorous read will get you up and going on the first day and is small enough to keep in the glove box.",Self-Help,60,N/A,0,en
How to Be an Adult in Relationships,David Richo,Shambhala Publications,2021-11-02,"This beloved book has touched hundreds of thousands of lives with its profound and actionable advice. Retaining the core message of becoming more mindful in our relationships, this edition includes new and revised material that addresses how we live and love today. A new preface touches on David Richo’s experience with the book over time and outlines the key updates, including attention to online dating and modern communication styles as well as new perspectives on anger and ending relationships. “Most people think of love as a feeling,” says Richo, “but love is not so much a feeling as a way of being present.” How to Be an Adult in Relationships explores five hallmarks of mindful loving and how they play a key role in our relationships. Adult love is based on a mutual commitment to what Richo calls the “five A’s”: attention, acceptance, appreciation, affection, and allowing. Brimming with practical exercises for couples and singles, How to Be an Adult in Relationships offers heartening insights into a lifelong journey of love. Topics include: • Becoming conscious of our relationship patterns and how they relate to childhood • Recognizing and attracting someone who can show adult love • Understanding the phases relationships go through • Creating and maintaining healthy boundaries • Overcoming fears of abandonment and engulfment • Expressing anger and other emotions in adult and loving ways • Surviving break-ups with our self-esteem intact • Understanding love as a spiritual journey",Self-Help,313,N/A,0,en
Close Relationships,Clyde Hendrick,SAGE,2000,"'The authors ...extend the reach of their comprehensive reviews into theoretically driven and innovating explorations. The scope of coverage across and within chapters is striking. The developmentalist, the methodologist, the feminist, the contextualist, and the cross-culturalist alike will find satisfaction in reading the chapters' - Catherine A Surra, University of Texas, Austin The science of close relationships is relatively new and complex. This volume has 26 chapters organized into four thematic areas: relationship methods, forms, processes, and threats, as well as a foreword and an epilogue.",Language Arts & Disciplines,506,4.5,2,en
"Sex, Dating, and Relationships","Gerald Hiestand, Jay S. Thomas",N/A,2012,"Answering questions like ""How far is too far?"" the authors articulate a biblical theology of dating aimed at persuading a new generation of Christians to get serious about honoring Christ with their sexuality.",Religion,0,N/A,0,en
