Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Maltreatment of Children,S.M. Smith,Springer Science & Business Media,2012-12-06,"The maltreatment of children is an issue that has always been with us and civilized societies provide a range of services both social and medical to care for the children and families afflicted. In recent years, greater attention has been drawn to the medical aspects by competent authorities in the fields of forensic medicine, forensic psychiatry, epidemiological psychiatry, child psychiatry and family psychiatry; as well as the social aspects by those child welfare and child care agencies who have the difficult and distasteful task of removing children, with the help of the courts, from parents who can abuse them and are not able to care for them adequately. A multitude of social agencies, whose range of ac tivities involve both the care and, where possible, the social betterment of afflicted families are now involved. Not least in importance is an increase in our global knowledge to help in the prevention or better treatment of these problems. This means more informa tion on familial and genetic factors in human central nervous system develop ment in its broadest sense. This would include how the central nervous system originates, mediates and controls the build up, speed of development and im pulsive release, mastery and direction of aggressive drives and impulses. Very little is so far known about these factors.",Medical,457,N/A,0,en
Publication Manual of the American Psychological Association,American Psychological Association,American Psychological Association (APA),2019-10,"The Publication Manual of the American Psychological Association is the style manual of choice for writers, editors, students, and educators in the social and behavioral sciences, nursing, education, business, and related disciplines.",Language Arts & Disciplines,428,5,1,en
Publication Manual of the American Psychological Association,American Psychological Association,N/A,1985,N/A,,0,N/A,0,en
Cite Them Right,"Richard Pears, Graham Shields",Palgrave Macmillan,2010-08-15,"This book is renowned as the most comprehensive yet easy-to-use guide to referencing available. Tutors rely on the advice to guide their students in the skills of identifying and referencing information sources and avoiding plagiarism. This new edition has new and expanded content, especially in relation to latest electronic sources.",Education,112,N/A,0,en
Integrating Analyses in Mixed Methods Research,Patricia Bazeley,SAGE,2017-09-25,"Integrating Analyses in Mixed Methods Research goes beyond mixed methods research design and data collection, providing a pragmatic discussion of the challenges of effectively integrating data to facilitate a more comprehensive and rigorous level of analysis. Showcasing a range of strategies for integrating different sources and forms of data as well as different approaches in analysis, it helps you plan, conduct, and disseminate complex analyses with confidence. Key techniques include: Building an integrative framework Analysing sequential, complementary and comparative data Identifying patterns and contrasts in linked data Categorizing, counting, and blending mixed data Managing dissonance and divergence Transforming analysis into warranted assertions With clear steps that can be tailored to any project, this book is perfect for students and researchers undertaking their own mixed methods research.",Social Science,410,N/A,0,en
The Social Life of Information,"John Seely Brown, Paul Duguid",Harvard Business Review Press,2017-02-21,"Understand the human place in a digital world. “Should be read by anyone interested in understanding the future,” The Times Literary Supplement raved about the original edition of The Social Life of Information. We’re now living in that future, and one of the seminal books of the Internet Age is more relevant than ever. The future was a place where technology was supposed to empower individuals and obliterate social organizations. Pundits predicted that information technology would spell the end of almost everything—from mass media to bureaucracies, universities, politics, and governments. Clearly, we are not living in that future. The Social Life of Information explains why. John Seely Brown and Paul Duguid show us how to look beyond mere information to the social context that creates and gives meaning to it. Arguing elegantly for the important role that human sociability plays, even—perhaps especially—in the digital world, The Social Life of Information gives us an optimistic look beyond the simplicities of information and individuals. It shows how a better understanding of the contribution that communities, organizations, and institutions make to learning, working, and innovating can lead to the richest possible use of technology in our work and everyday lives. With a new introduction by David Weinberger and reflections by the authors on developments since the book’s first publication, this new edition is essential reading for anyone seeking to understand the human place in a digital world.",Business & Economics,333,N/A,0,en
AIDS,Elisabeth Kübler-Ross,Simon and Schuster,2011-07-19,"AIDS ""None of us is so unique as to be exempt from the human condition."" As the numbers of reported AIDS cases continue to climb, and the disease continues to take more and more lives, those who have to deal with the complexities of this problem continue to ask: ""How do we care for these terminally ill?"" Using letters from patients, questions and answers between patient and doctor, and other compassionate tools, Dr. Elisabeth Kübler-Ross, the world's foremost expert on death and dying, shows us how to comfort the seriously ill and help AIDS patients through the critical ""stages of dying"" She addresses the stigma surrounding AIDS as a ""gay disease"" and makes a special plea for prisoners with AIDS, for women and children with AIDS, and for babies with AIDS. This remarkable book is warm and informative on one of the most important subjects of our time.",Psychology,303,N/A,0,en
A Handbook of Jazz,Barry Ulanov,Greenwood Publishing Group,1975,N/A,Family & Relationships,248,N/A,0,en
Writing Your Journal Article in Twelve Weeks,Wendy Laura Belcher,SAGE,2009-01-20,This book provides you with all the tools you need to write an excellent academic article and get it published.,Education,376,5,1,en
Digital Literacies for Learning,"Allan Martin, Dan Madigan",Facet Publishing,2006,"In the 21st century, digital tools enable information to be generated faster and in greater profusion than ever before, to the point where its extent and value are literally beyond imagining. Such quantities can only be meaningfully addressed using more digital tools, and thus our relationship to information is fundamentally changed. This situation presents a particular challenge to processes of learning and teaching, and demands a response from both information professionals and educators. Enabling education in a digital environment means not only changing the form in which learning opportunities are offered, but also enabling students to survive and prosper in digitally based learning environments. This collection brings together a global community of educators, educational researchers, librarians and IT strategists, to consider how learners need to be equipped in an educational environment that is increasingly suffused with digital technology. Traditional notions of literacy need to be challenged, and new literacies, including information literacy and IT literacy, need to be considered as foundation elements for digitally involved learners. Leading international experts from the USA, Canada, Australia, New Zealand, South Africa, Mexico and throughout Europe contribute to the debate, and Hannelore Rader, Librarian and Dean of the University Libraries, University of Louisville, Kentucky, provides the foreword. The book is in two parts: In Part 1, Literacies in the Digital Age, the contributors analyse how digital technologies have enabled transformative change in the ways in which learning can be constructed, and discuss the nature of the new literacies that have emerged in this new virtual and e-learning environment. In Part 2, Enabling and Supporting Digital Literacies, the contributors go on to consider the ways in which digital literacies can be made available to learners, and how these literacies are being relocated in a more student-centred environment within the broader perspective of learning. Readership: This book takes the issues raised in the successful Information and IT Literacy, also co-edited by Allan Martin, into a broader context. It is essential reading for all information professionals and educators involved in developing strategies and practices for learning in a digital age.",Computers,273,N/A,0,en
