Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
"Religion a Social Principle. A sermon, etc",William Ellery CHANNING,N/A,1820,N/A,,20,N/A,0,en
Edward Duncombe: Or Religion a Reality,Edward Duncombe,N/A,1826,N/A,,178,N/A,0,en
The Christian Examiner and Religious Miscellany,,N/A,1846,N/A,Liberalism (Religion),488,N/A,0,en
The World's Religions in Figures,"Todd M. Johnson, Brian J. Grim",John Wiley & Sons,2013-03-25,"Created by two of the field’s leading experts, this unique introduction to international religious demography outlines the challenges in interpreting data on religious adherence, and presents a contemporary portrait of global religious belief. Offers the first comprehensive overview of the field of international religious demography – detailing what we know about religious adherents around the world, and how we know it Examines religious freedom and diversity, including agnostics and atheists, on a global scale, highlighting trends over the past 100 years and projecting estimates for the year 2050 Outlines the issues and challenges related to definitions, taxonomies, sources, analyses, and other techniques in interpreting data on religious adherence Considers data from religious communities, censuses, surveys, and scholarly research, along with several in-depth case studies on the global Muslim population, religion in China, and the religious demography of recently created Sudan and South Sudan Argues against the belief that the twentieth-century was a ‘secular’ period by putting forward new evidence to the contrary Provides resources for measuring both qualitatively and quantitatively important data on the world's religious situation in the twenty-first century",Religion,340,N/A,0,en
The Institutional Dictionary of Astronism,Cometan,Astral Publishing,2021-03-21,"The Institutional Dictionary of Astronism is the cumulation of receptions between Cometan and the astronomical world during the Founding era (2013-2021). The publication of this very first full-length Institutional Dictionary of Astronism represents eight years of the development of Astronism from its inception to how it stands today in 2021. The publication of this dictionary also encapsulates Astronism exactly as it exists now and how Cometan conceives it by the end of the Founding era. This dictionary and its contents capture what Astronism is now for posterity to look back on how this astronomical belief system will change as time progresses. Many of the words and definitions of this dictionary will alter as we enter the Establishment era and Astronism continues its progression in becoming world religion. However, what will not ever change is Cometan’s absolute devotion to the stars of the night sky and his discovery of their secrets through his receptions, personal inspirations, and his overall relationship with The Great Cosmos. Covering all the major Astronist beliefs, practices, cultural elements, theories, branches of study, and historical events, A Dictionary of Astronism, also known as the Institutional Dictionary of Astronism, is published by the Astronist Institution through its subsidiary, Astral Publishing, to commemorate the end of the era of The Founding of Astronism. The Founding of Astronism began exactly eight years on 1st July 2013 which sparked Cometan's ideations and indrucies and which afforded him the insight, knowledge, and vision to found a new religious movement, philosophy, spirituality and political ideology. As The Founding of Astronism, also simply known as the Founding era, comes to an end, the Astronist Institution wants to acknowledge the fundamental importance of this year period of the history of Astronism and to the wider history of religion, philosophy and spirituality as a whole. The Dictionary of Astronism immortalises that commemorative spirit by providing thousands of definition entries of Astronist terms that have been authorised by Astronist Institution scholars for dissemination worldwide. This dictionary captures the most up-to-date understanding of what Astronism is and how it as a whole and its component parts should be defined. Enjoy this dictionary that emblematises Astronism and how this new religion has so far developed.",Religion,882,N/A,0,en
"The Butter Horn; Or, the Evils of State Endowments of Religion ... [A Poem.] Second Edition, Enlarged",Mathew MEEK,N/A,1838,N/A,,86,N/A,0,en
Constitutions and Religious Freedom,Frank B. Cross,Cambridge University Press,2015-02-05,"This book challenges whether the protection and privilege of religious belief and identity should be prioritized over any other right. By studying the effects of constitutional promises of religious freedom and establishment clauses, the author finds that constitutions provide national religious protection, especially when the legal system is more sophisticated.",Law,271,N/A,0,en
The Myth of Religious Violence,William T Cavanaugh,Oxford University Press,2009-09-03,"The idea that religion has a dangerous tendency to promote violence is part of the conventional wisdom of Western societies, and it underlies many of our institutions and policies, from limits on the public role of religion to efforts to promote liberal democracy in the Middle East. William T. Cavanaugh challenges this conventional wisdom by examining how the twin categories of religion and the secular are constructed. A growing body of scholarly work explores how the category 'religion' has been constructed in the modern West and in colonial contexts according to specific configurations of political power. Cavanaugh draws on this scholarship to examine how timeless and transcultural categories of 'religion and 'the secular' are used in arguments that religion causes violence. He argues three points: 1) There is no transhistorical and transcultural essence of religion. What counts as religious or secular in any given context is a function of political configurations of power; 2) Such a transhistorical and transcultural concept of religion as non-rational and prone to violence is one of the foundational legitimating myths of Western society; 3) This myth can be and is used to legitimate neo-colonial violence against non-Western others, particularly the Muslim world.",Religion,296,3,2,en
Religious Evolution and the Axial Age,Stephen K. Sanderson,Bloomsbury Publishing,2018-01-25,"Religious Evolution and the Axial Age describes and explains the evolution of religion over the past ten millennia. It shows that an overall evolutionary sequence can be observed, running from the spirit and shaman dominated religions of small-scale societies, to the archaic religions of the ancient civilizations, and then to the salvation religions of the Axial Age. Stephen K. Sanderson draws on ideas from new cognitive and evolutionary psychological theories, as well as comparative religion, anthropology, history, and sociology. He argues that religion is a biological adaptation that evolved in order to solve a number of human problems, especially those concerned with existential anxiety and ontological insecurity. Much of the focus of the book is on the Axial Age, the period in the second half of the first millennium BCE that marked the greatest religious transformation in world history. The book demonstrates that, as a result of massive increases in the scale and scope of war and large-scale urbanization, the problems of existential anxiety and ontological insecurity became particularly acute. These changes evoked new religious needs, especially for salvation and release from suffering. As a result entirely new religions-Zoroastrianism, Judaism, Christianity, Hinduism, Buddhism, Confucianism, and Daoism-arose to help people cope with the demands of the new historical era.",Social Science,317,N/A,0,en
Ways of Meeting and the Theology of Religions,David Cheetham,"Ashgate Publishing, Ltd.",2013,"Exploring the different points of view and 'tones of voice' adopted in theology for the meeting of religions, this book presents a contemporary philosophical and theological engagement with key issues of how different faiths might meet, of comparative philosophy of religion, the use of aesthetics, inter-religious ethics and issues relating to the self. Providing a critical evaluation of contemporary liberal, post-liberal and conservative voices, this book highlights the use of the creative imagination and explores new ideas for the meeting of religions.",Social Science,241,N/A,0,en
