Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Social Science for What?,Mark Solovey,MIT Press,2020-07-07,"How the NSF became an important yet controversial patron for the social sciences, influencing debates over their scientific status and social relevance. In the early Cold War years, the U.S. government established the National Science Foundation (NSF), a civilian agency that soon became widely known for its dedication to supporting first-rate science. The agency's 1950 enabling legislation made no mention of the social sciences, although it included a vague reference to ""other sciences."" Nevertheless, as Mark Solovey shows in this book, the NSF also soon became a major--albeit controversial--source of public funding for them.",Political Science,409,N/A,0,en
The Navy Chaplain,,N/A,1989,N/A,,72,N/A,0,en
How Does Social Science Work?,Paul Diesing,University of Pittsburgh Press,1992-03-15,"The culmination of a lifetime spent in a variety of fields - sociology, anthropology, economics, psychology, and philosophy of science - How Does Social Science Work? takes an innovative, sometimes iconoclastic look at social scientists at work in many disciplines. It describes how they investigate and the kinds of truth they produce, illuminating the weaknesses and dangers inherent in their research.At once an analysis, a critique, and a synthesis, this major study begins by surveying philosophical approaches to hermeneutics, to examine the question of how social science ought to work. It illustrates many of its arguments with untraditional examples, such as the reception of the work of the political biographer Robert Caro to show the hermeneutical problems of ethnographers. The major part of the book surveys sociological, political, and psychological studies of social science to get a rounded picture of how social science works,Paul Diesling warns that ""social science exists between two opposite kinds of degeneration, a value-free professionalism that lives only for publications that show off the latest techniques, and a deep social concern that uses science for propaganda."" He argues for greater self-awareness and humility among social scientists, although he notes that ""some social scientists . . . will angrily reject the thought that their personality affects their research in any way.""This profound and sometimes witty book will appeal to students and practitioners in the social sciences who are ready to take a fresh look at their field. An extensive bibliography provides a wealth of references across an array of social science disciplines.",Social Science,430,N/A,0,en
Method in Social Science,R. Andrew Sayer,Psychology Press,1992,"Widely praised on its first publication, this second edition directly reflects new developments in the areas of philosophy and method.",Social sciences,326,N/A,0,en
Data Analysis for Social Science,"Elena Llaudet, Kosuke Imai",Princeton University Press,2022-11-29,"""Data analysis has become a necessary skill across the social sciences, and recent advancements in computing power have made knowledge of programming an essential component. Yet most data science books are intimidating and overwhelming to a non-specialist audience, including most undergraduates. This book will be a shorter, more focused and accessible version of Kosuke Imai's Quantitative Social Science book, which was published by Princeton in 2018 and has been adopted widely in graduate level courses of the same title. This book uses the same innovative approach as Quantitative Social Science , using real data and 'R' to answer a wide range of social science questions. It assumes no prior knowledge of statistics or coding. It starts with straightforward, simple data analysis and culminates with multivariate linear regression models, focusing more on the intuition of how the math works rather than the math itself. The book makes extensive use of data visualizations, diagrams, pictures, cartoons, etc., to help students understand and recall complex concepts, provides an easy to follow, step-by-step template of how to conduct data analysis from beginning to end, and will be accompanied by supplemental materials in the appendix and online for both students and instructors""--",Computers,256,N/A,0,en
Quantitative Social Science,"Kosuke Imai, Lori D. Bougher",Princeton University Press,2021-03-16,"""Princeton University Press published Imai's textbook, Quantitative Social Science: An Introduction, an introduction to quantitative methods and data science for upper level undergrads and graduates in professional programs, in February 2017. What is distinct about the book is how it leads students through a series of applied examples of statistical methods, drawing on real examples from social science research. The original book was prepared with the statistical software R, which is freely available online and has gained in popularity in recent years. But many existing courses in statistics and data sciences, particularly in some subject areas like sociology and law, use STATA, another general purpose package that has been the market leader since the 1980s. We've had several requests for STATA versions of the text as many programs use it by default. This is a ""translation"" of the original text, keeping all the current pedagogical text but inserting the necessary code and outputs from STATA in their place""--",Political Science,464,N/A,0,en
Social Science,"David C. Colander, Elgin F. Hunt",Routledge,2019-02-25,"Now in its seventeenth edition, Social Science: An Introduction to the Study of Society approaches its study from a common-sense perspective, rather than a formalistic perspective more common in social science. Readers will see how seemingly diverse disciplines intermingle and connect to one another – anthropology and economics, for example. The goal of the book is to teach students critical thinking and problem-solving skills that will allow them to approach social issues in an objective and informed way. New to this edition are significant updates on: The election of Donald Trump and the emergence of related populist movements Trade policy and health care Issues involving migration and immigration Emerging developments in artificial intelligence Comparisons between cultural and biological evolution Examples, data, recommended readings, and internet questions",Social Science,984,N/A,0,en
Teaching the Social Sciences and History in Secondary Schools,Social Science Education Consortium,N/A,2000,N/A,History,0,N/A,0,en
The Impact of the Social Sciences,"Simon Bastow, Patrick Dunleavy, Jane Tinkler",SAGE,2014-01-17,"The impact agenda is set to shape the way in which social scientists prioritise the work they choose to pursue, the research methods they use and how they publish their findings over the coming decade, but how much is currently known about how social science research has made a mark on society? Based on a three year research project studying the impact of 360 UK-based academics on business, government and civil society sectors, this groundbreaking new book undertakes the most thorough analysis yet of how academic research in the social sciences achieves public policy impacts, contributes to economic prosperity, and informs public understanding of policy issues as well as economic and social changes. The Impact of the Social Sciences addresses and engages with key issues, including: identifying ways to conceptualise and model impact in the social sciences developing more sophisticated ways to measure academic and external impacts of social science research explaining how impacts from individual academics, research units and universities can be improved. This book is essential reading for researchers, academics and anyone involved in discussions about how to improve the value and impact of funded research.",Social Science,625,N/A,0,en
Transparent and Reproducible Social Science Research,"Garret Christensen, Jeremy Freese, Edward Miguel",University of California Press,2019-07-23,"Recently, social science has had numerous episodes of influential research that was found invalid when placed under rigorous scrutiny. The growing sense that many published results are potentially erroneous has made those conducting social science research more determined to ensure the underlying research is sound. Transparent and Reproducible Social Science Research is the first book to summarize and synthesize new approaches to combat false positives and non-reproducible findings in social science research, document the underlying problems in research practices, and teach a new generation of students and scholars how to overcome them. Understanding that social science research has real consequences for individuals when used by professionals in public policy, health, law enforcement, and other fields, the book crystallizes new insights, practices, and methods that help ensure greater research transparency, openness, and reproducibility. Readers are guided through well-known problems and are encouraged to work through new solutions and practices to improve the openness of their research. Created with both experienced and novice researchers in mind, Transparent and Reproducible Social Science Research serves as an indispensable resource for the production of high quality social science research.",Social Science,266,N/A,0,en
