Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Sports & Recreation Fads,"Frank Hoffmann, Beulah B Ramirez",Routledge,2013-12-16,"True to the spirit of the all-American athlete and our society's seemingly endless pursuit of and passion for leisure activities is Sports & Recreation Fads. This readable and fascinating reference book highlights some of the most notable as well as some long-forgotten pastimes and personalities. Sporting and recreation events have thrived in the United States for more than two centuries. Just about every sport and recreation embraced from Colonial America to the present has had its faddish aspects. The fascinating introduction provides a basic understanding of the importance of fads in the development of sports and recreation. No book on sports fads would be complete without several chapters on baseball, and this exciting volume is no different--Hank Aaron's 715th home run, baseball card collecting, Mark “the Bird” Fidrych's shining season with the Detroit Tigers, Bo Jackson's double career, Jackie Robinson's success in breaking the color barrier, and Pete Rose's gambling troubles--a true slice of Americana, the best and the worst of our favorite pastime! From the controversial people and events in professional athletics--Mohammed Ali, Joe Namath, Mike Tyson, the “battle of the sexes” between Billie Jean King and Bobby Riggs, the “Black Sox Scandal,” and the Dallas Cowboys cheerleaders, to the heroes--Charles Atlas, Joe Louis, and Babe Ruth, Hoffmann and Bailey illustrate the often fickle and sometimes enduring interest that Americans have for sports figures and their games. This informative and entertaining book also examines our personal quest for fitness, our devotion to automobiling, and our love of games, including bridge, charades, crossword puzzles, Monopoly, Dungeons & Dragons, Scrabble, and Trivial Pursuit. Sports &Recreation Fads is a handy guide to our favorite leisure activities of the last 200 years.",Sports & Recreation,414,N/A,0,en
SPORTS AND RECREATION LIABILITY LAW IN CANADA.,LOME. FOLICK,N/A,2017,N/A,,0,N/A,0,en
Managing Risk in Sport and Recreation,Katharine Nohr,Human Kinetics,2009,"""Managing Risk in Sport and Recreation includes numerous forms, checklists, and documentation strategies as well as safety questionnaires for each of the sports covered. This lawyer-created toolkit will help you take the necessary steps to reduce injuries, decrease lawsuits, and pinpoint the strengths and weaknesses in your programs. All of the forms and checklists are also reproduced on a CD-ROM included with the book so you can easily access and use them when needed.""--BOOK JACKET.",Liability for sports accidents,410,N/A,0,en
Encyclopedia of Sports & Recreation for People with Visual Impairments,Andrew Leibs,IAP,2012-12-01,"Not long ago, most blind and visually impaired people grew up without ever playing sports; they sat on the sidelines, and kept score during gym—protected rather than included. In the 1980s, few people had ever heard of the Paralympic Games or accessible recreation. Today, promising blind athletes can receive residency at the US Olympic Training Center; runners compete for prize money and national championships, and most ski resorts offer adaptive programs throughout the year where blind people can ski, cycle, and kayak—often for free. The Paralympic movement, the Americans with Disabilities Act of 1990, and ever-increasing expectation for inclusion among the disabled have inspired an explosion of accessible sports, fitness, and recreation programs that accommodate the blind. The Encyclopedia of Sports & Recreation for People with Visual Impairments is the first consumer-focused, action-oriented guide to this new world of accessible activity, profiling the people, programs, and products that are helping move blind and visually impaired people from the sidelines into the game. This groundbreaking guide profiles every accessible blind sport and recreation activity with entries that outline how athletes (both novice and elite) got involved in the sport and how participation has shaped their life. The book also profiles major blind sports organizations and includes chapter and resource listings on camps and accessible recreation providers. Through this book, blind people will be inspired to embrace sports as the rest of society does—as a vital component of personal expression and human interaction that opens paths to adventure, confidence, and lifelong health and fitness.",Crafts & Hobbies,288,N/A,0,en
Recreation and Sports Ministry: Impacting the Postmodern Culture,John Garner,N/A,2016-12,"How open is our culture to recreation and sports? The popular culture today is saturated with recreation and sports. The Olympics, Super Bowl, World Series, X-Games, Iron Man events, the Final Four in college basketball, and the playoff series in professional basketball capture the imaginations of millions of people in America each time they are held. The questions are, according to general editor John Garner, where is the church and how is the church using these tools to reach people, and will the church see the opportunity to use recreation and sports as ministry tools?The fact is, most churches are not reaching the postmodern culture and are being ignored by an increasingly non-Christian American culture because people see no relevance to their lives. What they do see relevance in is re-creative leisure; they pursue it at break-neck speed and often at great costs. Somehow the church must learn to ¿capture the imagination¿ of a world that is passing it by. If the church can capture the imaginations of people, it can get their attention, can gain access to their minds, and can reach the heart with the message of the love of God.",Religion,314,N/A,0,en
Risk Management in Sport and Recreation,"John Otto Spengler, Daniel Connaughton, Andrew T. Pittman",Human Kinetics,2006,"Risk Management in Sport and Recreation is a comprehensive resource for those charged with the responsibility of providing for the safety of participants and spectators in a sport or recreation setting. It covers a range of safety issues, including lightning, heat illness, aquatics, playground safety, drug testing, and medical emergency action plans. Readers receive clear and detailed explanations of issues to consider before making decisions on risk management. Risk Management in Sport and Recreation is designed to provide a foundation for approaching key issues in safety and risk management. It shows readers how to evaluate and analyze various safety issues and apply the underlying concepts to a variety of situations. The following are unique features of the text: -A safety guidelines finder lists Web sites of accessible standards, guidelines, and recommendations from leading organizations. -Chapter objectives and pullout boxes of key points and key statistics stress the importance of the topic under discussion. -Threshold issues in each chapter highlight important factors to consider when making decisions on risk management. -Real-world applications at the end of each chapter present scenarios involving the potential for harm, and readers must make a decision on how to address the issues. -Examples of public service announcements, posters, and other publicly viewed safety information are presented. -An appendix offers examples of emergency action plans, checklists, and recommendations from organizations such as the National Lightning Safety Institute and university aquatic centers. -A companion Web site provides links to the Web sites used in the book, as well as updates to guidelines and links that may occur after the book is in print. The safety guidelines finder gives students and practitioners a single location from which they can easily access important safety information. Organized under land-based or water-based activities, each activity lists guidelines, recommendations, and standards along with the source for that information. Each entry includes Web sites where readers can find the full documents. The text also features sample guidelines and safety checklists from agencies and associations that demonstrate how organizations might plan for risk and communicate safety information. Readers also consider the types of postings and equipment they will need in order to communicate their risk management plans, and they are given real-life situations in which a risk management plan is needed and are prompted to consider why and how to create a plan for such situations. The resource will help students and professionals plan for and manage risk. Current and future employees of sport facilities, school athletic programs, parks and recreation programs, youth and aquatic centers, or resorts and golf courses will find that Risk Management in Sport and Recreation provides the tools to assist in making the right decisions to manage risk effectively.",Business & Economics,188,N/A,0,en
Fundraising and Promotion for Sport and Recreation Programs,William F. Stier,Amer Press,2010-07-01,N/A,Sports & Recreation,344,N/A,0,en
The Economics of Sport and Recreation,"Peter Taylor, Chris Gratton",Routledge,2002-09-09,"The Economics of Sport and Recreation provides a much needed and up-to-date analysis of sport's contribution to the global economy. This new edition covers all aspects of the economics of sport and recreation but gives prominence to the staggering rise of the commercial sector over the last decade. Special attention is paid to the economics of the sports goods industry, the economics of sports sponsorship, the economics of major sports events, the economics of professional team sports, and the economic relationship between sport and broadcasting. In the first edition of this book published in 1985, the emphasis was on the government and voluntary sectors as the lead sectors in the sports market. As we enter the next millennium, it is the commercial sector that is the lead sector in the sports market and this is reflected in the content and structure of the new book. Aimed specifically at students engaged in the study of sport and its interaction with the economy, this book will be an invaluable resource.",Business & Economics,343,N/A,0,en
"Sport, Physical Recreation and the Law",Hazel Hartley,Routledge,2009-06-30,"It is important for anybody involved in sport and physical recreation to be aware of the legal context in which their activity takes place, to develop an understanding of their legal responsibilities and to know what might happen if something goes wrong. Sport, Physical Recreation and the Law is the first textbook on this difficult subject for students and practitioners in sport and physical recreation. Covering a wide range of legal principles and cases, this textbook introduces the reader to legal systems, terminology, databases and the use of case law. Designed to encourage analysis, reflection and the application of examples and ideas from the reader’s own experience, the book clearly and comprehensively explains key topics such as: socio-legal aspects of sports violence and criminal liability negligence and defences against negligence manslaughter by individuals and organizations in sport principles of natural justice, disciplinary tribunals and doping discrimination, harassment and child protection risk management, statutory duties, and breaches of health and safety criminal liability – recognized sports, hazing, and cage fighting. Including over 300 exercises, hypothetical scenarios, investigative tasks and seminar activities, this book is an essential course text for all students of sport, recreation and the law, and an invaluable reference for coaches, physical education teachers and those who play, lead or organize sport and physical recreation.",Law,497,N/A,0,en
Community Leisure and Recreation Planning,"Ken Marriott, John Tower, Katie McDonald",Routledge,2020-11-01,"Community Leisure and Recreation Planning offers an up-to-date, evidence-based approach to planning community leisure and recreation facilities, programs and services. It introduces readers to key theory and best practice in the planning of effective leisure and recreation projects. The book defines planning, leisure, recreation and other key concepts and explains why a thorough planning process is essential to achieving effective outcomes. It presents a comprehensive, integrative four phase model for undertaking leisure and recreation planning, including: pre-planning, planning research, preparing a plan, and implementing, monitoring and evaluating the outputs and outcomes of a plan. It provides a conceptual rationale for each component of the planning process, a detailed explanation of the tools and techniques that can be used, and extensive examples and international case study materials to demonstrate their use. The principles and techniques explained in the book are applicable at a range of community levels from small individual sites to regions, states and even countries. This is an essential course text for all leisure and recreation courses, and invaluable reading for academics, practitioners, stakeholders and students working in leisure and recreation planning, events, culture and sport.",Sports & Recreation,357,N/A,0,en
