Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
World of Sports,Ben Groundwater,Hardie Grant Books,2021-07-28,"Destination Sport is your guide to one of the world's great obsessions: to the teams, the games, the venues, the histories and the personalities that all come together to form something amazing. Matches that freeze economies. Races that stop nations. Rivalries that stretch back through centuries. This is the world of sport, electrifying and fascinating, thrilling and endlessly revealing. You can't hope to understand a nation without understanding its pastimes and passions, and that, so often, is sport. Organized into sections by world region, Destination Sport features a line-up of sports, events and sporting venues that are both familiar and obscure, from world-famous match-ups to little known quirks. There's also a focus on the world's best stadiums and a calendar of sporting events. This is the ideal book for sports lovers who want to understand the full gamut of sports around the world, watch them all on TV and perhaps even travel to join the locals in their passion. Illustrations by UK artist Paul Reid.",Sports & Recreation,144,N/A,0,en
Sports and Freedom,Ronald A. Smith,Oxford University Press,1990-12-27,"Perhaps more than any other two colleges, Harvard and Yale gave form to American intercollegiate athletics--a form that was inspired by the Oxford-Cambridge rivalry overseas, and that was imitated by colleges and universities throughout the United States. Focusing on the influence of these prestigious eastern institutions, this fascinating study traces the origins and development of intercollegiate athletics in America from the mid-nineteenth century to the early twentieth century. Smith begins with an historical overview of intercollegiate athletics and details the evolution of individual sports--crew, baseball, track and field, and especially football. Then, skillfully setting various sports events in their broader social and cultural contexts, Smith goes on to discuss many important issues that are still relevant today: student-faculty competition for institutional athletic control; the impact of the professional coach on big-time athletics; the false concept of amateurism in college athletics; and controversies over eligibility rules. He also reveals how the debates over brutality and ethics created the need for a central organizing body, the National Collegiate Athletic Association, which still runs college sports today. Sprinkled throughout with spicy sports anecdotes, from the Thanksgiving Day Princeton-Yale football game that drew record crowds in the 1890s to a meeting with President Theodore Roosevelt on football violence, this lively, in-depth investigation will appeal to serious sports buffs as well as to anyone interested in American social and cultural history.",History,321,N/A,0,en
The United States of Sports,"The Editors of Sports Illustrated Kids, Bill Syken",Sports Illustrated Kids,2018-12-04,"The United States of Sports takes kids on a first-of-its-kind journey across the U.S. with stops in every state in the union. Super cool maps with unique hand-illustrated icons show where all the great sites can be found, including arenas, stadiums, halls of fame, championship golf clubs, the greatest ski mountains, Olympic cities, and more. Each state’s Greatest Moments and homegrown heroes are pro led, and we wouldn’t forget to run down all the numbers! Championships, pro teams, famous events, and more— spread by spread—it’s the book to pore over this season.",Juvenile Nonfiction,0,N/A,0,en
The Brain on Youth Sports,Julie M. Stamm,Rowman & Littlefield,2021-07-06,"A 2022 Choice Reviews Outstanding Academic Title Dispels the myths surrounding head impacts in youth sports and empowers parents to make informed decisions about sports participation “They’re just little kids, they don’t hit that hard or that much.” “Chronic Traumatic Encephalopathy (CTE) only happens to former NFL players.” “Youth sports are safer than ever.” These are all myths which, if believed, put young, rapidly maturing brains at risk each season. In The Brain on Youth Sports: The Science, the Myths, and the Future, Julie M. Stamm dissects the issue of repetitive brain trauma in youth sports and their health consequences, explaining the science behind impacts to the head in an easy-to-understand approach. Stamm counters the myths, weak arguments, and propaganda surrounding the youth sports industry, providing guidance for those deciding whether their child should play certain high-risk sports as well as for those hoping to make youth sports as safe as possible. Stamm, a former three-sport athlete herself, understands the many wonderful benefits that come from playing youth sports and believes all children should have the opportunity to compete—without the risk of long-term consequences.",Health & Fitness,245,N/A,0,en
Sports Publicity,Joseph Favorito,Routledge,2013,"With a strong emphasis on professional practice and the day-to-day realities of working in sports and entertainment, the book covers all the core functional areas such as: Effective writing and speaking Building and Marketing brands Developing contacts and networks Social and Digital Media Strategy Gaining experience and internships Crisis management Successful pitching Press conferences Working with individual athletes, teams and league organizations Agents, Broadcast Networks and Agencies Understanding the global sports market The second edition includes brand new material on using social media, gaming, and brand integration, as well as extended real-world case studies and interviews with trailblazing PR professionals. No other book offers such a valuable insider's view of the sports communications industry or the importance of PR and media relations in building successful sports organizations.",Business & Economics,385,N/A,0,en
Japanese Sports,"Allen Guttmann, Lee Thompson",University of Hawaii Press,2001-05-01,"In this first synthetic, comprehensive survey of Japanese sports in English, the authors are attentive to the complex and fascinating interaction of traditional and modern elements. In the course of tracing the emergence and development of sumo, the martial arts, and other traditional sports from their origins to the present, they demonstrate that some cherished ""ancient"" traditions were, in fact, invented less than a century ago. They also register their skepticism about the use of the samurai tradition to explain Japan's success in sports. Special attention is given to Meiji-era Japan's frequently ambivalent adoption and adaptation of European and American sports--a particularly telling example of Japan's love-hate relationship with the West. The book goes on the describe the history of physical education in the school system, the emergence of amateur and professional leagues, the involvement of business and the media in sports promotion, and Japan's participation in the Olympics. Japanese Sports Trivia Quiz (openli)Japan's first professional baseball team was founded in 1921. When were the Central and Pacific Leagues established? a. 1930; b. 1940; c. 1950; d. 1960 (openli)Oh Sadaharu hit 51 home runs in 1973 and 49 in 1974. How many did he hit in his lifetime? a. 597; b. 602; c. 755; d. 868 (openli)Sugiura Tadashi pitched 42 games for the Nankai Hawks in 1959 and won 38. How many games did he pitch and win against the Yomiuri Giants in the Japan Series that same year? a. 1; b. 2; c. 3; d. 4 (openli)The first Japanese radio broadcast of an entire sports event occurred at the national middle-school baseball tournament at Koshien Stadium in 1927, with a Ministry of Communication censor standing by since the script couldn't be approved in advance. The national middle-school tournament was suspended in 1941. When was it resumed? a. 1945; b. 1946; c. 1947; d. 1948 (openli)In 1791 Shogun Tokugawa Ienari observed a new ring-entering ceremony similar to that now performed by yokozuna. When did the Sumo Association officially recognize the rank of yokozuna? a. 1789; b. 1890; c. 1909; d. 1951 (openli)Which famous sumo rikishi won 69 successive bouts over the course of 7 tournaments, the longest winning streak ever recorded? a. Futabayama (Sadaji); b. Wakanohana (Kanji); c. Taiho (Koki); d. Chiyonofuji (Mitsugu) (openli)When the first karate dojo was established in Okinawa in 1889, the characters for karate were written 'Chinese hand'. When were they first written 'empty hand'? a. 1889; b. 1922; c. 1929; d. 1935 (openli)Only one major school of aikido holds competitive tournaments. When did the name aikido first appear on the list of government-sanctioned martial arts. a. 1883; b. 1890; c. 1931; d. 1942 (openli)In 1951 Tanaka Shigeki became the first Japanese runner to win the Boston Marathon. When was the first Fukuoka Marathon held? a. 1927; b. 1937; c. 1947; d. 1957 (openli)At the infamous 1936 ""Nazi Olympics"" in Berlin, Japanese athletes won gold medals in track and field, swimming, and diving. In what event did a Korean win the gold for Japan? a. marathon; b. triple jump; c. pole vault; d. 1500-m freestyle Answers: 1. c. (the Pacific League was the expansion league); 2. d. (Japanese ballparks are shorter than U.S. parks, but the season is also shorter); 3. d. (his arm never recovered from that year); 4. b.; 5. c. (the rank ""yokozuna"" first appeared on the banzuke ratings in 1890; and the first solo ring-entering ceremonies by wrestlers wearing the ""yokozuna"" rope was in 1789); 6. a.; 7. c. (by members of Keio's karate club who were impressed by a Zen priest of the Rinzai sect); 8. d. (its founder Ueshiba Morihei was born in 1883); 9. c. (the year after the first footrace around Lake Biwa); 10. a.",Sports & Recreation,340,5,1,en
Understanding Extreme Sports: A Psychological Perspective,"Eric Brymer, Francesco Feletti, Erik Monasterio, Robert D. Schweitzer",Frontiers Media SA,2020-03-30,"Extreme sports, those activities that lie on the outermost edges of independent adventurous leisure activities, where a mismanaged mistake or accident would most likely result in death, have developed into a significant worldwide phenomenon (Brymer & Schweitzer, 2017a). Extreme sport activities are continually evolving, typical examples include BASE (an acronym for Buildings, Antennae, Span, Earth) jumping and related activities such as proximity flying, extreme skiing, big wave surfing, waterfall kayaking, rope free solo climbing and high-level mountaineering. While participant numbers in many traditional team and individual sports such as golf, basketball and racket sports have declined over the last decade or so, participant numbers in so called extreme sports have surged. Although extreme sports are still assumed to be a Western pastime, there has been considerable Global uptake. Equally, the idea that adventure sports are only for the young is also changing as participation rates across the generations are growing. For example, baby boomers are enthusiastic participants of adventure sports more generally (Brymer & Schweitzer, 2017b; Patterson, 2002) and Generation Z turn to extreme sports because they are popular and linked to escapism (Giannoulakis & Pursglove, 2017). Arguably, extreme sports now support a multi-billion dollar industry and the momentum seems to be intensifying. Traditional explanations for why extreme sports have become so popular are varied. For some, the popularity is explained as the desire to rebel against a society that is becoming too risk averse, for others it is about the spectacle and the merchandise that is associated with organised activities and athletes. For others it is just that there are a lot of people attracted by risk and danger or just want to show off. For others still it is about the desire to belong to sub-cultures and the glamour that goes with extreme sports. Some seek mastery in their chosen activity and in situations of significant challenges. This confusion is unfortunate as despite their popularity there is still a negative perception about extreme sports participation. There is a pressing need for clarity. The dominant research perspective has focused on positivist theory-driven perspectives that attempt to match extreme sports against predetermined characteristics. For the most part empirical research has conformed to predetermined societal perspectives. Other ways of knowing might reveal more nuanced perspectives of the human dimension of extreme sport participation. This special edition brings together cutting-edge research and thought examining psychology and extreme sports, with particular attention payed to the examination of motivations for initial participation, continued participation, effective performance, and outcomes from participation. References Brymer, E. & Schweitzer, R. (2017a) Phenomenology and the extreme sports experience, NY, Routledge. Brymer, E, & Schweitzer, R, D. (2017b) Evoking the Ineffable: The phenomenology of extreme sports, Psychology of Consciousness: Theory, Research, and Practice 4(1):63-74 Giannoulakis, C., & Pursglove, L., K., (2017) Evolution of the Action Sport Setting. In S.E. Klein Ed. Defining Sport: Conceptions and Borderlines. Lexington Books, London. 128-146 Patterson, I. (2002) Baby Boomers and Adventure Tourism: The Importance of Marketing the Leisure Experience, World Leisure Journal, 44:2, 4-10, DOI: 10.1080/04419057.2002.9674265",,221,N/A,0,en
The Great Book of Philadelphia Sports Lists (Completely Revised and Updated Edition),"Glen Macnow, Big Daddy Graham",Running Press Adult,2019-10-29,"When it comes to sports talk, no city has more to say than Philadelphia. With their 2007 The Great Book of Philadelphia Sports Lists, WIP sports radio hosts Glen Macnow and Big Daddy Graham compiled dozens of sports lists to stir up dialog and debate within the buzzing Philadelphia sports community (and beyond). A lot has happened in Philly sports since 2007 -- the Phillies' 2008 World Series win; the Eagles' record-breaking 2017 season, now-famous Philly Special play, and Super Bowl LII victory over the Patriots; the Sixers' ""Trust the Process"" campaign; and, of course, Gritty -- so now Glen and Big Daddy are back with dozens of new lists to keep the conversation fresh, ranking things like: The most overrated and underrated players in Philly sports history The top 10 Philadelphia sports quotes The 10 worst Eagles draft picks ever The greatest duos in Philly sports history The 10 best sports movies set in Philadelphia The worst bosses in Philly sports history and much more!",Sports & Recreation,417,N/A,0,en
Flow in Sports,"Susan A. Jackson, Mihaly Csikszentmihalyi",Human Kinetics,1999,"With help from sports psychology researcher Jackson, Csikszentmihalyi (human behavior, U. of Chicago) pares down his now-famous concept of flow to basic explanations and self-assessment exercises. Emphasis is on achieving a balance between challenges and skills, setting goals, taking advantage of feedback, focusing on the present, controlling the controllables, and having fun. Annotation copyrighted by Book News, Inc., Portland, OR",Biography & Autobiography,196,N/A,0,en
"What's My Name, Fool?",Dave Zirin,ReadHowYouWant.com,2011-02,"In Whats My Name, Fool? sports writer Dave Zirin shows how sports express the worst - and at times the most creative, exciting, and political - features of our society. Zirins sharp and insightful commentary on the personalities, politics, and history of American sports is unlike any sports writing being done today. Zirin explores how NBA brawls highlight tensions beyond the arena, how the bold stances taken by sports unions can chart a path for the entire labor movement, and the unexplored political stirrings of a new generation of athletes who are no longer content to just ''play one game at a time.'' Whats My Name, Fool? draws on original interviews with former heavyweight champ George Foreman, Olympic athlete John Carlos, NBA player and anti-death penalty activist Etan Thomas, antiwar womens college hoopster Toni Smith, Olympic Project for Human Rights leader Lee Evans and many others. It also unearths a history of athletes ranging from Jackie Robinson to Muhammad Ali to Billie Jean King, who charted a new course through their athletic ability and their outspoken views.",History,398,N/A,0,en
