Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Self Help Addict,Daniel Gefen,Evolve Global Publishing,2018-03-16,"Break free from the self-help cycle and join the world of successful leaders. IN THIS GAME CHANGING BOOK YOU WILL LEARN: - How self doubt, procrastination and indecision create a cycle of self-help addiction - Why people invest in self-help books, courses, events and come out still feeling unaccomplished - How you can make your fears your friend and achieve anything your heart desires - The importance of always taking responsibility for what happens in your life - How much abundance there is in this world and that there is enough money, love and happiness for everyone to have a lifetime supply - How to go from a consumer to a creator - The art of taking action, because without action nothing gets done - How to become accountable so you avoid putting things off - The power of decisiveness and how to avoid feeling overwhelmed - The secret to getting high and staying high (without drugs) - Why you have already won - How the real hero, that you have searched so long and hard for, is you.",Self-Help,231,4,1,en
Self-help Affirmations (1575 +) to Stop Yourself from Throwing Yours Away,Nicholas Mag,Nicholas Mag,N/A,"The Miracle! In this book Nicholas presents you a practical, unique, subliminal, very simple, detailed method of how to Stop Yourself from Throwing Yours Away. You will feel the effects immediately and the results will appear very quickly! So it was in my case. You will not achieve fulfillment and happiness until YOU become the architect of your own reality. Imagine that with a few moments each day, you could begin the powerful transformation toward complete control of your own life and well being through this unique, subliminal method combined with positive affirmations. The order of words is extremely important for every book written by Nicholas. These are arranged to be traversed in a certain way so as to eliminate certain blockages in the human being, blockages that are bringing disease or failure on various plans. You don't need a big chunk of your time or expensive programs. Everything is extremely simple! Health, money, prosperity, abundance, safety, stability, sociability, charisma, sexual vitality, erotic attraction, will, optimism, perseverance, self-confidence, tenacity, courage, love, loving relationships, self-control, self-esteem, enthusiasm , refinement, intuition, detachment, intelligence, mental calm, power of concentration, exceptional memory, aspiration, transcendence, wisdom, compassion. You have the ability to unlock your full inner-potential and achieve your ultimate goals. This is the age-old secret of the financial elite, world class scholars, and Olympic champions. For example, when you watch the Olympics, you'll find one consistency in all of the champions. Each one closes their eyes for a moment and clearly affirms & visualizes themselves completing the event flawlessly just before starting. Then they win gold medals and become champions. That's merely one example of how the real power of mind can elevate you above any of life's challenges. By reading this book, you will feel totally that life deserves to be lived and enjoyed every moment and that everything that you propose for yourself becomes easy for you to fulfill. Nicholas will guide you to touch your longed-for dream and will make you see life from a new perspective, full of freshness and success. This book helps you step by step, in a natural way, in just 3 minutes a day, to change your misguided way of thinking and to Stop Yourself from Throwing Yours Away. (NOTE: For good, Nicholas keep the price of the book as lower as he can, even if is a hard work behind this project. A significant portion of the earnings from the sale of the book are used for these purposes: for charity, volunteer projects, nature restoration, and other inspired ideas to do good where it is needed. If you can not afford to buy the book please contact Nicholas and he will give you a free copy.) You, also have a bonus in the pages of the book that makes you live your success by doing a seemingly trivial thing. You will feel the difference. Yes. The Miracle is possible! Get Your Copy Now!","Body, Mind & Spirit",786,N/A,0,en
"SELF HELP: THE SECRET OF SELF CONFIDENCE, THE ULTIMATE TO BUILDING SELF CONFIDENCE AND ABUNDANT MIND",Rufus Ordor,BookRix,2022-11-24,"HOW TO GET SELF-CONFIDENCE is the central issue when tackling about the development of self-confidence in an individual who, for long, have believed that his self-worth is deficient. It goes without saying that those confident individuals can bear themselves better than those who have lower sense of the ""self"". They are the achievers, the people of the limelight, the center of society. They walk straight, speak their meanings very well and influence people, both subtly and obviously. In short, they are those who care recognizable even from afar. Sometimes, self-confident people are very much loved by society. It is perhaps due to their charisma or they are, by nature very amiable. However, there are those self-confident individuals who, just by leaving makes the room lighter. These are two very dissimilar displays of self-confidence. One, destroys a person's credibility and the other intensifies his personality. And obviously, you would not want the consequences of being too confident of yourself that the people no longer see you as effective, instead they see you as annoyance to their daily affairs. Self-confidence comes from within. Outside stimulation may help but it would all still boil down to knowing yourself and using that knowl- edge to gain confidence. To get self-confidence, you must realize that your limitations must not limit you and your attributes must not destroy you. Instead, use all these factors to develop a personality that would be productive for you and all those that surround you.",Young Adult Fiction,42,N/A,0,en
Self-help Statements (1424 +) to Optimize Your Health after Your Gallbladder Has Been Removed,Nicholas Mag,Nicholas Mag,N/A,"The Miracle! In this book Nicholas presents you a practical, unique, subliminal, very simple, detailed method of how to Optimize Your Health after Your Gallbladder Has Been Removed. You will feel the effects immediately and the results will appear very quickly! So it was in my case. You will not achieve fulfillment and happiness until YOU become the architect of your own reality. Imagine that with a few moments each day, you could begin the powerful transformation toward complete control of your own life and well being through this unique, subliminal method combined with positive affirmations. The order of words is extremely important for every book written by Nicholas. These are arranged to be traversed in a certain way so as to eliminate certain blockages in the human being, blockages that are bringing disease or failure on various plans. You don't need a big chunk of your time or expensive programs. Everything is extremely simple! Health, money, prosperity, abundance, safety, stability, sociability, charisma, sexual vitality, erotic attraction, will, optimism, perseverance, self-confidence, tenacity, courage, love, loving relationships, self-control, self-esteem, enthusiasm , refinement, intuition, detachment, intelligence, mental calm, power of concentration, exceptional memory, aspiration, transcendence, wisdom, compassion. You have the ability to unlock your full inner-potential and achieve your ultimate goals. This is the age-old secret of the financial elite, world class scholars, and Olympic champions. For example, when you watch the Olympics, you'll find one consistency in all of the champions. Each one closes their eyes for a moment and clearly affirms & visualizes themselves completing the event flawlessly just before starting. Then they win gold medals and become champions. That's merely one example of how the real power of mind can elevate you above any of life's challenges. By reading this book, you will feel totally that life deserves to be lived and enjoyed every moment and that everything that you propose for yourself becomes easy for you to fulfill. Nicholas will guide you to touch your longed-for dream and will make you see life from a new perspective, full of freshness and success. This book helps you step by step, in a natural way, in just 3 minutes a day, to change your misguided way of thinking and to Optimize Your Health after Your Gallbladder Has Been Removed. (NOTE: For good, Nicholas keep the price of the book as lower as he can, even if is a hard work behind this project. A significant portion of the earnings from the sale of the book are used for these purposes: for charity, volunteer projects, nature restoration, and other inspired ideas to do good where it is needed. If you can not afford to buy the book please contact Nicholas and he will give you a free copy.) You, also have a bonus in the pages of the book that makes you live your success by doing a seemingly trivial thing. You will feel the difference. Yes. The Miracle is possible! Get Your Copy Now!","Body, Mind & Spirit",786,N/A,0,en
The Astrological Guide to Self-Care,Constance Stellas,Adams Media,2019-12-17,"Featuring activities to heal your mind, body, and soul, now you can find the perfect way to treat yourself as the stars intended with this astrological self-care guide. It’s time for a little “me” time—powered by the zodiac! By tapping into your sign’s astrological energy and personality, The Astrological Guide to Self-Care brings cosmic relief to everyone with hundreds of relaxing and rejuvenating self-care ideas tailored to your individual zodiac sign. The Astrological Guide to Self-Care provides information on taking care of yourself, the inherent intersection between self-care and astrology, background on the elements, sign-specific self-care guidance, and hundreds of activities tied to the zodiac signs. There’s no better guide to personal growth than the stars! Enjoy a facial if you’re an Aries or spend some time gardening if you’re a Taurus. Sagittarians can satisfy their wanderlust by getting lost in a good book or if you’re a Pisces, treat yourself to a pedicure. With this astrological self-care reference, you will discover the most cosmically compatible pampering routines ever.","Body, Mind & Spirit",336,N/A,0,en
Self-Help Utterances (1861 +) to Naturally Overcome the Effects of Lyme Disease,Nicholas Mag,Nicholas Mag,N/A,"The Miracle! In this book Nicholas presents you a practical, unique, subliminal, very simple, detailed method of how to Naturally Overcome the Effects of Lyme Disease. You will feel the effects immediately and the results will appear very quickly! So it was in my case. You will not achieve fulfillment and happiness until YOU become the architect of your own reality. Imagine that with a few moments each day, you could begin the powerful transformation toward complete control of your own life and well being through this unique, subliminal method combined with positive affirmations. The order of words is extremely important for every book written by Nicholas. These are arranged to be traversed in a certain way so as to eliminate certain blockages in the human being, blockages that are bringing disease or failure on various plans. You don't need a big chunk of your time or expensive programs. Everything is extremely simple! Health, money, prosperity, abundance, safety, stability, sociability, charisma, sexual vitality, erotic attraction, will, optimism, perseverance, self-confidence, tenacity, courage, love, loving relationships, self-control, self-esteem, enthusiasm , refinement, intuition, detachment, intelligence, mental calm, power of concentration, exceptional memory, aspiration, transcendence, wisdom, compassion. You have the ability to unlock your full inner-potential and achieve your ultimate goals. This is the age-old secret of the financial elite, world class scholars, and Olympic champions. For example, when you watch the Olympics, you'll find one consistency in all of the champions. Each one closes their eyes for a moment and clearly affirms & visualizes themselves completing the event flawlessly just before starting. Then they win gold medals and become champions. That's merely one example of how the real power of mind can elevate you above any of life's challenges. By reading this book, you will feel totally that life deserves to be lived and enjoyed every moment and that everything that you propose for yourself becomes easy for you to fulfill. Nicholas will guide you to touch your longed-for dream and will make you see life from a new perspective, full of freshness and success. This book helps you step by step, in a natural way, in just 3 minutes a day, to change your misguided way of thinking and to Naturally Overcome the Effects of Lyme Disease. (NOTE: For good, Nicholas keep the price of the book as lower as he can, even if is a hard work behind this project. A significant portion of the earnings from the sale of the book are used for these purposes: for charity, volunteer projects, nature restoration, and other inspired ideas to do good where it is needed. If you can not afford to buy the book please contact Nicholas and he will give you a free copy.) You, also have a bonus in the pages of the book that makes you live your success by doing a seemingly trivial thing. You will feel the difference. Yes. The Miracle is possible! Get Your Copy Now!","Body, Mind & Spirit",787,N/A,0,en
The Self-Help Myth,Erica Kohl-Arenas,Univ of California Press,2015-12-01,"""The Self-Help Myth reveals how philanthropy maintains systems of inequality by attracting attention to the behaviors and responsibilities of poor people while shifting the focus away from structural inequities and relationships of power that produce poverty. The book features foundation investments in addressing migrant poverty in California's Central Valley, simultaneously one of the wealthiest agricultural production regions in the world and home to the poorest people in the United States. The case studies show how compromises between foundation staff and community organizers produce programs that ask farmworkers to help themselves while excluding strategies that address the role of industrial agriculture in creating and maintaining regional poverty. Through archival and ethnographic case studies of foundation investments leading up to the historic Farm Worker Movement, to large scale foundation-driven initiatives to improve conditions in agricultural communities during the 1990s and 2000s, foundations set firm boundaries around definitions of self-help - excluding labor organizing, immigrant rights, and advocacy approaches that hold industry accountable for the enduring abuses of farmworkers and immigrants. Processes of professionalization and institutionalization required to maintain philanthropic relationships further frustrate nonprofit organizational staff increasingly accountable to foundations and not to the people they aim to represent and serve.""--Provided by publisher.",Social Science,272,N/A,0,en
841 Self-Help Triggers to Please Any Man,Nicholas Mag,Nicholas Mag,N/A,"The Miracle! In this book Nicholas presents you a practical, unique, subliminal, very simple, detailed method of how to Please Any Man. You will feel the effects immediately and the results will appear very quickly! So it was in my case. You will not achieve fulfillment and happiness until YOU become the architect of your own reality. Imagine that with a few moments each day, you could begin the powerful transformation toward complete control of your own life and well being through this unique, subliminal method combined with positive affirmations. The order of words is extremely important for every book written by Nicholas. These are arranged to be traversed in a certain way so as to eliminate certain blockages in the human being, blockages that are bringing disease or failure on various plans. You don't need a big chunk of your time or expensive programs. Everything is extremely simple! Health, money, prosperity, abundance, safety, stability, sociability, charisma, sexual vitality, erotic attraction, will, optimism, perseverance, self-confidence, tenacity, courage, love, loving relationships, self-control, self-esteem, enthusiasm , refinement, intuition, detachment, intelligence, mental calm, power of concentration, exceptional memory, aspiration, transcendence, wisdom, compassion. You have the ability to unlock your full inner-potential and achieve your ultimate goals. This is the age-old secret of the financial elite, world class scholars, and Olympic champions. For example, when you watch the Olympics, you'll find one consistency in all of the champions. Each one closes their eyes for a moment and clearly affirms & visualizes themselves completing the event flawlessly just before starting. Then they win gold medals and become champions. That's merely one example of how the real power of mind can elevate you above any of life's challenges. By reading this book, you will feel totally that life deserves to be lived and enjoyed every moment and that everything that you propose for yourself becomes easy for you to fulfill. Nicholas will guide you to touch your longed-for dream and will make you see life from a new perspective, full of freshness and success. This book helps you step by step, in a natural way, in just 3 minutes a day, to change your misguided way of thinking and to Please Any Man. (NOTE: For good, Nicholas keep the price of the book as lower as he can, even if is a hard work behind this project. A significant portion of the earnings from the sale of the book are used for these purposes: for charity, volunteer projects, nature restoration, and other inspired ideas to do good where it is needed. If you can not afford to buy the book please contact Nicholas and he will give you a free copy.) You, also have a bonus in the pages of the book that makes you live your success by doing a seemingly trivial thing. You will feel the difference. Yes. The Miracle is possible! Get Your Copy Now!","Body, Mind & Spirit",786,N/A,0,en
Self-help in Jewish Law,Shimshon Ettinger,Open University of Israel,1993,N/A,Justice,100,N/A,0,en
Self-Care for the Real World,"Nadia Narain, Katia Narain Phillips",Random House,2017-12-28,"_________________ THE TOP TEN BESTSELLER 'Unusually practical, non-patronising and authentic. Think Marie Kondo for the mind' Sunday Times Wellness pioneers Nadia Narain and Katia Narain Phillips have spent decades helping others to feel their best. But it took them a bit longer to learn to care for themselves. Here they share the small, achievable steps they picked up on a lifetime’s journey towards self-care, and how you can apply them to your life, wherever you are. Right now, you may be deep in the waves of life, being tossed around. Learning self-care is like building your own life boat, plank by plank. Once you’ve got your boat, you’ll still be rocked by the same waves, but you’ll have a feeling of safety, and a stability that means you can pick other people up on your way.",Self-Help,370,N/A,0,en
