Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Philosophy of Technology and Engineering Sciences,,Elsevier,2009-11-27,"The Handbook Philosophy of Technology and Engineering Sciences addresses numerous issues in the emerging field of the philosophy of those sciences that are involved in the technological process of designing, developing and making of new technical artifacts and systems. These issues include the nature of design, of technological knowledge, and of technical artifacts, as well as the toolbox of engineers. Most of these have thus far not been analyzed in general philosophy of science, which has traditionally but inadequately regarded technology as mere applied science and focused on physics, biology, mathematics and the social sciences. - First comprehensive philosophical handbook on technology and the engineering sciences - Unparalleled in scope including explorative articles - In depth discussion of technical artifacts and their ontology - Provides extensive analysis of the nature of engineering design - Focuses in detail on the role of models in technology",Mathematics,1473,4,1,en
Introduction to Engineering Technology and Engineering,"Val D. Hawks, A. Brent Strong",Pearson,2001,"This introductory engineering book presents the key aspects of professional engineering in a unique story format that provides readers with a personalized viewpoint. The book is designed to enhance memory retention of basic principles and reinforce the important concepts of engineering and technology while showing how the skills taught work together in a real-life setting. KEY TOPICS: This unique book provides notes, activities and assignments centered on the history and practice of engineering and technology. It also presents study skills, mathematics and statistics, creativity and innovation, and ethics and professionalism set in a story format. MARKET: For individuals interested in a broad perspective of the life of an engineer/technologist.",Fiction,296,N/A,0,en
Engineering Technology Education in the United States,"National Academy of Engineering, Committee on Engineering Technology Education in the United States",National Academies Press,2017-01-27,"The vitality of the innovation economy in the United States depends on the availability of a highly educated technical workforce. A key component of this workforce consists of engineers, engineering technicians, and engineering technologists. However, unlike the much better-known field of engineering, engineering technology (ET) is unfamiliar to most Americans and goes unmentioned in most policy discussions about the US technical workforce. Engineering Technology Education in the United States seeks to shed light on the status, role, and needs of ET education in the United States.",Education,195,N/A,0,en
"Ethics, Technology, and Engineering","Ibo van de Poel, Lamber Royakkers",John Wiley & Sons,2011-05-02,"Featuring a wide range of international case studies, Ethics, Technology, and Engineering presents a unique and systematic approach for engineering students to deal with the ethical issues that are increasingly inherent in engineering practice. Utilizes a systematic approach to ethical case analysis -- the ethical cycle -- which features a wide range of real-life international case studies including the Challenger Space Shuttle, the Herald of Free Enterprise and biofuels. Covers a broad range of topics, including ethics in design, risks, responsibility, sustainability, and emerging technologies Can be used in conjunction with the online ethics tool Agora (http://www.ethicsandtechnology.com) Provides engineering students with a clear introduction to the main ethical theories Includes an extensive glossary with key terms",Science,390,N/A,0,en
Routledge Handbook of Sports Technology and Engineering,"Franz Konstantin Fuss, Aleksandar Subic, Martin Strangwood, Rabindra Mehta",Routledge,2013-11-07,"From carbon fibre racing bikes to ‘sharkskin’ swimsuits, the application of cutting-edge design, technology and engineering has proved to be a vital ingredient in enhanced sports performance. This is the first book to offer a comprehensive survey of contemporary sports technology and engineering, providing a complete overview of academic, professional and industrial knowledge and technique. The book is divided into eight sections covering the following topics : Sustainable Sports Engineering Instrumentation Technology Summer Mobility Sports Winter Mobility Sports Apparel and Protection Equipment Sports Implements (racquets, clubs, bats, sticks) Sports Balls Sports Surfaces and Facilities Written by an international team of leading experts from industry, academia and commercial research institutes, the emphasis throughout the book is on innovation, the relationship between business and science, and the improvement of sports performance. This is an essential reference for anybody working in sports technology, sports product design, sports engineering, biomechanics, ergonomics, sports business or applied sport science.",Sports & Recreation,463,N/A,0,en
WWII,Nigel Fountain,Reader's Digest Association,2003,"Here is a tribute to the ordinary men, women, and children who recall their experiences in World War II, complete with a 70-minute audio CD that dramatically relates their stories.",History,326,N/A,0,en
Particle Technology and Engineering,"Jonathan P.K. Seville, Chuan-Yu Wu",Butterworth-Heinemann,2016-05-20,"Particle Technology and Engineering presents the basic knowledge and fundamental concepts that are needed by engineers dealing with particles and powders. The book provides a comprehensive reference and introduction to the topic, ranging from single particle characterization to bulk powder properties, from particle-particle interaction to particle-fluid interaction, from fundamental mechanics to advanced computational mechanics for particle and powder systems. The content focuses on fundamental concepts, mechanistic analysis and computational approaches. The first six chapters present basic information on properties of single particles and powder systems and their characterisation (covering the fundamental characteristics of bulk solids (powders) and building an understanding of density, surface area, porosity, and flow), as well as particle-fluid interactions, gas-solid and liquid-solid systems, with applications in fluidization and pneumatic conveying. The last four chapters have an emphasis on the mechanics of particle and powder systems, including the mechanical behaviour of powder systems during storage and flow, contact mechanics of particles, discrete element methods for modelling particle systems, and finite element methods for analysing powder systems. This thorough guide is beneficial to undergraduates in chemical and other types of engineering, to chemical and process engineers in industry, and early stage researchers. It also provides a reference to experienced researchers on mathematical and mechanistic analysis of particulate systems, and on advanced computational methods. - Provides a simple introduction to core topics in particle technology: characterisation of particles and powders: interaction between particles, gases and liquids; and some useful examples of gas-solid and liquid-solid systems - Introduces the principles and applications of two useful computational approaches: discrete element modelling and finite element modelling - Enables engineers to build their knowledge and skills and to enhance their mechanistic understanding of particulate systems",Technology & Engineering,296,N/A,0,en
Oxford English for Careers Technology for Engineering and Applied Sciences: Student Book,"Eric H. Glendinning, Lewis Lansford, Alison Pohl",OUP Oxford,2013-01-31,"The Oxford English for Careers series is ideal for pre-work students, who will need to use English in work situations.Each book teaches English in context, so students practise the language and skills they need for the job in real work situations.The series supports teachers in vocational teaching situations, providing",Foreign Language Study,214,N/A,0,en
"How to Be Good at Science, Technology, and Engineering",DK,Dorling Kindersley Ltd,2018-06-07,"Little scientists will understand science in seconds with this essential homework-helping guide. Learn about everything from molecules and magnetism to rockets and radio waves and find out how a hot-air balloon rises, how erosion flattens mountains, how light waves zip through space, and how the human eye sees colours! With STEM (science, technology, engineering, and maths) subjects ever more important in today's technological world, How to be Good at Science, Technology, and Engineering is the perfect book to inspire and educate inquisitive young minds and prepare them for the future. This is the perfect homework guide for parents and their children, with all core curriculum areas of science included. Cool illustrations show the appliance of science in the real world: see how microchips, tractors, and suspension bridges work. Hands-on projects feature fun experiments to try at home or school: try polishing old coins in vinegar, or make an erupting volcano with baking soda.",Juvenile Nonfiction,322,N/A,0,en
History of Engineering and Technology,Ervan G. Garrison,Routledge,2018-12-19,"A History of Engineering and Technology offers a highly readable account of the development of engineering and technology from prehistory to the present. The author uses the broad sweep of history as a backdrop for expositions of important benchmarks in engineered works and products. The book presents early hydraulic engineering in the context of modern ideas relating technology to the complex social structures that arose in Sumeria and Egypt. It also provides a comprehensive and objective review of the greatest engineering civilization of antiquity-Greco-Roman-and discusses the western world's attempts to recover its achievements after the Middle Ages. The flowering of French and British engineered technology is portrayed through the men and machines that led to today's industrial society. Other topics discussed in A History of Engineering and Technology include the evolution of the modern ship, engineering in modern war and medicine, the advent of the computer, and the Space Age. Over 100 illustrations and the book's in-depth presentation of key theoretical developments make this volume essential as a college textbook for students, as well as an important reference resource for libraries, engineers, and scientists.",Technology & Engineering,376,N/A,0,en
