Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Rise of True Crime,Jean Murley,Bloomsbury Publishing USA,2008-08-30,"During the 1950s and 1960s True Detective magazine developed a new way of narrating and understanding murder. It was more sensitive to context, gave more psychologically sophisticated accounts, and was more willing to make conjectures about the unknown thoughts and motivations of killers than others had been before. This turned out to be the start of a revolution, and, after a century of escalating accounts, we have now become a nation of experts, with many ordinary people able to speak intelligently about blood-spatter patterns and organized vs. disorganized serial killers. The Rise of True Crime examines the various genres of true crime using the most popular and well-known examples. And despite its examination of some of the potentially negative effects of the genre, it is written for people who read and enjoy true crime, and wish to learn more about it. With skyrocketing crime rates and the appearance of a frightening trend toward social chaos in the 1970s, books, documentaries, and fiction films in the true crime genre tried to make sense of the Charles Manson crimes and the Gary Gilmore execution events. And in the 1980s and 1990s, true crime taught pop culture consumers about forensics, profiling, and highly technical aspects of criminology. We have thus now become a nation of experts, with many ordinary people able to speak intelligently about blood-spatter patterns and organized vs. disorganized serial killers. Through the suggestion that certain kinds of killers are monstrous or outside the realm of human morality, and through the perpetuation of the stranger-danger idea, the true crime aesthetic has both responded to and fostered our culture's fears. True crime is also the site of a dramatic confrontation with the concept of evil, and one of the few places in American public discourse where moral terms are used without any irony, and notions and definitions of evil are presented without ambiguity. When seen within its historical context, true crime emerges as a vibrant and meaningful strand of popular culture, one that is unfortunately devalued as lurid and meaningless pulp.",Social Science,192,N/A,0,en
In Cold Blood,Truman Capote,Modern Library,2013-02-19,"Selected by the Modern Library as one of the 100 best nonfiction books of all time From the Modern Library’s new set of beautifully repackaged hardcover classics by Truman Capote—also available are Breakfast at Tiffany’s and Other Voices, Other Rooms (in one volume), Portraits and Observations, and The Complete Stories Truman Capote’s masterpiece, In Cold Blood, created a sensation when it was first published, serially, in The New Yorker in 1965. The intensively researched, atmospheric narrative of the lives of the Clutter family of Holcomb, Kansas, and of the two men, Richard Eugene Hickock and Perry Edward Smith, who brutally killed them on the night of November 15, 1959, is the seminal work of the “new journalism.” Perry Smith is one of the great dark characters of American literature, full of contradictory emotions. “I thought he was a very nice gentleman,” he says of Herb Clutter. “Soft-spoken. I thought so right up to the moment I cut his throat.” Told in chapters that alternate between the Clutter household and the approach of Smith and Hickock in their black Chevrolet, then between the investigation of the case and the killers’ flight, Capote’s account is so detailed that the reader comes to feel almost like a participant in the events.",True Crime,417,4,1,en
Stay Sexy & Don't Get Murdered,"Karen Kilgariff, Georgia Hardstark",Forge Books,2019-05-28,"The instant #1 New York Times and USA Today best seller by Karen Kilgariff and Georgia Hardstark, the voices behind the hit podcast My Favorite Murder! Sharing never-before-heard stories ranging from their struggles with depression, eating disorders, and addiction, Karen and Georgia irreverently recount their biggest mistakes and deepest fears, reflecting on the formative life events that shaped them into two of the most followed voices in the nation. In Stay Sexy & Don’t Get Murdered, Karen and Georgia focus on the importance of self-advocating and valuing personal safety over being ‘nice’ or ‘helpful.’ They delve into their own pasts, true crime stories, and beyond to discuss meaningful cultural and societal issues with fierce empathy and unapologetic frankness. “In many respects, Stay Sexy & Don’t Get Murdered distills the My Favorite Murder podcast into its most essential elements: Georgia and Karen. They lay themselves bare on the page, in all of their neuroses, triumphs, failures, and struggles. From eating disorders to substance abuse and kleptomania to the wonders of therapy, Kilgariff and Hardstark recount their lives with honesty, humor, and compassion, offering their best unqualified life-advice along the way.” —Entertainment Weekly “Like the podcast, the book offers funny, feminist advice for survival—both in the sense of not getting killed and just, like, getting a job and working through your personal shit so you can pay your bills and have friends.” —Rolling Stone At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Biography & Autobiography,309,5,1,en
A Child's Book of True Crime,Chloe Hooper,Simon and Schuster,2013-01-29,"With the dark suspense of Donna Tartt’s The Secret History and the frank and shocking eroticism of Josephine Hart, this debut novel tells the story of a young teacher’s illicit affair and obsession with a historical murder. Tasmanian schoolteacher Kate Byrne is having an affair with the father of her most gifted fourth grader, Lucien. Her lover’s wife has just published Murder at Black Swan Point, a true-crime story about the brutal slaying of a young adulteress in a nearby town. Kate herself has become so obsessed with the murder and so convinced that the published account has it all wrong that she sets about writing her own version—this one for children, narrated by Australian animals. Though Lucien’s father brings Kate to life sexually in encounters of escalating eroticism, he cannot dull her obsession. Fixated on the crime of passion, Kate is becoming less and less aware of the present and of how her behavior may align her fate with that of the dead girl. Chloe Hooper chillingly captures this young woman’s unraveling in an intense, witty, superbly crafted novel.",Fiction,244,N/A,0,en
Helter Skelter: The True Story of the Manson Murders,"Vincent Bugliosi, Curt Gentry",W. W. Norton & Company,2001-12-04,The true story of the Manson murders.,Biography & Autobiography,698,N/A,0,en
True Crime,Andrew Klavan,Dell,1997-08-11,"In the heat of the city, a man is out of time: speeding in a beat-up Ford Tempo, blasting easy-listening music. Reporter Steve Everett drinks too much, makes love to his boss's wife, and has just stumbled upon a shocking truth: a convicted killer is about to be executed for a crime he didn't commit. In the cold confines of Death Row, Frank Beachum is also out of time. Ready to say good-bye to the wife and child he loves and hello to the God he still believes in, Beachum knows he did not kill a convenience store clerk six years ago. But in a few hours—if Steve Everett can't find the evidence to stop it—a needle is going to pierce Frank Beachum's skin. The killing machine is primed. The executioner is waiting. And so is the priest. Now the clock is ticking down and the race is on—between the reporter and his demons, between the system and its lethal flaws, between the last innocent man and society's ultimate crime. . . .",Fiction,402,N/A,0,en
True Crime: An American Anthology,Harold Schechter,N/A,2008-09-18,"""True Crime: An American Anthology"" offers a comprehensive look at the many ways in which American writers have explored crime in a multitude of aspects: the dark motives that spur it, the shock of its impact on society, and the effort to make sense of the violent extremes of human behavior.",Political Science,824,N/A,0,en
Murder at 40 Below,Tom Brennan,Epicenter Press,2001,"Drawn from police files, eyewitness accounts, and news reports, these stories introduce extreme criminals in an extreme land.",History,196,5,1,en
True Crime in the Civil War,Tobin T. Buhk,Stackpole Books,2012-02-16,"Crime did not take a holiday during the Civil War, far from it. As Tobin Buhk shows in this fast-paced narrative, the war created new opportunities to gain profits from illegal activities, to settle old scores against personal enemies under the cover of fighting the nation's enemies, to pillage, plunder, and murder amid the carnage and destruction that seemed to offer license to legitimize such crimes. Students of the Civil War will find new information in this readable account. --James M. McPherson,Author of Battle Cry of Freedom • Examines criminal cases during the conflict • Cases include currency counterfeiting, tyrannical actions of Gen. Benjamin Butler, the murder of Gen. Earl van Dorn, raids by William Quantrill's Bushwhackers, the Fort Pillow Massacre, the horrific prison conditions at Andersonville, the fate of Lincoln the assassination conspirators, and more",True Crime,338,N/A,0,en
True Crime Story,Joseph Knox,"Sourcebooks, Inc.",2021-12-07,"""Cleverly blending the real and imagined worlds until the reader can't differentiate the two, Knox has created a twisty, turny thriller that cuts through the heart of the modern true crime fascination, all while keeping us enraptured by it.""—BuzzFeed THE #1 INTERNATIONAL BESTSELLER! For fans of true crime documentaries and Only Murders in the Building comes the chilling story of a university student's sudden disappearance, the woman who became obsessed with her case, and the crime writer who uncovered the truth about what happened... What happens to all the girls who go missing? In 2011, Zoe Nolan walked out of her dormitory in Manchester and was never seen or heard from again. Her case went cold. Her story was sad, certainly, but hardly sensational, crime writer Joseph Knox thought. He wouldn't have given her any more thought were it not for his friend, Evelyn Mitchell. Another writer struggling to come up with a new idea, Evelyn was wondering just what happens to all the girls who go missing. What happens to the Zoe Nolans of the world? Evelyn began investigating herself, interviewing Zoe's family and friends, and emailing Joseph with chapters of the book she was writing with her findings. Uneasy with the corkscrew twists and turns, Joseph Knox embedded himself in the case, ultimately discovering a truth more tragic and shocking than he could have possibly imagined... Just remember: Everything you read is fiction. Praise for True Crime Story: ""Stunningly unique...For fans of stories with a little something extra, this book is set up like an oral history, complete with emails, newspaper clippings and photos that propel the story all the way to a shocking and satisfying conclusion."" —Newsweek ""Mr. Knox is a fantastic writer. His ambitious fourth novel satirises and celebrates the true-crime genre with glee. True Crime Story, by turns horrific and hilarious, is scandalously entertaining."" —The Times (UK) ""The gifted Joseph Knox continues his upwards trajectory with True Crime Story forging something original and innovative."" —Financial Times (UK) ""This is one of the most engaging cold-case novels I have read."" —Literary Review (UK)",Fiction,407,4,1,en
True Crime in American Media,George S. Larke-Walsh,Taylor & Francis,2023-06-01,"This book explores contemporary American true crime narratives across various media formats. It dissects the popularity of true crime and the effects, both positive and negative, this popularity has on perceptions of crime and the justice system in contemporary America. As a collection of new scholarship on the development, scope, and character of true crime in twenty-first century American media, analyses stretch across film, streaming/broadcast TV, podcasts, and novels to explore the variety of ways true crime pervades modern culture. The reader is guided through a series of interconnected topics, starting with an examination of the contemporary success of true crime, the platforms involved, the narrative structures and engagement with audiences, moving on to debates on representation and the ethics involved in portraying both victims and perpetrators of crime within the genre. This collection provides new critical work on American true crime media for all interested readers, and especially scholars and students in the humanities and social sciences. It offers a significant area of research in social sciences, criminology, media, and English Literature academic disciplines.",Performing Arts,148,N/A,0,en
True Crime Addict,James Renner,Macmillan,2016-05-24,"As seen on the Oxygen mini-series The Disappearance of Maura Murray When an eleven year old James Renner fell in love with Amy Mihaljevic, the missing girl seen on posters all over his neighborhood, it was the beginning of a lifelong obsession with true crime. That obsession leads James to a successful career as an investigative journalist. It also gave him PTSD. In 2011, James began researching the strange disappearance of Maura Murray, a UMass student who went missing after wrecking her car in rural New Hampshire in 2004. Over the course of his investigation, he uncovers numerous important and shocking new clues about what may have happened to Maura, but also finds himself in increasingly dangerous situations with little regard for his own well-being. As his quest to find Maura deepens, the case starts taking a toll on his personal life, which begins to spiral out of control. The result is an absorbing dual investigation of the complicated story of the All-American girl who went missing and James's own equally complicated true crime addiction. James Renner's True Crime Addict is the story of his spellbinding investigation of the missing person's case of Maura Murray, which has taken on a life of its own for armchair sleuths across the web. In the spirit of David Fincher's Zodiac, it is a fascinating look at a case that has eluded authorities and one man's obsessive quest for the answers.",True Crime,300,N/A,0,en
True Crimes,Kathryn Harrison,N/A,2016,"In essays written over the course of more than a decade, Harrison has created a beautifully detailed and rigorously honest family album. She writes for the first time in almost two decades about her affair with her father, and how she has reckoned with the girl she once was. Harrison writes about the birth of her youngest daughter, and how she finally came to understand her own mother's attitudes toward parenting. And she reflects on the loss of her beloved father-in-law, and how he managed to repair something her own father had broken.","Authors, American",241,N/A,0,en
Unsolved Crimes,Time-Life Books,Time Life Medical,1993,Examines famous unsolved crimes.,Social Science,200,N/A,0,en
