Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Jailbait,Leslea Newman,Delacorte Books for Young Readers,2009-03-12,"Andrea Robin Kaplan is a clique unto herself. In other words, she has no friends. Her only goal is get through high school with the least amount of humiliation possible, which should be easy— nothing ever happens in the suburbs, right? Wrong. One day, as Andi walks home from school, a little brown VW drives up and she meets Frank. Frank makes her feel beautiful and special. With Frank, Andi forgets how alone she is. From boundary breaking author Lesléa Newman comes a haunting story about a girl who is all alone, and a man old enough to know better. From the Hardcover edition.",Young Adult Fiction,255,N/A,0,en
Seventeenth Summer,Maureen Daly,Simon and Schuster,2009-10-27,"Until the summer before college, Angie Morrow didn't really date. Her mother didin't like her to go out much. But no one -- not even Angie's mother -- can resist the charm of strikingly handsome Jack Duluth. His good looks grab Angies's attention from the moment in June when Jack throws Angie a smile at McKight's drugstore. And on their first date sailing under the stars -- when Jack leans in and whispers to Angie, ""You look nice with the wind in your hair,"" the strange new feeling s begin. Tingles, prickles, warmth: the tell-tale signs of romance. It's the beginning of an unforgettable summer for Angie, full of wonder, warmth, tears, challenge, and love. Maureen Daly had created a love story so honest that it has withstood the test of time, winning new fans for more than six decades. Today, this classic is enjoyed by many who think of it as the quintessential love story, and as a glimpse of love in the 1940's; a refreshing alternative to modern love stories, reflecting the beauty and innocence of new love.",Young Adult Fiction,352,N/A,0,en
Ignite Me,Tahereh Mafi,Harper Collins,2014-02-04,"The heart-stopping third installment in the New York Times bestselling Shatter Me series, which Ransom Riggs, author of Miss Peregrine's Home for Peculiar Children and Hollow City, called ""a thrilling, high-stakes saga of self-discovery and forbidden love."" With Omega Point destroyed, Juliette doesn't know if the rebels, her friends, or even Adam are alive. But that won't keep her from trying to take down The Reestablishment once and for all. Now she must rely on Warner, the handsome commander of Sector 45. The one person she never thought she could trust. The same person who saved her life. He promises to help Juliette master her powers and save their dying world . . . but that's not all he wants with her. The Shatter Me series is perfect for fans who crave action-packed young adult novels with tantalizing romance like Red Queen by Victoria Aveyard, The Hunger Games by Suzanne Collins, and Legend by Marie Lu. Tahereh Mafi has created a captivating and original story that combines the best of dystopian and paranormal and was praised by Publishers Weekly as ""a gripping read from an author who's not afraid to take risks."" This bestselling series from powerhouse author Tahereh Mafi showcases relentlessly thrilling action, heart-stopping romance, and a war-torn world in which rebellion is the only path to freedom. And don't miss Watch Me, the first book in a new series in the Shatter Me universe set ten years after the fall of The Reestablishment, on sale in April 2025!",Young Adult Fiction,274,4,3,en
The Starlight Crystal,Christopher Pike,N/A,1996,N/A,"Children's stories, American",195,N/A,0,en
Exile's Valor,Mercedes Lackey,Astra Publishing House,2004-10-05,"This stand-alone novel in the Valdemar series continues the story of prickly weapons-master Alberich. Once a heroic Captain in the army of Karse, a kingdom at war with Valdemar, Alberich becomes one of Valdemar's Heralds. Despite prejudice against him, he becomes the personal protector of young Queen Selenay. But can he protect her from the dangers of her own heart?",Fiction,331,N/A,0,en
"""Unsuitable"" Books",Caren J. Town,McFarland,2014-08-11,"Focusing on the attempted and successful banning of young adult fiction from media centers and classrooms, this book treats the legal and experiential history of censorship in libraries and public schools. It also looks closely at young adult novels from the early 1970s until today that have been the subject of book challenges. The authors discussed include Judy Blume, S.E. Hinton, Chris Crutcher, Jean Craighead George, M.E. Kerr, Mildred Taylor, and Sherman Alexie. This book offers parents, teachers and librarians arguments against censorship based on literary merit and societal benefit.",Literary Criticism,201,N/A,0,en
Red Rising,Pierce Brown,Del Rey,2014-01-28,"NEW YORK TIMES BESTSELLER • Pierce Brown’s relentlessly entertaining debut channels the excitement of The Hunger Games by Suzanne Collins and Ender’s Game by Orson Scott Card. “Red Rising ascends above a crowded dys­topian field.”—USA Today ONE OF THE BEST BOOKS OF THE YEAR—Entertainment Weekly, BuzzFeed, Shelf Awareness “I live for the dream that my children will be born free,” she says. “That they will be what they like. That they will own the land their father gave them.” “I live for you,” I say sadly. Eo kisses my cheek. “Then you must live for more.” Darrow is a Red, a member of the lowest caste in the color-coded society of the future. Like his fellow Reds, he works all day, believing that he and his people are making the surface of Mars livable for future generations. Yet he toils willingly, trusting that his blood and sweat will one day result in a better world for his children. But Darrow and his kind have been betrayed. Soon he discovers that humanity reached the surface generations ago. Vast cities and lush wilds spread across the planet. Darrow—and Reds like him—are nothing more than slaves to a decadent ruling class. Inspired by a longing for justice, and driven by the memory of lost love, Darrow sacrifices everything to infiltrate the legendary Institute, a proving ground for the dominant Gold caste, where the next generation of humanity’s overlords struggle for power. He will be forced to compete for his life and the very future of civilization against the best and most brutal of Society’s ruling class. There, he will stop at nothing to bring down his enemies . . . even if it means he has to become one of them to do so. Praise for Red Rising “[A] spectacular adventure . . . one heart-pounding ride . . . Pierce Brown’s dizzyingly good debut novel evokes The Hunger Games, Lord of the Flies, and Ender’s Game. . . . [Red Rising] has everything it needs to become meteoric.”—Entertainment Weekly “Ender, Katniss, and now Darrow.”—Scott Sigler “Red Rising is a sophisticated vision. . . . Brown will find a devoted audience.”—Richmond Times-Dispatch Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",Fiction,414,4.5,7,en
Silence Is Goldfish,Annabel Pitcher,"Little, Brown Books for Young Readers",2016-05-17,"My name is Tess Turner--at least, that's what I've always been told. I have a voice but it isn't mine. It used to say things so I'd fit in, to please my parents, to please my teachers. It used to tell the universe I was something I wasn't. It lied. It never occurred to me that everyone else was lying too. Fifteen-year-old Tess doesn't mean to become mute. At first, she's just too shocked to speak. And who wouldn't be? Discovering your whole life has been a lie because your dad isn't your real father is a pretty big deal. Terrified of the truth, Tess retreats into silence. Reeling from her family's betrayal, Tess sets out to discover the identity of her real father. He could be anyone--even the familiar-looking teacher at her school. Tess continues to investigate, uncovering a secret that could ruin multiple lives. It all may be too much for Tess to handle, but how can she ask for help when she's forgotten how to use her voice? In a brilliant study of identity, betrayal, and complex family dynamics, award-winning author Annabel Pitcher explores the importance of communication, even when we're faced with unspeakable truths.",Young Adult Fiction,278,N/A,0,en
Du Iz Tak?,Carson Ellis,National Geographic Books,2023-03-14,"A 2017 Caldecott Honor Book The creator of Home turns a droll eye to the natural world, with gorgeous art and a playful invented language. Du iz tak? What is that? As a tiny shoot unfurls, two damselflies peer at it in wonder. When the plant grows taller and sprouts leaves, some young beetles arrive to gander, and soon—with the help of a pill bug named Icky—they wrangle a ladder and build a tree fort. But this is the wild world, after all, and something horrible is waiting to swoop down—booby voobeck!—only to be carried off in turn. Su! With exquisitely detailed illustrations and tragicomic flair, Carson Ellis invites readers to imagine the dramatic possibilities to be found in even the humblest backyard. Su!",Juvenile Fiction,0,N/A,0,en
The Love and Lies of Rukhsana Ali,Sabina Khan,Scholastic UK,2019-02-07,"Seventeen-year-old Rukhsana Ali tries her hardest to live up to her conservative Muslim parents' expectations, but lately she's finding that impossible to do. She rolls her eyes when they blatantly favour her brother and saves her crop tops and makeup for parties her parents don't know about. If she can just hold out another few months, Rukhsana will be out of her familial home and away from her parents' ever-watchful eyes at Caltech, a place where she thinks she can finally be herself. But when she is caught kissing her girlfriend Ariana, her devastated parents take Rukhsana to Bangladesh, where everything she had been planning is out of reach. There, immersed in a world of tradition and arranged marriages, Rukhsana finds the perspective she's been looking for in her grandmother's old diary. The only question left for her to answer is: Can she fight for the life she wants without losing her family in the process?",Juvenile Fiction,321,5,1,en
Best Books for Young Adults,Holly Koelling,American Library Association,2007-08-13,"This is a classic, standard resource for collection building and on-the-spot readers advisory absolutely indispensable for school and public libraries.",Language Arts & Disciplines,575,3,2,en
The Bunker Diary,Kevin Brooks,Carolrhoda Lab ™,2015-03-01,"People have simple needs. Food, water, light, space. Maybe a small measure of dignity. What happens when someone takes all that away? This pulse-pounding, award-winning novel explores what happens when your worst nightmare comes true.",Juvenile Fiction,266,4,2,en
Poor Louie,Tony Fucile,Candlewick Press,2017-04-11,"Poor Louie! Life is perfect for this pup until Mom’s belly starts getting bigger. . . . A funny and touching tale for big siblings from the illustrator of the Bink and Gollie series. Louie’s life is great! A walk on the leash every morning, ice cream on Sundays, snuggling in bed at night with Mom and Dad. Even the playdates with Mom’s friends — despite their little crawling creatures who pull Louie’s ears — aren’t all that bad. But then things get weird: cold food on the floor, no room in the bed, and lots of new stuff coming into the house in pairs — two small beds, two little sweaters, two seats in the stroller. Does that bode double trouble ahead, or could there be a happier surprise in store for Louie? With perfect visual pacing, Tony Fucile takes a familiar story and gives it a comic spin.",Juvenile Fiction,45,N/A,0,en
Butter,Erin Jade Lange,Bloomsbury Publishing USA,2013-09-03,"The riveting debut that combines the relentless immediacy of Thirteen Reasons Why with the can't-look-away drama of ""The Biggest Loser.""",Juvenile Fiction,321,N/A,0,en
Winter,John Marsden,Pan Australia,2001-06-01,"""Australia's king of young adult fiction"" The Australian Winter is sixteen. It's time to come home. For twelve years Winter has been haunted. Her past, her memories, her feelings, will not leave her alone. And now, at sixteen, the time has come for her to act. Every journey begins with a single step. If Winter is going to step into the future, she must first step into the past. Winter is an intense, emotionally rich book that you will want to read not just once, but many times. Fans of Veronica Roth, Suzanne Collins and John Flanagan will love John Marsden.",Juvenile Fiction,144,N/A,0,en
Shatter Me,Tahereh Mafi,Harper Collins,2011-11-15,"The gripping first installment in global bestselling author Tahereh Mafi’s epic, romantic Shatter Me series. One touch is all it takes. One touch, and Juliette Ferrars can leave a fully grown man gasping for air. One touch, and she can kill. No one knows why Juliette has such incredible power. It feels like a curse, a burden that one person alone could never bear. But The Reestablishment sees it as a gift, sees her as an opportunity. An opportunity for a deadly weapon. Juliette has never fought for herself before. But when she’s reunited with the one person who ever cared about her, she finds a strength she never knew she had. Includes a special sneak peek of This Woven Kingdom, the first book in Tahereh Mafi’s bestselling fantasy series inspired by Persian folklore! And don't miss Watch Me, the first book in a new series in the Shatter Me universe set ten years after the fall of The Reestablishment, on sale in April 2025!",Young Adult Fiction,416,4.5,22,en
Little Thieves,Margaret Owen,Henry Holt and Company (BYR),2021-10-19,"""Gorgeous prose, delicious magic."" - V.E. Schwab YALSA Best Fiction for Young Adults Selection Kids' Indie Next Pick Amazon Best Book A scrappy maid must outsmart both palace nobles and Low Gods in a new YA fantasy by Margaret Owen, author of the Merciful Crow series. Once upon a time, there was a horrible girl... Vanja Schmidt knows that no gift is freely given, not even a mother’s love—and she’s on the hook for one hell of a debt. Vanja, the adopted goddaughter of Death and Fortune, was Princess Gisele's dutiful servant up until a year ago. That was when Vanja’s otherworldly mothers demanded a terrible price for their care, and Vanja decided to steal her future back... by stealing Gisele’s life for herself. The real Gisele is left a penniless nobody while Vanja uses an enchanted string of pearls to take her place. Now, Vanja leads a lonely but lucrative double life as princess and jewel thief, charming nobility while emptying their coffers to fund her great escape. Then, one heist away from freedom, Vanja crosses the wrong god and is cursed to an untimely end: turning into jewels, stone by stone, for her greed. Vanja has just two weeks to figure out how to break her curse and make her getaway. And with a feral guardian half-god, Gisele’s sinister fiancé, and an overeager junior detective on Vanja’s tail, she’ll have to pull the biggest grift yet to save her own life. Margaret Owen, author of The Merciful Crow series, crafts a delightfully irreverent retelling of “The Goose Girl” about stolen lives, thorny truths, and the wicked girls at the heart of both.",Young Adult Fiction,474,5,1,en
The Love Hypothesis,Ali Hazelwood,Penguin,2021-09-14,"The Instant New York Times Bestseller and TikTok Sensation! As seen on THE VIEW! A BuzzFeed Best Summer Read of 2021 When a fake relationship between scientists meets the irresistible force of attraction, it throws one woman's carefully calculated theories on love into chaos. As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships—but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees. That man is none other than Adam Carlsen, a young hotshot professor—and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding...six-pack abs. Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.",Fiction,401,4.5,2,en
The Great American Whatever,Tim Federle,Simon and Schuster,2016-03-29,"From the award-winning author of Five, Six, Seven, Nate! and Better Nate Than Ever comes “a Holden Caulfield for a new generation” (Kirkus Reviews, starred review). Quinn Roberts is a sixteen-year-old smart aleck and Hollywood hopeful whose only worry used to be writing convincing dialogue for the movies he made with his sister Annabeth. Of course, that was all before—before Quinn stopped going to school, before his mom started sleeping on the sofa…and before the car accident that changed everything. Enter: Geoff, Quinn’s best friend who insists it’s time that Quinn came out—at least from hibernation. One haircut later, Geoff drags Quinn to his first college party, where instead of nursing his pain, he meets a guy—okay, a hot guy—and falls, hard. What follows is an upside-down week in which Quinn begins imagining his future as a screenplay that might actually have a happily-ever-after ending—if, that is, he can finally step back into the starring role of his own life story.",Young Adult Fiction,218,5,1,en
The House in the Cerulean Sea,TJ Klune,Tor Books,2020-03-17,"A NEW YORK TIMES, USA TODAY, and WASHINGTON POST BESTSELLER! A 2021 Alex Award winner! The 2021 RUSA Reading List: Fantasy Winner! An Indie Next Pick! One of Publishers Weekly's ""Most Anticipated Books of Spring 2020"" One of Book Riot’s “20 Must-Read Feel-Good Fantasies” Lambda Literary Award-winning author TJ Klune’s bestselling, breakout contemporary fantasy that's ""1984 meets The Umbrella Academy with a pinch of Douglas Adams thrown in."" (Gail Carriger) Linus Baker is a by-the-book case worker in the Department in Charge of Magical Youth. He's tasked with determining whether six dangerous magical children are likely to bring about the end of the world. Arthur Parnassus is the master of the orphanage. He would do anything to keep the children safe, even if it means the world will burn. And his secrets will come to light. The House in the Cerulean Sea is an enchanting love story, masterfully told, about the profound experience of discovering an unlikely family in an unexpected place—and realizing that family is yours. ""1984 meets The Umbrella Academy with a pinch of Douglas Adams thrown in."" —Gail Carriger, New York Times bestselling author of Soulless At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Fiction,338,5,3,en
The Catcher in the Rye,J. D. Salinger,"Little, Brown",2019-08-13,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.",Fiction,204,5,1,en
On Writing,Stephen King,Hodder & Stoughton,2012,"In 1999, Stephen King began to write about his craft -- and his life. By midyear, a widely reported accident jeopardized the survival of both. And in his months of recovery, the link between writing and living became more crucial than ever. Rarely has a book on writing been so clear, so useful, and so revealing. On Writing begins with a mesmerizing account of King's childhood and his uncannily early focus on writing to tell a story. A series of vivid memories from adolescence, college, and the struggling years that led up to his first novel, Carrie, will afford readers a fresh and often very funny perspective on the formation of a writer. King next turns to the basic tools of his trade -- how to sharpen and multiply them through use, and how the writer must always have them close at hand. He takes the reader through crucial aspects of the writer's art and life, offering practical and inspiring advice on everything from plot and character development to work habits and rejection. Serialized in the New Yorker to vivid acclaim, On Writing culminates with a profoundly moving account of how King's overwhelming need to write spurred him toward recovery, and brought him back to his life. Brilliantly structured, friendly and inspiring, On Writing will empower--and entertain--everyone who reads it.",Authorship,351,N/A,0,en
Writing for Young Adults,Sherry Garland,N/A,1998,"Provides guidelines and examples on writing for the YA market with profiles of popular genres and current trends, tips on improving writing skills and effective research, and the dos and dont's of contacting publishers.",Young adult literature,0,N/A,0,en
Writing Irresistible Kidlit,Mary Kole,Penguin,2012-12-04,"Captivate the hearts and minds of young adult readers! Writing for young adult (YA) and middle grade (MG) audiences isn't just ""kid's stuff"" anymore--it's kidlit! The YA and MG book markets are healthier and more robust than ever, and that means the competition is fiercer, too. In Writing Irresistible Kidlit, literary agent Mary Kole shares her expertise on writing novels for young adult and middle grade readers and teaches you how to: • Recognize the differences between middle grade and young adult audiences and how it impacts your writing. • Tailor your manuscript's tone, length, and content to your readership. • Avoid common mistakes and cliches that are prevalent in YA and MG fiction, in respect to characters, story ideas, plot structure and more. • Develop themes and ideas in your novel that will strike emotional chords. Mary Kole's candid commentary and insightful observations, as well as a collection of book excerpts and personal insights from bestselling authors and editors who specialize in the children's book market, are invaluable tools for your kidlit career. If you want the skills, techniques, and know-how you need to craft memorable stories for teens and tweens, Writing Irresistible Kidlit can give them to you.",Language Arts & Disciplines,305,N/A,0,en
