Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Book,John Agard,Candlewick Press,2015,"Books contain countless tales--but what if Book told its own story? From clay tablets to e-readers, here is a quirky, kid-friendly look at the book. Books are one of humankind's greatest forms of expression, and now Book, in a witty, idiosyncratic voice, tells us the inside story. A wonderfully eccentric character with strong opinions and a poetic turn of phrase, Book tells of a journey from papyrus scrolls to medieval manuscripts to printed paper and beyond--pondering, along the way, many bookish things, including the evolution of the alphabet, the library (known to Egyptians as ""the healing place of the soul""), and even book burning. With bold, black-and-white illustrations by Neil Packer, Book is a captivating work of nonfiction by one of England's leading poets.",Juvenile Nonfiction,145,N/A,0,en
Book: My Autobiography,John Agard,Candlewick Press,2015-10-06,"Books contain countless tales—but what if Book told its own story? From clay tablets to e-readers, here is a quirky, kid-friendly look at the book. Books are one of humankind’s greatest forms of expression, and now Book, in a witty, idiosyncratic voice, tells us the inside story. A wonderfully eccentric character with strong opinions and a poetic turn of phrase, Book tells of a journey from papyrus scrolls to medieval manuscripts to printed paper and beyond—pondering, along the way, many bookish things, including the evolution of the alphabet, the library (known to Egyptians as ""the healing place of the soul""), and even book burning. With bold, black-and-white illustrations by Neil Packer, Book is a captivating work of nonfiction by one of England's leading poets.",Juvenile Nonfiction,146,N/A,0,en
Reading Jackie,William M. Kuhn,Nan A. Talese,2010,"Based on archives and interviews with Jackie's authors, colleagues and friends, a fascinating book looks a Jackie Kennedy Onassis' time as an editor, revealing both the serious and the mischievous woman underneath the glamorous public image.",Biography & Autobiography,350,N/A,0,en
The Book of Myself,"David Marshall, Carl Marshall",Hachette Books,2019-09-10,"Have you ever wanted to create your own autobiography or wished you could read about the life of a relative or friend? The Book of Myself is a do-it-yourself memoir that helps you record and preserve the experiences, relationships, and lessons that define you. Created by a grandson who wanted to capture his grandfather's life story for future generations, The Book of Myself offers 201 memory-evoking prompts on family, friends, and the journey you take through all of life's stages. It is the perfect way for you -- or someone close to you -- to record life's highlights and everyday moments that can slip through your fingers if not written down.",Reference,0,N/A,0,en
Ossie,"Ossie Guffy, Caryl Ledner",W. W. Norton,1971,N/A,Biography & Autobiography,232,N/A,0,en
Autobiography of a Face [Thirtieth Anniversary Edition],Lucy Grealy,HarperCollins,2024-12-03,"”So many memoirs make you feel that you’ve been sealed up inside a wall with a monomaniac. A really good one, like Autobiography of a Face, makes you feel there is more to ask and learn. You are not just seeing the writer; you are not trying to see yourself. You are seeing the world in a different way.”—Margo Jefferson Foreword by Suleika Jaouad, author of the New York Times bestseller Between Two Kingdoms A thirtieth-anniversary edition of Lucy Grealy’s celebrated memoir, a timeless exploration of identity, loneliness, the nature of beauty, and strength. Thirty years ago, Lucy Grealy’s Autobiography of a Face launched the young writer into the top echelons of contemporary literature, winning her both acclaim and fame. An incandescent tale of perseverance, humor, and deep introspection in the face of emotional and physical pain, her powerful memoir—as evocative and resonant today as it was in 1994—speaks to us across time. At age nine, Lucy Grealy was diagnosed with Ewing’s sarcoma, a potentially terminal cancer, undergoing years of chemotherapy that destroyed a third of her jawbone. When she eventually returned to school, she faced the cruel taunts of classmates. It took her twenty years of living with a distorted self-image and more than thirty years of reconstructive procedures before she began to come to terms with her appearance. This beautiful and timeless memoir is a tale of great suffering and remarkable strength told without sentimentality and with considerable wit. Grealy reflects on how cancer transformed her face and her life, and captures what it was like as a child and a young adult to be torn between wanting to be loved for who we are and desperately wishing to be perfect.",Biography & Autobiography,212,N/A,0,en
Autobiography of a Restless Mind,Dee Hock,iUniverse,2012-12,"Volume 1 Autobiography of a Restless Mind is a fascinating, exceptionally diverse collection of observations and reflections written over the past twenty-five years by one of the most innovative thinkers, writers, and leaders of the past half century. Witty and wise, playful and profound, prophetic and immensely quotable, it is a companion no thinking, caring person should be without. Written in an unforgettable style reminiscent of Aurelius, Montaigne, Lao-Tse, and Bacon, it is a classic that will be read with pleasure and profit for generations to come.","Body, Mind & Spirit",265,N/A,0,en
Autobiography of a Yogi,Paramahansa Yogananda,The Floating Press,2009-01-01,"The autobiography of Paramahansa Yogananda (1893 - 1952) details his search for a guru, during which he encountered many spiritual leaders and world-renowned scientists. When it was published in 1946 it was the first introduction of many westerners to yoga and meditation. The famous opera singer Amelita Galli-Curci said about the book: ""Amazing, true stories of saints and masters of India, blended with priceless superphysical information-much needed to balance the Western material efficiency with Eastern spiritual efficiency-come from the vigorous pen of Paramhansa Yogananda, whose teachings my husband and myself have had the pleasure of studying for twenty years.""",Biography & Autobiography,860,5,1,en
Curriculum Vitae,Muriel Spark,New Directions Publishing,2011,Muriel Spark's bracingly salty memoir is a no-holds-barred trip through an extraordinary writer's life.,Biography & Autobiography,244,N/A,0,en
The Autobiography of a Transgender Scientist,Ben Barres,MIT Press,2018-10-30,"A leading scientist describes his life, his gender transition, his scientific work, and his advocacy for gender equality in science. Ben Barres was known for his groundbreaking scientific work and for his groundbreaking advocacy for gender equality in science. In this book, completed shortly before his death from pancreatic cancer in December 2017, Barres (born in 1954) describes a life full of remarkable accomplishments—from his childhood as a precocious math and science whiz to his experiences as a female student at MIT in the 1970s to his female-to-male transition in his forties, to his scientific work and role as teacher and mentor at Stanford. Barres recounts his early life—his interest in science, first manifested as a fascination with the mad scientist in Superman; his academic successes; and his gender confusion. Barres felt even as a very young child that he was assigned the wrong gender. After years of being acutely uncomfortable in his own skin, Barres transitioned from female to male. He reports he felt nothing but relief on becoming his true self. He was proud to be a role model for transgender scientists. As an undergraduate at MIT, Barres experienced discrimination, but it was after transitioning that he realized how differently male and female scientists are treated. He became an advocate for gender equality in science, and later in life responded pointedly to Larry Summers's speculation that women were innately unsuited to be scientists. Privileged white men, Barres writes, “miss the basic point that in the face of negative stereotyping, talented women will not be recognized.” At Stanford, Barres made important discoveries about glia, the most numerous cells in the brain, and he describes some of his work. “The most rewarding part of his job,” however, was mentoring young scientists. That, and his advocacy for women and transgender scientists, ensures his legacy.",Social Science,161,N/A,0,en
Assata,Assata Shakur,Zed Books Ltd.,2016-02-15,"'Deftly written...a spellbinding tale.' The New York Times In 2013 Assata Shakur, founding member of the Black Liberation Army, former Black Panther and godmother of Tupac Shakur, became the first ever woman to make the FBI's most wanted terrorist list. Assata Shakur's trial and conviction for the murder of a white state trooper in the spring of 1973 divided America. Her case quickly became emblematic of race relations and police brutality in the USA. While Assata's detractors continue to label her a ruthless killer, her defenders cite her as the victim of a systematic, racist campaign to criminalize and suppress black nationalist organizations. This intensely personal and political autobiography reveals a sensitive and gifted woman. With wit and candour Assata recounts the formative experiences that led her to embrace a life of activism. With pained awareness she portrays the strengths, weaknesses and eventual demise of black and white revolutionary groups at the hands of the state. A major contribution to the history of black liberation, destined to take its place alongside The Autobiography of Malcolm X and the works of Maya Angelou.",Biography & Autobiography,329,N/A,0,en
Astounding Days,Arthur C. Clarke,Hachette UK,2011-09-29,"Arthur C. Clarke acquired his first science fiction magazine - a copy of Astounding Stories - in 1930, when he was 13. Immediately he became an avid reader and collector: and, soon enough, a would-be-writer. The rest is history. Now, in Astounding Days, he looks back over those impressed by him, discussing their scientific howlers, and their remarkable proportion of predictive bulls-eyes - and writing of his early life and career. Written with relaxed good humour, Astounding Days is full of fascinating comment and anecdote.",Fiction,287,N/A,0,en
Reading Autobiography,"Sidonie Smith, Julia Watson",N/A,2001,N/A,Biography & Autobiography,296,N/A,0,en
Neil Patrick Harris,Neil Patrick Harris,Crown,2015-09-15,"“Neil Patrick Harris’s Choose Your Own Autobiography is one of the best celeb memoirs I’ve ever read.”—The Phoenix News Seeking an exciting read that puts the “u” back in “aUtobiography”? Look no further than Neil Patrick Harris: Choose Your Own Autobiography! In this entertaining and innovative memoir, Neil Patrick Harris shares intimate and hilarious stories about everything from his early days in LA, life on the How I Met Your Mother set, secrets from backstage at award shows, and family life with David, Harper, and Gideon. In a fresh spin on the typical celebrity narrative, he lets you, the reader, choose which path you want him to follow. All this plus magic tricks, cocktail recipes, embarrassing pictures from his time as a child actor, and even a closing song!",Biography & Autobiography,314,N/A,0,en
N/A,,N/A,N/A,N/A,,169,N/A,0,en
Autobiography,Morrissey,Penguin,2014-11-04,"“Spend the day in bed” with Autobiography by Morrissey, whose new album Low in High School is out November 17th Steven Patrick Morrissey was born in Manchester on May 22nd 1959. Singer-songwriter and co-founder of the Smiths (1982–1987), Morrissey has been a solo artist for twenty-six years, during which time he has had three number 1 albums in England in three different decades. Achieving eleven Top 10 albums (plus nine with the Smiths), his songs have been recorded by David Bowie, Nancy Sinatra, Marianne Faithfull, Chrissie Hynde, Thelma Houston, My Chemical Romance and Christy Moore, amongst others. An animal protectionist, in 2006 Morrissey was voted the second greatest living British icon by viewers of the BBC, losing out to Sir David Attenborough. In 2007 Morrissey was voted the greatest northern male, past or present, in a nationwide newspaper poll. In 2012, Morrissey was awarded the Keys to the City of Tel-Aviv. It has been said “Most pop stars have to be dead before they reach the iconic status that Morrissey has reached in his lifetime.”",Biography & Autobiography,478,N/A,0,en
