Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Bible Handbook,The Daily Grace Co.,N/A,2020-11,N/A,,0,N/A,0,en
The Book of God,Walter Wangerin,Zondervan,1996,An illustrated version with simplified text of the Old and New Testaments.,Fiction,1138,N/A,0,en
In the Beginning,Michelle P. Brown,Smithsonian Books,2006-12,"This is the companion volume to a major exhibition at the Smithsonian's Arthur M. Sackler Gallery that assembles, for the first time, seventy of the most important biblical codices in the world. this is the companion volume to a major exhibition at the Smithsonian's Arthur M. Sackler Gallery that assembles, for the first time, seventy of the most important biblical codices in the world. though the Bible has been called teh best-selling book of all time, the term itself comes from the Greek for ""a collection of books."" the Bible that we know today was compiled over centuries and comprises numerous components, from the books associated with Moses to the Gospels credited to the Four Evangelists.IN tHE BEGINNING gathers many of the most important early witnesses to the Hebrew and Christian bibles. the physical evidence for the earliest copies of scriptures is fragmentary and partial, from scraps of fragile papyrus to battered vellum codices. Here they are preserved in a sumptuously illustrated volume that captures this formative period of human history. three leading authorities in the field explore the Bible through its first thousand years, revealing both its transformation into a complex symbol of fatih and the parallel ""evolution"" of the book as a medium for the transmission of information-one of the greatest technological revolutions the world has ever known.",Religion,376,N/A,0,en
She Reads Truth,"Raechel Myers, Amanda Bible Williams",B&H Publishing Group,2016-10-04,"Born out of the experiences of hundreds of thousands of women who Raechel and Amanda have walked alongside as they walk with the Lord, She Reads Truth is the message that will help you understand the place of God's Word in your life.",Religion,186,N/A,0,en
Must we burn our Bibles? A few honest words about the “Essays and Reviews;” addressed to honest people by an honest man,,N/A,1861,N/A,,46,N/A,0,en
A History of the Bible,John Barton,Penguin,2020-08-04,"A literary history of our most influential book of all time, by an Oxford scholar and Anglican priest In our culture, the Bible is monolithic: It is a collection of books that has been unchanged and unchallenged since the earliest days of the Christian church. The idea of the Bible as ""Holy Scripture,"" a non-negotiable authority straight from God, has prevailed in Western society for some time. And while it provides a firm foundation for centuries of Christian teaching, it denies the depth, variety, and richness of this fascinating text. In A History of the Bible, John Barton argues that the Bible is not a prescription to a complete, fixed religious system, but rather a product of a long and intriguing process, which has inspired Judaism and Christianity, but still does not describe the whole of either religion. Barton shows how the Bible is indeed an important source of religious insight for Jews and Christians alike, yet argues that it must be read in its historical context--from its beginnings in myth and folklore to its many interpretations throughout the centuries. It is a book full of narratives, laws, proverbs, prophecies, poems, and letters, each with their own character and origin stories. Barton explains how and by whom these disparate pieces were written, how they were canonized (and which ones weren't), and how they were assembled, disseminated, and interpreted around the world--and, importantly, to what effect. Ultimately, A History of the Bible argues that a thorough understanding of the history and context of its writing encourages religious communities to move away from the Bible's literal wording--which is impossible to determine--and focus instead on the broader meanings of scripture.",Religion,642,N/A,0,en
Holy Bible (NIV),"Various Authors,",Zondervan,2008-09-02,"The NIV is the world's best-selling modern translation, with over 150 million copies in print since its first full publication in 1978. This highly accurate and smooth-reading version of the Bible in modern English has the largest library of printed and electronic support material of any modern translation.",Bibles,6793,5,2,en
The Book of Bibles,Österreichische Nationalbibliothek,N/A,2016,"Discover 50 of the most exquisite and important medieval bible manuscripts, at once art historical treasures and precious religious artifacts. Published in partnership with the Austrian National Library, this stunning collection spans every epoch of the Middle Ages, revealing both the evolution of the Bible and the shifting history of the age.",Bible,0,N/A,0,en
The Bible Book by Book,G. Coleman Luck,Moody Publishers,1955-06-01,"A survey of the Bible as a whole, with a summary of each book's context, outline, and content.",Religion,168,N/A,0,en
This Dangerous Book,"Steve Green, Jackie Green",Zondervan,2017-11-07,"From Steve and Jackie Green, founders and curators of the Museum of the Bible--a fascinating exploration of the history, authenticity, and power of the Bible, the book that has changed people and nations throughout the centuries. It is the top selling book in history. It brings social upheaval, international arguments, and political controversy. It has been used to justify both love and war. And for generations, it has found its way into the hearts of millions, offering comfort, direction, and life-changing truths. How could one book have such power? In This Dangerous Book, Steve and Jackie Green explore the incredible history and impact of the Bible. As the founders and visionaries of the Museum of the Bible in Washington D.C., the Greens have a unique perspective on the Bible's journey--from its ancient beginnings, to its effect on the moral fiber of nations, to its transformative influence in individual hearts. The Greens share the challenges they have faced in acquiring biblical artifacts from around the world and why generations--in every time period and in every geographical location--have risked their lives to preserve this precious book. Exploring ancient tablets, medieval commentaries, and modern translations, This Dangerous Book offers fascinating insight into the miracles and martyrdoms that have led to the Scriptures we read today. The Greens explore how cutting-edge technology gives new insight into the authenticity of the Bible, including the work of fifty scholars who recently uncovered hidden details about thirteen unpublished Dead Sea Scroll fragments. This Dangerous Book also looks at the link between the Hebrew Bible and the New Testament, what we can learn from how the Bible was passed down to us, and why God's Word is foundational to America's past and crucial for its future. The Bible is a world-changer and a heart-changer. Whether you have read the Bible for years or are simply curious about its influence, This Dangerous Book could change your heart as well.",Religion,256,N/A,0,en
