Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Auto Biography,Earl Swift,Harper Collins,2014-05-06,"A brilliant blend of Shop Class as Soulcraft and The Orchid Thief, Earl Swift's wise, funny, and captivating Auto Biography follows an outlaw auto dealer as he struggles to save a rusted '57 Chevy—a car that has already passed through twelve pairs of hands before his—while financial ruin, government bureaucrats and the FBI close in on him. Slumped among hundreds of other decrepit hulks on a treeless, windswept moor in eastern North Carolina, the Chevy evokes none of the Jet Age mystique that made it the most beloved car to ever roll off an assembly line. It's open to the rain. Birds nest in its seats. Officials of the surrounding county consider it junk. To Tommy Arney, it's anything but: It's a fossil of the twentieth-century American experience, of a place and a people utterly devoted to the automobile and changed by it in myriad ways. It's a piece of history—especially so because its flaking skin conceals a rare asset: a complete provenance, stretching back more than fifty years. So, hassled by a growing assortment of challengers, the Chevy's thirteenth owner—an orphan, grade-school dropout and rounder, a felon arrested seventy-odd times, and a man who's been written off as a ruin himself--embarks on a mission to save the car and preserve long record of human experience it carries in its steel and upholstery. Written for both gearheads and Sunday drivers, Auto Biography charts the shifting nature of the American Dream and our strange and abiding relationship with the automobile, through an iconic classic and an improbable, unforgettable hero.",Biography & Autobiography,403,N/A,0,en
A Picture Book of Harriet Tubman,David A. Adler,Lerner Publishing Group,2018-01-01,"""Gail Nelson is an unobtrusive narrator who lets Harriet Tubman's deeds and personality speak for themselves. And speak they do!"" - AudioFile",Juvenile Nonfiction,32,N/A,0,en
How To Do Biography,Nigel Hamilton,Harvard University Press,2012-10-22,"It is not surprising that biography is one of the most popular literary genres of our day. What is remarkable is that there is no accessible guide for how to write one. Now, following his recent Biography: A Brief History (from Harvard), award-winning biographer and teacher Nigel Hamilton tackles the practicalities of doing biography in this first succinct primer to elucidate the tools of the biographerÕs craft. Hamilton invites the reader to join him on a fascinating journey through the art of biographical composition. Starting with personal motivation, he charts the making of a modern biography from the inside: from conception to fulfillment. He emphasizes the need to know oneÕs audience, rehearses the excitement and perils of modern research, delves into the secrets of good and great biography, and guides the reader through the essential components of life narrative. With examples taken from the finest modern biographies, Hamilton shows how to portray the ages of manÑbirth, childhood, love, lifeÕs work, the evening of life, and death. In addition, he suggests effective ways to start and close a life story. He clarifies the difference between autobiography and memoirÑand addresses the sometimes awkward ethical, legal, and personal consequences of truth-telling in modern life writing. He concludes with the publication and reception of biographyÑits afterlife, so to speak. Written with humor, insight, and compassion, How To Do Biography is the manual that would-be biographers have long been awaiting.",Language Arts & Disciplines,392,N/A,0,en
Maggie Smith,Michael Coveney,Macmillan + ORM,2015-12-29,"“Steeped in theater history” this biography “seamlessly melds Smith’s personal and professional lives into an engrossing narrative” (Kirkus Reviews). No one does glamour, severity, girlish charm or tight-lipped witticism better than Dame Maggie Smith. Michael Coveney’s biography shines a light on the life and career of a truly remarkable performer, one whose stage and screen career spans six decades. From her days as a West End star of comedy and revue, Dame Maggie’s path would cross with those of the greatest actors, playwrights and directors of the era. Whether stealing scenes from Richard Burton, answering back to Laurence Olivier, or playing opposite Judi Dench in Breath of Life, her career can be seen as a ‘Who’s Who’ of British theatre. Her film and television career has been just as starry. From the title character in The Prime of Miss Jean Brodie and the meddling chaperone in A Room With a View to the Harry Potter films in which she played Minerva McGonagall (as she put it ‘Miss Jean Brodie in a wizard’s hat’) and the Best Exotic Marigold Hotel films in which she played the wise Muriel Donnelly, Smith has thrilled, engaged and made audiences laugh. As Violet Crawley, the formidable Dowager Countess of Downton Abbey she conquered millions more. Paradoxically she remains an enigmatic figure, rarely appearing in public. Michael Coveney’s absorbing biography, written with the actress’s blessing and drawing on personal archives, as well as interviews with immediate family and close friends, is a portrait of one of the greatest actors of our time.",Biography & Autobiography,467,N/A,0,en
A Biography of the Pixel,Alvy Ray Smith,MIT Press,2021-08-03,"The pixel as the organizing principle of all pictures, from cave paintings to Toy Story. The Great Digital Convergence of all media types into one universal digital medium occurred, with little fanfare, at the recent turn of the millennium. The bit became the universal medium, and the pixel--a particular packaging of bits--conquered the world. Henceforward, nearly every picture in the world would be composed of pixels--cell phone pictures, app interfaces, Mars Rover transmissions, book illustrations, videogames. In A Biography of the Pixel, Pixar cofounder Alvy Ray Smith argues that the pixel is the organizing principle of most modern media, and he presents a few simple but profound ideas that unify the dazzling varieties of digital image making. Smith's story of the pixel's development begins with Fourier waves, proceeds through Turing machines, and ends with the first digital movies from Pixar, DreamWorks, and Blue Sky. Today, almost all the pictures we encounter are digital--mediated by the pixel and irretrievably separated from their media; museums and kindergartens are two of the last outposts of the analog. Smith explains, engagingly and accessibly, how pictures composed of invisible stuff become visible--that is, how digital pixels convert to analog display elements. Taking the special case of digital movies to represent all of Digital Light (his term for pictures constructed of pixels), and drawing on his decades of work in the field, Smith approaches his subject from multiple angles--art, technology, entertainment, business, and history. A Biography of the Pixel is essential reading for anyone who has watched a video on a cell phone, played a videogame, or seen a movie. 400 pages of annotations, prepared by the author and available online, provide an invaluable resource for readers.",Computers,560,N/A,0,en
A Book of Verse,Garry Garrard,Sutton Publishing,2007,"Omar Khayyam's poetry is among the most familiar in the English language. A Book of Verse tells the engrossing and entertaining story of how the Rubaiyat of Omar Khayyam has provided delight and fascination for centuries, has inspired artists and musicians, and has transcended cultures.",Biography & Autobiography,304,N/A,0,en
Jackie Robinson,Arnold Rampersad,Ballantine Books,2011-06-08,"The extraordinary life of Jackie Robinson is illuminated as never before in this full-scale biography by Arnold Rampersad, who was chosen by Jack's widow, Rachel, to tell her husband's story, and was given unprecedented access to his private papers. We are brought closer than we have ever been to the great ballplayer, a man of courage and quality who became a pivotal figure in the areas of race and civil rights. Born in the rural South, the son of a sharecropper, Robinson was reared in southern California. We see him blossom there as a student-athlete as he struggled against poverty and racism to uphold the beliefs instilled in him by his mother--faith in family, education, America, and God. We follow Robinson through World War II, when, in the first wave of racial integration in the armed forces, he was commissioned as an officer, then court-martialed after refusing to move to the back of a bus. After he plays in the Negro National League, we watch the opening of an all-American drama as, late in 1945, Branch Rickey of the Brooklyn Dodgers recognized Jack as the right player to break baseball's color barrier--and the game was forever changed. Jack's never-before-published letters open up his relationship with his family, especially his wife, Rachel, whom he married just as his perilous venture of integrating baseball began. Her memories are a major resource of the narrative as we learn about the severe harassment Robinson endured from teammates and opponents alike; about death threats and exclusion; about joy and remarkable success. We watch his courageous response to abuse, first as a stoic endurer, then as a fighter who epitomized courage and defiance. We see his growing friendship with white players like Pee Wee Reese and the black teammates who followed in his footsteps, and his embrace by Brooklyn's fans. We follow his blazing career: 1947, Rookie of the Year; 1949, Most Valuable Player; six pennants in ten seasons, and 1962, induction into the Hall of Fame. But sports were merely one aspect of his life. We see his business ventures, his leading role in the community, his early support of Martin Luther King Jr., his commitment to the civil rights movement at a crucial stage in its evolution; his controversial associations with Eisenhower, Kennedy, Nixon, Humphrey, Goldwater, Nelson Rockefeller, and Malcolm X. Rampersad's magnificent biography leaves us with an indelible image of a principled man who was passionate in his loyalties and opinions: a baseball player who could focus a crowd's attention as no one before or since; an activist at the crossroads of his people's struggle; a dedicated family man whose last years were plagued by illness and tragedy, and who died prematurely at fifty-two. He was a pathfinder, an American hero, and he now has the biography he deserves.",Biography & Autobiography,562,4.5,2,en
The Book of Genesis,Ronald Hendel,Princeton University Press,2019-09-10,"During its 2,500-year life, the book of Genesis has been the keystone to important claims about God and humanity in Judaism and Christianity, and it plays a central role in contemporary debates about science, politics, and human rights. The authors provide a panoramic history of this iconic book, exploring its impact on Western religion, philosophy, literature, art, and more.",Religion,302,N/A,0,en
Michelle,Liza Mundy,Simon and Schuster,2009-05-05,Presents a portrait of Michelle Obama from her youth on the south side of Chicago and her education at Princeton and Harvard Law School to her relationship with Barack Obama and her views on political issues.,Biography & Autobiography,259,4,1,en
Anna Freud,Elisabeth Young-Bruehl,Yale University Press,2008-10-01,"This new edition of the biography of pioneering child analyst Anna Freud includes, among other features, a major retrospective introduction by the author.",Biography & Autobiography,577,N/A,0,en
Thomas Paine's Rights of Man,Christopher Hitchens,Grove Press,2008-09,"Thomas Paine's ""Rights of Man"" has been celebrated, criticized, maligned, suppressed, and co-opted, but Hitchens marvels at its forethought and revels in its contentiousness. In this book, he demonstrates how Paine's book forms the philosophical cornerstone of the U.S.",Biography & Autobiography,180,4,2,en
Bee Gees,"Barry Gibb, Robin Gibb, David Leaf, Maurice Gibb",Conran Octopus,1979,N/A,Musicians,160,5,1,en
