Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
"Body, Mind, and Spirit","Hazelden Educational Materials, Anonymous",Hazelden Publishing,1994-03-01,Body Mind and Spirit,Self-Help,386,N/A,0,en
"Body, Mind and Spirit","Elwood Worcester, Samuel McComb","New York ; London : C. Scribner's Sons, 1932 [c1931]",1931,N/A,Emmanuel movement,396,N/A,0,en
"Body, Mind, Spirit",Richard P. Johnson,St Pauls BYB,1993,N/A,Medicine,188,N/A,0,en
Integrative Body-Mind-Spirit Social Work,Mo Yee Lee,Oxford University Press,2009-03-25,"In recent years, interest in non-Western curative techniques among Americans has grown by leaps and bounds. Integrative Body-Mind-Spirit Social Work is the first book to strongly connect Western therapeutic techniques with Eastern philosophy and practices, while also providing a comprehensive and pragmatic agenda for social work, and mental health professionals. This breakthrough text, written by a cast of highly regarded researchers from both Asia and America, presents a holistic, therapeutic approach that ties Eastern philosophy and practical techniques to Western forms of therapy in order to help bring about positive, transformative changes in individuals and families.Integrative therapy focuses on the mind-body-spirit relationship, recognizes spirituality as a fundamental domain of human existence, acknowledges and utilizes the mind's power as well as the body's, and reaches beyond self-actualization or symptom reduction to broaden a perception of self that connects individuals to a larger sense of themselves and to their communities. Here, the authors provide a pragmatic, step-by-step description of assessment and treatment techniques that employ an integrative, holistic perspective. They begin by establishing the conceptual framework of integrative body-mind-spirit social work, then expertly describe, step-by-step, assessment and treatment techniques that utilize integrative and holistic perspectives. Several case studies demonstrate the approach in action, such as one with breast cancer patients who participated in body-mind-spirit and social support groups and another in which trauma survivors used meditation to get onto a path of healing. These examples provide solid empirical evidence that integrative body-mind-spirit social work is indeed a practical therapeutic approach in bringing about tangible changes in clients. The authors also discuss ethical issues and give tips for learning integrative body-mind-spirit social work.Professionals in social work, psychology, counseling, and nursing, as well as graduate students in courses on integral, alternative, or complementary clinical practice will find this a much-needed resource that complements the growing interest in alternatives to traditional Western psychotherapy.",Political Science,417,N/A,0,en
"Healing Words for the Body, Mind, and Spirit",Caren Goldman,"Church Publishing, Inc.",2009-09,"Easy to use in a variety of ways, Healing Words is complementary medicine for the mind, body, and spirit that has a history of proven efficacy for people of all faiths on their journeys to healing and wholeness. Every two-page spread is a chapter headlined by one of 101 words that relate to healing the mind, body, and spirit as a process or event. The word is followed by a definition, a personal reflection or a story that relates to the healing power of the word, quotes, and an affirmation for the reader to use on his or her healing journey. The quotes include contemporary excerpts as well as words from the sages, plus proverbs, psalms, and more.",Family & Relationships,243,N/A,0,en
"Tai Chi for Body, Mind & Spirit",Eric Chaline,Weidenfeld & Nicolson,1998,"Begins with basic postures and, as you progress, gradually introduces the form - a rhythmic series of movements. Step-by-step colour photography and clear instructions guide you through each exercise and sequence.",Tai chi,127,N/A,0,en
"Mind, Body, Spirit",Healthy Body Books,N/A,2014-08-27,"Mind, Body, SpiritThe Ultimate Guide to Creating a Strong Mind, Body, Spirit Connection!Do you....-Feel like you would like to be more balanced?-Do you feel like there is a disconnect in you?-Do you sometimes feel like you are missing something?-Would you like to feel whole, and be the best version of you, you can be?Whatever your reasons for wanting to connect your Mind, Body and Spirit this book is for you!This book is action packed full of great idea's to help you get creating the you, you want to be today!In this book you will find out:How to find Balance!Connect Your BodyHow to connect to your mind!And much more! This book also comes with a one page Action plan you can use Immediately to help you start becoming the well Connected you, you have always wanted to be today!Your about to discover all of these things and more with Mind, Body, Spirit: The Ultimate Guide to Creating a Strong Mind, Body, Spirit Connection!You wont find your usual and boring old tips you've heard millions of times before. This guide is full of up-to date information, hot of the press and will help you reach goal of creating the you, you deserve today!Take action and download this book Today!Body, Mind, Soul, Mind Body Soul, Spiritual, Health, Dreams, goals, dream big, psychology, Self help, self-esteem, confidence, self-confidence, personal growth, happy, inspiration, mental health, abundance, wealth, health, happiness, goals",,32,N/A,0,en
Book of Thoth,Aleister Crowley,Weiser Books,1944-01-01,"Now a classic in the field, used by students of the Golden Dawn as well as by those who want to understand Crowley's tarot. This is the definitive study of the Egyptian tarot and is used as a key to all Western mystery disciplines. Color plates of eight cards.","Body, Mind & Spirit",318,3.5,3,en
Vietnam,Văn Huy Nguyễn,Univ of California Press,2003-05-02,"A vivid, accessible portrait of contemporary Vietnam through texts and complementary photographs that dispute the stereotypic images we have of this dynamic and diverse country.",Art,306,N/A,0,en
"Ultimate Energy: Using Your Natural Energies to Balance Body, Mind, and Spirit","Tori Hartman, Eliza Swann, Kris Ferraro",St. Martin's Essentials,2021-02-02,"The ultimate guide to harnessing the body's energy for health and wellness Our bodies are surrounded by and filled with powerful streams of energy that can be used to improve our mental, physical, and spiritual wellbeing. Ultimate Energy: Using Your Natural Energies to Balance Body, Mind, and Spirit is a collection of three books—Chakras, Auras, and Energy Healing by Tori Hartman, Eliza Swann, and Kris Ferraro—that will give readers the tools to tap into their own unique energy using a variety of modalities and practices. Chakras explains the associations and strengths of each of the seven chakras along with how to harness their power in your own life. Auras explores the many-layered energy field that is the human aura and will teach you to sense and work with your own aura and those of others. Energy Healing offers an exploration of a range of energy healing techniques from Reiki to EFT, and will help you find a practice that suits your needs and interests. Written by experts in the field, each book is designed with beginners in mind and includes exercises to kick-start your practice along with a comprehensive resources section to help you continue your exploration of the power of energy. Ultimate Energy is the definitive beginner's guide to using energy as part of your health and wellness practice.","Body, Mind & Spirit",325,N/A,0,en
"Yoga Mind, Body & Spirit",Donna Farhi,Holt Paperbacks,2011-04-01,"The author of Yoga Journal's most-read column presents the first holistic guide to yoga A user-friendly guide illustrated with 240 two-color photographs and illustrations, Yoga Mind, Body & Spirit sets forth the tenets of this gentle yet rigorous exercise as no other book has. Integrating the teachings of every tradition, internationally renowned yoga instructor Donna Farhi reveals how yoga enhances the connections between the mind, body, and spirit. She outlines the seven simple movement principles that underlie all human motion and provides exercises to help readers understand how they can achieve all yoga postures. She also discusses the ten ethical precepts that are the foundation of all yoga teachings and explains how to incorporate them into a spiritually and emotionally rewarding inner practice. At the heart of Yoga Mind, Body & Spirit are more than seventy-five yoga asanas or postures. Each is one pictured and described in detail, and they are arranged into related groups--including standing postures, sitting postures, arm balances, and breathing practices--or easy reference. A selection of yoga practices of varying lengths and levels of difficulty provides challenges and inspiration for beginner, intermediate, and advanced students. A huge resurgence of interest in yoga is sweeping the country. With its broad scope and holistic approach, Yoga Mind, Body & Spirit is the ideal book for today's mainstream audience.",Health & Fitness,292,5,1,en
"Body, Mind, and Spirit","Gary McKay, Wayne Peate, Erik Mansager",Impact Publishers,2009,"Three experts: a physician, a psychologist, and a spiritually oriented clinical counselor intertwine their experiences and knowledge to address the ""whole you"". They show that there is no gap between physical, mental, and spiritual aspects of health; all aspects are interrelated and it's powerfully helpful to see this way. Blending their approaches produces a result that is greater than the sum of the parts -- like a ""human quilt"" -- each contributes to a healthy, satisfying life. In this book, you'll learn how your body's health affects your mental and spiritual health and how to take better care of your body. You'll find how your mind affects your physical and spiritual health and how to take care of your mind. And you'll be shown what impact your beliefs about the meaning of life -- your spirituality -- have on body and mind and how to nurture your spirituality. Discover techniques to help you manage many challenging life issues including stress, depression, aggression, addiction, chronic illness, and aging. Learn to identify how you're functioning, what you can do to improve, and how to examine, plan, and track your progress.",Health & Fitness,324,5,1,en
Touching the Light,Meg Blackburn Losey,Weiser Books,2011-11-01,"Psychic and master healer Meg Losey shares her alternative healing techniques for mind, body, and spirit in Touching The Light. Losey shows how channeled systems of healing stem from our perception, energy, and participation in our own journeys. She shares the techniques that she has learned from her human and etheric teachers that readers can use on themselves and others. How is it that miracles happen? Is spontaneous healing really possible? Why is it that some illnesses don’t show up in standard or even specialized medical testing, yet are very real in their effects? Can someone be “cosmically sick” with no apparent physical cause? How do the people and places around us affect us in our everyday lives? Can we intentionally and effectively create miracles of healing to change lives, or to effect positive outcomes even when situations seem hopeless? How can symbols of light be used to instantly attune someone’s entire energy system? Meg Blackburn Losey answers these questions and many others in this ground-breaking book. Touching the Light brings the reader into previously unknown worlds of healing and explains not only how energy healing is possible but how it works. It is the quintessential instruction manual for holistic healing in the third dimension and beyond!","Body, Mind & Spirit",314,N/A,0,en
African Goddess Initiation,Abiola Abrams,"Hay House, Inc",2021-07-20,"A sacred feminine initiation of self-love and soul care rituals, tools, and exercises. Spiritual teacher, intuitive coach, and award-winning author, Abiola Abrams invites you to activate African goddess magic to transmute your fears and limiting beliefs, so that you can create more happiness, abundance, and self-acceptance. Africa is a continent of 54+ countries, and her children are global. There is no one African spiritual tradition. Our ancestors who were trafficked in ""The New World"" hid the secrets of our orishas, abosom, lwas, álúsí, and god/desses behind saints, angels, and legendary characters. From South Africa to Egypt, Brazil to Haiti, Guyana to Louisiana, goddess wisdom still empowers us. Writes Abiola, ""Spirit told me, ""We choose who shows up."" And if you are holding this book, then this sacred medicine is meant for you. In this book, you will meet ancient goddesses and divine feminine energy ancestors, legendary queens, and mystical spirits. As you complete their powerful rituals, and ascend through their temples, you will: . Awaken generational healing in the Temple of Ancestors; . Manifest your miracles in the Temple of Conjurers; . Release the struggle in the Temple of Warriors; . Embrace your dark goddess self in the Temple of Shadows; . Heal your primal wounds in the Temple of Lovers; . Liberate your voice in the Temple of Griots; . Open your third eye intuition in the Temple of Queens; and . Surrender, meditate, and rise in the Temple of High Priestesses. Welcome to your goddess circle!","Body, Mind & Spirit",425,N/A,0,en
"Spirit, Soul, and Body",Andrew Wommack,Destiny Image Publishers,2018-12-18,"Have you ever asked yourself what changed when you were ""born again?"" You look in the mirror and see the same reflection - your body hasn't changed. You find yourself acting the same and yielding to those same old temptations - that didn't seem to change either. So you wonder, Has anything really changed? The correct...",Religion,149,5,1,en
"67 Morning Ritual Habits for Your Body, Mind and Spirit",Stefan James,Independently Published,2019-03-25,"Discover 67 Little Known Morning Ritual Habits For Creating An Unstoppable Day!Your morning ritual is what sets you up for having a successful day. It's one of the most important habits to cultivate, as it'll set the precedent of how your day will look. As the saying goes, ""How you start the day is how you'll end the day.""I believe that a successful morning ritual consists of doing at least one thing for your Body, Mind, and Spirit. You must give equal attention to all three aspects of yourself in order to maximize your performance and fulfillment.I've been practicing morning rituals since I was 17 years old. It's one of the most important habits that has shaped every aspect of my life. It's an opportunity for me to give the most valuable resource we have, our time, to myself so that I can grow to become my very best.Most people the day out of reaction. They wake up and they're immediately hitting the snooze. They are flooded with the stresses and anxieties of the day, immediately checking their inbox or social media. As a result, they're not getting the most out of themselves or the day.Over the last 15 years of my life, I've studied the habits of the most remarkable people throughout history. Those who have achieved extraordinary success, are truly fulfilled, have unstoppable confidence, an abundance of energy, are physically fit, and what anyone would consider ""having it all.""I've studied their habits and rituals and put them together for you in this book, 67 Morning Ritual Habits For Your Body, Mind, And Spirit so that you can benefit from them.I've personally tested and utilized ALL of these rituals in different stages of my life with incredible benefit. I'm excited to finally share them with you so that you can reap the rewards of cultivating an amazing morning ritual in your life that allows you to be at your best.","Body, Mind & Spirit",98,N/A,0,en
"Body, Mind and Spirit","Elwood Ernest Worcester, Samuel McComb",N/A,1932,N/A,,367,N/A,0,en
"The Detox Plan for Body, Mind, and Spirit",Jane Alexander,Journey Editions (VT),1998,The author of Supertherapies and The Natural Year provides the latest information about the health effects of the most common toxins--from food and the environment--without being alarmist. Full color.,Family & Relationships,132,4,1,en
Astrology Magick,Lindsay Squire,Witch of the Forest's Guide to,2022-11-08,"Astrology Magick is a beginner’s guide to astrology, and how to incorporate it into your magickal practice.","Body, Mind & Spirit",178,N/A,0,en
In Focus Chinese Astrology,Sasha Fenton,Wellfleet Press,2023-02-07,"In Focus Chinese Astrology provides all you need to know about the characteristics and workings of the Chinese zodiac signs, along with information on how to interpret your astrological chart. Many of us are familiar with the Western horoscope based on twelve signs starting with Aries the Ram and ending with Pisces the Fish. Similarly, the Chinese zodiac is based on twelve signs, all represented by animals, that provide insight into your personality and character. Though you are most likely familiar with your year sign, you will soon discover there is much more beyond that. In Focus Chinese Astrology is the perfect introduction—or refresher—to interpreting your horoscope according to the Eastern zodiac. Learn more about yourself and those around you in this compact but illuminating guide. This artfully designed guide covers a wide range of astrology topics, including: The animals of the zodiac The elements that are paired with your zodiac sign The effects of yin and yang on your sign The four pillar system, based on the year, month, day, and hour of your birth Predictions for the years ahead Advice on love, careers, and more! The In Focus series applies a modern approach to teaching the classic body, mind, and spirit subjects. Authored by experts in their respective fields, these beginner’s guides feature smartly designed visual material that clearly illustrates key topics within each subject.","Body, Mind & Spirit",148,N/A,0,en
Psychic Development,Alison Reed,Rivercat Books LLC,N/A,"PSYCHIC DEVELOPMENT A Comprehensive Guide to Developing Psychic Abilities Are you ready to tap into your intuitive potential and explore the depths of your psychic abilities? ""Psychic Development: A Comprehensive Guide to Developing Psychic Abilities"" is your ultimate companion on this transformative journey. This beginner-friendly guide is packed with practical techniques, profound insights, and step-by-step exercises designed to help you discover and enhance your innate psychic gifts. Delve into the rich history and cultural significance of psychic phenomena, and uncover the secrets of clairvoyance, clairaudience, clairsentience, and claircognizance. Learn how to create a conducive environment for your psychic practice, and discover powerful tools like tarot cards, runes, and crystals to amplify your intuitive abilities. With clear instructions and practical advice, this comprehensive guide will empower you to connect with the spiritual realm and unlock the mysteries of the universe. ""Psychic Development"" offers more than just techniques—it provides a holistic approach to psychic growth. Incorporate daily exercises, meditation routines, dream journaling, and a healthy lifestyle to support your psychic development and enhance your overall well-being. Whether you are just beginning your journey or looking to deepen your existing knowledge, this book will guide you every step of the way. Don't miss this opportunity to embrace your intuitive gifts and embark on a path of self-discovery and spiritual growth. Let ""Psychic Development: A Comprehensive Guide to Developing Psychic Abilities"" be your trusted companion on the journey to unlocking your full psychic potential. Order your copy today and start exploring the limitless possibilities of your mind and spirit!","Body, Mind & Spirit",115,N/A,0,en
In Focus Shadow Work,Stephanie Kirby,Wellfleet,2022-11-15,A Guide to Shadow Work uncovers how the light and darkness within you coexist and guides you in embracing your shadow self to understand your deepest emotions.,Medical,194,N/A,0,en
The Complete Language of Food,S. Theresa Dietz,Wellfleet,2022-10-11,"The Complete Language of Food blends the realms of food and folklore in a beautifully illustrated encyclopedia of ingredients, including for each entry the food’s unique properties and the facts and folklore behind its use.",Cooking,259,N/A,0,en
Sacred Woman,Queen Afua,One World,2012-06-20,"The twentieth anniversary edition of a transformative blueprint for ancestral healing—featuring new material and gateways, from the renowned herbalist, natural health expert, and healer of women’s bodies and souls “This book was one of the first that helped me start practices as a young woman that focused on my body and spirit as one.”—Jada Pinkett Smith Through extraordinary meditations, affirmations, holistic healing plant-based medicine, KMT temple teachings, and The Rites of Passage guidance, Queen Afua teaches us how to love and rejoice in our bodies by spiritualizing the words we speak, the foods we eat, the relationships we attract, the spaces we live and work in, and the transcendent woman spirit we manifest. With love, wisdom, and passion, Queen Afua guides us to accept our mission and our mantle as Sacred Women—to heal ourselves, the generations of women in our families, our communities, and our world.","Body, Mind & Spirit",497,N/A,0,en
The Touch of Healing,"Alice Burmeister, Tom Monte",Bantam,2013-07-03,"The Touch of Healing offers readers the means to greater health, vitality, and self-understanding through the practice of an ancient oriental healing art and practical holistic philosophy called Jin Shin Jystsu. Gentle touching similar to acupressure is used to release tension that accumulates and is at the root of dysfunction, disease, and imbalance. The authors explain the natural life force that runs through the body and demonstrate with case studies, detailed analysis, and more than 30 illustrations, how to integrate this system into one's life. The key healing points and body flows, known as ""Safety Energy Locks,"" are presented with step-by-step instructions on how to utilize them for healing and greater self-awareness. Many self-help practices are also offered that address a wide array of common ailments, including headaches, digestive disorders, fatigue, depression, and arthritis along with prescriptive exercises for relief of emotional ailments such as loss of confidence, anxiety, and depression.",Health & Fitness,197,5,1,en
Heal the Cause!,Valerie Seeman Moreton,N/A,1996,N/A,Healing,430,N/A,0,en
Gemstone Energy Medicine,Michael Katz,N/A,2005,"At the forefront of a revolution in energy medicine, therapeutic gemstones are among the most powerful healing tools available today. Michael Katz presents breakthrough discoveries on how gemstones can be used simply and effectively to transform health on all levels. Gemstone Energy Medicine: Healing Body, Mind and Spirit makes these discoveries and the spectacular benefits of therapeutic gemstones available to everyone. Book jacket.",Energy medicine,0,5,1,en
