Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Complete Book of Arts & Crafts,Dawn Purney,American Education Publishing,2000,"The Complete Book of Arts and Crafts provides 256 pages of fun activities for children ages 5 to 9 that reinforce creative minds and motor skills! It includes paper, painting, musical, sculpting, and holiday crafts, as well as a complete answer key, user-friendly activities, and easy-to-follow instructions. Over 4 million in print! Designed by leading experts, books in the Complete Book series help children in grades preschool-6 build a solid foundation in key subject areas for learning success. Complete Books are the most thorough and comprehensive learning guides available, offering high-interest lessons to encourage learning and full-color illustrations to spark interest. Each book also features challenging concepts and activities to motivate independent study, and a complete answer key to measure performance and guide instruction.",Juvenile Nonfiction,256,N/A,0,en
"The Complete Book of Arts & Crafts, Grades K - 4",,Carson-Dellosa Publishing,2017-07-27,"GRADES K–4: With age-appropriate activities, this beginning arts and crafts workbook helps children build knowledge and skills for a solid foundation in the arts. INCLUDES: This elementary workbook features easy-to-follow instructions and kid-friendly activities which allow young learners to explore painting, sculpting, drama, handmade toys, and much more! ENGAGING: This arts-themed workbook features colorful photographs and illustrations with fun, focused activities to entertain children while they grasp concepts and skills for success. HOMESCHOOL FRIENDLY: This elementary workbook for kids is a great learning resource for at home or in the classroom and allows parents to supplement their children's learning in the areas they need it most. WHY CARSON DELLOSA: Founded by two teachers more than 45 years ago, Carson Dellosa believes that education is everywhere and is passionate about making products that inspire life's learning moments.",Juvenile Nonfiction,420,N/A,0,en
Two Hour Crafts,Editors at Landauer Publishing,Landauer (IL),2005,"Showcases 8 traditional craft techniques and a variety of 55 projects, each with step-by-step photos. Each chapter in this book starts with the how to and background basics needed to begin each classic craft. More than 300 photos including 165 step-by-step photos inspire the reader to create the easy projects shown in this book.",Crafts & Hobbies,0,N/A,0,en
Easy Paper Projects,Maggy Woodley,Page Street Publishing,2019-09-10,"Transform Paper into Thoughtful Cards, Fun Decorations and More with Easy, Mess-Free Crafts Learn just how versatile paper can be when creating fun, colorful crafts. Whether you have plain printer paper, a rainbow array of cardstock or just a few scraps of construction paper, you’ll be able to create inventive paper crafts that require only a few materials you already have, making them a thrifty and accessible alternative to more complicated projects. So grab your paper, scissors and glue and try these fun projects: • Origami Corner Bookmarks • Tin Can Pen Pots • Paper Pendants • Llama Cards • Origami Lucky Stars Bracelets • 3-D Paper Accordion Flowers • Kite Birds • Paper Dog Puppet • Confetti Bookmarks • Leaf Wreaths • Quick Ghost Garlands • Polar Bear Ornaments A whole slew of cute, exciting projects makes it easy for you to get your craft on no matter the occasion, and they provide hours of fun all year long. With easy-to-follow step-by-step instructions and plenty of photos to guide you, you can be on your way to creating paper masterpieces in no time.",Crafts & Hobbies,406,N/A,0,en
DIY T-Shirt Crafts,Adrianne Surian,Simon and Schuster,2015-07-15,"Transform old T-shirts into trendy accessories--in 60 minutes or fewer! Creating something useful and stylish doesn't have to take ages or require expensive supplies. From an Easy Twisted Headband to Round Lounge Pillows, DIY T-Shirt Crafts teaches you how to repurpose old T-shirts into 50 beautiful projects worthy of showing off. Complete with step-by-step instructions and stunning photographs, each T-shirt craft is simple enough for beginners to recreate and can be finished in 60 minutes or fewer. Guided by Adrianne Surian, the crafter behind the popular blog Happyhourprojects.com, you'll turn this wardrobe staple into trendy, one-of-a-kind accessories, including: Ruffled Rosette Hair Barrette Braided Chain Statement Necklace Fringed Infinity Scarf Galaxy Bleached No-Sew Tote Bag Aromatherapy Neck Pillow Whether you're cleaning out your closet, want to personalize your look, or just found a hole in your favorite top, it's time to take your tees to the next level with these fashion-forward projects!",Crafts & Hobbies,176,4,1,en
Oak Meadow Crafts for the Early Grades,Oak Meadow,N/A,2014,"In this book, you will find a wide selection of creative ideas and projects, including working with clay, with detailed instructions and beautiful hand-drawn illustrations especially designed for children in the early grades.Often using natural materials, these crafts help develop basic fine motor skills as well as an artistic sense.",,0,N/A,0,en
The Big Green Book of Recycled Crafts,Leisure Arts,Leisure Arts,2009,"This is the ultimate book for the eco-conscious crafter. Plastic, paper, glass, cans, clothing, and household throwaways easily transform from trash to treasure in the book's six sections.",Crafts & Hobbies,162,N/A,0,en
The Big Book of Crafts and Activities,DK,Penguin,2013-04-01,"Explore new interests and discover hidden talents; find inspiration and fun activities at every turn of the page. Sleepovers, girly get-togethers, tea-party treats...there's a treasure trove of things to do or make, whatever the plan. The Big Book of Crafts and Activities offers plenty of great ideas to choose from, whether you have 10 minutes, a few hours, or all day.",Juvenile Nonfiction,130,5,1,en
Reader's Digest Crafts & Hobbies,"Daniel Weiss, Susan Chace",Readers Digest,1979,"Every conceivable craft--from quiltmaking to enameling to jewelry--is included in this comprehensive craft reference. The easy-to-follow text conveys instructions which are clear and precise enough for anyone to learn these interesting hobbies. Over 40 pastimes featured. 4,000 drawings and photographs.",Handicraft,462,5,1,en
The Jumbo Book of Crafts,Judy Ann Sadler,Kids Can Press,1997-06-01,"With more than 200 pages of fun and functional things to make, this Jumbo Book is an excellent resource for individual or group projects. From wildly printed T-shirts and jazzy painted clay pots to floral wreaths, dream catchers and button dolls, this is truly a one-stop craft resource. Not only are there plenty of gift ideas, but there are great suggestions for wrapping them up, too. This is the one big craft book every home, school, library or kids club will want to have on hand!",Juvenile Nonfiction,212,N/A,0,en
The Art and Craft of Handmade Books,Shereen LaPlantz,Courier Dover Publications,2016-07-20,"Innovative approach to bookbinding explains techniques that elevate handmade books into extraordinary artworks. Simple, well-illustrated directions explain how to make pop-up panels, pages that ""explode"" from the spine, slipcases, and more.",Crafts & Hobbies,129,N/A,0,en
The Big-Ass Book of Crafts 2,Mark Montano,Simon and Schuster,2012-01-03,"TLC’s While You Were Out top designer Mark Montano’s wildly anticipated follow-up to The Big-Ass Book of Crafts features more than 300 easy and fun crafts, with tips and tricks for quirky projects to make at home. Searching for crafty inspiration? Eager to try some new techniques? Need some more junk for your trunk? Well, look no further! In this cheeky sequel, Mark Montano picks up where his wildly popular The Big-Ass Book of Crafts left off, with even more spectacular—and easy-to-make—projects sure to satisfy crafters of all skill levels. Turn colorful ribbons into a show-stopping scarf. Transform old cargo pants into a kick-ass carryall. A high-drama neckpiece made out of zippers? Absolutely. Along with a host of other wearable wonders, this exciting all-new volume includes sections such as Pillow Talk (fun, comfy, and made from the most surprising materials), Letter Perfect (cool designs to pop into the mailbox nearest you), Hey, I Could Use That (make a big statement with little things from magnets to nail polish), Just Kid-ding (cheery décor made from kid-centric stuff, guaranteed to make you smile!), That’s Shoe Biz (fun fixes that give sidelined footwear and handbags a whole new life), and dozens of other ideas that are inventive, imaginative, and just plain fun. With his trademark humor and no-holds-barred approach to crafting, Mark will have you tapping into your creative soul and taking simple techniques to a whole new level in no time. We’re not talking plant-hangers and potholders here—the more than 150 handmade projects in this truly unique compendium are artistic, eye-catching, and cutting-edge, from cool brooches and earrings to ingenious belts and bags, from Bauhaus-style furniture to fishbowl lanterns, and so much more!",Crafts & Hobbies,386,N/A,0,en
Arts and Crafts Book Covers,"Malcolm Haslam, Blackwell House (Windermere, England)",Richard Dennie Publication,2012,"Before the age of the paper book jacket, publishers issued their books in cloth-covered boards, which were stamped with designs in golf leaf and color. From around 1860, artists of the Arts and Crafts movement supplied many of the best designs. Dante Gabriel Rossetti, William Morris and Walter Crane led the way, and they were followed in the 1890s by Laurence Housman, Charles Ricketts and Selwyn Image, among others. Prominent Arts and Crafts architects, such as Philip Webb and C.F.A. Voysey, also designed book covers. Malcolm Haslam explores this uncharted territory, investigating not only the designs and designers, but the publishers and binders as well. He introduces some artists, little known today, whose designs filled the bookshops and bookshelves of late Victorian and Edwardian Britain, and he shows how designers in Europe and America were influenced by British book covers decorated in the Arts and Crafts style. Ninety-nine of the best covers are illustrated and described, and details are given of over fifty Arts and Crafts designers who worked in commercial book production, and their marks and monograms are shown.",Art,0,N/A,0,en
My Book of Amazing Crafts,Kumon Publishing,Kumon Publishing North America,2006-08,"This sequel to Kumon's My Book of Easy Crafts provides children with the opportunity to cut, paste, and assemble their own 3-D paper toys. They'll have so much fun, they won't realize they are learning. Full color. (Available 9/06)",Cut-out craft,0,N/A,0,en
Program Aid,,N/A,1972,N/A,,20,N/A,0,en
The Girls' Book of Crafts & Activities,Dorling Kindersley Publishing Staff,DK Publishing (Dorling Kindersley),2013,"This book is packed with crafts, recipes, games and activities for girls who want to get creative and try new things - from growing tasty fruit and vegetables to customising your furniture. Inside you'll find plenty of things to do whether you're by yourself or with your friends. Indoors or out, rain or shine there's fun for all occasions.",JUVENILE NONFICTION,0,N/A,0,en
A Theory of Craft,Howard Risatti,ReadHowYouWant.com,2009-12,"What is craft? How is it different from fine art or design? In A Theory of Craft, Howard Risatti examines these issues by comparing handmade ceramics, glass, metalwork, weaving, and furniture to painting, sculpture, photography, and machine-made design from Bauhaus to the Memphis Group. He describes craft's unique qualities as functionality combined with an ability to express human values that transcend temporal, spatial, and social boundaries. Modern design today has taken over from craft the making of functional objects of daily use by employing machines to do work once done by hand. Understanding the aesthetic and social implications of this transformation forces us to see craft as well as design and fine art in a new perspective, Risatti argues. Without a way of understanding and valuing craft on its own terms, the field languishes aesthetically, being judged by fine art criteria that automatically deny art status to craft objects. Craft must articulate a role for itself in contemporary society, says Risatti; otherwise it will be absorbed by fine art or design and its singular approach to understanding the world will be lost. A Theory of Craft is a signal contribution to establishing a craft theory that recognizes, defines, and celebrates the unique blend of function and human aesthetic values embodied in the craft object.",Art,586,N/A,0,en
Microcrafts,"Margaret Mcguire, Alicia Kachmar, Katie Hatz",Quirk Books,2013-09-10,"It is a small world, after all! Here are step-by-step instructions for making tiny teddy bears, little ladybugs, petite porcupines, itsy-bitsy bikinis, and much, much more! Microcrafts shows crafters how to create dozens of miniature treasures, each no larger than a spool of thread. No previous crafting experience or pricey materials are necessary—just a love of all things small!",Crafts & Hobbies,100,N/A,0,en
Bibliotheca Americana,Joseph Sabin,N/A,1873,N/A,America,584,N/A,0,en
