Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
A Book About Design,Mark Gonyea,Macmillan,2005-06,"Introduces young people to the fundamental elements of design using shapes, lines, and humor.",Juvenile Nonfiction,144,N/A,0,en
The Art of Game Design,Jesse Schell,CRC Press,2014-11-06,"Good game design happens when you view your game from as many perspectives as possible. Written by one of the world's top game designers, The Art of Game Design presents 100+ sets of questions, or different lenses, for viewing a game’s design, encompassing diverse fields such as psychology, architecture, music, visual design, film, software engineering, theme park design, mathematics, puzzle design, and anthropology. This Second Edition of a Game Developer Front Line Award winner: Describes the deepest and most fundamental principles of game design Demonstrates how tactics used in board, card, and athletic games also work in top-quality video games Contains valuable insight from Jesse Schell, the former chair of the International Game Developers Association and award-winning designer of Disney online games The Art of Game Design, Second Edition gives readers useful perspectives on how to make better game designs faster. It provides practical instruction on creating world-class games that will be played again and again.",Computers,604,N/A,0,en
Book Design,Andrew Haslam,Laurence King Publishing,2006,"'Book Design' takes the reader through every aspect of the subject, from the components that make up a book, to understanding how books are commissioned and created, to the intricacies of grid construction and choosing a typeface.",Design,264,3.5,3,en
The Art of Game Design,Jesse Schell,CRC Press,2019-07-31,"The Art of Game Design guides you through the design process step-by-step, helping you to develop new and innovative games that will be played again and again. It explains the fundamental principles of game design and demonstrates how tactics used in classic board, card and athletic games also work in top-quality video games. Good game design happens when you view your game from as many perspectives as possible, and award-winning author Jesse Schell presents over 100 sets of questions to ask yourself as you build, play and change your game until you finalise your design. This latest third edition includes examples from new VR and AR platforms as well as from modern games such as Uncharted 4 and The Last of Us, Free to Play games, hybrid games, transformational games, and more. Whatever your role in video game development an understanding of the principles of game design will make you better at what you do. For over 10 years this book has provided inspiration and guidance to budding and experienced game designers - helping to make better games faster.",Computers,935,N/A,0,en
Laying the Foundations,Andrew Couldwell,Owl Studios,2019-10-16,"Laying the Foundations is a comprehensive guide to creating, documenting, and maintaining design systems, and how to design websites and products systematically. It's an ideal book for web designers and product designers (of all levels) and especially design teams. Paperback ISBN: 9780578540030 This is real talk about creating design systems and digital brand guidelines. No jargon, no glossing over the hard realities, and no company hat. Just good advice, experience, and practical tips. System design is not a scary thing — this book aims to dispel that myth. It covers what design systems are, why they are important, and how to get stakeholder buy-in to create one. It introduces you to a simple model, and two very different approaches to creating a design system. What's unique about this book is its focus on the importance of brand in design systems, web design, product design, and when creating documentation. It's a comprehensive guide that’s simple to follow and easy on the eye.",Computers,268,N/A,0,en
Paradise Rot,Jenny Hval,Verso Books,2024-03-12,"""As intriguing and impressive a novelist as she is a musician, Hval is a master of quiet horror and wonder.” —Chris Kraus, author of I Love Dick A lyrical debut novel from a musician and artist renowned for her sharp sexual and political imagery Jo is in a strange new country for university and having a more peculiar time than most. In a house with no walls, shared with a woman who has no boundaries, she finds her strange home coming to life in unimaginable ways. Jo’s sensitivity and all her senses become increasingly heightened and fraught, as the lines between bodies and plants, dreaming and wakefulness, blur and mesh. This debut novel from critically acclaimed artist and musician Jenny Hval presents a heady and hyper-sensual portrayal of sexual awakening and queer desire.",Fiction,161,N/A,0,en
Design Is a Job,Mike Monteiro,Book Apart,2022-11,Take care of yourself as a working designer and use design as a tool for good.,Designers,0,N/A,0,en
Designing Your Life,"Bill Burnett, Dave Evans",Knopf,2016-09-20,"#1 NEW YORK TIMES BEST SELLER • At last, a book that shows you how to build—design—a life you can thrive in, at any age or stage • “Life has questions. They have answers.” —The New York Times Designers create worlds and solve problems using design thinking. Look around your office or home—at the tablet or smartphone you may be holding or the chair you are sitting in. Everything in our lives was designed by someone. And every design starts with a problem that a designer or team of designers seeks to solve. In this book, Bill Burnett and Dave Evans show us how design thinking can help us create a life that is both meaningful and fulfilling, regardless of who or where we are, what we do or have done for a living, or how young or old we are. The same design thinking responsible for amazing technology, products, and spaces can be used to design and build your career and your life, a life of fulfillment and joy, constantly creative and productive, one that always holds the possibility of surprise.",Self-Help,274,N/A,0,en
Book Design Made Simple,"Fiona Raven, Glenna Collett",N/A,2017,"Book Design Made Simple gives DIY authors, small presses, and graphic designers--novices and experts alike--the power to design their own books. It's the first comprehensive book of its kind, explaining every step from installing Adobe(R) InDesign(R) right through to sending the files to press. For those who want to design their own books but have little idea how to proceed, Book Design Made Simple is a semester of book design instruction plus a publishing class rolled into one. Let two experts guide you through the process with easy step-by-step instructions, resulting in a professional-looking top-quality book",Design,0,N/A,0,en
Understanding by Design,"Grant P. Wiggins, Jay McTighe",ASCD,2005,"What is understanding and how does it differ from knowledge? How can we determine the big ideas worth understanding? Why is understanding an important teaching goal, and how do we know when students have attained it? How can we create a rigorous and engaging curriculum that focuses on understanding and leads to improved student performance in today's high-stakes, standards-based environment? Authors Grant Wiggins and Jay McTighe answer these and many other questions in this second edition of Understanding by Design. Drawing on feedback from thousands of educators around the world who have used the UbD framework since its introduction in 1998, the authors have greatly revised and expanded their original work to guide educators across the K-16 spectrum in the design of curriculum, assessment, and instruction. With an improved UbD Template at its core, the book explains the rationale of backward design and explores in greater depth the meaning of such key ideas as essential questions and transfer tasks. Readers will learn why the familiar coverage- and activity-based approaches to curriculum design fall short, and how a focus on the six facets of understanding can enrich student learning. With an expanded array of practical strategies, tools, and examples from all subject areas, the book demonstrates how the research-based principles of Understanding by Design apply to district frameworks as well as to individual units of curriculum. Combining provocative ideas, thoughtful analysis, and tested approaches, this new edition of Understanding by Design offers teacher-designers a clear path to the creation of curriculum that ensures better learning and a more stimulating experience for students and teachers alike.",Education,383,3.5,7,en
