Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Drama: A Graphic Novel,Raina Telgemeier,Scholastic Inc.,2014-07-29,"From Raina Telgemeier, the #1 New York Times bestselling, multiple Eisner Award-winning author of Smile and Sisters! Callie loves theater. And while she would totally try out for her middle school's production of Moon over Mississippi, she can't really sing. Instead she's the set designer for the drama department's stage crew, and this year she's determined to create a set worthy of Broadway on a middle-school budget. But how can she, when she doesn't know much about carpentry, ticket sales are down, and the crew members are having trouble working together? Not to mention the onstage AND offstage drama that occurs once the actors are chosen. And when two cute brothers enter the picture, things get even crazier!",Juvenile Fiction,244,4,49,en
Drama,John Lithgow,Harper Collins,2011-09-27,"In this riveting and surprising personal history, John Lithgow shares a backstage view of his own struggle, crisis, and discovery, revealing the early life and career that took place out of the public eye and before he became a nationally known star. Above all, Lithgow’s memoir is a tribute to his most important influence: his father, Arthur Lithgow, who, as an actor, director, producer, and great lover of Shakespeare, brought theater to John’s boyhood. From bedtime stories to Arthur’s illustrious productions, performance and storytelling were constant and cherished parts of family life. Drama tells of the Lithgows’ countless moves between Arthur’s gigs—John attended eight secondary schools before flourishing onstage at Harvard—and details with poignancy and sharp recollection the moments that introduced a budding young actor to the undeniable power of theater. Before Lithgow gained fame with the film The World According to Garp and the television show 3rd Rock from the Sun, his early years were full of scenes both hilarious and bittersweet. A shrewd acting performance saved him from duty in Vietnam. His involvement with a Broadway costar brought an end to his early first marriage. The theater worlds of New York and London come alive as Lithgow relives his collaborations with renowned performers and directors, including Mike Nichols, Bob Fosse, Liv Ullmann, and Meryl Streep. His ruminations on the nature of theater, film acting, and storytelling cut to the heart of why actors are driven to perform, and why people are driven to watch them do it. Lithgow’s memory is clear and his wit sharp, and much of the humor that runs throughout Drama comes at his own expense. But he also chronicles the harrowing moments of his past, reflecting with moving candor on friends made and lost, mistakes large and small, and the powerful love of a father who set him on the road to a life onstage. Illuminating, funny, affecting, and thoroughly engrossing, Drama raises the curtain on the making of one of our most beloved actors.",Biography & Autobiography,340,N/A,0,en
The Old English Drama. (A Series of Old Plays.) Vol. I-III.,,N/A,1830,N/A,,634,N/A,0,en
Communication in Drama: a Pragmatic Approach,Dr. Umesh S. Jagadale,Partridge Publishing,2014-08-25,"COMMUNICATION IN DRAMA: A PRAGMATIC APPROACH is a book based on the authors research work in theatrical communication. Theatre has its own language. The verbal and non-verbal communication operating in the theatrical context is a central concern of this book. The book offers an authentic view to explore numerous intricacies of communication in drama using Pragmatics as a perspective. Pragmatics is a branch of linguistics. It basically studies the use of language in various contexts pertaining to real-life communication. However, the communication in drama differs from the communication in real life. Drama is scripted and performed in the multivalent contexts of real life and theater at the same time. At the backdrop of such contextual dynamics, the existing analytical models of communication in Pragmatics are observed to have their own shortcomings, since they are basically evolved to analyze the communication in real life and not in drama. Hence, peculiarly to assess the speech situations in drama, the author has evolved a new pragmatic-analytical model in this book. The new model is authenticated by using it to analyse five milestone Indian plays in English. Precisely, the book is a pragmatic analysis of communication in drama.",Education,152,N/A,0,en
"The British drama; a collection of the most esteemed tragedies, comedies, operas, and farces, in the English language",British drama,N/A,1824,N/A,,834,N/A,0,en
Early Modern English Drama,"Garrett A. Sullivan, Patrick Cheney, Andrew Hadfield",N/A,2006,"Each of these essays addresses not only a play, but a specific cultural or literary topic. They cover vital perspectives in cultural studies such as race, class, gender, sexuality and colonialism; as well as topics in history like humanism, science, law, and reformation theology; and in dramatic genre.",Drama,360,N/A,0,en
Drama High,Michael Sokolove,Penguin,2014-10-07,"The inspiration for the NBC TV series ""Rise,"" starring Josh Radnor, Auli'i Cravalho, and Rosie Perez — the incredible and true story of an extraordinary drama teacher who has changed the lives of thousands of students and inspired a town. By the author of The Last Temptation of Rick Pitino. Why would the multimillionaire producer of Cats, The Phantom of the Opera, and Miss Saigon take his limo from Manhattan to the struggling former steel town of Levittown, Pennsylvania, to see a high school production of Les Misérables? To see the show performed by the astoundingly successful theater company at Harry S Truman High School, run by its legendary director, Lou Volpe. Broadway turns to Truman High when trying out controversial shows such as Rent and Spring Awakening before they move on to high school theater programs across the nation. Volpe’s students from this blue-collar town go on to become Emmy-winning producers, entertainment executives, newscasters, and community-theater founders. Michael Sokolove, a Levittown native and former student of Volpe’s, chronicles the drama director’s last school years and follows a group of student actors as they work through riveting dramas both on and off the stage. This is a story of an economically depressed but proud town finding hope in a gifted teacher and the magic of theater.",Biography & Autobiography,371,N/A,0,en
Modern Armenian Drama,Nishan Parlakian,Columbia University Press,2001-02-01,"Available in English for the first time, Modern Armenian Drama presents seven classic works from the Armenian stage. Spanning over a century (1871–1992), the plays explore such diverse themes science and religion, socioeconomic injustice, women's emancipation, and political reform through the medium of all the major European dramatic genres. Nishan Parlakian and S. Peter Cowe provide a comprehensive introduction to the history of Armenian drama, giving a valuable overview of its importance and development in Armenia, as well as a brief biography for each playwright. A preface to each play helps in placing the work within the context of historical and cultural issues of the time. Like the plays of Ibsen and O'Neill, the plays presented in this anthology are considered modern classics. They have an enduring quality and appeal to audiences who see them today. The editors have collected translations of the best examples of Armenian theater from its renaissance in the mid-nineteenth century to the present.",Literary Criticism,498,N/A,0,en
Dear Drama 2,Braya Spice,Urban Books,2014-02-25,"Allure Jones is back with more drama than ever! Three years have passed since her breakup with James. Allure is now working as a high school English teacher, buying her own home, raising Sierra, and dating the man of her dreams. Just when Allure thinks her life can't get any better, confusion sets in. James insinuates his way back into Allure's life, causing her to question whether she is completely over him. She has to be careful, though, because his wife is desperate to hold on to what's hers by any means necessary. If this isn't enough trouble, another ex continues to cause disorder in Allure's life. Just as things start to heat up between Allure and her new love, she finds herself being pulled back into her past. How much drama can one woman stand?",Fiction,206,N/A,0,en
English Renaissance Drama: A Very Short Introduction to Theatre and Theatres in Shakespeare's Time,C W R D Moseley,Humanities-Ebooks,N/A,"Introduces the conclusions of recent scholarship and research into theatrical conditions, conventions and concepts in the time of Shakespeare. The book begins with a discussion of the origins of early modern English drama and of the theatres that were built for it. Attitudes to theatre and to players, and what audiences expected of both, are explored in the contexts of the constraints of the acting space and the political culture. The book then looks at the structure and dynamics of the theatrical companies before concluding with a discussion of the genres of plays and the expectations of them that people (including writers) held. Appendices list brief details of the major dramatists of the time, and summarise the main historical and dramatic events.",Literary Criticism,183,N/A,0,en
Drama,R. S. Gwynn,N/A,2007,"A selection of drama from the ancient Greeks to late 20th century America. Includes introductory section on the nature and components of drama, and on writing about drama.",Drama,739,N/A,0,en
Drama,"David Rockwell, Bruce Mau",Phaidon,2021,"A celebration of the work of contemporary architect David Rockwell, who works at the intersection of architecture and performance This unique insight into the projects and philosophy of renowned architect and Tony Award-winning set designer David Rockwell explores the remarkable range of his work, from restaurants and hotels to museums and Broadway stages. It is the first book to shine a spotlight on the relationship between architecture and performance and features contributions from leading voices and talents in fields as diverse as architecture, lighting design, and the culinary arts. David Rockwell's fascination with theater has long informed his built work. Drama explores the core principles that Rockwell uses to enhance the impact of his architecture, with contributions from experts across the creative world - from record producer Quincy Jones to chef José Andrés. It's both an exciting new insight into the work of an important contemporary architect and a compelling case for the virtues of interdisciplinary collaboration.",ARCHITECTURE,312,N/A,0,en
The Life of the Drama,Eric Bentley,Hal Leonard Corporation,1991,"(Applause Books). ""Eric Bentley's radical new look at the grammar of theatre...is a work of exceptional virtue... The book justifies its title by being precisely about the ways in which life manifests itself in the theatre...This is a book to be read again and again."" Frank Kermode, The New York Review of Books",Performing Arts,388,N/A,0,en
The Drama,,N/A,1927,N/A,Drama,554,N/A,0,en
The Drama Book,Alice Savage,Alphabet Publishing,2019-04-22,"Everything you need to get dramatic in the classroom This easy-to-use, comprehensive teacher-resource book has lesson plans and practical activities that integrate theater into language learning. Plus ten original scripts so you can put the activities into action immediately! Drama and play scripts can be used to teach pronunciation, pragmatics, and other communication skills, as well as provide grammar and vocabulary practice! Conveniently organized into two parts, Part 1 includes pragmatics mini-lessons, community builders, drama games, and pronunciation activities. There are also lesson plans for producing a play (either fully-staged or as Reader's Theater), as well as guidelines and activities for writing plays to use with (or without students,) and suggestions for integrating academic content. You’ll even find rubrics and evaluation schemes for giving notes and feedback. Part 2 includes 10 original monologues and scripts of varying lengths that can be photocopied and used in the classroom. Specifically designed to feature everyday language and high frequency social interactions, these scenes and sketches follow engaging plot arcs in which characters face obstacles and strive to achieve objectives. With a foreword by Ken Wilson, this book is a must-have for anyone interested in using the performing arts to help students become more confident and fluent speakers.",Foreign Language Study,204,N/A,0,en
Drama,R. Gwynn,Pearson,2014-09-26,"The perfect alternative to lengthy drama anthologies, this brief, affordable collection of widely taught and influential plays provides a concise but comprehensive introduction to the study of drama. In keeping with the objectives of the series, Drama: A Pocket Anthology offers a range of widely admired plays, from classical to contemporary, in a quality trade-format book at an affordable price. The fourth edition features The God of Carnage, a Tony-award winning play by Yazmina Reza, along with a Shakespeare comedy, Twelfth Night, for the first time.",Drama,0,N/A,0,en
Renaissance Drama and the Politics of Publication,Zachary Lesser,Cambridge University Press,2004-11-18,A study of the practices and politics of early modern publishers of plays.,Drama,264,N/A,0,en
The Creative Drama Book,Judith Kase-Polisini,Anchorage Press (UK),1989,N/A,Education,233,N/A,0,en
The Longman Anthology of Modern and Contemporary Drama,Michael L. Greenwald,Longman Publishing Group,2004,"This collection of 31 American and international plays offers a truly global perspective of the drama and theater that has been produced during the past 150 years. In addition to essential plays from the West's modern canon, this anthology offers a richly varied selection of plays from regions underrepresented in other texts, such as Asia, Africa, Latin America, and the Caribbean. The book's pedagogical features all work together to provide students with the historical and cultural background they need to read plays into context. Accessible, interesting, and inclusive, the broad range of plays in this anthology will inspire, intrigue, and provoke readers to understand more deeply the literary and production history of modern and contemporary drama. One reviewer says, The coverage is great: in terms of geography, gender, race, aesthetics, and cultural issues, the editors have selected plays that are recognized for their importance within an ongoing narrative history of world drama. I've seen no other anthology like this on the market. Matthew Roudan, Georgia State University",Drama,0,N/A,0,en
The Drama of Space,Holger Kleine,Birkhäuser,2017-10-23,"The experience of architectural spaces is formed by the way they are staged. The Drama of Space examines the composition and articulation of architectural spaces in terms of spatial dramaturgy, as a repertoire of means and strategies for shaping spatial experience. This fundamental approach to architectural design is presented in four parts: Archetypal principles of spatial composition are traced from the study of three assembly buildings of the early modern period in Venice. Theatre, film, music, and theory provide background knowledge on dramaturgy. Detailed analyses of 18 international case studies offer new perspectives on contemporary architecture. The book ends with a systematic presentation of the dramaturgy of space, its parameters and tools, in architectural design.",Architecture,296,N/A,0,en
Junior High Drama,Louise Simonson,Stone Arch Books,2019-02,"""Welcome to Memorial Middle School, where drama fills the classrooms and follows students home on the bus. Social awkwardness. Mean girls. Hallway gossip. It's all part of life in junior high, but maybe it helps to know you aren't alone. Can Lucia avoid the boy-girl party? Will Kamilla overcome her self-consciousness and try out for the play? Can Allie keep anyone from finding out her secret? Told in graphic format, Junior High Drama shows that while you can't escape the drama, you can certainly survive it.""--Publisher's description.",Juvenile Fiction,241,5,1,en
The Drama Magazine ...,,N/A,1924,N/A,Drama,200,N/A,0,en
The School Drama,James Lukens McConaughy,N/A,1913,N/A,College and school drama,136,N/A,0,en
