Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Easy Economics,Leonard Wolfe,John Wiley & Sons,2011-11-22,"Let's face it, economics can be boring…but we all need a decent understanding of the basics if we want to survive in these difficult and uncertain times. Let's make it more interesting. Easy Economics isn't packed with reams of text or stacks of numbers, this book is visual and engaging. The book aims to bring you up to speed, in a way that entertains while it informs, through a collection of many of the most frequently asked questions--plus some you probably haven't thought of--on the subject of economics. The topics range from: The difference between Debt and Deficit Causes and cures of recessions The Financial Crisis of 2007-2009 explained Is globalization good or bad? How fiscal and monetary policies differ Bubbles and Busts Unlike so many other books on the subject, it explains through a Q & A format with entertaining and informative illustration, providing material that many people ordinarily find uninviting and even intimidating in an easy-to-digest, appealing way.",Business & Economics,254,N/A,0,en
The Little Book of Economics,Greg Ip,John Wiley & Sons,2013-01-14,"An accessible, thoroughly engaging look at how the economy really works and its role in your everyday life Not surprisingly, regular people suddenly are paying a lot closer attention to the economy than ever before. But economics, with its weird technical jargon and knotty concepts and formulas can be a very difficult subject to get to grips with on your own. Enter Greg Ip and his Little Book of Economics. Like a patient, good-natured tutor, Greg, one of today's most respected economics journalists, walks you through everything you need to know about how the economy works. Short on technical jargon and long on clear, concise, plain-English explanations of important terms, concepts, events, historical figures and major players, this revised and updated edition of Greg's bestselling guide clues you in on what's really going on, what it means to you and what we should be demanding our policymakers do about the economy going forward. From inflation to the Federal Reserve, taxes to the budget deficit, you get indispensible insights into everything that really matters about economics and its impact on everyday life Special sections featuring additional resources of every subject discussed and where to find additional information to help you learn more about an issue and keep track of ongoing developments Offers priceless insights into the roots of America's economic crisis and its aftermath, especially the role played by excessive greed and risk-taking, and what can be done to avoid another economic cataclysm Digs into globalization, the roots of the Euro crisis, the sources of China's spectacular growth, and why the gap between the economy's winners and losers keeps widening",Business & Economics,297,N/A,0,en
Economics,William A. McEachern,South Western Educational Publishing,2000,"This text is distinguished by a superior writing style that draws upon common experiences to introduce economic concepts, making economic theory easily accessible, interesting, and understandable. Case Studies and numerous examples take advantage of reader's intuitive knowledge of economics, building upon real-life situations. A streamlined design places pedagogy and illustrations directly within the flow of the text, making it less distracting and more useful for students. A fully integrated Internet strategy sets this text apart by including relevant Web addresses and exercises directly in the text and on a dedicated Web page. These Internet materials complement the real-world focus of this text, encouraging students to explore and apply extensions of the chapter material to real economic events and data. Also available in macro and micro paperback splits.",Business & Economics,886,N/A,0,en
Economics: An A-Z Guide,"Matthew Bishop, The Economist",The Economist,2016-06-28,"Economics is all around us, crucial to every aspect of our lives. But how many of us know what an absolute advantage or a zero-sum game really is? The Economist's A-Z guide to economics explains the most important economic terms and concepts. Written with the clarity and wit for which the newspaper is renowned, it features bite-sized overviews of essential economic ideas. If you need to understand why a country's balance of payments is such a big deal, whether deflation is always a bad thing or exactly why John Maynard Keynes or Milton Friedman were so influential, then dipping into this guide will provide the answers. Primer, glossary, dictionary and reference, this book offers everything you always wanted to know about economics but were afraid to ask.",Business & Economics,351,N/A,0,en
Economics for the Rest of Us,Moshe Adler,The New Press,2009-11-17,"“Vivid case studies . . . Adler’s frustration with wrongheaded economic thinking is as entertaining as it is thought provoking.” —Publishers Weekly Why do so many contemporary economists consider food subsidies in starving countries, rent control in rich cities, and health insurance everywhere “inefficient”? Why do they feel that corporate executives deserve no less than their multimillion-dollar “compensation” packages and workers no more than their meager wages? Here is a lively and accessible debunking of the two elements that make economics the “science” of the rich: the definition of what is efficient and the theory of how wages are determined. The first is used to justify the cruelest policies, the second grand larceny. Filled with lively examples—from food riots in Indonesia to eminent domain in Connecticut and everyone from Adam Smith to Jeremy Bentham to Larry Summers—Economics for the Rest of Us shows how today’s dominant economic theories evolved, how they explicitly favor the rich over the poor, and why they’re not the only or best options. Written for anyone with an interest in understanding contemporary economic thinking—and why it is dead wrong—Economics for the Rest of Us offers a foundation for a fundamentally more just economic system. “Brilliant.” —David Cay Johnston, Pulitzer Prize–winning and New York Times–bestselling author of It’s Even Worse Than You Think",Social Science,246,N/A,0,en
The Economics of Artificial Intelligence,"Ajay Agrawal, Joshua Gans, Avi Goldfarb, Catherine Tucker",University of Chicago Press,2024-03-05,"A timely investigation of the potential economic effects, both realized and unrealized, of artificial intelligence within the United States healthcare system. In sweeping conversations about the impact of artificial intelligence on many sectors of the economy, healthcare has received relatively little attention. Yet it seems unlikely that an industry that represents nearly one-fifth of the economy could escape the efficiency and cost-driven disruptions of AI. The Economics of Artificial Intelligence: Health Care Challenges brings together contributions from health economists, physicians, philosophers, and scholars in law, public health, and machine learning to identify the primary barriers to entry of AI in the healthcare sector. Across original papers and in wide-ranging responses, the contributors analyze barriers of four types: incentives, management, data availability, and regulation. They also suggest that AI has the potential to improve outcomes and lower costs. Understanding both the benefits of and barriers to AI adoption is essential for designing policies that will affect the evolution of the healthcare system.",Business & Economics,172,N/A,0,en
What’s Wrong with Economics?,Robert Skidelsky,Yale University Press,2020-04-28,"A passionate and informed critique of mainstream economics from one of the leading economic thinkers of our time This insightful book looks at how mainstream economics’ quest for scientific certainty has led to a narrowing of vision and a convergence on an orthodoxy that is unhealthy for the field, not to mention the societies which base policy decisions on the advice of flawed economic models. Noted economic thinker Robert Skidelsky explains the circumstances that have brought about this constriction and proposes an approach to economics which includes philosophy, history, sociology, and politics. Skidelsky’s clearly written and compelling critique takes aim at the way that economics is taught in today’s universities, where a focus on modelling leaves students ill-equipped to grapple with what is important and true about human life. He argues for a return to the ideal set out by John Maynard Keynes that the economist must be a “mathematician, historian, statesman, [and] philosopher” in equal measure.",Business & Economics,243,N/A,0,en
Everyday Economics,Steve Coulter,N/A,2017,"This book explores the role played by the individual in the economy, in particular, how the individual experiences the economy. It shows the role of government, markets, and welfare in shaping our lives, providing an overview of the workings of the economy that takes as its starting point the interface between the individual and the system.",Economics,200,N/A,0,en
The New Economics,Steve Keen,John Wiley & Sons,2021-11-11,"In 1517, Martin Luther nailed his 95 theses to the wall of Wittenberg church. He argued that the Church’s internally consistent but absurd doctrines had pickled into a dogmatic structure of untruth. It was time for a Reformation. Half a millennium later, Steve Keen argues that economics needs its own Reformation. In Debunking Economics, he eviscerated an intellectual church – neoclassical economics – that systematically ignores its own empirical untruths and logical fallacies, and yet is still mysteriously worshipped by its scholarly high priests. In this book, he presents his Reformation: a New Economics, which tackles serious issues that today's economic priesthood ignores, such as money, energy and ecological sustainability. It gives us hope that we can save our economies from collapse and the planet from ecological catastrophe. Performing this task with his usual panache and wit, Steve Keen’s new book is unmissable to anyone who has noticed that the economics Emperor is naked and would like him to put on some clothes.",Political Science,147,N/A,0,en
Economics: a Crash Course,"David Boyle, Andrew Simms",N/A,2019-07-30,"Not long ago, economic theories were generally based on a narrow set of principles. Then the continuing boom-bust cycle combined with the failure of the best economic minds to ensure that prosperity spreads down through the economy has left a series of very obvious question marks, and the orthodoxy has been challenged from inside and outside the profession. It now seems clear that human beings and the planet have to be brought into the analysis. The first chapter goes right back to the debate about the purposes for which money was originally invented. The Big Ideas chapter builds up a picture of the key ideas that have driven economic theories. Economics and People derives insights into the way that money and economics works from the way that people actually behave. Economics and the Planet covers some of the economic insights that have come from those whose expertise has been biological or environmental.",Business & Economics,163,N/A,0,en
