Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Engineering a Life,Krishan K. Bedi,Simon and Schuster,2018-04-03,"Included on BookBub’s ""The Most Exciting Memoirs Coming Out in 2018” list Krishan Bedi came to the United States in December of 1961 at the tender age of twenty. He had only $300 in his pocket, and he had made it out of his small village in India on sheer faith, determined to get education in the US. For him, there was no option but to succeed—so he began his new life in Knoxville, Tennessee, where he had to adapt to the culture shock not only of being in the US but a Punjabi man in the South in the 1960s. Engineering a Life is an examination of Bedi’s life, and how he has handled the plethora of curve balls thrown his way with determination, humor, and an unwavering faith that everything would work out. This is a book about values and faith and the importance of friendship, family, and hard work. It’s a story about achieving the American Dream, proving that no matter how thoroughly you map out your life’s journey, no matter how many blueprints you draw up, when you veer off the course you’ve plotted—as we all do, somehow, in the end—you end up where you’re supposed to be.",Biography & Autobiography,345,N/A,0,en
Introduction to Engineering,"Martiqua L. Post, Steven A. Brandt, D. Neal Barlow",N/A,2017,N/A,,0,N/A,0,en
Structural Engineering: A Very Short Introduction,David Blockley,OUP Oxford,2014-09-25,"Have you ever wondered how it's possible to build a skyscraper, a big bridge, a jumbo jet, or a cruise liner? Everything has structure. Structure is the difference between a random pile of components and a fully functional object. Through structure the parts connect to make the whole. Natural structures vary from the very smallest part of an atom to the entire cosmology of the universe. Man-made structures include buildings, bridges, dams, ships, aeroplanes, rockets, trains, cars and fair-ground rides and all forms of artefacts, even large artistic sculptures. The wide range of different industries in which structural engineers work includes construction, transport, manufacturing, and aerospace. In this Very Short Introduction, David Blockley explores, in non-technical language, what structural engineering is all about, including examples ranging from the Shard in London and the Golden Gate Bridge in San Francisco to jumbo jets like the A380 and the Queen Elizabeth cruise liner. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",Technology & Engineering,153,N/A,0,en
Engineering,Natasha McCarthy,Simon and Schuster,2012-12-01,"Discover the human side to the discipline that is profoundly more than nuts and bolts Focusing on the impact of engineering on society and the world, McCarthy details the development of the discipline, explains what makes an engineering mind, and shows how every aspect of our lives has been engineered: from gadgets to our national infrastructure. Long considered tinkerers, problem solvers, and visionaries, engineers hold the keys to our real and virtual future.",Technology & Engineering,181,N/A,0,en
Engineering a Safer World,Nancy G. Leveson,MIT Press,2012-01-13,"A new approach to safety, based on systems thinking, that is more effective, less costly, and easier to use than current techniques. Engineering has experienced a technological revolution, but the basic engineering techniques applied in safety and reliability engineering, created in a simpler, analog world, have changed very little over the years. In this groundbreaking book, Nancy Leveson proposes a new approach to safety—more suited to today's complex, sociotechnical, software-intensive world—based on modern systems thinking and systems theory. Revisiting and updating ideas pioneered by 1950s aerospace engineers in their System Safety concept, and testing her new model extensively on real-world examples, Leveson has created a new approach to safety that is more effective, less expensive, and easier to use than current techniques. Arguing that traditional models of causality are inadequate, Leveson presents a new, extended model of causation (Systems-Theoretic Accident Model and Processes, or STAMP), then shows how the new model can be used to create techniques for system safety engineering, including accident analysis, hazard analysis, system design, safety in operations, and management of safety-critical systems. She applies the new techniques to real-world events including the friendly-fire loss of a U.S. Blackhawk helicopter in the first Gulf War; the Vioxx recall; the U.S. Navy SUBSAFE program; and the bacterial contamination of a public water supply in a Canadian town. Leveson's approach is relevant even beyond safety engineering, offering techniques for “reengineering” any large sociotechnical system to improve safety and manage risk.",Science,555,3,1,en
Engineering a Better Future,"Eswaran Subrahmanian, Toluwalogo Odumosu, Jeffrey Y. Tsao",Springer,2018-11-12,"This open access book examines how the social sciences can be integrated into the praxis of engineering and science, presenting unique perspectives on the interplay between engineering and social science. Motivated by the report by the Commission on Humanities and Social Sciences of the American Association of Arts and Sciences, which emphasizes the importance of social sciences and Humanities in technical fields, the essays and papers collected in this book were presented at the NSF-funded workshop ‘Engineering a Better Future: Interplay between Engineering, Social Sciences and Innovation’, which brought together a singular collection of people, topics and disciplines. The book is split into three parts: A. Meeting at the Middle: Challenges to educating at the boundaries covers experiments in combining engineering education and the social sciences; B. Engineers Shaping Human Affairs: Investigating the interaction between social sciences and engineering, including the cult of innovation, politics of engineering, engineering design and future of societies; and C. Engineering the Engineers: Investigates thinking about design with papers on the art and science of science and engineering practice.",Education,222,N/A,0,en
A Degree in a Book: Electrical And Mechanical Engineering,David Baker,Arcturus Publishing,2021-05-01,"A concise introduction to all the key tenets of electrical and mechanical engineering degree course, written by former NASA engineer Dr David Baker. A Degree in a Book: Electrical and Mechanical Engineering is presented in an attractive landscape format in full-color. With timelines, feature spreads and information boxes, readers will quickly get to grips with the fundamentals of electrical and mechanical engineering and their practical applications. Covering Newtonian mechanics, nuclear engineering, artificial intelligence, 3D printing and more, this essential guide brings clarity to complex ideas. David Baker delves into the history and development of this far-reaching subject as well as the challenges of the future such as environmental responsibility. Complete with a useful glossary of key terms, this holistic introduction will equip students and laypeople alike with the knowledge of an engineering graduate. ABOUT THE SERIES: Get the knowledge of a degree for the price of a book with Arcturus Publishing's A Degree in a Book series. Written by experts in their fields, these highly visual guides feature handy timelines, information boxes, feature spreads and margin annotations, allowing readers to get to grips with complex subjects in no time.",Technology & Engineering,763,N/A,0,en
A to Z,,N/A,2018,N/A,Alphabet books,0,N/A,0,en
Engineering Nature,Jessica B. Teisch,Univ of North Carolina Press,2011,"Focusing on globalization in the late nineteenth and early twentieth centuries, Jessica Teisch examines the processes by which American water and mining engineers who rose to prominence during and after the California Gold Rush of 1849 exported the United",Science,274,N/A,0,en
Engineering the ABC's,Patty O'Brien Novak,N/A,2009-11-15,"Imagine a world without cars and computers, or toys and televisions, or movies and microwaves. Then imagine a world without engineers. Engineering the ABCs answers questions about how everyday things work and how engineering relates to so many parts of a child's daily life. In an entertaining and engaging way, this book shows how engineers shape our world.",Alphabet books,0,5,1,en
Software Engineering at Google,"Titus Winters, Tom Manshreck, Hyrum Wright",O'Reilly Media,2020-02-28,"Today, software engineers need to know not only how to program effectively but also how to develop proper engineering practices to make their codebase sustainable and healthy. This book emphasizes this difference between programming and software engineering. How can software engineers manage a living codebase that evolves and responds to changing requirements and demands over the length of its life? Based on their experience at Google, software engineers Titus Winters and Hyrum Wright, along with technical writer Tom Manshreck, present a candid and insightful look at how some of the worldâ??s leading practitioners construct and maintain software. This book covers Googleâ??s unique engineering culture, processes, and tools and how these aspects contribute to the effectiveness of an engineering organization. Youâ??ll explore three fundamental principles that software organizations should keep in mind when designing, architecting, writing, and maintaining code: How time affects the sustainability of software and how to make your code resilient over time How scale affects the viability of software practices within an engineering organization What trade-offs a typical engineer needs to make when evaluating design and development decisions",Computers,602,N/A,0,en
Shipbuilding & Marine Engineering International,,N/A,1904,N/A,Marine engineering,564,N/A,0,en
