Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Exploring Family Relationships With Other Social Contexts,"Ross D. Parke, Sheppard G. Kellam",Routledge,2013-07-04,"In the 1990s it is no longer ""news"" that families do not operate independently from other social organizations and institutions. Instead, it is generally recognized that families are embedded in a complex set of relationships with other institutions and contexts outside the family. In spite of this recognition, a great deal remains to be discovered about the ways in which families are influenced by these outside agencies or how families influence the functioning of children and adults in these extra-familial settings--school, work, day-care, or peer group contexts. Moreover, little is known about the nature of the processes that account for this mutual influence between families and other societal institutions and settings. The goal of this volume is to present examples from a series of ongoing research programs that are beginning to provide some tentative answers to these questions. The result of a summer workshop characterized by lively exchanges not only between speakers and the audience, but among participants in small group discussions as well, this volume attempts to communicate some of the dynamism and excitement that was evident at the conference. In the final analysis, this book should stimulate further theoretical and empirical advances in understanding how families relate to other contexts.",Psychology,290,N/A,0,en
Healing Family Relationships,Rob Rienow,Baker Books,2020-06-16,"Every family is hurting, and the wounds that come from our relatives can be deeper than all others. Conflict within a family can range from daily frictions and annoyances to rage and hatred and eventually estrangement. We want things to be different but have no idea where to start. After 25 years of ministering to families, Rob Rienow believes reconciliation is at the heart of the gospel--reconciliation with God and one another. You will come away with specific steps you can take in your relationships with your family members to pursue peace and healing in your homes. Each chapter includes key biblical examples as well as present-day stories of families who have experienced God's help and healing--including the author's own miraculous healing of his relationship with his father. Our families can bring out the best, as well as the worst, in all of us. May this book guide you in making your home and family a blessing in a broken world.",Religion,184,5,1,en
Renegotiating Family Relationships,Robert E. Emery,Guilford Press,2012-01-01,"Long recognized as the authoritative guide for clinicians working with divorcing families, this book presents crucial concepts, strategies, and intervention techniques. Robert E. Emery describes how to help parents navigate the emotional and legal hurdles of this painful family transition while protecting their children's well-being. The book is grounded in cutting-edge research on family relationships, parenting, and children's adjustment, including Emery's groundbreaking longitudinal study of the impact of divorce mediation versus litigation. It provides a detailed treatment manual for mediating custody and other disputes, developing collaborative parenting plans, and fostering positive postdivorce family relationships. New to This Edition *Reflects the latest psychological research, as well as divorce and custody law. *Chapters on understanding and addressing divorcing partners' anger and grief. *Treatment manual chapters have been extensively revised. *Incorporates the author's 12-year follow-up study.",Psychology,257,N/A,0,en
Understanding Adult Attachment in Family Relationships,"Antonia Bifulco, Geraldine Thomas",Routledge,2013,"Adult attachment style is a key framework for understanding problems in human relationships. This practical book introduces and explains an easily accessible assessment tool for adult attachment style, the Attachment Style Interview (ASI). It then discusses appropriate interventions that can be made to help families.",Family & Relationships,354,N/A,0,en
Family Values,"Harry Brighouse, Adam Swift",Princeton University Press,2016-08-02,"The family is hotly contested ideological terrain. Some defend the traditional two-parent heterosexual family while others welcome its demise. Opinions vary about how much control parents should have over their children's upbringing. Family Values provides a major new theoretical account of the morality and politics of the family, telling us why the family is valuable, who has the right to parent, and what rights parents should—and should not—have over their children. Harry Brighouse and Adam Swift argue that parent-child relationships produce the ""familial relationship goods"" that people need to flourish. Children's healthy development depends on intimate relationships with authoritative adults, while the distinctive joys and challenges of parenting are part of a fulfilling life for adults. Yet the relationships that make these goods possible have little to do with biology, and do not require the extensive rights that parents currently enjoy. Challenging some of our most commonly held beliefs about the family, Brighouse and Swift explain why a child's interest in autonomy severely limits parents' right to shape their children's values, and why parents have no fundamental right to confer wealth or advantage on their children. Family Values reaffirms the vital importance of the family as a social institution while challenging its role in the reproduction of social inequality and carefully balancing the interests of parents and children.",Philosophy,237,N/A,0,en
The Couple and Family Technology Framework,"Katherine M. Hertlein, Markie L. C. Blumer",Routledge,2013-07-18,"Couples and families worldwide have a constant electronic connection to others, a fact that is influencing the concerns and issues they bring to therapy. The authors of this resource help mental health practitioners to better deal with concerns such as online infidelity, online dating, internet addictions, cyber bulling, and many more by introducing the Couple and Family Technology (CFT) framework, a multi-theoretical approach that doesn’t require clinicians to change their preferred clinical approach. The CFT framework acknowledges the ways in which couples navigate their relationship with technology and a partner simultaneously, and it attends to, and in some cases incorporates the role of technology in therapeutic ways. Included in the authors’ discussion of how different technologies affect relationships is • a survey of what individuals’ motivations of usage are • an examination of the specific issues that emerge in treatment • a study of the risks particularly relevant to intimate relationships, and • an introduction of the first-ever technology-based genogram. They also examine technological usage across different developmental points in a couple’s lifespan, with attention given throughout to people from various cultural backgrounds. Along with the CFT framework, the authors also introduce a new discipline of family research: Couple and Family Technology. This discipline integrates three broad perspectives in family science and helps therapists maintain a systemic focus in assessing and treating couples where issues of the Internet and new media are problematic. Online resources can be accessed by purchasers of the book and include videos, additional case studies, glossary, and forms.",Psychology,263,N/A,0,en
Family-Peer Relationships,"Ross D. Parke, Gary W. Ladd",Routledge,2016-03-10,"Originally published in 1992, this volume provided an up-to-date overview of recent research concerning the links between family and peer systems. Considerable work in the past had focused on family issues or peer relationships, but these systems had typically been considered separately. This volume bridges the gap across these two important socialization contexts and provides insights into the processes that account for the links across the systems – the ways in which the relationships between these systems shift across development. In addition, the variations in the links between family and peers are illustrated by cross-cultural work, studies of abused children, and research on the impact of maternal depression. In short, the volume provides not only a convenient overview of recent progress at the time but lays out an agenda for future research.",Psychology,473,2,1,en
Reshaping Family Relationships,"Gary Connell, Tammy Mitten, William M. Bumberry",Psychology Press,1999,"For examining, organizing, & utilizing the central ideas & theoretical tenets of Dr. Whitaker's many contributions to the field. Building on his previous works, Reshaping Family Relationships presents a more rigorous analysis & integrated conceptualization of symbolic-experiential therapy.",Family & Relationships,208,N/A,0,en
Culturally Diverse Parent-Child and Family Relationships,Nancy Boyd Webb,Columbia University Press,2001-07-10,"In an increasingly diverse social environment, misunderstandings often arise between practitioners in the helping professions and clients from different racial and ethnic backgrounds. This book investigates the culturally specific beliefs and child-rearing practices of five major racial/ethnic groups: African Americans, Latinos, Native Americans, Asian Americans, and European Americans. Analyses of case vignettes illustrate the book's dual focus on the practitioners' own views in addition to those of their culturally diverse clients. Guidelines offer suggestions for effective engagement and work with culturally diverse families.",Social Science,412,N/A,0,en
Failure to Flourish,Clare Huntington,"Oxford University Press, USA",2014,"This title argues that the legal regulation of families stands fundamentally at odds with the needs of families. Strong, stable, positive relationships are essential for both individuals and society to flourish, but the law makes it harder for parents to provide children with these kinds of relationships. Zoning laws can create long commutes and impersonal neighbourhoods. Criminal laws can take parents away from home. The book contends that we must re-orient the legal system to help families avoid crises, and when conflicts arise, intervene in a manner that heals relationships.",Law,354,N/A,0,en
