Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
How to Be a Family,Dan Kois,Hachette UK,2019-09-17,"In this ""refreshingly relatable"" (Outside) memoir, perfect for the self-isolating family, Slate editor Dan Kois sets out with his family on a journey around the world to change their lives together. What happens when one frustrated dad turns his kids' lives upside down in search of a new way to be a family? Dan Kois and his wife always did their best for their kids. Busy professionals living in the D.C. suburbs, they scheduled their children's time wisely, and when they weren't arguing over screen time, the Kois family-Dan, his wife Alia, and their two pre-teen daughters-could each be found searching for their own happiness. But aren't families supposed to achieve happiness together? In this eye-opening, heartwarming, and very funny family memoir, the fractious, loving Kois' go in search of other places on the map that might offer them the chance to live away from home-but closer together. Over a year the family lands in New Zealand, the Netherlands, Costa Rica, and small-town Kansas. The goal? To get out of their rut of busyness and distractedness and to see how other families live outside the East Coast parenting bubble. HOW TO BE A FAMILY brings readers along as the Kois girls-witty, solitary, extremely online Lyra and goofy, sensitive, social butterfly Harper-like through the Kiwi bush, ride bikes to a Dutch school in the pouring rain, battle iguanas in their Costa Rican kitchen, and learn to love a town where everyone knows your name. Meanwhile, Dan interviews neighbors, public officials, and scholars to learn why each of these places work the way they do. Will this trip change the Kois family's lives? Or do families take their problems and conflicts with them wherever we go? A journalistic memoir filled with heart, empathy, and lots of whining, HOW TO BE A FAMILY will make readers dream about the amazing adventures their own families might take.",Family & Relationships,323,N/A,0,en
The Family,"Jack O. Balswick, Judith K. Balswick",Baker Academic,2007-06,This proven resource covers every issue that affects family life. The third edition includes updates to all chapters and the inclusion of current research.,Family & Relationships,400,N/A,0,en
"The Family and Family Relationships, 1500-1900",Rosemary O'Day,Bloomsbury Publishing,1994-10-26,"While historians have written with ease about the state and the church, the family has so far defied historical analysis. As the primary cell of human social organisation, upon which both state and church depend, it is of crucial importance. In this concise, informative and stimulating book, Rosemary O'Day seeks to explain the difficulties facing the historian of the family and to suggest strategies for their solution. She compares families and households in time, space and economy over the period 1500-1914 and draws together the important existing work.",History,363,N/A,0,en
A Family Is a Family Is a Family,Sara O'Leary,Groundwood Books,2022-01-04,"When a teacher asks her class to think about what makes their families special, the answers are all different, but the same in one important way ... When a teacher asks the children in her class to think about what makes their families special, the answers are all different in many ways -- but the same in the one way that matters most of all. One child is worried that her family is just too different to explain, but listens as her classmates talk about what makes their families special. One is raised by a grandmother, and another has two dads. One has many stepsiblings, and another has a new baby in the family. As her classmates describe who they live with and who loves them -- family of every shape, size and every kind of relation -- the child realizes that as long as her family is full of caring people, it is special. A warm and whimsical look at many types of families, written by award-winning author Sara O'Leary, with quirky and sweet illustrations by Qin Leng. Correlates to the Common Core State Standards in English Language Arts: CCSS.ELA-LITERACY.RL.K.1 With prompting and support, ask and answer questions about key details in a text. CCSS.ELA-LITERACY.RL.1.2 Retell stories, including key details, and demonstrate understanding of their central message or lesson. CCSS.ELA-LITERACY.RL.1.6 Identify who is telling the story at various points in a text. CCSS.ELA-LITERACY.RL.1.9 Compare and contrast the adventures and experiences of characters in stories. CCSS.ELA-LITERACY.RL.2.6 Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.",Juvenile Fiction,32,N/A,0,en
A Family of Readers,"Martha V. Parravano, Roger Sutton",Candlewick Press,2012-10-09,"Two of the most trusted reviewers in the field join with top authors, illustrators, and critics in a definitive guide to choosing books for children—and nurturing their love of reading. A FAMILY OF READERS is the definitive resource for parents interested in enriching the reading lives of their children. It’s divided into four sections: 1. Reading to Them: Choosing and sharing board books and picture books with babies and very young children. 2. Reading with Them: Launching the new reader with easy readers and chapter books. 3. Reading on Their Own: Exploring what children read—and how they read—by genre and gender. 4. Leaving Them Alone: Respecting the reading privacy of the young adult. Roger Sutton knows how and why children read. He must, as the editor in chief of THE HORN BOOK, which since 1924 has been America’s best source for reviews of books for young readers. But for many parents, selecting books for their children can make them feel lost. Now, in this essential resource, Roger Sutton and Martha V. Parravano, executive editor at the magazine, offer thoughtful essays that consider how books are read to (and then by) young people. They invite such leading authors and artists as Maurice Sendak, Katherine Paterson, Margaret Mahy, and Jon Scieszka, as well as a selection of top critics, to add their voices about the genres they know best. The result is an indispensable readers’ companion to everything from wordless board books to the most complex and daring young adult novels.",Literary Criticism,357,N/A,0,en
What Is a Family?,Cassandra Hames,N/A,2019-08-27,A heartwarming look at families that celebrates the unique bond families share told in lively illustrations and rhyming text.,Animals,0,N/A,0,en
A Family's Duty,Maggie Bennett,Allison & Busby,2013-05-27,"1938. Britain and Germany are on the brink of war, and the tension and fear is felt throughout Europe. In the small Hampshire Village of North Camp, the lives of Tom Munday, his family and friends will be changed forever. Their stories of romance, both lawful and illicit, loss, hope and the will to endure are all inextricably linked and transformed by wartime England. For the Munday family, the effects of war echo on for generations.",Fiction,250,N/A,0,en
Behold the Mystery,Mark Hart,The Word Among Us Press,2014-03-01,"As Catholics, the Mass should be a mountaintop experience for us. Often, though, we go through the motions at Mass without an appreciation for what has really happened. Popular speaker and author Mark Hart helps Catholics move beyond the repetition and ritual to see the Mass for what it really is: a heavenly banquet, a wedding feast, in which heaven and earth meet. In his engaging style, Hart guides readers toward a deeper understanding of the Mass—its roots in the Jewish Sabbath, its sacrificial character, and its signs and symbols. As we are told to “go in peace,” he inspires us to see the Mass as a place to be nourished so that we can further Christ’s mission in the world. In the last part of the book, Hart provides pithy answers to frequently asked questions, such as “Why can’t I leave right after Communion?” or “Why did the words change?” Finally, Hart offers ten things we can do to get more out of Mass.",Religion,120,N/A,0,en
Federal Register,,N/A,1983-01-11,N/A,Administrative law,1004,N/A,0,en
Race and Family,Roberta L. Coles,SAGE,2006,"In Race and Family: A Structural Approach, author Roberta L. Coles looks at ethnic minority families in a novel way— through a structural lens. Unlike many texts on race and family, this book offers an approach that illustrates overarching structural factors affecting all families as opposed to examining each ethnicity in isolation from one another. By focusing on various structural factors such as demographic, economic, and historical aspects, this book analyzes various family trends in a cross-cutting manner to exemplify the similarities and distinctions among all racial and ethnic groups.",Family & Relationships,338,N/A,0,en
"Illinois, 2000",,N/A,2002,N/A,Housing,842,N/A,0,en
"Oklahoma, 2000",,N/A,2002,N/A,Housing,398,N/A,0,en
Scandalous Grace, Jonie Scruggs,Worldwide Publishing Group,2022-08-11,"Grace Isn't Finished When We Are Forgiven, Grace Carries Us to Completion! In our current culture, people are riddled with pressures to perform and ashamed when they do not measure up. We often view our relationship with God through the same lens of performance pressure, trying to merit God's favor. This is a dangerous way to walk with God and a miserable way to live life's journey! ""Scandalous Grace"" gives a fresh and insightful perspective from Paul's letter to the Ephesian Church. As you journey, through these pages, you will discover God isn't finished with you once He has forgiven you. He cleanses you, and then He carries you to completion. Grace grants the true disciple of Christ endless freedom! Freedom is not the lack of challenge or even chains in your life. You may still be in some chains yet experiencing the liberating power of God's grace. Journey slowly through this book and bask in the scandalous grace of God. Your enemy can't steal your freedom because your freedom doesn't come from your enemy, your freedom comes froth Christ! This is ""Scandalous Grace."" Through these pages you will discover: - God's plan is more powerful than your prison. - Nothing goes to waste in God's plan. - True unity doesn't require uniformity; it unleashes diversity. - Grace assures that no matter what comes against us when the-battle ends and the dust settles, we will still be standing.",Religion,85,N/A,0,en
Transport of Molecules Across Microbial Membranes,"J. K. Broome-Smith, Society for General Microbiology. Symposium",Cambridge University Press,1999-10-14,An up-to-date review of an important area in microbiology.,Medical,292,N/A,0,en
Feminist Perspectives on Family Care,"Nancy R. Hooyman, Judith Gonyea",SAGE Publications,1995-08-29,"Today women find themselves playing an ever-increasing role in caring for older family members who are frail, developmentally disabled, or suffering from serious mental illness. While this has role of women as caregivers has been documented, the actual impact on the lives of women has remained largely unstudied. In this volume, the authors examine caregiving as a central feminist issue, looking at its impact on women socially, personally, and economically. The authors review how changing family structures, the changing economy and workforce, and the changing health care demands of needy adults have impacted on women′s lives. They critique existing public and private policies, demonstrating a need for fundamental structural changes in social institutions and attitudes to improve the lives of women. Finally, they propose a social model of care that is oriented toward gender justice--recognition of the work of caring and its impact upon women socially, personally, and economically. For students, scholars and practitioners in the field of gerontology, gender studies, and social work, this book is a must.",Social Science,433,N/A,0,en
Code of Federal Regulations,,N/A,2010,"Special edition of the Federal Register, containing a codification of documents of general applicability and future effect ... with ancillaries.",Administrative law,892,N/A,0,en
Census of Population: 1960,United States. Bureau of the Census,N/A,1960,N/A,United States,296,N/A,0,en
Delaware,Bureau of the Census,Bureau of Census,2002,"Provides data on age, Hispanic or Latino origin, household relationship, race, sex, tenure, and vacancy characteristics for the population of Delaware. Also includes information on land area measurements and population density.",History,184,N/A,0,en
Financial Management System for the Housing Voucher Program,,N/A,1989,N/A,Government publications,236,N/A,0,en
Asthma,E. Sherwood Brown,Karger Medical and Scientific Publishers,2003-01-01,"The relation between psychiatric disorders and general medical conditions is currently a topic of much interest. This volume includes a broad range of papers dealing with psychosocial issues in the morbidity of asthma, depressive symptoms which appear to be more common in asthma patients than in the general population, the link between asthma and anxiety disorders, or side effects of corticosteroid therapy. Furthermore, one paper looks at problems with adherence to treatment and the interaction between patient and provider and another one presents a model of changing human health behavior. Emotional disturbances contributing to several primarily psychogenic illnesses that mimic asthma are also covered. Each chapter includes an overview of the field for those with minimal knowledge of the topic. This book is written by experts for clinicians, general practitioners, mental health professionals, allergists, pulmonologists, and primary care practitioners involved in treating asthma patients especially with a view to the psychological aspects and their influence on the disease.",Medical,178,N/A,0,en
1970 Census of Population and Housing. Employment Profiles of Selected Low-income Areas,United States. Bureau of the Census,N/A,1972,N/A,Labor supply,264,N/A,0,en
