Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Lasagna Gardening,Patricia Lanza,Rodale,1998,"Explains how to use a system of layered mulch materials, including newspaper, leaves, and grass clippings, to provide a nutrient-rich base for healthy gardens and robust flowers, herbs, vegetables, and fruits",Gardening,268,5,1,en
A Way to Garden,Margaret Roach,Timber Press,2019-04-30,"“A Way to Garden prods us toward that ineffable place where we feel we belong; it’s a guide to living both in and out of the garden.” —The New York Times Book Review For Margaret Roach, gardening is more than a hobby, it’s a calling. Her unique approach, which she calls “horticultural how-to and woo-woo,” is a blend of vital information you need to memorize and intuitive steps you must simply feel and surrender to. In A Way to Garden, Roach imparts decades of garden wisdom on seasonal gardening, ornamental plants, vegetable gardening, design, gardening for wildlife, organic practices, and much more. She also challenges gardeners to think beyond their garden borders and to consider the ways gardening can enrich the world. Brimming with beautiful photographs of Roach’s own garden, A Way to Garden is practical, inspiring, and a must-have for every passionate gardener.",Gardening,321,N/A,0,en
Lasagna Gardening for Small Spaces,Patricia Lanza,Rodale Books,2002-01-12,"Now - with Lasagna Gardening for Small Spaces - you can create the garden of your dreams, no matter how limited your growing space is. Pat Lanza's proven lasagna gardening method produces amazing results in pots and small plots. Even in beds just 4 inches wide, you can grow bountiful, beautiful gardens with no digging, no weeding-- no kidding!",Gardening,6,3,1,en
Garden Maker,Christie Purifoy,Harvest House Publishers,2022-01-25,"Much more than a how-to flower gardening book (though you will learn how to), Garden Maker is for those who want to grow beautiful things that reflect the glory and majesty of the Creator and bring a little bit of heaven down to earth. From the beginning God made a garden, so it’s no surprise if you feel closer to Him with your hands in the dirt and the sun on your back. There is something profoundly soul-satisfying about creating and cultivating beauty. If you long to experience more splendor in your life, you can grow some of your very own. Join kindred spirit Christie Purifoy as she helps you unearth the simple delights of growing garden flowers, from preparing and planning to creating beautiful bouquets and other arrangements. Lavishly photographed and lovingly written, this all-seasons guide invites you to discover the innumerable joys and wonders to be found in the flower garden.",Religion,209,N/A,0,en
Thoughtful Gardening,Robin Lane Fox,Basic Books (AZ),2010-11-09,"With wit and wisdom, an Oxford historian and Financial Times gardening columnist recounts his deep passion and appreciation for gardening.",Gardening,386,N/A,0,en
Gardening: A Simplified Beginner's Guide to Using Plant Partners (Practical Projects for Creating a Self-sustaining Garden Ecosystem),John Walczak,John Walczak,101-01-01,"While the word perm culture might sound intimidating, the principals behind it are not. The main goal of perm culture is to turn your space into a functioning ecosystem that’s less reliant on external resources and better able to sustain itself through many seasons of growth and change as it resists pests, diseases, and climate extremes. Whatever the size of your space, from a tiny patio garden to a big backyard, and whether you grow food, flowers, shrubs, trees, or a combination of all, The Regenerative Garden is here to help you become a better, more eco-conscious gardener. In this informative guide, you will discover: · A deep analysis of companion planting from root to bud to truly understand the life-changing benefits of this craft · How to become the ultimate matchmaker of plants to ensure healthy growth and a vibrant garden · Common gardening mistakes you should avoid – discover exactly what worked and didn't to grow your path to success · The art of preparing the perfect soil so that your plants can have a nurturing and encouraging environment No matter where in the world you live, or even if you've never set one foot in a garden before, micro green growing offers a very simple tactic to improve your health, and furthermore, a wildly profitable business opportunity that's good for our fragile planet.",Gardening,234,N/A,0,en
Gracie's Garden,Lara Casey,B&H Publishing Group,2020-07-14,"Little by little, good things grow! Come play in the garden with Gracie! Join the garden tea party with her sister Sarah, taste tomatoes right off the vine with her crunchy munchy brother Joshua, and plant seeds! Some seeds, though, don't grow fast enough for Joshua. He wants to munch on tomatoes NOW. What will he do while he waits on those tiny tomato seeds to grow? Step into the garden to find out! Author and business owner Lara Casey has learned many rich lessons from the garden, including how to celebrate that God grows good things little by little. In her first children's book, she heads back to the tomato vines to share her joy and wisdom with little gardeners. Includes a free Garden Giggles poster!",Juvenile Nonfiction,18,N/A,0,en
"Profitable Gardening; a practical guide to the culture of vegetables, fruits, and other useful out-door garden products, etc",Shirley Hibberd,N/A,1863,N/A,,312,N/A,0,en
Square Foot Gardening,Mel Bartholomew,Rodale,2005-04-02,"A new edition of the classic gardening handbook details a simple yet highly effective gardening system, based on a grid of one-foot by one-foot squares, that produces big yields with less space and with less work than with conventional row gardens. Reissue. 30,000 first printing.",Gardening,358,4.5,8,en
Kitchen Garden Revival,Nicole Johnsey Burke,Cool Springs Press,2020-04-14,"Elevate your backyard veggie patch into a work of sophisticated and stylish art. Kitchen Garden Revival guides you through every aspect of kitchen gardening, from design to harvesting—with expert advice from author Nicole Johnsey Burke, founder of Rooted Garden, one of the leading US culinary landscape companies, and Gardenary, an online kitchen gardening education and resource company. Participating in the grow-your-own movement is important to both reduce your food miles and control what makes it onto your family’s table. If you’ve hesitated to take part because installing and caring for a traditional vegetable garden doesn’t seem to suit your life or your sense of style, Kitchen Garden Revival is here to show you there’s a better, more beautiful way to grow food. Instead of row after row of cabbage and pepper plants plunked into a patch of dirt in the middle of the yard, kitchen gardens are attractive, highly tailored food gardens consisting of easy-to-maintain raised planting beds laid out in an organized geometric pattern. Offering both four seasons of ornamental interest and plenty of fresh, homegrown fruits, vegetables, and herbs, kitchen gardens are the way to grow your own food in a fashionable, modern, and practical way. Kitchen gardens were once popular features of the European and early American landscape, but they fell out of favor when our agrarian roots were displaced by industrialization. With this accessible and inspirational guide, Nicole aims to return the kitchen garden to its rightful place just outside of every backdoor. Learn the art of kitchen gardening as you discover: What characteristics all kitchen gardens have in common How to design and install gorgeous kitchen garden beds using metal, wood, or stone Why raised beds mean reduced maintenance What crops are best for your kitchen garden A planting, tending, and harvesting plan developed by a pro Season-by-season growing guides It's time to join the Kitchen Garden Revival and start growing your own delicious, organic food.",Gardening,211,N/A,0,en
Gaia's Garden,Toby Hemenway,Chelsea Green Publishing,2009,"This extensively revised and expanded edition broadens the reach and depth of the permaculture approach for urban and suburban gardeners. The text's message is that working with nature, not against it, results in more beautiful, abundant, and forgiving gardens.",Gardening,328,N/A,0,en
The Year-Round Vegetable Gardener,Niki Jabbour,"Storey Publishing, LLC",2011-12-14,"Even in winter’s coldest months you can harvest fresh, delicious produce. Drawing on insights gained from years of growing vegetables in Nova Scotia, Niki Jabbour shares her simple techniques for gardening throughout the year. Learn how to select the best varieties for each season, the art of succession planting, and how to build inexpensive structures to protect your crops from the elements. No matter where you live, you’ll soon enjoy a thriving vegetable garden year-round.",Gardening,257,N/A,0,en
A Tapestry Garden,"Ernie O'Byrne, Marietta O'Byrne",Timber Press,2018-04-26,"“This is a love story about a couple and their relationship with an acre-and-a-half of land. . . with exceptional plant descriptions that read like character references for old friends. . . . beautiful photographs and prose await.” —Library Journal Marietta and Ernie O’Byrne’s garden—situated on one and a half acres in Eugene, Oregon—is filled with an incredible array of plants from around the world. By consciously leveraging the garden’s many microclimates, they have created a stunning patchwork of exuberant plants that is widely considered one of America’s most outstanding private gardens. In A Tapestry Garden, the O’Byrnes share their deep knowledge of plants and essential garden advice. Readers will discover the humble roots of the garden, explore the numerous habitats and the plants that make them shine, and find inspiration in photography that captures the garden’s astonishing beauty. There is something here for every type of gardener: a shade garden, perennial borders, a chaparral garden, a kitchen garden, and more. Profiles of the O’Byrne’s favorite plants—including hellebores, trilliums, arisaemas, and alpine plants—include comprehensive growing information and tips on pruning and care. A Tapestry Garden captures the spirit of a very special place.",Gardening,265,N/A,0,en
Hummelo,"Piet Oudolf, Noel Kingsbury","The Monacelli Press, LLC",2021-03-09,"An intimate look at the personal garden of the Dutch landscape designer renowned for his plantings at the High Line in New York City, and Lurie Garden at Chicago’s Millennium Park. Hummelo—near the village of the same name in Gelderland in the eastern Netherlands—is visited by thousands of gardeners seeking inspiration each year. It is Piet Oudolf’s home, his personal garden laboratory, a former nursery run by his wife Anja, and the place where he first tested new designs and created the new varieties of perennials that are now widely available. A follow-up to Oudolf’s successful Landscapes in Landscapes—Hummelo tells the story of how the garden has evolved over the past three decades since Oudolf, Anja, and their two young sons moved onto the property, with its loamy sand and derelict, wood stove-heated farmhouse, in 1982. Text by noted garden author and longtime personal friend Noel Kingsbury places Hummelo in context within gardening history, from The Netherlands’ counterculture and nascent green movement of the 1960s, to prairie restoration in the American Midwest, and shows how its development has mirrored that of Oudolf’s own outstanding career and unique naturalistic aesthetic. Oudolf has long been at the forefront of the Dutch Wave and New Perennial Style movements in garden design, which have ecological considerations at their base. His work stresses a deep knowledge of plants, eschewing short-lived annuals in favor of perennials that can be appreciated for both structure and blooms in every season. He is credited for leading the way to today’s focus on sustainability in garden design. The book will appeal to readers who favor beautiful, biodiverse, and ever-changing plantings: seed heads, grasses, sedges, and winter silhouettes. They will be drawn into its pages by lush photography, often demonstrating how Oudolf views his own work, and providing rare glimpses into his daily life. Short essays highlight important techniques, including scatter plants and matrix planting, and introduce other famed landscape designers—Karl Foerster, Henk Gerritsen, Rob Leopold, Ernst Pagels, and Mien Ruys—to create a full panorama of the movement Oudolf now leads.",Gardening,433,N/A,0,en
The Book of Gardening Projects for Kids,"Whitney Cohen, John Fisher",Timber Press,2012-07-12,"“What better way to begin to explore the natural world than to experience the magic and beauty of a family garden.” —Arden Bucklin-Sporer, author of How to Grow a School Garden Many gardeners find that once they have children gardening goes the way of late-night dinner parties and Sunday morning sleep-ins. Raising kids and maintaining a garden can be a juggling act, leaving the family garden forgotten and neglected. But kids can make great gardening companions, and the benefits of including them are impossible to ignore. Gardening gets kids outdoors and away from television and video games, increases their connection to plants and animals, and helps build enthusiasm for fresh fruits and vegetables. Their involvement becomes the real harvest of a family garden. In The Book of Gardening Projects for Kids, Whitney Cohen and John Fisher draw on years of experience in the Life Lab Garden Classroom and gardening with their own children to teach parents how to integrate the garden into their family life, no matter its scope or scale. The book features simple, practical gardening advice, including how to design a play-friendly garden, ideas for fun-filled theme gardens, and how to cook and preserve the garden's bounty. 101 engaging, family-friendly garden activities are also featured, from making Crunch-n-Munch Vegetable Beds and Muddy Miniature Masterpieces to harvesting berries for Fresh Fruity Pops.",Crafts & Hobbies,265,N/A,0,en
Gardening for a Lifetime,Sydney Eddison,Timber Press,2011-01-01,A lifelong gardener offers practical advice that will help transform gardening from a daunting list of chores into a rewarding activity.,Gardening,241,N/A,0,en
