Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Redwall,Brian Jacques,Random House,2014-06-26,"***SOON TO BE A NETFLIX SERIES*** Welcome to Redwall Abbey. Inside its enormous doors, mice live in peace, helping those in need and throwing epic feasts for the great and the good of Mossflower Woods. But outside a grave threat is gathering. An army of evil rats led by a vicious, one-eyed warlord, is on its way. Matthias is just one little mouse but he knows it'll take more than stones and mouse-sized arrows to keep the rats at bay. Enlisting the help of a military hare, wild sparrows and argumentative stoats, Matthias sets out to defend his freedom, his friends, and the abbey he calls home. Includes exclusive material: In the Backstory you can learn to make a Redwall Abbey pudding! Vintage Children's Classics is a twenty-first century classics list aimed at 8-12 year olds and the adults in their lives. Discover timeless favourites from Peter Pan and Alice's Adventures in Wonderland to modern classics such as The Boy in the Striped Pyjamas and The Curious Incident of the Dog in the Night-Time.",Juvenile Fiction,438,4.5,2,en
The Iron-Jawed Boy,Nikolas Lee,N/A,2013-07-01,"Year 2300 Protea, island city of Eldanar Two hundred years have passed since the lands of the Outerworld humans were destroyed, save but a handful of rebellious cities. In their ruin, the last gods of Earth, the Illyrians, rose victorious. And ever since, it's with a cruel iron fist they've ruled over their subjects--desperate to keep their thrones. Ionikus Reaves knows the gods' malevolence all too well, orphaned by them after their call for a military draft on Eldanar, his home island. But when a power once dormant in Ion boils to the surface, he's whisked off to a new world where he comes face-to-face with the mighty Illyrians. For Ion is a Guardian--a reincarnated god bound to serve and protect the pantheon he's so quickly learned to hate. Now torn between his obligations as a Guardian and his hatred of the gods he's to guard, Ion finds himself in the middle of a war within himself. A war that could uncover a dark secret of the gods'...and split the pantheon in two.",,264,N/A,0,en
The Tail of Emily Windsnap,Liz Kessler,Candlewick Press,2010-05-11,"A young girl learns she’s half mermaid and plunges into a scheme to reunite with her father in this entrancing, satisfying tale that beckons readers far below the waves. For as long as she can remember, twelve-year-old Emily Windsnap has lived on a boat. And, oddly enough, for just as long, her mother has seemed anxious to keep Emily away from the water. But when Mom finally agrees to let her take swimming lessons, Emily makes a startling discovery — about her own identity, the mysterious father she’s never met, and the thrilling possibilities and perils shimmering deep below the water’s surface. With a sure sense of suspense and richly imaginative details, first-time author Liz Kessler lures us into a glorious undersea world where mermaids study shipwrecks at school and Neptune rules with an iron trident — an enchanting fantasy about family secrets, loyal friendship, and the convention-defying power of love.",Juvenile Fiction,225,4,1,en
The Stowaways,Meghan Marentette,Pajama Press Inc.,2013-10-15,"Rory Stowaway's family tradition of adventure hunting comes to an end when his grampa comes up missing. That is, until he discovers his Gran knows what really happened to his Grampa.",Juvenile Fiction,243,N/A,0,en
Eragon,Christopher Paolini,Knopf Books for Young Readers,2013,"In Aagaesia, a fifteen-year-old boy of unknown lineage called Eragon finds a mysterious stone that weaves his life into an intricate tapestry of destiny, magic, and power, peopled with dragons, elves, and monsters.",Dragons,536,5,2,en
The Line Tender,Kate Allen,Penguin,2020-04-21,"Funny, poignant, and deeply moving, The Line Tender is a story of nature's enduring mystery and a girl determined to find meaning and connection within it. Wherever the sharks led, Lucy Everhart's marine-biologist mother was sure to follow. In fact, she was on a boat far off the coast of Massachusetts, collecting shark data when she died suddenly. Lucy was seven. Since then Lucy and her father have kept their heads above water--thanks in large part to a few close friends and neighbors. But June of her twelfth summer brings more than the end of school and a heat wave to sleepy Rockport. On one steamy day, the tide brings a great white--and then another tragedy, cutting short a friendship everyone insists was ""meaningful"" but no one can tell Lucy what it all meant. To survive the fresh wave of grief, Lucy must grab the line that connects her depressed father, a stubborn fisherman, and a curious old widower to her mother's unfinished research on the Great White's return to Cape Cod. If Lucy can find a way to help this unlikely quartet follow the sharks her mother loved, she'll finally be able to look beyond what she's lost and toward what's left to be discovered. ★""Confidently voiced.""—Kirkus Reviews, starred ★""Richly layered.""—Publishers Weekly, starred ★""A hopeful path forward.""—Booklist, starred ★""Life-affirming.""—BCCB, starred ★""Big-hearted."" —Bookpage, starred ★“Will appeal to just about everyone.” – SLC, starred ★""Exquisitely, beautifully real.""—Shelf Awareness, starred",Juvenile Fiction,386,N/A,0,en
Just Roll with It,"Veronica Agarwal, Lee Durfey-Lavoie",Random House Graphic,2021-12-14,"Starting middle school is hard enough when you don't know anyone; it's even harder when you're shy. A contemporary middle-grade graphic novel for fans of Guts and Real Friends about how dealing with anxiety and OCD can affect everyday life. As long as Maggie rolls the right number, nothing can go wrong...right? Maggie just wants to get through her first year of middle school. But between finding the best after-school clubs, trying to make friends, and avoiding the rumored monster on school grounds, she’s having a tough time...so she might need a little help from her twenty-sided dice. But what happens if Maggie rolls the wrong number? A touching middle-grade graphic novel that explores the complexity of anxiety, OCD, and learning to trust yourself and the world around you. “A charming, compassionate story that’s sure to resonate with anyone who’s ever stayed up worrying.” —Gale Galligan, adaptor and illustrator of the Baby-Sitters Club graphic novel series",Juvenile Fiction,171,N/A,0,en
Exile's Valor,Mercedes Lackey,Astra Publishing House,2004-10-05,"This stand-alone novel in the Valdemar series continues the story of prickly weapons-master Alberich. Once a heroic Captain in the army of Karse, a kingdom at war with Valdemar, Alberich becomes one of Valdemar's Heralds. Despite prejudice against him, he becomes the personal protector of young Queen Selenay. But can he protect her from the dangers of her own heart?",Fiction,331,N/A,0,en
The Passing Playbook,Isaac Fitzsimons,Penguin,2022-05-31,"Love, Simon meets Bend It Like Beckham in this feel-good contemporary romance about a trans athlete who must decide between fighting for his right to play and staying stealth. “A sharply observant and vividly drawn debut. I loved every minute I spent in this story, and I’ve never rooted harder for a jock in my life.” – New York Times bestselling author Becky Albertalli Fifteen-year-old Spencer Harris is a proud nerd, an awesome big brother, and a David Beckham in training. He's also transgender. After transitioning at his old school leads to a year of isolation and bullying, Spencer gets a fresh start at Oakley, the most liberal private school in Ohio. At Oakley, Spencer seems to have it all: more accepting classmates, a decent shot at a starting position on the boys' soccer team, great new friends, and maybe even something more than friendship with one of his teammates. The problem is, no one at Oakley knows Spencer is trans—he's passing. But when a discriminatory law forces Spencer's coach to bench him, Spencer has to make a choice: cheer his team on from the sidelines or publicly fight for his right to play, even though it would mean coming out to everyone—including the guy he's falling for.",Young Adult Fiction,305,N/A,0,en
Once Upon a Camel,Kathi Appelt,Simon and Schuster,2022-09-20,"In 1910, Zada the camel treks across the West Texas desert to save two baby kestrels from an approaching haboob, a mountain-sized storm. sharing adventures from her youth in Turkey to keep them calm.",JUVENILE FICTION,352,N/A,0,en
Farmer Boy,Laura Ingalls Wilder,DigiCat,2022-08-16,"DigiCat Publishing presents to you this special edition of ""Farmer Boy"" by Laura Ingalls Wilder. DigiCat Publishing considers every written word to be a legacy of humankind. Every DigiCat book has been carefully reproduced for republishing in a new modern format. The books are available in print, as well as ebooks. DigiCat hopes you will treat this work with the acknowledgment and passion it deserves as a classic of world literature.",Fiction,177,N/A,0,en
