Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Literary Criticism,Joseph North,Harvard University Press,2017-05-08,Cover -- Title Page -- Copyright -- Contents -- Preface -- Introduction -- 1. The Critical Revolution Turns Right -- 2. The Scholarly Turn -- 3. The Historicist/Contextualist Paradigm -- 4. The Critical Unconscious -- Conclusion: The Future of Criticism -- Appendix: The Critical Paradigm and T.S. Eliot -- Notes -- Acknowledgments -- Index,Education,270,N/A,0,en
Literary Theory and Criticism: An Introduction,Anne H. Stevens,Broadview Press,2015-06-18,"Literary Theory and Criticism: An Introduction provides an accessible overview of major figures and movements in literary theory and criticism from antiquity to the twenty-first century. It is designed for students at the undergraduate level or for others needing a broad synthesis of the long history of literary theory. An introductory chapter provides an overview of some of the major issues within literary theory and criticism; further chapters survey theory and criticism in antiquity, the Middle Ages and Renaissance, the Enlightenment, and the nineteenth century. For twentieth- and twenty-first-century theory, the discussion is subdivided into separate chapters on formalist, historicist, political, and psychoanalytic approaches. The final chapter applies a variety of theoretical concepts and approaches to two famous works of literature: William Shakespeare’s Hamlet and Mary Shelley’s Frankenstein.",Literary Criticism,302,N/A,0,en
Literature to Go,Michael Meyer,N/A,2016,N/A,Literature,958,N/A,0,en
Literary Criticism,Charles E. Bressler,N/A,1999,"The second edition of Literary Criticism by Charles E. Bressler is designed to help readers make conscious, informed, and intelligent choices concerning literary interpretation. By explaining the historical development and theoretical positions of eleven schools of criticism, author Charles Bressler reveals the richness of literary texts along with the various interpretative approaches that will lead to a fuller appreciation and understanding of such texts.",Literary Criticism,328,N/A,0,en
The Theory of Literary Criticism,John Martin Ellis,Univ of California Press,1974,N/A,Literary Criticism,292,N/A,0,en
Literary Theory and Criticism: An Introduction – Second Edition,Anne H. Stevens,Broadview Press,2021-07-08,"Literary Theory and Criticism: An Introduction provides an accessible overview of major figures and movements in literary theory and criticism from antiquity to the twenty-first century. It is designed for students at the undergraduate level or for others needing a broad synthesis of the long history of literary theory. An introductory chapter provides an overview of some of the major issues within literary theory and criticism; further chapters survey theory and criticism in antiquity, the Middle Ages and Renaissance, the Enlightenment, and the nineteenth century. For twentieth- and twenty-first-century theory, the discussion is subdivided into separate chapters on formalist, historicist, political, and psychoanalytic approaches. The final chapter applies a variety of theoretical concepts and approaches to two famous works of literature: William Shakespeare’s Hamlet and Mary Shelley’s Frankenstein. The new edition has been updated throughout, including new or expanded coverage of Marxist theory, disability studies, affect theory, and Critical Race Theory.",Literary Criticism,322,N/A,0,en
Literary Criticism from Plato to the Present,M. A. R. Habib,John Wiley & Sons,2011-06-24,"Literary Criticism from Plato to the Present provides a concise and authoritative overview of the development of Western literary criticism and theory from the Classical period to the present day An indispensable and intellectually stimulating introduction to the history of literary criticism and theory Introduces the major movements, figures, and texts of literary criticism Provides historical context and shows the interconnections between various theories An ideal text for all students of literature and criticism",Literary Criticism,324,5,1,en
Introducing Literary Criticism,Owen Holland,Icon Books Ltd,2016-02-04,"From Plato to Virginia Woolf, Structuralism to Practical Criticism, Introducing Literary Criticism charts the history and development of literary criticism into a rich and complex discipline. Tackling disputes over the value and meaning of literature, and exploring theoretical and practical approaches, this unique illustrated guide will help readers of all levels to get more out of their reading.",Literary Criticism,332,N/A,0,en
Averroes' Middle Commentary on Aristotle's Poetics,Averroës,N/A,2000,"Aristotle's Poetics has held the attention of scholars and authors through the ages, and Averroes has long been known as ""the commentator"" on Aristotle. His Middle Commentary on Aristotle's Poetics is important because of its striking content. Here, an author steeped in Aristotle's thought and highly familiar with an entirely different poetical tradition shows in careful detail what is commendable about Greek poetics and commendable as well as blameworthy about Arabic poetics.",Language Arts & Disciplines,192,N/A,0,en
Literary Criticism,"William Kurtz Wimsatt, Cleanth Brooks",Taylor & Francis,1970,N/A,Classical literature,755,N/A,0,en
