Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
A Million Years of Music,Gary Tomlinson,MIT Press,2015-02-27,"What is the origin of music? In the last few decades this centuries-old puzzle has been reinvigorated by new archaeological evidence and developments in the fields of cognitive science, linguistics, and evolutionary theory. Starting at a period of human prehistory long before Homo sapiens or music existed, Tomlinson describes the incremental attainments that, by changing the communication and society of prehuman species, laid the foundation for musical behaviors in more recent times. He traces in Neandertals and early sapiens the accumulation and development of these capacities, and he details their coalescence into modern musical behavior across the last hundred millennia",Literary Criticism,367,N/A,0,en
Music Is . . .,Brandon Stosuy,Simon and Schuster,2016-10-04,"From music writer and The Creative Independent/Kickstarter Editor in Chief Brandon Stosuy, comes an entertaining new board book that introduces the many moods, styles, and senses of music to the youngest audiophiles—because music is for everyone, and music is for you. Featuring Amy Martin’s dynamic art style, Music Is… explains music through our eyes and ears so that the sense of hearing is transformed into a visual experience. A pitch-perfect board book that is sure to strike a chord with readers of all ages.",Juvenile Fiction,32,N/A,0,en
The Beautiful Music All Around Us,Stephen Wade,University of Illinois Press,2012-08-10,"The Beautiful Music All Around Us presents the extraordinarily rich backstories of thirteen performances captured on Library of Congress field recordings between 1934 and 1942 in locations reaching from Southern Appalachia to the Mississippi Delta and the Great Plains. Including the children's play song ""Shortenin' Bread,"" the fiddle tune ""Bonaparte's Retreat,"" the blues ""Another Man Done Gone,"" and the spiritual ""Ain't No Grave Can Hold My Body Down,"" these performances were recorded in kitchens and churches, on porches and in prisons, in hotel rooms and school auditoriums. Documented during the golden age of the Library of Congress recordings, they capture not only the words and tunes of traditional songs but also the sounds of life in which the performances were embedded: children laugh, neighbors comment, trucks pass by. Musician and researcher Stephen Wade sought out the performers on these recordings, their families, fellow musicians, and others who remembered them. He reconstructs the sights and sounds of the recording sessions themselves and how the music worked in all their lives. Some of these performers developed musical reputations beyond these field recordings, but for many, these tracks represent their only appearances on record: prisoners at the Arkansas State Penitentiary jumping on ""the Library's recording machine"" in a rendering of ""Rock Island Line""; Ora Dell Graham being called away from the schoolyard to sing the jump-rope rhyme ""Pullin' the Skiff""; Luther Strong shaking off a hungover night in jail and borrowing a fiddle to rip into ""Glory in the Meetinghouse."" Alongside loving and expert profiles of these performers and their locales and communities, Wade also untangles the histories of these iconic songs and tunes, tracing them through slave songs and spirituals, British and homegrown ballads, fiddle contests, gospel quartets, and labor laments. By exploring how these singers and instrumentalists exerted their own creativity on inherited forms, ""amplifying tradition's gifts,"" Wade shows how a single artist can make a difference within a democracy. Reflecting decades of research and detective work, the profiles and abundant photos in The Beautiful Music All Around Us bring to life largely unheralded individuals--domestics, farm laborers, state prisoners, schoolchildren, cowboys, housewives and mothers, loggers and miners--whose music has become part of the wider American musical soundscape. The hardcover edition also includes an accompanying CD that presents these thirteen performances, songs and sounds of America in the 1930s and '40s.",Music,505,N/A,0,en
For the Love of Music,John Mauceri,Knopf,2019,"With a lifetime of experience, profound knowledge and understanding, and heartwarming appreciation, an internationally celebrated conductor and teacher answers the questions: Why should I listen to classical music? How can I get the most from the listening experience? A protégé of Leonard Bernstein--his colleague for eighteen years--and an eminent conductor who has toured and recorded all over the world, John Mauceri helps us to reap the joys and pleasures classical music has to offer. Briefly, we learn the way a musical tradition born in ancient Greece, embraced by the Roman Empire, and subsequently nurtured by influences from across the globe, gave shape to the classical music that came to be embraced by cultures from Japan to Bolivia. Then Mauceri examines the music itself, helping us understand what it is we hear when we listen to classical music: how, by a kind of sonic metaphor, it expresses the deepest recesses of human feeling and emotion; how each piece bears the traces of its history; how the concert experience--a unique one each and every time--allows us to discover music anew. Unpretentious, graceful, instructive, this is a book for the aficionado, the novice, and anyone looking to have the love of music fired within them.",Music,225,N/A,0,en
What Makes Music?,Betty Ann Schwartz,N/A,2001,A new ribbon appears as Mama Bird teaches Baby Bird each note of the scale.,Birds,0,N/A,0,en
Film Music: A History,James Wierzbicki,Routledge,2009-01-21,"Film Music: A History explains the development of film music by considering large-scale aesthetic trends and structural developments alongside socioeconomic, technological, cultural, and philosophical circumstances. The book’s four large parts are given over to Music and the ""Silent"" Film (1894--1927), Music and the Early Sound Film (1895--1933), Music in the ""Classical-Style"" Hollywood Film (1933--1960), and Film Music in the Post-Classic Period (1958--2008). Whereas most treatments of the subject are simply chronicles of ""great film scores"" and their composers, this book offers a genuine history of film music in terms of societal changes and technological and economic developments within the film industry. Instead of celebrating film-music masterpieces, it deals—logically and thoroughly—with the complex ‘machine’ whose smooth running allowed those occasional masterpieces to happen and whose periodic adjustments prompted the large-scale twists and turns in film music’s path.",Music,688,N/A,0,en
The Music,Matthew Herbert,Unbound Publishing,2018-04-05,"In the last hundred years – between the invention of the microphone and the computer – music has undergone a profound revolution. No longer confined to specifically designed instruments, we can now make music out of anything. Why use a guitar when you can use a lawnmower? Why use a lawnmower when you can use an explosion in Libya? The Music evokes a shifting sonic landscape in precise detail: Chinese concrete slowly hardening, overlaid by a splintering cassette tape in the stereo of a car mid-crash. The noise of 73,984 insects hitting number plates followed by that of a drill striking oil deep beneath the earth’s surface. Or just the silence of two unfamiliar people as they look up at the night sky. As well as being a description of an imagined album, this book is a manifesto for sound, challenging how we hear the world itself, while listening to stories about humanity and our place in that world.",Fiction,105,N/A,0,en
World Music: A Very Short Introduction,Philip V. Bohlman,OUP Oxford,2002-05-30,"'World music' emerged as an invention of the West from encounters with other cultures. This book draws readers into a remarkable range of these historical encounters, in which music had the power to evoke the exotic and to give voice to the voiceless. In the course of the volume's eight chapters the reader witnesses music's involvement in the modern world, but also the individual moments and particular histories that are crucial to an understanding of music's diversity. World Music is wide-ranging in its geographical scope, yet individual chapters provide in-depth treatments of selected music cultures and regional music histories. The book frequently zooms in on repertoires and musicians - such as Bob Marley, Bartok, and Nusrat Fateh Ali Khan - and attempts to account for world music's growing presence and popularity at the beginning of the twenty-first century. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",Music,237,N/A,0,en
Country Music: A Very Short Introduction,Richard Carlin,Oxford University Press,2019-10-09,"Country Music: A Very Short Introduction presents a compelling overview of the music and its impact on American culture. Country music has long been a marker of American identity; from our popular culture to our politics, it has provided a soundtrack to our national life. While traditionally associated with the working class, country's appeal is far broader than any other popular music style. While this music rose from the people, it is also a product of the popular music industry, and the way the music has been marketed to its audience is a key part of its story. Key artists, songs, and musical styles are highlighted that are either touchstones for a particular social event (such as Tammy Wynette's ""Stand By Your Man,"" which produced both a positive and negative backlash as a marker of women's roles in society at the beginning of the liberation movement) or that encompass broader trends in the industry (for example, Jimmie Rodgers' ""T for Texas"" was an early example of the appropriation of black musical forms by white artists to market them to a mainstream audience). While pursuing a basically chronological outline, the book is structured around certain recurring themes (such as rural vs. urban; tradition vs. innovation; male vs. female; white vs. black) that have been documented through the work of country artists from the minstrel era to today. Truly the voice of the people, country music expresses both deep patriotism as well as a healthy skepticism towards the powers that dominate American society. Country Music: A Very Short Introduction illuminates this rich tradition and assesses its legacy in American popular music culture.",Music,156,N/A,0,en
"Church Music; a Magazine for the Clergy, Choirmasters and Organists",,N/A,1906,N/A,Church music,656,N/A,0,en
