Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Nature of the Book,Adrian Johns,University of Chicago Press,2009-05-15,"In The Nature of the Book, a tour de force of cultural history, Adrian Johns constructs an entirely original and vivid picture of print culture and its many arenas—commercial, intellectual, political, and individual. ""A compelling exposition of how authors, printers, booksellers and readers competed for power over the printed page. . . . The richness of Mr. Johns's book lies in the splendid detail he has collected to describe the world of books in the first two centuries after the printing press arrived in England.""—Alberto Manguel, Washington Times ""[A] mammoth and stimulating account of the place of print in the history of knowledge. . . . Johns has written a tremendously learned primer.""—D. Graham Burnett, New Republic ""A detailed, engrossing, and genuinely eye-opening account of the formative stages of the print culture. . . . This is scholarship at its best.""—Merle Rubin, Christian Science Monitor ""The most lucid and persuasive account of the new kind of knowledge produced by print. . . . A work to rank alongside McLuhan.""—John Sutherland, The Independent ""Entertainingly written. . . . The most comprehensive account available . . . well documented and engaging.""—Ian Maclean, Times Literary Supplement",Literary Criticism,779,N/A,0,en
"Making ""Nature""",Melinda Baldwin,University of Chicago Press,2015-08-18,"Making ""Nature"" is the first book to chronicle the foundation and development of Nature, one of the world's most influential scientific institutions. Now nearing its hundred and fiftieth year of publication, Nature is the international benchmark for scientific publication. Its contributors include Charles Darwin, Ernest Rutherford, and Stephen Hawking, and it has published many of the most important discoveries in the history of science, including articles on the structure of DNA, the discovery of the neutron, the first cloning of a mammal, and the human genome. But how did Nature become such an essential institution? In Making ""Nature,"" Melinda Baldwin charts the rich history of this extraordinary publication from its foundation in 1869 to current debates about online publishing and open access. This pioneering study not only tells Nature's story but also sheds light on much larger questions about the history of science publishing, changes in scientific communication, and shifting notions of ""scientific community."" Nature, as Baldwin demonstrates, helped define what science is and what it means to be a scientist.",Science,318,N/A,0,en
Valuing Nature,William Ginn,Island Press,2020-05-21,"As the world faces unprecedented challenges such as climate change and biodiversity loss, the resources needed far outstrip the capabilities of nonprofits and even governments. Yet there are seeds of hope—and much of that hope comes from the efforts of the private sector. Impact investing is rapidly becoming an essential tool, alongside philanthropy and government funding, in tackling these major problems. Valuing Nature presents a new set of nature-based investment areas to help conservationists and investors work together. NatureVest founder William Ginn outlines the emerging private sector investing opportunities in natural assets such as green infrastructure, forests, soils, and fisheries. The first part of Valuing Nature examines the scope of nature-based impact investing while also presenting a practical overview of its limitations and the challenges facing the private sector. The second part of the book offers tools for investors and organizations to consider as they develop their own projects and tips on how nonprofits can successfully navigate this new space. Case studies from around the world demonstrate how we can use private capital to achieve more sustainable uses of our natural resources without the unintended consequences plaguing so many of our current efforts. Valuing Nature provides a roadmap for conservation professionals, nonprofit managers, and impact investors seeking to use market-based strategies to improve the management of natural systems.",Business & Economics,242,N/A,0,en
Nature is an Artist,Jennifer Lavallee,Greystone Books Ltd,2022-05-17,"For kids who love to draw and create, this captivating picture book fosters an appreciation for nature and features craft ideas to inspire young artists. Kids will be inspired to create: Fingerprint bumblebees Sculptures made of sand Rainbow colored jars And more! Nature is an Artist explores different art forms that kids can find in the natural world. In the book, a group of children follow Nature—the most inspiring of teachers—as they discover the world’s greatest art show hidden in plain sight. As they witness beautiful landscapes, stunning vistas, and unusual creatures, each child is inspired to recreate their own fine work of art. With charming, rhythmic text from Jennifer Lavalee and vivid, eye-catching illustrations from Natalia Colombo, Nature is an Artist celebrates nature’s beauty and variety, and instills kids with: The confidence to see themselves as artists! Respect and appreciation for nature. After reading, kids will appreciate the art in their own outdoor surroundings.",Juvenile Fiction,36,N/A,0,en
"The Nature Fix: Why Nature Makes Us Happier, Healthier, and More Creative",Florence Williams,W. W. Norton & Company,2017-02-07,"""Highly informative and remarkably entertaining."" —Elle From forest trails in Korea, to islands in Finland, to eucalyptus groves in California, Florence Williams investigates the science behind nature’s positive effects on the brain. Delving into brand-new research, she uncovers the powers of the natural world to improve health, promote reflection and innovation, and strengthen our relationships. As our modern lives shift dramatically indoors, these ideas—and the answers they yield—are more urgent than ever.",Science,206,N/A,0,en
Man Is by Nature a Political Animal,"Peter K. Hatemi, Rose McDermott",University of Chicago Press,2011-09-01,"In Man Is by Nature a Political Animal, Peter K. Hatemi and Rose McDermott bring together a diverse group of contributors to examine the ways in which evolutionary theory and biological research are increasingly informing analyses of political behavior. Focusing on the theoretical, methodological, and empirical frameworks of a variety of biological approaches to political attitudes and preferences, the authors consider a wide range of topics, including the comparative basis of political behavior, the utility of formal modeling informed by evolutionary theory, the genetic bases of attitudes and behaviors, psychophysiological methods and research, and the wealth of insight generated by recent research on the human brain. Through this approach, the book reveals the biological bases of many previously unexplained variances within the extant models of political behavior. The diversity of methods discussed and variety of issues examined here will make this book of great interest to students and scholars seeking a comprehensive overview of this emerging approach to the study of politics and behavior.",Social Science,335,N/A,0,en
The Nature of Desert Nature,Gary Paul Nabhan,University of Arizona Press,2020-11-10,"In this refreshing collection, one of our best writers on desert places, Gary Paul Nabhan, challenges traditional notions of the desert. Beautiful, reflective, and at times humorous, Nabhan’s extended essay also called “The Nature of Desert Nature” reveals the complexity of what a desert is and can be. He passionately writes about what it is like to visit a desert and what living in a desert looks like when viewed through a new frame, turning age-old notions of the desert on their heads. Nabhan invites a prism of voices—friends, colleagues, and advisors from his more than four decades of study of deserts—to bring their own perspectives. Scientists, artists, desert contemplatives, poets, and writers bring the desert into view and investigate why these places compel us to walk through their sands and beneath their cacti and acacia. We observe the spines and spears, stings and songs of the desert anew. Unexpected. Surprising. Enchanting. Like the desert itself, each essay offers renewed vocabulary and thoughtful perceptions. The desert inspires wonder. Attending to history, culture, science, and spirit, The Nature of Desert Nature celebrates the bounty and the significance of desert places. Contributors Thomas M. Antonio Homero Aridjis James Aronson Tessa Bielecki Alberto Búrquez Montijo Francisco Cantú Douglas Christie Paul Dayton Alison Hawthorne Deming Father David Denny Exequiel Ezcurra Thomas Lowe Fleischner Jack Loeffler Ellen McMahon Rubén Martínez Curt Meine Alberto Mellado Moreno Paul Mirocha Gary Paul Nabhan Ray Perotti Larry Stevens Stephen Trimble Octaviana V. Trujillo Benjamin T. Wilder Andy Wilkinson Ofelia Zepeda",Nature,209,N/A,0,en
Building on Nature,Rachel Rodríguez,Macmillan,2009-09,"Inspired by the natural beauty of his homeland of Catalonia, Antoni Gaudi became a celebrated and innovative architect through the unique structures he designed in Barcelona, having a significant impact on architecture as it was known.",Juvenile Nonfiction,45,N/A,0,en
Reel Nature,Gregg Mitman,Harvard University Press,1999,"Americans have had a long-standing love affair with the wilderness. As cities grew and frontiers disappeared, film emerged to feed an insatiable curiosity about wildlife. The camera promised to bring us into contact with the animal world, undetected and unarmed. Yet the camera's penetration of this world has inevitably brought human artifice and technology into the picture as well. In the first major analysis of American nature films in the twentieth century, Gregg Mitman shows how our cultural values, scientific needs, and new technologies produced the images that have shaped our contemporary view of wildlife. Like the museum and the zoo, the nature film sought to recreate the experience of unspoiled nature while appealing to a popular audience, through a blend of scientific research and commercial promotion, education and entertainment, authenticity and artifice. Travelogue-expedition films, like Teddy Roosevelt's African safari, catered to upper- and middle-class patrons who were intrigued by the exotic and entertained by the thrill of big-game hunting and collecting. The proliferation of nature movies and television shows in the 1950s, such as Disney's True-Life Adventures and Marlin Perkins's Wild Kingdom, made nature familiar and accessible to America's baby-boom generation, fostering the environmental activism of the latter part of the twentieth century. Reel Nature reveals the shifting conventions of nature films and their enormous impact on our perceptions of, and politics about, the environment. Whether crafted to elicit thrills or to educate audiences about the real-life drama of threatened wildlife, nature films then and now reveal much about the yearnings of Americans to be both close to nature and yet distinctly apart.",Nature,312,N/A,0,en
Encompassing Nature,Robert Mitchell Torrance,Counterpoint LLC,1998,"This first anthology of its kind presents the wonder, passion, and inspiration of diverse writings about the natural world. Starting from earliest times, ENCOMPASSING NATURE integrates a wide range of texts--mythical, religious, poetic, philosophical, and scientific--chosen for variety, literary quality, and historical importance. This landmark work broadens the frame of reference for nature writing.",Literary Collections,1256,N/A,0,en
