Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Good Study Guide,Andrew Northedge,The Open University,2005-01-01,"Developing your learning skills is one of the best investments you can make. We all need to be lifelong learners now. Whether you are an experienced student or just starting out this book will stimulate, guide and support you. It will make you think about yourself and how your mind learns. And it will change forever the way that you study.Topics include:- motivating yourself and managing your time- taking full advantage of your computer- reading with concentration and understanding- developing flexible note-taking strategies- getting the most from seminars and workshops- making presentations- researching online- handling numbers and charts with confidence- writing clear, well argued assignments- doing yourself justice in exams.For more information, go to www.goodstudyguide.co.uk",Education,390,4.5,2,en
The Only Study Guide You'll Ever Need,Jade Bowler,Kings Road Publishing,2021-08-05,"We've all been there: a new school year starts and there's 8 months till your exams - that's plenty of time, right? Then there's 6 months, 3 months, 1 month and oh, now there's 2 weeks left and you haven't started studying... What happens next is a panic-induced mayhem of highlighting everything in the textbook (without even questioning if it's actually helpful). But I'm here to help you change this! In The Only Study Guide You'll Ever Need, I'll cover a range of different topics including: · How to get started and pick up that pen · Learning techniques that actually work (hello, science of memory!) · The dos and don'ts of timetabling · And combatting fear of failure, perfectionism, exam stress and so much more! As a fellow student now at university, I definitely don't have a PhD in Exam Etiquette but this is the book younger me needed. All I wanted was one place that had a variety of tried-and-tested methods with reassurance from someone who had recently been through the education system. The Only Study Guide You'll Ever Need is just that, and I have collected the best techniques and tools I wish I'd known earlier to help you get through your studies and smash your exams! Jade x",Young Adult Nonfiction,257,N/A,0,en
Uninvited,Lysa TerKeurst,Thomas Nelson,2016-08-09,"Do you ever feel left out, lonely, or less than? Today, learn the secret of belonging which will help you keep rejections in perspective and be better equipped to foster healthy connections in your relationships. In Uninvited, Lysa shares her own deeply personal experiences of rejection from the perceived judgment of the perfectly toned woman one elliptical over to the incredibly painful childhood abandonment by her father. She leans in to honestly examine the roots of rejection, as well as rejection's ability to poison relationships from the inside out, including our relationship with God. With biblical depth, gut honest vulnerability, and refreshing wit, Lysa will help you: Stop feeling left out by believing that even when you are overlooked by others you are handpicked by God. Change your tendency to either fall apart or control the actions of others by embracing God-honoring ways to process your hurt. Know exactly what to pray for the next ten days to steady your soul and restore your confidence in the midst of rejection. Overcome the two core fears that feed your insecurities by understanding the secret of belonging. Uninvited reminds us we are destined for a love that can never be diminished, tarnished, shaken, or taken—a love that does not reject or uninvite.",Religion,289,4,2,en
"The Official ACT Prep Guide 2021-2022, (Book + 6 Practice Tests + Bonus Online Content)",ACT,John Wiley & Sons,2021-04-20,"THE OFFICIAL ACT® PREP GUIDE 2021-2022 The comprehensive guide to the 2021-2022 ACT® test, with 6 genuine, full-length practice tests in print and online. This 2021-2022 guide includes six actual ACT® tests – all of which contain the optional writing test – that you can use to practice at your own pace. To help you review test subjects and improve your understanding, this guide provides clear explanations for every answer. You’ll also get practical tips for boosting your score on the English, math, reading, and science tests, as well as the optional writing test. Additionally, you can access the six tests online through the access code provided in the guide. The code also provides access to 400 online flashcards to help you prepare for all sections in the ACT® examination. The test’s creators filled this guide with expert advice on how to both mentally and physically prepare for the exam. It will also help you: Review the entire ACT® test content so you’ll know what to expect on test day Understand the procedures you’ll follow when you’re taking the ACT® Prepare for the types of questions you can expect to find on the test Adopt test-taking strategies that are right for you The Official ACT® Prep Guide 2021-2022 is the best resource to prepare you for test day. By using this guide you can feel comfortable that you’re prepared to do your best!",Study Aids,25,N/A,0,en
"10 Practice Tests for the SAT, 2023",The Princeton Review,Princeton Review,2022-05-17,"PREP FOR EXCELLENCE WITH THIS BEST-SELLING SAT PRACTICE BOOK! The 10 full-length practice exams (1,500+ questions!) in this book will help you polish your skills and set you up for SAT test-day success. Practice makes perfect, and the best way to practice your SAT test-taking skills is with simulated exams. The Princeton Review's 10 Practice Tests for the SAT provides ten full-length opportunities to assess whether you have the skills to ace the exam's higher-level math questions, reading comprehension passages, and writing and language sections. Our realistic test questions and detailed explanations help you master every aspect of the SAT. Practice Your Way to Excellence · 10 full-length practice tests with detailed answer explanations · Hands-on exposure to the test, with more than 1,500 questions and an experimental section · Self-scoring reports to help you assess your test performance Work Smarter, Not Harder · Diagnose and learn from your mistakes with in-depth answer explanations · See The Princeton Review's techniques in action and solidify your SAT knowledge · Learn fundamental approaches for achieving content mastery",Study Aids,929,N/A,0,en
"Princeton Review SAT Premium Prep, 2022",The Princeton Review,Princeton Review,2021-05-11,"Make sure you’re studying with the most up-to-date prep materials! Look for the newest edition of this title, The Princeton Review SAT Premium Prep, 2023 (ISBN: 9780593450581, on-sale June 2022). Publisher's Note: Products purchased from third-party sellers are not guaranteed by the publisher for quality or authenticity, and may not include access to online tests or materials included with the original product.",Study Aids,833,N/A,0,en
A-level Mathematics,"Duncan Graham, Christine Graham, Allan Whitcombe",Letts & Londsale,1995,"As a result of the growth in popularity of modular syllabuses, and the introduction by the Schools Curriculum Authority of new core criteria, this new edition of A-Level mathematics not only covers these changes but incorporates the latest exam questions.",A-level examinations,266,5,1,en
The Master Plan,"Chris Wilson, Bret Witter",Penguin,2020-02-04,"""The Master Plan is less of a road map and more of a philosophy that we should all take to heart: We are all better than our worst decision, our sense of justice should honor the redemptive possibilities inherent in every person, and our destinies are truly intertwined.""--Wes Moore, author of The Other Wes Moore Growing up in Washington, DC, Chris Wilson was surrounded by violence and despair. He watched his family and neighborhood shattered by trauma, and he lost his faith. One night when he was seventeen, defending himself, he killed a man. He was sentenced to life in prison with no hope of parole. But what should have been the end of his story became the beginning. Behind bars, Wilson embarked on a remarkable journey of self-improvement--reading, working out, learning languages, even starting a business. At nineteen, he sat down and wrote a list of all the things he intended to accomplish, and all the steps he'd have to take to get there. He called it his Master Plan. He revised that plan regularly and followed it religiously. Sixteen years later, it led him to an unlikely opportunity--and to a promise he has been working hard to live up to every day since. Harrowing, heartbreaking, and ultimately triumphant, The Master Plan is a memoir for this moment, proving that every person is capable of doing great things.",Biography & Autobiography,434,N/A,0,en
Anonymous,Alicia Britt Chole,Thomas Nelson,2011-09-05,"In Anonymous, learn to recognize the riches in the uncelebrated seasons of your life. When your potential is unseen and your abilities are unappreciated, use those times as opportunities to develop an unshakable identity and to find rest in God's timing—just as Jesus did. Unsettling spaces are actually the surprising birthplace of true spiritual strength. Most of Jesus’ first thirty years went unnoticed by the world, but that season of quiet anonymity prepared Him for true greatness...and made Him unshakable when His time had come. Using Jesus' hidden years as inspiration, Alicia Chole memorably demonstrates how to: Resist resentment when your accomplishments go unnoticed Repurpose your own hidden years and experience deep growth Resolutely live out God's dreams for you with integrity and confidence We all experience times of hiddenness, when our potential is unseen and our abilities remain uncelebrated. This book will encourage you to not rush through those times by reminding you that these anonymous seasons of the soul hold enormous power to cultivate character traits that cannot be developed any other way!",Religion,192,5,1,en
Get Out of Your Head Bible Study Leader's Guide,Jennie Allen,HarperChristian Resources,2020-04-07,"Stopping the spiral of toxic thoughts. In Get Out of Your Head, a six-session video-based Bible study, Jennie inspires and equips us to transform our emotions, our outlook, and even our circumstances by taking control of our thoughts. Our enemy is determined to get in our heads to make us feel helpless, overwhelmed, and incapable of making a difference for the kingdom of God. But when we submit our minds to Christ, the promises of goodness of God flood our lives in remarkable ways. It starts in your head. And from there, the possibilities are endless. This guide serves as a tool to prepare you in leading this Get Out of Your Head study and to encourage you along the way. It helps you as the leader to effectively point your group to the overarching theme of each lesson and point them to the themes of each study. This Get Out of Your Head Leader’s Guide includes: Session-by-session helps to guide your group through the study. Walk-through for using each piece of the study: Videos, Study Guide, and Conversation Card Deck. The vision for Get Out of Your Head. Tips for leading your group, and much more. This guide is designed for use with the Get Out of Your Head Video Study (9780310116394), sold separately. Streaming video, study guide, and conversation cards also available.",Religion,57,N/A,0,en
