Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
The Technology Fallacy,"Gerald C. Kane, Anh Nguyen Phillips, Jonathan R. Copulsky, Garth R. Andrus",MIT Press,2022-08-23,"Why an organization's response to digital disruption should focus on people and processes and not necessarily on technology. Digital technologies are disrupting organizations of every size and shape, leaving managers scrambling to find a technology fix that will help their organizations compete. This book offers managers and business leaders a guide for surviving digital disruptions—but it is not a book about technology. It is about the organizational changes required to harness the power of technology. The authors argue that digital disruption is primarily about people and that effective digital transformation involves changes to organizational dynamics and how work gets done. A focus only on selecting and implementing the right digital technologies is not likely to lead to success. The best way to respond to digital disruption is by changing the company culture to be more agile, risk tolerant, and experimental. The authors draw on four years of research, conducted in partnership with MIT Sloan Management Review and Deloitte, surveying more than 16,000 people and conducting interviews with managers at such companies as Walmart, Google, and Salesforce. They introduce the concept of digital maturity—the ability to take advantage of opportunities offered by the new technology—and address the specifics of digital transformation, including cultivating a digital environment, enabling intentional collaboration, and fostering an experimental mindset. Every organization needs to understand its “digital DNA” in order to stop “doing digital” and start “being digital.” Digital disruption won't end anytime soon; the average worker will probably experience numerous waves of disruption during the course of a career. The insights offered by The Technology Fallacy will hold true through them all. A book in the Management on the Cutting Edge series, published in cooperation with MIT Sloan Management Review.",Business & Economics,281,N/A,0,en
Integrating Technology,"Sarah Gilmore, Katierose Deos",N/A,2020-03-10,"What is the role of technology in education? If we are going to use technology in meaningful and effective ways, then we need to shift our focus from the whatof the tools to the howand the why. Whatever technology you have, it can be integrated in a way that enhances teaching and learning. By taking an integrated approach to technology, you put student learning at the center as its purpose. Effective technology integration isn't about what you have, it's about how you use it. And how you use it depends on so much more than just curriculum, or just devices, or just pedagogy. It depends on having a purpose-based and student-centered approach to integrating all aspects of technology in learning. Sarah Gilmore and Katierose Deos outline six key elements-purpose, mindset, pedagogy, curriculum, resources and infrastructure, and leadership-that have an influence on the effectiveness of technology integration. Each chapter is clearly organized to focus on these elements in detail, presenting a vision for why they matter, how they connect, and how you can take steps to develop effective technology integration within your practice or your school. Integrating Technologyprovides practical ideas, advice, and examples that offer concrete support to help teachers and administrators plan for, scaffold, and use the technology they have for the benefit of student learning. There is no one-size-fits-all when it comes to technology integration. Wherever you are in the world and whatever your role is, you can harness the power of technology to make teaching and learning more meaningful, relevant, and effective. Let Integrating Technologybe your guide and start making effective technology integration a reality in your school community.",,192,N/A,0,en
Technology,Eric Schatzberg,University of Chicago Press,2018-11-12,"In modern life, technology is everywhere. Yet as a concept, technology is a mess. In popular discourse, technology is little more than the latest digital innovations. Scholars do little better, offering up competing definitions that include everything from steelmaking to singing. In Technology: Critical History of a Concept, Eric Schatzberg explains why technology is so difficult to define by examining its three thousand year history, one shaped by persistent tensions between scholars and technical practitioners. Since the time of the ancient Greeks, scholars have tended to hold technicians in low esteem, defining technical practices as mere means toward ends defined by others. Technicians, in contrast, have repeatedly pushed back against this characterization, insisting on the dignity, creativity, and cultural worth of their work. ​The tension between scholars and technicians continued from Aristotle through Francis Bacon and into the nineteenth century. It was only in the twentieth century that modern meanings of technology arose: technology as the industrial arts, technology as applied science, and technology as technique. Schatzberg traces these three meanings to the present day, when discourse about technology has become pervasive, but confusion among the three principal meanings of technology remains common. He shows that only through a humanistic concept of technology can we understand the complex human choices embedded in our modern world.",History,353,N/A,0,en
Technology-as-a-service Playbook,"Thomas Lah, J. B. Wood","Point B, Incorporated",2016,"Technology-as-a-Service Playbook defines the tactical and strategic plays technology companies must run to build a profitable subscription business. Whether you are a pure-play cloud company or a traditional technology provider making the pivot to the cloud, this book will help guide your decision-making and execution around the ""as-a-service"" model to put your company on a path to profitable growth. This cloud-driven journey will affect every part of the organization. How offers are designed, built, marketed, sold, and serviced will all need to change. And these transformations are not limited to OEMs--they will also directly impact the vast network of channel partners. After all, it's not just about building recurring revenue, it's about building PROFITABLE recurring revenue. Technology-as-a-Service Playbook is the road map to the next-generation tech business model.",Business & Economics,0,N/A,0,en
Predicting Technology: A Practical Guide For Technology Managers and Marketing Professionals To Identify Future Market Opportunities,Thomas E. Vass ,First Edition Design Pub.,2014-02-28,"Part of the theory about predicting the direction of technology in this book builds upon work done by Clayton Christensen, a professor of business at Harvard University. Christensen has written many books about how multinational corporations are affected by a topic called ""disruptive technology.""",Business & Economics,261,N/A,0,en
Greek and Roman Technology: A Sourcebook,"Andrew N. Sherwood, Milo Nikolic, John W. Humphrey, John P. Oleson",Routledge,2003-10-04,"In this volume the authors translate and annotate key passages from ancient authors to provide a history and an analysis of the origins and development of technology. Among the topics covered are: * energy * basic mechanical devices * agriculture * food processing and diet * mining and metallurgy * construction and hydraulic engineering * household industry * transport and trade * military technology. The sourcebook presents 150 ancient authors and a diverse range of literary genres, such as, the encyclopedic Natural Histories of Pliny the Elder, the poetry of Homer and Hesiod, the philosophy of Plato, Aristotle and Lucretius and the agricultural treatise of Varro. Humphrey, Oleson and Sherwood provide a comprehensive and accessible collection of rich and varied sources to illustrate and elucidate the beginnings of technology. Glossaries of technological terminology, indices of authors and subjects, introductions outlining the general significance of the evidence, notes to explain the specific details, and a recent bibliography make this volume a valuable research and teaching tool.",History,616,N/A,0,en
"Public Technology, a Tool for Solving National Problems. Report of the Commitee on Intergovernmental Science Relations to the Federal Council for Science and Technology",Federal Council for Science and Technology (U.S.),N/A,1972,N/A,,76,N/A,0,en
"Export Licensing of Advanced Technology, a Review : Hearings Before the Subcommittee on International Trade and Commerce of the Committee on International Relations, House of Representatives, Ninety-fourth Congress, Second Session ...",United States. Congress. House. Committee on International Relations. Subcommittee on International Trade and Commerce,N/A,1976,N/A,Export controls,294,N/A,0,en
Blurring organizational issues and social phenomena in the age of technology: a multidisciplinary perspective,"Nemesio Castillo, Alberto Ochoa, Chlöé Malépart",Lulu.com,2013-04-29,"The predominant view in economic theory until the crisis of the '70s, argued the great enterprise was the key player in the innovation process, this was conceived as an activity that unfolded in specific areas, with clear responsibilities and predetermined objectives. This operating structure of the innovative process was functional demand model that favored the standardization of production. The innovative process was developed predominantly by firms that had a domain oligopolistic market from which they made windfall with which financed the research and development activities. In this context, the role of SMEs in the innovation process is limited to covering the portion of the market that big companies left.",Business & Economics,439,N/A,0,en
Downstream Process Technology: A New Horizon In Biotechnology,"Krishna Kant Prasad, Nooralabettu Krishna Prasad",PHI Learning Pvt. Ltd.,2010-01-30,"Today, biochemical process industry demands fast and economic processes for the partitioning and purification of biomolecules that give high yield and high purity of the product. An integral and cost intensive part of these processes is associated with downstream processing for product isolation and purification. The aim of this comprehensive text is to provide an insightful overview of the whole aspects of downstream processing for biochemical product recovery. Intended for undergraduate and postgraduate students of biotechnology and chemical engineering, this self-contained text includes the chapters based on the recent developments in the industry and academics. It covers the importance of the downstream processing in terms of its relevancy to modern days ever-changing consumer needs, process design criteria relevance to set objectives, and physicochemical factors that help to formulate the strategy to develop a configuration among the raw material, methodology and instruments. This overview is followed by different downstream processing steps. The text concludes with the discussion on stabilization of the product to improve the shelf life of the product. Key Features Includes detailed biological, mathematical, chemical and physical aspects of downstream processing. Distinguishes downstream processing from analytical bioseparation. Contains numerous illustrations and solved problems.",Mathematics,374,N/A,0,en
