Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Transportation,William Richard Black,Guilford Press,2003-06-06,"This comprehensive text provides an authoritative introduction to transportation geography. With a primary focus on the United States, the volume also examines problems and trends in Europe and other parts of the developed world. Students gain a solid grasp of the history, definitions, and core concepts of the field, as well as models for analyzing transportation networks and flows between regions. Environmental, economic, and social issues in transportation planning and policy are addressed, and the uses of geographic information systems in transport (GIS-T) are discussed in detail. Written in a clear, straightforward style, the volume emphasizes real-world applications of the concepts discussed and identifies promising directions for future research. No advanced mathematical knowledge on the part of the reader is assumed. Key Features No other comprehensive text covers transportation geography from a North American perspective. Black is experienced and respected for his innovation. Will interest public and regional planners as well as geographers. Covers all the basics, analytical methods, and policy implications.",Science,404,N/A,0,en
Space Transportation,Walter Edward Hammond,AIAA,1999,"Annotation This practical book gives young professionals all the information they need to know to get started in the space business. It takes you step-by-step through processes for systems engineering and acquisition, design and development, cost analysis, and program planning and analysis. You'll find the systems engineering and design process that applies to all space transportation systems, then the overall system architecture considerations that also apply to all space transportation systems. There is also detailed coverage of space launch vehicles by class, including the current space shuttle, other manned reusable systems, expendable systems, and future systems. A companion CD-ROM contains the Operations Simulation and Analysis Modeling System software.",Astronautics,740,N/A,0,en
Air Transportation,Dr John G. Wensveen,"Ashgate Publishing, Ltd.",2012-10-01,"Now in its Seventh Edition, Air Transportation: A Management Perspective by John Wensveen is a proven textbook that offers a comprehensive introduction to the theory and practice of air transportation management.",Transportation,604,N/A,0,en
Transportation Energy Data Book,,N/A,1984,N/A,Energy conservation,200,N/A,0,en
A Vision of Future Space Transportation,Tim McElyea,N/A,2003,"The glorious Space Age has come and gone. So what's next now? This book is a guide of future space transportation concepts. From Earth-to-Orbit to in-space transportation, you will sample what is being considered and get an easy-to -understand explanation of what spacecraft will do and how it will work.",Nature,202,N/A,0,en
Bicycle Transportation,John Forester,MIT Press,1994,"This new edition of John Forester's handbook for transportation policy makers and bicycling advocates has been completely rewritten to reflect changes of the last decade. It includes new chapters on European bikeway engineering, city planning, integration with mass transit and long-distance carriers, ""traffic calming,"" and the art of encouraging private-sector support for bicycle commuting. A professional engineer and an avid bicyclist, John Forester combined those interests in founding the discipline of cycling transportation engineering, which regards bicycling as a form of vehicular transportation equal to any other form of transportation. Forester, who believes that riding a bicycle along streets with traffic is safer than pedaling on restricted bike paths and bike lanes, argues the case for cyclists' rights with zeal and with statistics based on experience, traffic studies, and roadway design standards. Over the nearly two decades since Bicycle Transportation was first published, he has brought about many changes in the national standards for highways, bikeways, bicycles, and traffic laws. His Effective Cycling Program continues to grow.",Sports & Recreation,364,4,1,en
"Land-grant Railroads and Their Relation to Government Transportation, a Lecture Delivered Before the Officers of the Quartermaster Reserve Corps at Washington, D.C.",United States. Quartermaster General of the Army,N/A,1917,N/A,,24,N/A,0,en
Modes of Transport,Shashank S Tiwari,N/A,2020-06-27,"Introducing Hindi learning series, a picture book about transportation for kids. The subtitles written in Roman Hindi and in the English are highly helpful to learn Hindi for non-native Hindi speakers as well.",,32,N/A,0,en
Transportation,William R. Black,Guilford Press,2003-06-06,"This comprehensive text provides an authoritative introduction to transportation geography. With a primary focus on the United States, the volume also examines problems and trends in Europe and other parts of the developed world. Students gain a solid grasp of the history, definitions, and core concepts of the field, as well as models for analyzing transportation networks and flows between regions. Environmental, economic, and social issues in transportation planning and policy are addressed, and the uses of geographic information systems in transport (GIS-T) are discussed in detail. Written in a clear, straightforward style, the volume emphasizes real-world applications of the concepts discussed and identifies promising directions for future research. No advanced mathematical knowledge on the part of the reader is assumed.",Science,399,N/A,0,en
Kim Takes a Trip,Meg Gaertner,N/A,2018-08,"Introduces readers to Kim's day traveling to visit her dad. Discusses the concept of transportation by showing Kim on a school bus, a train, and an airplane. Additional features to aid comprehension include vivid photographs, Extended Learning activities, a phonetic glossary, and sources for further research.",Transportation,0,N/A,0,en
Encyclopedia of Transportation,Mark Garrett,SAGE Publications,2014-08-13,"Viewing transportation through the lens of current social, economic, and policy aspects, this four-volume reference work explores the topic of transportation across multiple disciplines within the social sciences and related areas, including geography, public policy, business, and economics. The book’s articles, all written by experts in the field, seek to answer such questions as: What has been the legacy, not just economically but politically and socially as well, of President Eisenhower’s modern interstate highway system in America? With that system and the infrastructure that supports it now in a state of decline and decay, what’s the best path for the future at a time of enormous fiscal constraints? Should California politicians plunge ahead with plans for a high-speed rail that every expert says—despite the allure—will go largely unused and will never pay back the massive investment while at this very moment potholes go unfilled all across the state? What path is best for emerging countries to keep pace with dramatic economic growth for their part? What are the social and financial costs of gridlock in our cities? Features: Approximately 675 signed articles authored by prominent scholars are arranged in A-to-Z fashion and conclude with Further Readings and cross references. A Chronology helps readers put individual events into historical context; a Reader’s Guide organizes entries by broad topical or thematic areas; a detailed index helps users quickly locate entries of most immediate interest; and a Resource Guide provides a list of journals, books, and associations and their websites. While articles were written to avoid jargon as much as possible, a Glossary provides quick definitions of technical terms. To ensure full, well-rounded coverage of the field, the General Editor with expertise in urban planning, public policy, and the environment worked alongside a Consulting Editor with a background in Civil Engineering. The index, Reader’s Guide, and cross references combine for thorough search-and-browse capabilities in the electronic edition. Available in both print and electronic formats, Encyclopedia of Transportation is an ideal reference for libraries and those who want to explore the issues that surround transportation in the United States and around the world.",Social Science,2000,N/A,0,en
Human Transit,Jarrett Walker,Island Press,2012-07-29,"Public transit is a powerful tool for addressing a huge range of urban problems, including traffic congestion and economic development as well as climate change. But while many people support transit in the abstract, it's often hard to channel that support into good transit investments. Part of the problem is that transit debates attract many kinds of experts, who often talk past each other. Ordinary people listen to a little of this and decide that transit is impossible to figure out. Jarrett Walker believes that transit can be simple, if we focus first on the underlying geometry that all transit technologies share. In Human Transit, Walker supplies the basic tools, the critical questions, and the means to make smarter decisions about designing and implementing transit services. Human Transit explains the fundamental geometry of transit that shapes successful systems; the process for fitting technology to a particular community; and the local choices that lead to transit-friendly development. Whether you are in the field or simply a concerned citizen, here is an accessible guide to achieving successful public transit that will enrich any community.",Transportation,256,5,1,en
Boston in Transit,Steven Beaucher,MIT Press,2023-03-07,"A richly illustrated story of public transit in one of America’s most historic cities, from public ferry and horse-drawn carriage to the MBTA. A lively tour of public transportation in Boston over the years, Boston in Transit maps the complete history of the modes of transportation that have kept the city moving and expanding since its founding in 1630—from the simple ferry serving an English settlement to the expansive network of the Massachusetts Bay Transportation Authority, or MBTA. The story of public transit in Boston—once dubbed the Hub of the Universe—is a journey through the history of the American metropolis. With a remarkable collection of maps and architectural and engineering drawings at hand, Steven Beaucher launches his account from the landing where English colonists established that first ferry, carrying passengers between what is now Boston’s North End and Charlestown—and sparing them what had been a two-day walk around Boston Harbor. In the 1700s, horse-drawn coaches appeared on the scene, connecting Boston and Cambridge, with the bigger, better Omnibus soon to follow. From horse-drawn coaches, horse-drawn railways evolved, making way for the electric streetcar networks that allowed the city’s early suburbs to sprout—culminating in the multimodal, regional public transportation network in place in Boston today. With photographs, brochures, pamphlets, guidebooks, timetables, and tickets, Boston in Transit creates a complete picture of the everyday experience of public transportation through the centuries. At once a practical reference, local history, and travelogue, this book will be cherished by armchair tourists, day-trippers, and serious travelers alike.",History,586,N/A,0,en
From Mobility to Accessibility,"Jonathan Levine, Joe Grengs, Louis A. Merlin",Cornell University Press,2019-11-15,"Levine, Grengs, and Merlin marshal a compelling case to shift to accessibility-oriented planning, providing much needed conceptual clarity as to what accessibility is and is not. But their book also represents a major step toward transforming accessibility from a vaguely defined aspiration into concrete measures that can guide planning decisions. ― Journal of the American Planning Association In From Mobility to Accessibility, an expert team of researchers flips the tables on the standard models for evaluating regional transportation performance. Jonathan Levine, Joe Grengs, and Louis A. Merlin argue for an ""accessibility shift"" whereby transportation planning, and the transportation dimensions of land-use planning, would be based on people's ability to reach destinations, rather than on their ability to travel fast. Existing models for planning and evaluating transportation, which have taken vehicle speeds as the most important measure, would make sense if movement were the purpose of transportation. But it is the ability to reach destinations, not movement per se, that people seek from their transportation systems. While the concept of accessibility has been around for the better part of a century, From Mobility to Accessibility shows that the accessibility shift is compelled by the fundamental purpose of transportation. The book argues that the shift would be transformative to the practice of both transportation and land-use planning but is impeded by many conceptual obstacles regarding the nature of accessibility and its potential for guiding development of the built environment. By redefining success in transportation, the book provides city planners, decisionmakers, and scholars a path to reforming the practice of transportation and land-use planning in modern cities and metropolitan areas.",Architecture,285,N/A,0,en
"Transportation of Hazardous Materials, Summary",United States. Congress. Office of Technology Assessment,DIANE Publishing,1986,N/A,Hazardous substances,273,N/A,0,en
Public Transportation,"George E. Gray, Lester A. Hoel","Englewood Cliffs, N.J. : Prentice Hall",1992,"A reference on the subject of public transportation. Current issues such as traffic congestion, air pollution and energy conservation are covered to provide a framework for informed decision making. The book is aimed at civil and transportation engineers, planners, operators and public officials.",Political Science,778,N/A,0,en
Transportation Equity Act,United States. Congress. House. Committee on Transportation and Infrastructure,N/A,2004,N/A,Federal aid to transportation,424,N/A,0,en
"Transportation, a Call for Action",Transportation Association of America,N/A,1976,N/A,Transportation,36,N/A,0,en
Surface Transportation,United States. Congress. House. Committee on Public Works and Transportation. Subcommittee on Surface Transportation,N/A,1975,N/A,Highway law,970,N/A,0,en
Department of Transportation and Related Agencies Appropriations for Fiscal Year 1983,United States. Congress. Senate. Committee on Appropriations. Subcommittee on Transportation and Related Agencies,N/A,1983,N/A,United States,1028,N/A,0,en
Bicycling for Transportation,"Melissa Bopp, Dangaia Sims, Daniel Piatkowski",Elsevier,2018-04-16,"Bicycling for Transportation examines the individual and societal factors of active transportation and biking behavior. The book uses an Interdisciplinary approach to provide a comprehensive overview of bicycling for transportation research. It examines the variability in biking participation among different demographic groups and the multiple levels of influence on biking to better inform researchers and practitioners on the effective use of community resources, programming and policymaking. It is an ideal resource for public health professionals trying to encourage physical activity through biking. In addition, it makes the case for new infrastructure that supports these initiatives. - Provides evidence-based insights on cost-effective interventions for improving biking participation - Includes numerous case studies and best practices that highlight multi-level approaches in a variety of settings - Explores individual and social factors related to biking behavior, such as race, gender and self-efficacy",Transportation,248,N/A,0,en
Autism & PDD,"Pam Britton Reese, Nena C. Challenner",N/A,2003,Workbook for teaching reading skills and a special dictionary accompanied by 8 packets of flash cards (stapled but perforated for separating). Issued in blue plastic container.,Autism,70,N/A,0,en
Traffic Control and Transport Planning:,"Dusan Teodorovic, Katarina Vukadinović",Springer Science & Business Media,1998-11-30,"The goal of this book is to acquaint the reader with the basic elements of fuzzy set theory, fuzzy logic, fuzzy logic systems, artificial neural networks, neurofuzzy modeling, and applications of fuzzy logic and neural networks to date in traffic and transportation engineering, and to indicate the directions for future research in this area.",Business & Economics,410,5,1,en
Creating a Department of Transportation,United States. Congress. House. Committee on Government Operations. Executive and Legislative Reorganization Subcommittee,N/A,1966,N/A,,886,N/A,0,en
Report of the Secretary of the Senate from ...,United States. Congress. Senate,N/A,2009-04,N/A,,1106,N/A,0,en
Frontier Research: Road and Traffic Engineering,"Teik-Hua Law, Baohua Guo",CRC Press,2022-11-01,"This book contains selected papers resulting from the 2020 International Conference on Road and Traffic Engineering (CRTE 2020) covering Road Engineering and Traffic Engineering, aiming to provide an academic and technical communication platform for scholars and engineers engaged in scientific research and engineering practice in the field of Road Engineering and Materials, Traffic Engineering and Management and Transportation Engineering. By sharing the research status of scientific research achievements and cutting-edge technologies, it helps scholars and engineers all over the world to comprehend the academic development trends and broaden research ideas. So as to strengthen international academic research, academic topics exchange and discussion, and promote the industrialization cooperation of academic achievements.",Technology & Engineering,937,N/A,0,en
United States Code,United States,N/A,1995,N/A,Law,1188,N/A,0,en
Agricultural Economics Bibliography,,N/A,1939,N/A,,856,N/A,0,en
"Business Establishments, Employment and Taxable Pay Rolls Under Old Age and Survivors Insurance Program",United States. Bureau of the Census,N/A,1981,N/A,Industries,764,N/A,0,en
Monthly Catalog of United States Government Publications,,N/A,1980-04,N/A,Government publications,1070,N/A,0,en
Inclusive Transport,Hans Jeekel,Elsevier,2018-10-29,"Inclusive Transport: Fighting Involuntary Transport Disadvantages offers readers profound and multifaceted insights into transportation and social equity, guiding transportation and urban studies researchers, planners, and policy makers in evaluating potential solutions to this complex issue. It considers discrimination and its societal consequences, providing a needed perspective on who is left out of transportation planning, and why. The book is systematically divided into 2 parts, Part A is problem oriented and explores the main problems to the transportation disadvantaged; accessibility and affordability. It looks at the consequences of non-accessibility, the problems non-car owners face, and the interplay between housing and transportation; Part B is policy oriented and analyses how current policies tend to forget transport disadvantages. It looks at pragmatic solutions for transport disadvantaged and ends with a design for inclusive transport, being a more radical approach combining sustainability challenges, people's behaviours and emotions, creating more just and equitable mobility. - Synthesizes academic research and narratives on transport disadvantage and the transport disadvantaged, linking the research with current mobility policies and practices - Connects the fight on transport disadvantages with sustainable and smart mobility strategies and looks into car sharing, ride sharing and individualising public transport while de- individualizing car use - Has an extensive usage of data, figures, and examples from around the world, and inspiring mobility plans and policies",Transportation,239,N/A,0,en
Distribution,David Frederick Ross,Springer Science & Business Media,1995-11-30,"It has been said that every generation of historians seeks to rewrite what a previous generation had established as the standard interpretations of the motives and circumstances shaping the fabric of historical events. It is not that the facts of history have changed. No one will dispute that the battle of Waterloo occurred on June 11, 1815 or that the allied invasion of Europe began on June 6, 1944. What each new age of historians are attempting to do is to reinterpret the motives of men and the force of circumstance impacting the direction of past events based on the factual, social, intellectual, and cultural milieu of their own generation. By examining the facts of history from a new perspective, today's historians hope to reveal some new truth that will not only illuminate the course of history but also validate contempo rary values and societal ideals. Although it is true that tackling the task of developing a new text on logistics and distribution channel management focuses less on schools of philosophical and social analysis and more on the calculus of managing sales campaigns, inventory replenishment, and income statements, the goal of the management scientist, like the historian, is to merge the facts and figures of the discipline with today's organizational, cultural, and economic realities. Hopefully, the result will be a new synthesis, where a whole new perspective will break forth, exposing new directions and opportunities.",Technology & Engineering,808,4,3,en
Internal Revenue Bulletin,United States. Internal Revenue Service,N/A,1963,"A consolidation of all items of a permanent nature published in the weekly Internal revenue bulletin, ISSN 0020-5761, as well as a cumulative list of announcements relating to decisions of the Tax Court.",Tax administration and procedure,1270,N/A,0,en
Housing and Planning References,,N/A,1963,N/A,City planning,486,N/A,0,en
Statement of Disbursements of the House,United States. Congress. House,N/A,2007,Covers receipts and expenditures of appropriations and other funds.,,1154,N/A,0,en
The Code of Federal Regulations of the United States of America,,N/A,1999,The Code of Federal Regulations is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government.,Administrative law,310,N/A,0,en
Code of Federal Regulations,,N/A,1992,"Special edition of the Federal Register, containing a codification of documents of general applicability and future effect ... with ancillaries.",Administrative law,814,N/A,0,en
The Quest for Regional Cooperation,Joan B. Aron,Univ of California Press,N/A,N/A,,238,N/A,0,en
The Rotterdam Rules,"Yvonne Baatz, Charles Debattista, Filippo Lorenzon, Andrew Serdy, Hilton Staniland, Michael Tsimplis",CRC Press,2013-09-11,"The Rotterdam Rules represent the most comprehensive overhaul of the law of carriage of goods by sea in more than fifty years. To coincide with the signing ceremony, six members of the Institute of Maritime Law have written a detailed commentary on the Rules. The Rotterdam Rules: A Practical Annotation examines the text of the Rules, all ninety-six articles of the new Convention, and compares them to the text of the Hague-Visby Rules, the instrument currently covering most bills of lading. The authors have also examined the judgments in cases decided in the English Courts under the Carriage of Goods by Sea Acts of 1971 and 1992 and have indicated whether these cases would be decided differently under the new Rotterdam Rules.",Law,383,N/A,0,en
Census Catalog and Guide,United States. Bureau of the Census,N/A,1985,"Includes subject area sections that describe all pertinent census data products available, i.e. ""Business--trade and serivces"", ""Geography"", ""Transportation"", etc.",Government publications,370,N/A,0,en
Energy Research Abstracts,,N/A,1993,"Semiannual, with semiannual and annual indexes. References to all scientific and technical literature coming from DOE, its laboratories, energy centers, and contractors. Includes all works deriving from DOE, other related government-sponsored information, and foreign nonnuclear information. Arranged under 39 categories, e.g., Biomedical sciences, basic studies; Biomedical sciences, applied studies; Health and safety; and Fusion energy. Entry gives bibliographical information and abstract. Corporate, author, subject, report number indexes.",Power resources,906,N/A,0,en
Handbook of Operations Research Applications at Railroads,Bruce W. Patty,Springer,2015-04-15,"This is the first book to offer a complete spectrum of the role that operations research has played and can play in the improvement of North American freight railroads. It explores how decisions are made at railroads, contains examples of the mathematical programming formulations to the complex problems, and provides insights into real-world applications. The handbook is divided into eleven chapters, covering topics including scheduling problems, empty railcar distribution, and intermodal rail. These topics have been specifically selected to offer a thorough examination of the application of operations research at freight railroads. The chapters are written by recognized award-winning scholars and practitioners with a deep knowledge and understanding of their specific topics. The Handbook of Operations Research Applications at Railroads is an ideal resource for academics, experienced researchers, and consultants in the field.",Business & Economics,287,N/A,0,en
"United States Code, 1976 Ed., Supplement 1-",United States,N/A,1979,N/A,Law,1296,N/A,0,en
"The Merchant Marine Act, 1936, the Maritime Security Act of 1996, the Shipping Act of 1984, and Related Acts",United States,N/A,2002,N/A,Maritime law,548,N/A,0,en
People & Politics in Urban America,"Robert W. Kweit, Mary G. Kweit",Routledge,2013-10-31,"This revised textbook for courses on urban politics challenges the notion that the field is dominated by political economy, showing that despite the undeniable importance of economic issues, citizens do play a significant part in urban politics.",Political Science,489,N/A,0,en
Report,United States. Congress. House,N/A,N/A,N/A,United States,1966,N/A,0,en
Laws of the State of New York,New York (State),N/A,N/A,N/A,Session laws,1168,N/A,0,en
"Boots on the Ground, Flats in the Boardroom","Grace Crunican, Elizabeth Levin",CreateSpace,2015-09-17,"Stories have power, but only if people know them. ""Boots on the Ground, Flats in the Boardroom: Transportation Women Tell Their Stories"" details the rise of 18 pioneering women in transportation by telling their stories in their words. From the woman who ran the Federal Aviation Administration during 9/11 to the woman who helped make seatbelts standard in cars, ""Boots on the Ground, Flats in the Boardroom"" provides raw stories of how these women learned to succeed in a white, male-dominated industry. Authored by seasoned transportation authorities Grace Crunican and Liz Levin, ""Boots on the Ground, Flats in the Boardroom"" presents leadership lessons from women who changed the world.",,256,N/A,0,en
Decision-Making for Biomass-Based Production Chains,Sebnem Yilmaz Balaman,Academic Press,2018-10-02,"Decision-Making for Biomass-Based Production Chains: The Basic Concepts and Medothologies presents a comprehensive study of key-issues surrounding the integration of strategic, tactical and operational decision levels for supply chains in the biomass, biofuels and biorefining sectors. Comprehensive sections cover biomass resources, harvesting, collection, storage and distribution systems, along with the necessary technical and technological background of production systems. In addition, the basics of decision-making, problems and decision levels encountered in design, management and operation phases are covered. Case studies are supplied in each chapter, along with a discussion and comparative analysis of topics. The book presents a clear vision of advances in the field. Graduate students and those starting in this line of research will also find the necessary information on how to model this kind of complex system. Finally, this comprehensive resource can be used as a guide for non-expert industry decision-makers and government policymakers who need a thorough overview on the industry. - Examines analytic methodologies for complex decision-making when designing, deploying and managing biomass and bio-based products supply chains - Includes real-life examples of main sustainability indicators, standards and certification schemes from the European Union, United States and worldwide - Explores the progress of decision-making procedures to provide a detailed perspective for effective selection of the most reliable solutions for each kind of problem - Provides detailed, in-depth analyses of various models and frameworks for their implementation, challenges and solutions - Presents multi-criteria and multi-objective decision-making and modeling approaches, including mathematical modeling, simulation-based modeling, and artificial intelligence-based modeling",Science,259,N/A,0,en
The Budget of the United States Government,United States. Bureau of the Budget,N/A,1965,N/A,Budget,1166,N/A,0,en
Guidelines for the Humane Transportation of Research Animals,"National Research Council, Division on Earth and Life Studies, Institute for Laboratory Animal Research, Committee on Guidelines for the Humane Transportation of Laboratory Animals",National Academies Press,2006-08-14,"Arranging the transportation of animals at research facilities is often an ordeal. There is a confusing patchwork of local, national, and international regulations; a perceived lack of high-quality shipping services; a dearth of science-based good practices; and a lack of biosafety standards. It's a challenge â€""and an impediment to biomedical research. Guidelines for the Humane Transportation of Research Animals identifies the current problems encountered in the transportation of research animals and offers recommendations aimed at local and federal officials to rectify these problems. This book also includes a set of good practices based on the extensive body of literature on transportation of agricultural animals, universal concepts of physiology, and a scientific understanding of species-specific needs and differences. Good practices were developed by the committee to address thermal environment, space requirements, food and water requirements, social interaction, monitoring of transportation, emergency procedures, personnel training, and biosecurity. Guidelines for the Humane Transportation of Research Animals is an essential guide for all researchers, animal care technicians, facilities managers, administrators, and animal care and use committees at research institutions.",Science,165,N/A,0,en
Making Connections,Margaret Walsh,Routledge,2020-07-24,"An examination of the varied paths of the American inter-city bus industry from its origins in the second decade of the 20th century to deregulation in 1982. This sector of transport has been much neglected by historians and this book seeks to uncover a range of useful and pertinent information to those who are interested in understanding entrepreneurial endeavours, patterns of mobility and consumer attitudes. It analyzes the development of the national industry, probes the growth of particular companies and investigates specific aspects of business behaviour. The work is presented as a series of focused essays which offer insights into such topics as regulation, marketing, gender patterns and intermodal competition. It draws on diverse archival materials, government surveys and findings, trade publications, interviews and photographs. A wide-ranging bibliographical essay offers a guide to available sources.",Business & Economics,288,N/A,0,en
County Business Patterns,,N/A,1981,"Business establishments, employment, and taxable pay rolls, by industry groups, under Old-Age and Survivors Program.",Industrial statistics,596,N/A,0,en
Intergovernmental Perspective,,N/A,1975,Each issue concentrates on a different topic.,Federal government,220,N/A,0,en
The Future of Public Transportation,Paul Comfort,N/A,2020-02-15,"""Paul Comfort is our industry's leader on what's coming next for mobility. After a thirty year career in public transportation operations and executive leadership, he now travels the globe hearing directly from our top CEOs on what's working, what's not and what's next. If anyone can pull together a compendium on the Future of Public Transportation, it's Paul and he's done so in this book. Congrats!"" - Erinn Pinkerton, President and CEO of BC Transit. ""With Paul's long and distinguished career in transportation as well as his current involvement in mobility through his podcast Transit Unplugged and other thought leadership, Paul is uniquely positioned to provide a clear eyed and expert view on the future of public transportation and what we as concerned stakeholders should be thinking about.""-Blair Schlecter, VP of Economic Development and Govt. Affairs, Beverly Hills Chamber of Commerce ""As a 38 year public transportation industry veteran, and former CEO and Chair of APTA, I can say that technology and mobility is adapting faster than ever to societal demands and technological abilities. Paul Comfort has his finger on the pulse of these fast changing developments and has pulled together for this book a top notch roster of executives from the public and private sector to provide their input.""-Peter Varga, Former Chair American Public Transportation Association (APTA). This new book ""The Future of Public Transportation"" is written by transit industry leader Paul Comfort and over forty top public transport leaders, CEOs, futurists and associations. The book examines the transformations coming this decade for cities and the public transportation systems that serve them allowing readers to become more informed and ready for these changes. In the next few years technology enhancements will produce and expand game changing new mobility options such as autonomous vehicles on regular bus routes and Mobility-as-a-Service (MaaS) smart phone apps allowing passengers to plan, pay for and subscribe to a full menu of traditional public transit and private microtransit options for their travel. Cities will further regulate and optimize the rampant expansion of e-bikes and e-scooters. Mobile public transit fare paying options will expand including allowing the use of not only cell phone and tap and go credit cards but even wearable fare payment jewelry and watches. Traditional transit systems are rebooting their bus networks, adding in high frequency routes & reducing the friction that slows their buses by adding bus only lanes, transit signal priority (TSP) and electronic fare payment systems. TNCs have now entered the public mobility marketplace and are supplementing or replacing public transit services for many. Transit fleets are becoming greener shifting to zero emission fuels like electric or hydrogen, large multi-national firms are transforming how we build and operate new rail and other capital projects through Public Private Partnerships (P3). Hyperloop and air taxis are looking more like science than fiction. Cities are becoming ""smart"" and eliminating traffic in the public square or charging for its usage in peak times. Most transit software is moving to the cloud and privately-owned electric automobiles could be the autonomous taxicabs of tomorrow.All these trends & innovations in technology and business models are explored in depth in this book with the collaboration of thought leaders, industry associations, CEOs and the major companies that are creating and utilizing them. In the end, bold leaders will take us to new horizons as they always have, but they will do so using modern technology to move us in ways we never thought possible, and in the process, eliminate barriers that have too long stood in the way of true mobility for all. And THAT is the Future of Public Transportation.",,425,N/A,0,en
Interpreting the City,Truman Asa Hartshorn,John Wiley & Sons,1992-04-16,"The Second Edition has been rewritten to provide additional coverage of topics such as urban development and third world cities as well as social issues including homelessness, jobs/housing mismatch and transportation disadvantages. It has also been updated with 1990 Census data.",Social Science,517,N/A,0,en
"Supplement to the Draft Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-level Radioactive Waste at Yucca Mountain, Nye County, Nevada",United States. Department of Energy. Office of Civilian Radioactive Waste Management,N/A,2001,N/A,Environmental impact analysis,144,N/A,0,en
"Better Buses, Better Cities",Steven Higashide,Island Press,2019-10-10,"""Better Buses, Better Cities is likely the best book ever written on improving bus service in the United States."" — Randy Shaw, Beyond Chron ""The ultimate roadmap for how to make the bus great again in your city."" — Spacing ""The definitive volume on how to make bus frequent, fast, reliable, welcoming, and respected..."" — Streetsblog Imagine a bus system that is fast, frequent, and reliable—what would that change about your city? Buses can and should be the cornerstone of urban transportation. They offer affordable mobility and can connect citizens with every aspect of their lives. But in the US, they have long been an afterthought in budgeting and planning. With a compelling narrative and actionable steps, Better Buses, Better Cities inspires us to fix the bus. Transit expert Steven Higashide shows us what a successful bus system looks like with real-world stories of reform—such as Houston redrawing its bus network overnight, Boston making room on its streets to put buses first, and Indianapolis winning better bus service on Election Day. Higashide shows how to marshal the public in support of better buses and how new technologies can keep buses on time and make complex transit systems understandable. Higashide argues that better bus systems will create better cities for all citizens. The consequences of subpar transit service fall most heavily on vulnerable members of society. Transit systems should be planned to be inclusive and provide better service for all. These are difficult tasks that require institutional culture shifts; doing all of them requires resilient organizations and transformational leadership. Better bus service is key to making our cities better for all citizens. Better Buses, Better Cities describes how decision-makers, philanthropists, activists, and public agency leaders can work together to make the bus a win in any city.",Transportation,186,N/A,0,en
Rocky Flats Environmental Technology Site,,N/A,1998,N/A,,694,N/A,0,en
Bureau of the Census Catalog,United States. Bureau of the Census,N/A,1982,Includes monthly supplement; 1960-1980.,Census,242,N/A,0,en
"Hearings, Reports and Prints of the House Committee on Appropriations",United States. Congress. House. Committee on Appropriations,N/A,1967,N/A,"Finance, Public",1056,N/A,0,en
