Title,Authors,Publisher,Published Date,Description,Categories,Page Count,Average Rating,Ratings Count,Language
Ultimate Journeys for Two,"Mike Howard, Anne Howard",National Geographic Books,2017,"Written by the founders of HoneyTrek.com, this inspiring book reveals hidden-gem destinations and insider tips for unforgettable couples travel. In these informative pages, Mike and Anne Howard--officially the World's Longest Honeymooners and founders of the acclaimed travel blog HoneyTrek--whisk you away to journeys of a lifetime. Drawing on their experience traveling together across seven continents, they curate the globe and offer tested-and-approved recommendations for intrepid couples, bringing culture, adventure, and romance to any couple--no matter their age or budget. Chapters are organized by type of destination (for example, beaches, mountains, and deserts) to help travelers discover new places and experiences based on their interests. Each entry focuses on a specific region, getting to the essence of each locale and its one-of-a-kind offerings. The authors reveal the best time to visit, the best places to stay, and recommended activities--each with their own adventure rating to illustrate level of intensity. Special features include funny and insightful stories from the Howards' own adventures, expert advice from other renowned traveling couples, and tips to increase the romance and excitement at each destination. A large map shows every location covered in the book, and each entry has a locator map depicting the city and country. Both entertaining and informative, this book is an invaluable resource and inspiration for a lifetime of travel.",Travel,276,5,2,en
Travel by Design,Peter Sallick,Assouline Publishing,2020-10-01,"Showcasing travel photographs by more than 150 of America’s top architects and designers, Travel by Design is an inspiring guide to the power of travel to shape and expand our world. Travel by Design reminds us of the beauty and importance of travel, with images of more than 100 locations in 60 countries, from exotic destinations and global cities to adventure travels and all-American escapes. More than 350 photographs take readers on a global journey through cityscapes, ancient civilizations, luxurious resorts, and stunning natural wonders, all seen through the discerning and artistic eyes of today’s leading creative talents. The images are sure to inspire dreams of escape, and the 40 pages of insider resources—from favorite hotels and restaurants to secret shopping sources and must-see monuments—will make planning future trips reassuring and easy.",Travel,6,N/A,0,en
Travel as a Political Act,Rick Steves,Rick Steves,2018-02-06,"Change the world one trip at a time. In this illuminating collection of stories and lessons from the road, acclaimed travel writer Rick Steves shares a powerful message that resonates now more than ever. With the world facing divisive and often frightening events, from Trump, Brexit, and Erdogan, to climate change, nativism, and populism, there's never been a more important time to travel. Rick believes the risks of travel are widely exaggerated, and that fear is for people who don't get out much. After years of living out of a suitcase, he still marvels at how different cultures find different truths to be self-evident. By sharing his experiences from Europe, Central America, Asia, and the Middle East, Rick shows how we can learn more about own country by viewing it from afar. With gripping stories from Rick's decades of exploration, this fully revised edition of Travel as a Political Act is an antidote to the current climate of xenophobia. When we travel thoughtfully, we bring back the most beautiful souvenir of all: a broader perspective on the world that we all call home. All royalties from the sale of Travel as a Political Act are donated to support the work of Bread for the World, a non-partisan organization working to end hunger at home and abroad.",Travel,586,N/A,0,en
A Landscape of Travel,Jenny T. Chio,University of Washington Press,2014-03-28,"While the number of domestic leisure travelers has increased dramatically in reform-era China, the persistent gap between urban and rural living standards attests to ongoing social, economic, and political inequalities. The state has widely touted tourism for its potential to bring wealth and modernity to rural ethnic minority communities, but the policies underlying the development of tourism obscure some complicated realities. In tourism, after all, one person’s leisure is another person’s labor. A Landscape of Travel investigates the contested meanings and unintended consequences of tourism for those people whose lives and livelihoods are most at stake in China’s rural ethnic tourism industry: the residents of village destinations. Drawing on ethnographic research conducted in Ping’an (a Zhuang village in Guangxi) and Upper Jidao (a Miao village in Guizhou), Jenny Chio analyzes the myriad challenges and possibilities confronted by villagers who are called upon to do the work of tourism. She addresses the shifting significance of migration and rural mobility, the visual politics of tourist photography, and the effects of touristic desires for “exotic difference” on village social relations. In this way, Chio illuminates the contemporary regimes of labor and leisure and the changing imagination of what it means to be rural, ethnic, and modern in China today.",Social Science,327,5,1,en
"Travel the World and Explore for Less than $50 a Day, the Essential Guide:",Mathew Backholer,ByFaith Media,2019-05-13,"Updated in 2020, including a chapter on traveling amidst the coronavirus (Covid-19), a worldwide pandemic. Travel the World and Explore is the essential guide to traveling the world and exploring new destinations for less than $50 a day (GBP £36, Euro €43, AUD $69, NZD $72 or CAD $65). For the solo backpacker or with friends this up-to-date practical guide will save you time and money with ideas, and need-to-know information so you can have the adventure of a lifetime from two weeks to one year. Full of global travellers’ advice, anecdotes and testimonies to make your trip cheaper, safer and more exciting than you could ever have imagined! Save money with tricks and tips to ease you into your travels abroad and reduce the pressure of traveling in new destinations. Including: How to travel on less than $50 a day and enjoy yourself daily. How to get cheap flights, your visa and navigating the airport. Youth hostels, camping, hotels, lodges, cafés and restaurants. Learning fast, language, communication, culture, food and drink. Packing your bag, the ultimate kit list and what to leave at home. Trekking, beach vacation, inner cities, the countryside and jungles. When and where to go, what to do, options, ideas and possibilities. Photography tips, social media, security and traveling with money. The environment, medical issues and dealing with an emergency. How to make savings, haggling and make your money go further. Transport abroad: buses, trains, taxis, rickshaws and motorbikes. Getting the best deals, practical research and preparation. Your road trip: car, motorbike, bicycle or renting abroad. How to stay safe, healthy and on the right side of the law. Prescription medicines that are illegal in other countries. Travel warnings, scams, inoculations, jabs and survival items. How to deal with unwanted attention, robbers and pickpockets. How to protect yourself from malaria, wildlife, leeches and insects. Food: allergies, hygiene, etiquette, vegetarian or vegan and potions. International driving permit, vehicle maintenance and driving abroad. Free WiFi, social media, communication, tablets and smartphones. Border crossings, transport hubs, fellow travellers and stimulants. Culture shock, religion, poverty, exploitation and helping others. Charted transport, renting a motorbike, scooter or boat. Theme parks, tourist and resort tax and when to tip. As a world traveller Mathew Backholer has visited more than forty countries and has traveled the length of Africa from Cairo to the Cape, across South-East Asia from India to Vietnam and from Nepal to Russia via China and Mongolia and has survived the Trans-Siberian Railway. He has visited North Africa six times, driven around Britain and Europe and has gone solo, with friends, as part of team and as a team leader. He is the co-founder of ByFaith Media (www.ByFaith.org) and presents the reality travel series ByFaith TV which airs globally on numerous networks. He is the author of many books including: Budget Travel, A Guide to Travelling on a Shoestring and How to Plan, Prepare and Successfully Complete Your Short-Term Mission.",Travel,309,N/A,0,en
The Travel Book,"Carolyn Bain, Lonely Planet Publications Staff, Joe Bindloss, Celeste Brash, Paul Clammer, Mary Fitzpatrick, Will Gourlay, Anthony Ham, Bradley Mayhew, Carolyn McCarthy, Matt Phillips, Robert Reid, Regis St. Louis, Ryan Ver Berkmoes, Nicola Williams",N/A,2013,"Even the most avid readers of travel guides and travel literature will not have encountered a book quite like this one. It is huge and heavy but reasonably priced, and it is vastly informative, which is its calling card. All the writers who contribute to the Lonely Planet travel guide series have put heads, knowledge, and experience together.",Cities and towns,448,N/A,0,en
Time Travel,Paul J. Nahin,JHU Press,2011-04-01,"From H.G. Wells to Isaac Asimov to Ursula K. Le Guin, time travel has long been a favorite topic and plot device in tales of science fiction and fantasy. But as any true SF fan knows, astounding stories about traversing alternate universes and swimming the tides of time demand plausible science. That’s just what Paul J. Nahin’s guide provides. An engineer, physicist, and published science fiction writer, Nahin is uniquely qualified to explain the ins and outs of how to spin such complex theories as worm holes, singularity, and relativity into scientifically sound fiction. First published in 1997, this fast-paced book discusses the common and not-so-common time-travel devices science fiction writers have used over the years, assesses which would theoretically work and which would not, and provides scientific insight inventive authors can use to find their own way forward or backward in time. From hyperspace and faster-than-light travel to causal loops and the uncertainty principle and beyond, Nahin’s equation-free romp across time will help writers send their characters to the past or future in an entertaining, logical, and scientific way. If you ever wanted to set up the latest and greatest grandfather paradox—or just wanted to know if the time-bending events in the latest pulp you read could ever happen—then this book is for you.",Literary Criticism,222,5,1,en
Travel,Peter Whitfield,N/A,2011,"No previous generation has ever travelled so energetically or so obsessively as ours, nor has travel writing ever been so much in fashion as it is now. But behind the self-conscious literary artistry of today's narratives there lies a rich and fascinating history of travel writing, stretching back over several thousand years.Travel writing has emerged from migration, war, exploration, trade, conquest, pilgrimage, science, and poetic longing. But when they recorded their travels, the military commanders of Greece and Rome, the navigators of the Age of Discovery, the diplomats and missionaries of the seventeenth century, the dilettantes who set out on the Grand Tour, the romantic travellers and the scientists of the nineteenth century all had one thing in common: they were re-imagining the world, re-interpreting it in their own minds and for their readers.This is the first general survey of the entire history of travel literature, with illustrations reproduced from manuscripts and books in the Bodleian Library's collections. Writers covered include Marco Polo, Sir John Mandeville, Thomas Coryate, Captain Cook, T.E. Lawrence, and Christopher Columbus as well as Boswell and Johnson, Byron, Ruskin, Defoe, Conrad, and James. This book highlights over a hundred texts, showing how one motive for travelling has been succeeded by another, and how travel writing has often inhabited a strange borderland between truth and imagination, fact and fiction. It demonstrates how travel writers have slowly outgrown their traditional stance of superiority to all things 'foreign', and have moved towards a deeper sensitivity to other lands and other cultures.",Travel in literature,0,N/A,0,en
My Experience with Time Travel: A hip hop musician urban science truth,David Turner,Traveling Merchant,N/A,"As this book is a real story that depicts real events, there is no fancy flying saucers or huge explosions and effects. There are no space creatures and aliens although I am not discounting anyone that has seen them. This is a real story that appears normal on the surface, except for prison time as most people do not go to prison (I don’t think). The prison time, although abnormal for most of the population is a normal prison (I suppose as I haven’t been to too many). However, it is within this buried dark place, where the seed of interest was planted and started to grow. This seed occurred yet before prison in the Hip Hop Studio of my former home; Muzak Studios where I encountered strange anomalies while recording. Coupling this with a dream I had while in prison, stirred the passion and lust for learning in this field. After my release, I was embraced with a world of technology and information that was unprecedented before my release and I have leveraged that to learn more about this phenomenon of time travel and distortion.",Art,28,N/A,0,en
The Geography of Bliss,Eric Weiner,Mizan Qanita,N/A,"The Geography of Bliss membawa pembaca melanglangbuana ke berbagai negara, dari Belanda, Swiss, Bhutan, hingga Qatar, Islandia, India, dan Amerika ... untuk mencari kebahagiaan. Buku ini adalah campuran aneh tulisan perjalanan, psikologi, sains, dan humor. Ditulis tidak untuk mencari makna kebahagiaan, tapi di mana. Apakah orang-orang di Swiss lebih bahagia karena negara mereka paling demokratis di dunia? Apakah penduduk Qatar, yang bergelimang dolar dari minyak mereka, menemukan kebahagiaan di tengah kekayaan itu? Apakah Raja Bhutan seorang pengkhayal karena berinisiatif memakai indikator kebahagiaan rakyat yang disebut Gross National Happiness sebagai prioritas nasional? Kenapa penduduk Ashville, Carolina Utara, sangat bahagia? Kenapa penduduk di Islandia, yang suhunya sangat dingin dan jauh dari mana-mana, termasuk negara yang warganya paling bahagia di dunia? Kenapa di India kebahagiaan dan kesengsaraan bisa hidup berdampingan? Dengan wawasan yang dalam dan ditulis dengan kocak, Eric Wiener membawa pembaca ke tempat-tempat yang aneh dan bertemu dengan orang-orang yang, anehnya, tampak akrab. Sebuah bacaan ringan yang sekaligus memancing pemikiran pembaca. “Lucu, mencerahkan, mengagumkan.” —Washington Post Book World “Tulisan yang menyentuh ...mendalam ...buku yang hebat!” —National Geographic “Selalu ada pencerahan di setiap halaman buku ini.” —Los Angeles Times [Mizan, Mizan Publishing, Qanita, Petualangan, Perjalanan, Dunia, Dewasa, Indonesia]",Travel,425,N/A,0,id
